,symbol,timestamp,datetime,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume,info
0,XRP/USDT:USDT,1694447693834,2023-09-11T15:54:53.834Z,0.501,0.4567,,,,,0.4814,0.496,0.4722,0.4722,,-0.0238,-4.798,0.4841,1509293329.0,726598780.88,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0238', 'priceChangePercent': '-4.798', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4722', 'lastQty': '2117.2', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509293329.0', 'quoteVolume': '726598780.8800', 'openTime': '1694361240000', 'closeTime': '1694447693834', 'firstId': '1261018560', 'lastId': '1261809673', 'count': '790126'}"
1,XRP/USDT:USDT,1694447693834,2023-09-11T15:54:53.834Z,0.501,0.4567,,,,,0.4814,0.496,0.4722,0.4722,,-0.0238,-4.798,0.4841,1509293329.0,726598780.88,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0238', 'priceChangePercent': '-4.798', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4722', 'lastQty': '2117.2', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509293329.0', 'quoteVolume': '726598780.8800', 'openTime': '1694361240000', 'closeTime': '1694447693834', 'firstId': '1261018560', 'lastId': '1261809673', 'count': '790126'}"
2,XRP/USDT:USDT,1694447694641,2023-09-11T15:54:54.641Z,0.501,0.4567,,,,,0.4814,0.496,0.4723,0.4723,,-0.0237,-4.778,0.48415,1509294982.2,726599561.58,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0237', 'priceChangePercent': '-4.778', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4723', 'lastQty': '635.1', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509294982.2', 'quoteVolume': '726599561.5800', 'openTime': '1694361240000', 'closeTime': '1694447694641', 'firstId': '1261018560', 'lastId': '1261809676', 'count': '790129'}"
3,XRP/USDT:USDT,1694447696692,2023-09-11T15:54:56.692Z,0.501,0.4567,,,,,0.4814,0.496,0.4722,0.4722,,-0.0238,-4.798,0.4841,1509301809.3,726602785.99,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0238', 'priceChangePercent': '-4.798', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4722', 'lastQty': '128.6', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509301809.3', 'quoteVolume': '726602785.9900', 'openTime': '1694361240000', 'closeTime': '1694447696692', 'firstId': '1261018560', 'lastId': '1261809683', 'count': '790136'}"
4,XRP/USDT:USDT,1694447698021,2023-09-11T15:54:58.021Z,0.501,0.4567,,,,,0.4814,0.496,0.4723,0.4723,,-0.0237,-4.778,0.48415,1509303221.9,726603453.02,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0237', 'priceChangePercent': '-4.778', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4723', 'lastQty': '0.2', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509303221.9', 'quoteVolume': '726603453.0200', 'openTime': '1694361240000', 'closeTime': '1694447698021', 'firstId': '1261018560', 'lastId': '1261809694', 'count': '790147'}"
5,XRP/USDT:USDT,1694447699012,2023-09-11T15:54:59.012Z,0.501,0.4567,,,,,0.4814,0.496,0.4723,0.4723,,-0.0237,-4.778,0.48415,1509303223.6,726603453.82,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0237', 'priceChangePercent': '-4.778', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4723', 'lastQty': '0.1', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509303223.6', 'quoteVolume': '726603453.8200', 'openTime': '1694361240000', 'closeTime': '1694447699012', 'firstId': '1261018560', 'lastId': '1261809702', 'count': '790155'}"
6,XRP/USDT:USDT,1694447699988,2023-09-11T15:54:59.988Z,0.501,0.4567,,,,,0.4814,0.496,0.4723,0.4723,,-0.0237,-4.778,0.48415,1509303224.0,726603454.01,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0237', 'priceChangePercent': '-4.778', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4723', 'lastQty': '0.1', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509303224.0', 'quoteVolume': '726603454.0100', 'openTime': '1694361240000', 'closeTime': '1694447699988', 'firstId': '1261018560', 'lastId': '1261809706', 'count': '790159'}"
7,XRP/USDT:USDT,1694447699988,2023-09-11T15:54:59.988Z,0.501,0.4567,,,,,0.4814,0.496,0.4723,0.4723,,-0.0237,-4.778,0.48415,1509303224.0,726603454.01,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0237', 'priceChangePercent': '-4.778', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4723', 'lastQty': '0.1', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509303224.0', 'quoteVolume': '726603454.0100', 'openTime': '1694361240000', 'closeTime': '1694447699988', 'firstId': '1261018560', 'lastId': '1261809706', 'count': '790159'}"
8,XRP/USDT:USDT,1694447702039,2023-09-11T15:55:02.039Z,0.501,0.4567,,,,,0.4814,0.496,0.4723,0.4723,,-0.0237,-4.778,0.48415,1509138281.5,726521503.37,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0237', 'priceChangePercent': '-4.778', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4723', 'lastQty': '0.1', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509138281.5', 'quoteVolume': '726521503.3700', 'openTime': '1694361300000', 'closeTime': '1694447702039', 'firstId': '1261018659', 'lastId': '1261809732', 'count': '790086'}"
9,XRP/USDT:USDT,1694447702039,2023-09-11T15:55:02.039Z,0.501,0.4567,,,,,0.4814,0.496,0.4723,0.4723,,-0.0237,-4.778,0.48415,1509138281.5,726521503.37,"{'symbol': 'XRPUSDT', 'priceChange': '-0.0237', 'priceChangePercent': '-4.778', 'weightedAvgPrice': '0.4814', 'lastPrice': '0.4723', 'lastQty': '0.1', 'openPrice': '0.4960', 'highPrice': '0.5010', 'lowPrice': '0.4567', 'volume': '1509138281.5', 'quoteVolume': '726521503.3700', 'openTime': '1694361300000', 'closeTime': '1694447702039', 'firstId': '1261018659', 'lastId': '1261809732', 'count': '790086'}"
