,clssifiers,BA,TN,FP,FN,TP
0,LogisticR_lbfgs,0.5,0.0,1570.0,0.0,58.0
1,LogisticR_liblinear,0.5,0.0,1570.0,0.0,58.0
2,LogisticR_newtonc,0.5579837469800132,940.0,630.0,28.0,30.0
3,LogisticR_newtonch,0.5,0.0,1570.0,0.0,58.0
4,DecisionTree,0.5054251696102248,1549.0,21.0,56.0,2.0
5,NearestC,0.0,0.0,0.0,0.0,0.0
6,LDA_le,0.5,1570.0,0.0,58.0,0.0
7,QDA,0.5,1570.0,0.0,58.0,0.0
8,BernoulliNB,0.5,1570.0,0.0,58.0,0.0
9,GaussianNB,0.0,0.0,0.0,0.0,0.0
10,AdaBoost,0.5,1570.0,0.0,58.0,0.0
11,RandomForest,0.5866791126729629,1495.0,75.0,55.0,3.0
12,KNN,0.5,1570.0,0.0,58.0,0.0
