,clssifiers,BA,TN,FP,FN,TP
0,LogisticR_lbfgs,0.5,0.0,316.0,0.0,336.0
1,LogisticR_liblinear,0.5,0.0,316.0,0.0,336.0
2,LogisticR_newtonc,0.49999999999907113,0.0,316.0,0.0,336.0
3,LogisticR_newtonch,0.5,0.0,316.0,0.0,336.0
4,DecisionTree,0.5347348650366273,195.0,121.0,184.0,152.0
5,NearestC,0.0,0.0,0.0,0.0,0.0
6,LDA_le,0.5106803797468354,303.0,13.0,315.0,21.0
7,QDA,0.49954226508395233,311.0,5.0,330.0,6.0
8,BernoulliNB,0.5438404159182619,243.0,73.0,228.0,108.0
9,GaussianNB,0.0,0.0,0.0,0.0,0.0
10,AdaBoost,0.5049148567635782,304.0,12.0,318.0,18.0
11,RandomForest,0.5183092224231465,302.0,14.0,310.0,26.0
12,KNN,0.5113961723930078,279.0,37.0,289.0,47.0
