,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712173460.2743657,253866687.3953107,12.5,0.0,12.8,ASK
1,1712173470.5281334,253866687.3953107,12.5,-0.0,12.8,ASK
2,1712173500.394487,253866687.3953107,12.5,-0.0,12.8,ASK
3,1712173530.3722632,253866687.3953107,12.5,-0.0,12.8,ASK
4,1712173560.543067,253866687.3953107,12.5,-0.0,12.8,ASK
5,1712173590.543156,253866687.3953107,12.5,-0.0,12.8,ASK
6,1712173620.372198,253866687.3953107,12.5,-0.0,12.8,ASK
7,1712173650.374241,253866687.3953107,12.5,-0.0,12.8,ASK
8,1712173680.5424426,253866687.3953107,12.5,-0.0,12.8,ASK
9,1712173710.534608,253866687.3953107,12.5,-0.0,12.8,ASK
10,1712173740.3634243,253866687.3953107,12.5,-0.0,12.8,ASK
11,1712173770.3631575,253866687.3953107,12.5,-0.0,12.8,ASK
12,1712173800.392028,253866687.3953107,12.5,-0.0,12.8,ASK
13,1712173830.3435428,253866687.3953107,12.5,-0.0,12.8,ASK
14,1712173860.5420406,253866687.3953107,12.5,-0.0,12.8,ASK
15,1712173890.5419157,253866687.3953107,12.5,-0.0,12.8,ASK
16,1712173920.3531277,253866687.3953107,12.5,-0.0,12.8,ASK
17,1712173950.363814,253866687.3953107,12.5,-0.0,12.8,ASK
18,1712173980.5418887,253866687.3953107,12.5,-0.0,12.8,ASK
19,1712174010.5325692,253866687.3953107,12.5,-0.0,12.8,ASK
20,1712174024.2218063,253866910.834498,12.49,-6.732692413157768e-08,12.8,ASK
21,1712174024.2230592,253867391.834498,12.49,-1.449354113257899e-07,12.8,ASK
22,1712174039.661625,253867659.9873107,12.49,-8.080007945589316e-08,12.8,ASK
23,1712174040.3635333,253867659.9873107,12.49,-0.0,12.8,ASK
24,1712174070.3817604,253867659.9873107,12.49,-0.0,12.8,ASK
25,1712174100.531519,253867659.9873107,12.49,-0.0,12.8,ASK
26,1712174130.5316565,253867659.9873107,12.49,-0.0,12.8,ASK
27,1712174160.3940132,253867659.9873107,12.49,-0.0,12.8,ASK
28,1712174190.4023476,253867659.9873107,12.49,-0.0,12.8,ASK
29,1712174220.4041746,253867659.9873107,12.49,-0.0,12.8,ASK
30,1712174250.3923593,253867659.9873107,12.49,-0.0,12.8,ASK
31,1712174280.5337586,253867659.9873107,12.49,-0.0,12.8,ASK
32,1712174310.5525398,253867659.9873107,12.49,-0.0,12.8,ASK
33,1712174339.1529298,253871859.9873107,12.49,-1.2655436578306484e-06,12.8,ASK
34,1712174340.343625,253871859.9873107,12.49,-0.0,12.8,ASK
35,1712174370.3659687,253871859.9873107,12.49,-0.0,12.8,ASK
36,1712174400.4411924,253871859.9873107,12.49,-0.0,12.8,ASK
37,1712174430.363152,253871859.9873107,12.49,-0.0,12.8,ASK
38,1712174444.7730312,253873410.46807992,12.49,-4.687014157293581e-07,12.8,ASK
39,1712174460.5268488,253873410.46807992,12.49,-0.0,12.8,ASK
40,1712174490.534399,253873410.46807992,12.49,-0.0,12.8,ASK
41,1712174520.365122,253873410.46807992,12.49,-0.0,12.8,ASK
42,1712174550.3481286,253873410.46807992,12.49,-0.0,12.8,ASK
43,1712174580.5242894,253873410.46807992,12.49,-0.0,12.8,ASK
44,1712174610.533304,253873410.46807992,12.49,-0.0,12.8,ASK
45,1712174640.3433163,253873410.46807992,12.49,-0.0,12.8,ASK
46,1712174670.3651776,253873410.46807992,12.49,-0.0,12.8,ASK
47,1712174671.423699,253876427.74808,12.5,-9.121010443452412e-07,12.8,ASK
48,1712174700.5332649,253876427.74808,12.5,-0.0,12.8,ASK
49,1712174730.534989,253876427.74808,12.5,-0.0,12.8,ASK
50,1712174760.373362,253876427.74808,12.5,-0.0,12.8,ASK
51,1712174790.3633454,253876427.74808,12.5,-0.0,12.8,ASK
52,1712174820.553524,253876427.74808,12.5,-0.0,12.8,ASK
53,1712174850.543476,253876427.74808,12.5,-0.0,12.8,ASK
54,1712174880.3652928,253876427.74808,12.5,-0.0,12.8,ASK
55,1712174910.353825,253876427.74808,12.5,-0.0,12.8,ASK
56,1712174940.5544205,253876427.74808,12.5,-0.0,12.8,ASK
57,1712174970.5335784,253876427.74808,12.5,-0.0,12.8,ASK
58,1712175000.4148774,253876427.74808,12.5,-0.0,12.8,ASK
59,1712175030.367226,253876427.74808,12.5,-0.0,12.8,ASK
60,1712175060.5356393,253876427.74808,12.5,-0.0,12.8,ASK
61,1712175083.9969716,253879667.74808,12.5,9.794706414275105e-07,12.8,BID
62,1712175090.5353694,253879667.74808,12.5,0.0,12.8,BID
63,1712175120.3645363,253879667.74808,12.5,0.0,12.8,BID
64,1712175134.2535172,253893215.8340369,12.5,-4.095614189912562e-06,12.8,ASK
65,1712175134.333351,253893395.45237145,12.49,-5.4298991146532513e-08,12.8,ASK
66,1712175134.334582,253894018.8396369,12.49,-1.884512497653275e-07,12.8,ASK
67,1712175134.3535504,253894373.7133025,12.49,-1.072790374100432e-07,12.8,ASK
68,1712175150.3637395,253894373.7133025,12.49,-0.0,12.8,ASK
69,1712175180.525451,253894373.7133025,12.49,-0.0,12.8,ASK
70,1712175210.548109,253894373.7133025,12.49,-0.0,12.8,ASK
71,1712175240.3754566,253894373.7133025,12.49,-0.0,12.8,ASK
72,1712175270.376624,253894373.7133025,12.49,-0.0,12.8,ASK
73,1712175287.6241472,253902697.69763952,12.47,-2.516217729845213e-06,12.8,ASK
74,1712175287.626129,253910224.1427503,12.48,-2.2751333812786127e-06,12.8,ASK
75,1712175287.6281378,253990288.1939913,12.48,-2.4202182164088745e-05,12.8,ASK
76,1712175300.4115584,253990288.1939913,12.48,-0.0,12.8,ASK
77,1712175330.3580868,253990288.1939913,12.48,-0.0,12.8,ASK
78,1712175360.553573,253990288.1939913,12.48,-0.0,12.8,ASK
79,1712175390.5472205,253990288.1939913,12.48,-0.0,12.8,ASK
80,1712175420.365269,253990288.1939913,12.48,-0.0,12.8,ASK
81,1712175450.3655643,253990288.1939913,12.48,-0.0,12.8,ASK
82,1712175480.5256605,253990288.1939913,12.48,-0.0,12.8,ASK
83,1712175510.543439,253990288.1939913,12.48,-0.0,12.8,ASK
84,1712175540.3649688,253990288.1939913,12.48,-0.0,12.8,ASK
85,1712175570.383617,253990288.1939913,12.48,-0.0,12.8,ASK
86,1712175600.4067712,253990288.1939913,12.48,-0.0,12.8,ASK
87,1712175630.3351622,253990288.1939913,12.48,-0.0,12.8,ASK
88,1712175660.5440774,253990288.1939913,12.48,-0.0,12.8,ASK
89,1712175690.5434675,253990288.1939913,12.48,-0.0,12.8,ASK
90,1712175720.35456,253990288.1939913,12.48,-0.0,12.8,ASK
91,1712175750.3640842,253990288.1939913,12.48,-0.0,12.8,ASK
92,1712175755.263235,253991894.6196941,12.46,-4.854444692789067e-07,12.8,ASK
93,1712175755.273528,254016609.4947061,12.45,-7.468567866242125e-06,12.8,ASK
94,1712175755.2755947,254046459.3307061,12.46,-9.020297527442802e-06,12.8,ASK
95,1712175755.2775888,254258271.1939913,12.45,-6.400725373078828e-05,12.8,ASK
96,1712175780.5250826,254258271.1939913,12.45,-0.0,12.8,ASK
97,1712175810.5232186,254258271.1939913,12.45,-0.0,12.8,ASK
98,1712175840.37439,254258271.1939913,12.45,-0.0,12.8,ASK
99,1712175843.1033995,254261511.1939913,12.45,-9.781067099093215e-07,12.8,ASK
100,1712175870.385326,254261511.1939913,12.45,-0.0,12.8,ASK
101,1712175900.535161,254261511.1939913,12.45,-0.0,12.8,ASK
102,1712175930.5534852,254261511.1939913,12.45,-0.0,12.8,ASK
103,1712175937.8231783,254340259.6315736,12.45,-2.379051140102279e-05,12.8,ASK
104,1712175937.825118,254526814.1939913,12.45,-5.635957461977063e-05,12.8,ASK
105,1712175960.353357,254526814.1939913,12.45,-0.0,12.8,ASK
106,1712175990.375699,254526814.1939913,12.45,-0.0,12.8,ASK
107,1712176020.5349543,254526814.1939913,12.45,-0.0,12.8,ASK
108,1712176042.003188,254527294.57829872,12.49,1.449831365852584e-07,12.8,BID
109,1712176050.533143,254527294.57829872,12.49,0.0,12.8,BID
110,1712176080.3679929,254527294.57829872,12.49,0.0,12.8,BID
111,1712176110.363134,254527294.57829872,12.49,0.0,12.8,BID
112,1712176116.683006,254796617.57829872,12.45,-8.12833016891791e-05,12.8,ASK
113,1712176138.8731165,254797424.2496848,12.45,-2.4345827738372724e-07,12.8,ASK
114,1712176140.54449,254797424.2496848,12.45,-0.0,12.8,ASK
115,1712176145.5033472,254797904.63399225,12.49,1.4483586446902964e-07,12.8,BID
116,1712176170.5438664,254797904.63399225,12.49,0.0,12.8,BID
117,1712176200.6360936,254797904.63399225,12.49,0.0,12.8,BID
118,1712176229.795056,254799348.8462109,12.45,-4.358772360668532e-07,12.8,ASK
119,1712176230.543088,254799348.8462109,12.45,-0.0,12.8,ASK
120,1712176260.376214,254799348.8462109,12.45,-0.0,12.8,ASK
121,1712176290.37861,254799348.8462109,12.45,-0.0,12.8,ASK
122,1712176295.756446,255068672.8462109,12.45,-8.128415074023577e-05,12.8,ASK
123,1712176320.5571015,255068672.8462109,12.45,-0.0,12.8,ASK
124,1712176350.5477831,255068672.8462109,12.45,-0.0,12.8,ASK
125,1712176380.3983257,255068672.8462109,12.45,-0.0,12.8,ASK
126,1712176410.3788342,255068672.8462109,12.45,-0.0,12.8,ASK
127,1712176440.5487304,255068672.8462109,12.45,-0.0,12.8,ASK
128,1712176470.5395188,255068672.8462109,12.45,-0.0,12.8,ASK
129,1712176486.4296849,255069748.1993301,12.45,-3.242221171193426e-07,12.8,ASK
130,1712176486.43175,255070262.6713301,12.46,-1.551148158289354e-07,12.8,ASK
131,1712176500.371906,255070262.6713301,12.46,-0.0,12.8,ASK
132,1712176530.3825574,255070262.6713301,12.46,-0.0,12.8,ASK
133,1712176533.3900647,255071065.8841816,12.47,2.422824216188944e-07,12.8,BID
134,1712176533.5613065,255110358.9022844,12.47,-1.1852409435465982e-05,12.8,ASK
135,1712176560.5428555,255110358.9022844,12.47,-0.0,12.8,ASK
136,1712176587.441443,255117438.2520816,12.47,2.1351044871765754e-06,12.8,BID
137,1712176587.4436972,255149040.1620816,12.47,9.53101369163877e-06,12.8,BID
