,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712173460.2705512,30246992.78631899,187.6,0.0,194.2,ASK
1,1712173470.4923544,30246992.78631899,187.6,-0.0,194.2,ASK
2,1712173500.372115,30246992.78631899,187.6,-0.0,194.2,ASK
3,1712173530.3430386,30246992.78631899,187.6,-0.0,194.2,ASK
4,1712173560.502158,30246992.78631899,187.6,-0.0,194.2,ASK
5,1712173563.8225856,30251975.32170374,187.6,8.013517496306402e-07,194.2,BID
6,1712173590.5021613,30251975.32170374,187.6,0.0,194.2,BID
7,1712173599.8321996,30252001.94577189,187.8,4.2813618022060865e-09,194.2,BID
8,1712173620.3420925,30252001.94577189,187.8,0.0,194.2,BID
9,1712173650.3521657,30252001.94577189,187.8,0.0,194.2,BID
10,1712173664.4522452,30252534.7108225,187.7,8.567278637544912e-08,194.2,BID
11,1712173680.5023525,30252534.7108225,187.7,0.0,194.2,BID
12,1712173689.6054838,30255721.08148669,187.7,5.123850807566364e-07,194.2,BID
13,1712173710.502237,30255721.08148669,187.7,0.0,194.2,BID
14,1712173740.3424213,30255721.08148669,187.7,0.0,194.2,BID
15,1712173742.1421375,30265321.08148669,187.7,1.5435817943939378e-06,194.2,BID
16,1712173742.262085,30285921.08148669,187.7,3.3122692671369915e-06,194.2,BID
17,1712173742.2633462,30297044.02353469,187.7,1.7884552963946887e-06,194.2,BID
18,1712173742.341849,30302990.9255416,187.7,9.562010073864471e-07,194.2,BID
19,1712173760.722234,30305027.9371626,187.7,3.2753063053622266e-07,194.2,BID
20,1712173760.7425025,30305027.93716293,187.7,5.271099426576656e-17,194.2,BID
21,1712173760.7457616,30305874.93716293,187.9,1.3618893540121513e-07,194.2,BID
22,1712173770.3419986,30305874.93716293,187.9,0.0,194.2,BID
23,1712173800.3618357,30305874.93716293,187.9,0.0,194.2,BID
24,1712173830.3227122,30305874.93716293,187.9,0.0,194.2,BID
25,1712173860.5019405,30305874.93716293,187.9,0.0,194.2,BID
26,1712173863.8023212,30305880.34152866,187.6,-8.676753910921301e-10,194.2,ASK
27,1712173863.803723,30305912.78364481,187.7,-5.208608596559492e-09,194.2,ASK
28,1712173890.501995,30305912.78364481,187.7,-0.0,194.2,ASK
29,1712173920.3232446,30305912.78364481,187.7,-0.0,194.2,ASK
30,1712173950.3419623,30305912.78364481,187.7,-0.0,194.2,ASK
31,1712173980.502798,30305912.78364481,187.7,-0.0,194.2,ASK
32,1712174010.491737,30305912.78364481,187.7,-0.0,194.2,ASK
33,1712174040.3314989,30305912.78364481,187.7,-0.0,194.2,ASK
34,1712174068.431584,30307949.79526581,187.7,-3.270435285974226e-07,194.2,ASK
35,1712174070.3516357,30307949.79526581,187.7,-0.0,194.2,ASK
36,1712174085.0517435,30308276.89626581,187.7,-5.2513052795347776e-08,194.2,ASK
37,1712174085.4515448,30308575.89626581,187.7,-4.80016960688564e-08,194.2,ASK
38,1712174100.4915645,30308575.89626581,187.7,-0.0,194.2,ASK
39,1712174130.4917183,30308575.89626581,187.7,-0.0,194.2,ASK
40,1712174160.37262,30308575.89626581,187.7,-0.0,194.2,ASK
41,1712174190.3730595,30308575.89626581,187.7,-0.0,194.2,ASK
42,1712174220.3735714,30308575.89626581,187.7,-0.0,194.2,ASK
43,1712174250.362236,30308575.89626581,187.7,-0.0,194.2,ASK
44,1712174280.4924967,30308575.89626581,187.7,-0.0,194.2,ASK
45,1712174310.5024295,30308575.89626581,187.7,-0.0,194.2,ASK
46,1712174315.8327188,30341040.09337281,188.0,5.212834530632654e-06,194.2,BID
47,1712174340.3139791,30341040.09337281,188.0,0.0,194.2,BID
48,1712174370.342778,30341040.09337281,188.0,0.0,194.2,BID
