,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712173460.2514226,5301085.93430051,8878.0,0.0,9495.0,BID
1,1712173470.32574,5301085.93430051,8878.0,0.0,9495.0,BID
2,1712173500.2548814,5301085.93430051,8878.0,0.0,9495.0,BID
3,1712173515.5427668,5301096.89621406,8881.0,-2.2129687717439278e-10,9495.0,ASK
4,1712173515.5442076,5301137.12413509,8881.0,-8.12113073068268e-10,9495.0,ASK
5,1712173515.5456588,5301159.65173139,8878.0,-4.5478252395380567e-10,9495.0,ASK
6,1712173515.5471275,5301294.80208615,8879.0,-2.7283878241633553e-09,9495.0,ASK
7,1712173515.5485404,5301306.0658843,8878.0,-2.2739126196750216e-10,9495.0,ASK
8,1712173515.5499558,5301378.03855169,8881.0,-1.4529695443896054e-09,9495.0,ASK
9,1712173515.6423326,5301766.07587244,8878.0,7.833618366221908e-09,9495.0,BID
10,1712173515.643887,5302392.38933179,8878.0,1.2643888501996978e-08,9495.0,BID
11,1712173515.6639023,5302705.7781545,8878.0,6.326629697903551e-09,9495.0,BID
12,1712173518.3724558,5302709.1001545,8899.0,6.706385913397469e-11,9495.0,BID
13,1712173530.2143333,5302709.1001545,8899.0,0.0,9495.0,BID
14,1712173555.6422217,5302721.20741121,8883.0,-2.4434774412832676e-10,9495.0,ASK
15,1712173560.3346214,5302721.20741121,8883.0,-0.0,9495.0,ASK
16,1712173567.7824864,5302725.70719036,8883.0,-9.08140071855723e-11,9495.0,ASK
17,1712173567.784051,5302729.08442777,8883.0,-6.815900341519395e-11,9495.0,ASK
18,1712173590.333568,5302729.08442777,8883.0,-0.0,9495.0,ASK
19,1712173592.4826713,5302757.06667194,8882.0,-5.64733523551857e-10,9495.0,ASK
20,1712173607.9825382,5302761.00578229,8876.0,-7.94985439552974e-11,9495.0,ASK
21,1712173607.9841206,5302761.57016214,8877.0,-1.1390230857993156e-11,9495.0,ASK
22,1712173609.8720906,5302781.10168657,8882.0,3.9418234452386494e-10,9495.0,BID
23,1712173613.6027455,5302795.10368657,8882.0,2.8258629826489976e-10,9495.0,BID
24,1712173618.0126717,5302795.7792101,8882.0,1.3633316216354838e-11,9495.0,BID
25,1712173620.223593,5302795.7792101,8882.0,0.0,9495.0,BID
26,1712173626.5023377,5302813.35667013,8882.0,3.5474146420897247e-10,9495.0,BID
27,1712173628.6721182,5302826.89185687,8882.0,2.7316187629729976e-10,9495.0,BID
28,1712173629.1921089,5302840.45416898,8882.0,2.7370930998219277e-10,9495.0,BID
29,1712173641.172215,5302868.08416898,8882.0,5.57617917450725e-10,9495.0,BID
30,1712173641.2948658,5302884.25660781,8882.0,3.2638587262384555e-10,9495.0,BID
31,1712173641.632137,5302898.42534232,8882.0,2.8594789108395633e-10,9495.0,BID
32,1712173641.9396193,5302916.21653204,8882.0,3.590548737109757e-10,9495.0,BID
33,1712173642.0322464,5302935.4669813,8882.0,3.8850508238381054e-10,9495.0,BID
34,1712173642.8024552,5302962.9669813,8882.0,5.54994307996995e-10,9495.0,BID
35,1712173643.4023857,5302971.8509813,8882.0,1.7929343389201032e-10,9495.0,BID
36,1712173647.772115,5302993.8889813,8882.0,4.4476234763612336e-10,9495.0,BID
37,1712173650.2320614,5302993.8889813,8882.0,0.0,9495.0,BID
38,1712173658.2323434,5302993.88987366,8882.0,1.8008618276862533e-14,9495.0,BID
39,1712173658.2340505,5303009.69003943,8892.0,3.1886147911654567e-10,9495.0,BID
40,1712173680.3249075,5303009.69003943,8892.0,0.0,9495.0,BID
41,1712173707.7219417,5303024.69348915,8879.0,-3.0278217801511235e-10,9495.0,ASK
42,1712173710.3253376,5303024.69348915,8879.0,-0.0,9495.0,ASK
43,1712173721.2121463,5303025.36825298,8892.0,1.3617262461473369e-11,9495.0,BID
44,1712173723.5319805,5303352.82796273,8892.0,6.608393364657021e-09,9495.0,BID
45,1712173740.2246628,5303352.82796273,8892.0,0.0,9495.0,BID
46,1712173770.222829,5303352.82796273,8892.0,0.0,9495.0,BID
47,1712173780.0322363,5303369.1571986,8892.0,3.2951736373748645e-10,9495.0,BID
48,1712173780.0575268,5303425.1600325,8892.0,1.1301144974630475e-09,9495.0,BID
49,1712173780.291852,5303453.1440325,8892.0,5.64705781740376e-10,9495.0,BID
50,1712173780.412441,5303469.7503189,8892.0,3.3510813119131967e-10,9495.0,BID
51,1712173780.445855,5303501.03603107,8892.0,6.313329955828403e-10,9495.0,BID
52,1712173781.781881,5303511.03503107,8892.0,2.0177576870693542e-10,9495.0,BID
53,1712173784.1617358,5303520.76703107,8892.0,1.9638781688734028e-10,9495.0,BID
54,1712173785.632012,5303560.94043132,8892.0,8.1068294001412e-10,9495.0,BID
55,1712173786.5756416,5303570.93943132,8892.0,2.0177576870693542e-10,9495.0,BID
56,1712173790.0620673,5303680.96243132,8892.0,2.220219562037813e-09,9495.0,BID
57,1712173790.2618954,5303680.96243631,8892.0,1.0069671003321042e-16,9495.0,BID
58,1712173800.2421775,5303680.96243631,8892.0,0.0,9495.0,BID
59,1712173802.1843867,5303718.45481686,8892.0,-7.56613821160181e-10,9495.0,ASK
60,1712173802.2317588,5303797.53075577,8892.0,-1.5957895290407434e-09,9495.0,ASK
61,1712173802.651832,5303809.93999475,8892.0,-2.5042426178310377e-10,9495.0,ASK
62,1712173805.281953,5303825.89548503,8892.0,-3.2198927600902543e-10,9495.0,ASK
63,1712173805.4418905,5303829.32864407,8892.0,-6.928275937690975e-11,9495.0,ASK
64,1712173830.2038157,5303829.32864407,8892.0,-0.0,9495.0,ASK
65,1712173850.0318007,5303894.70042495,8881.0,-1.319198071850311e-09,9495.0,ASK
66,1712173852.3820355,5303917.18243933,8896.0,4.5368551418942684e-10,9495.0,BID
67,1712173857.721854,5303963.59531067,8888.0,-9.366085726459138e-10,9495.0,ASK
68,1712173860.3231874,5303963.59531067,8888.0,-0.0,9495.0,ASK
69,1712173870.1419332,5304303.28950429,8881.0,-6.854840579171218e-09,9495.0,ASK
70,1712173878.5318718,5304303.85199725,8889.0,1.1350796219192064e-11,9495.0,BID
71,1712173889.7320406,5304304.95331883,8881.0,-2.222405916362826e-11,9495.0,ASK
72,1712173890.3318715,5304304.95331883,8881.0,-0.0,9495.0,ASK
73,1712173900.3524926,5304306.07944495,8880.0,-2.272321093566279e-11,9495.0,ASK
74,1712173900.3545878,5304418.63577939,8880.0,-2.2711855114456023e-09,9495.0,ASK
75,1712173900.3562765,5304424.25881132,8878.0,-1.1346272702945146e-10,9495.0,ASK
76,1712173900.3579645,5304454.8731034,8876.0,-6.177416576370807e-10,9495.0,ASK
77,1712173900.3594074,5304466.13817042,8877.0,-2.2730890384478176e-10,9495.0,ASK
78,1712173900.3623931,5304477.41212757,8870.0,-2.274882907598008e-10,9495.0,ASK
79,1712173900.3637278,5304487.57079923,8881.0,-2.0498382435125983e-10,9495.0,ASK
80,1712173900.3650177,5304588.71966141,8875.0,-2.0410031245842434e-09,9495.0,ASK
81,1712173900.3663626,5304589.28429569,8873.0,-1.139330987473857e-11,9495.0,ASK
82,1712173900.3672507,5304732.55053999,8876.0,-2.8908565648710475e-09,9495.0,ASK
83,1712173900.36801,5304737.55053999,8873.0,-1.0089105703167035e-10,9495.0,ASK
84,1712173900.368779,5305037.07018643,8870.0,-6.0437707462107286e-09,9495.0,ASK
85,1712173920.2148244,5305037.07018643,8870.0,-0.0,9495.0,ASK
86,1712173950.223402,5305037.07018643,8870.0,-0.0,9495.0,ASK
87,1712173980.333181,5305037.07018643,8870.0,-0.0,9495.0,ASK
88,1712173981.222089,5305066.86985282,8877.0,-6.01225151199915e-10,9495.0,ASK
