,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712173460.3021517,42459418.93557164,435.7,0.0,459.9,BID
1,1712173470.8422723,42459418.93557164,435.7,0.0,459.9,BID
2,1712173470.854,42459464.80713127,436.0,2.15271285182695e-09,459.9,BID
3,1712173500.622357,42459464.80713127,436.0,0.0,459.9,BID
4,1712173511.112319,42460220.48007164,436.0,3.5477828324770855e-08,459.9,BID
5,1712173519.9121292,42460495.39416098,436.5,1.290684679107182e-08,459.9,BID
6,1712173524.5323,42460615.49656943,436.3,5.638646563698073e-09,459.9,BID
7,1712173524.632232,42460632.91421598,436.3,-8.17735082328579e-10,459.9,ASK
8,1712173530.098749,42462806.38978918,436.3,1.0204175528087829e-07,459.9,BID
9,1712173530.100618,42462926.49219763,436.3,5.638646563698073e-09,459.9,BID
10,1712173530.582404,42462926.49219763,436.3,0.0,459.9,BID
11,1712173533.6525788,42462939.09531403,436.4,5.91657417847179e-10,459.9,BID
12,1712173534.1521769,42463019.29696389,436.4,3.765092660808153e-09,459.9,BID
13,1712173536.362349,42463248.44453492,436.4,1.0757407602309008e-08,459.9,BID
14,1712173542.423339,42463415.72226177,436.4,7.852907549755529e-09,459.9,BID
15,1712173546.0821135,42463461.54127666,436.5,2.1509886267598315e-09,459.9,BID
16,1712173547.072066,42463527.35341869,436.5,3.0895725135444593e-09,459.9,BID
17,1712173548.4621737,42463550.26292613,436.5,1.075494313030146e-09,459.9,BID
18,1712173551.312167,42463618.99144846,436.5,3.226482939789977e-09,459.9,BID
19,1712173560.8521693,42463618.99144846,436.5,0.0,459.9,BID
20,1712173566.3423638,42468517.47494846,436.0,2.2995764595251802e-07,459.9,BID
21,1712173573.8324573,42479793.85418204,436.2,5.29365797276793e-07,459.9,BID
22,1712173590.8566587,42479793.85418204,436.2,0.0,459.9,BID
23,1712173594.4824457,42479931.05976173,437.3,6.438936999017593e-09,459.9,BID
24,1712173617.552219,42513025.01303703,436.6,1.5530700768041465e-06,459.9,BID
25,1712173617.5619695,42516925.01303703,436.5,1.8302356473249608e-07,459.9,BID
26,1712173620.5922976,42516925.01303703,436.5,0.0,459.9,BID
27,1712173623.3521292,42516947.78689264,437.4,1.0679445169515483e-09,459.9,BID
28,1712173641.9328554,42517787.68689264,435.9,-3.9385803413424446e-08,459.9,ASK
29,1712173642.822013,42518348.98689264,435.9,-2.6321289981760778e-08,459.9,ASK
30,1712173650.592051,42518348.98689264,435.9,-0.0,459.9,ASK
31,1712173679.5520716,42518361.58135107,436.7,5.905803369997379e-10,459.9,BID
32,1712173680.842335,42518361.58135107,436.7,0.0,459.9,BID
33,1712173693.9449282,42551007.95309318,437.4,1.5308558409541351e-06,459.9,BID
34,1712173693.9457035,42555267.95309318,437.3,1.9976020410419202e-07,459.9,BID
35,1712173702.9923933,42556884.42806969,437.3,-7.579985240303254e-08,459.9,ASK
36,1712173703.0325158,42570350.45757613,437.3,-6.314499536808713e-07,459.9,ASK
37,1712173703.03527,42575030.45757613,437.2,2.194548721144645e-07,459.9,BID
38,1712173710.8519535,42575030.45757613,437.2,0.0,459.9,BID
39,1712173711.021996,42579670.45757613,436.3,-2.173266173436483e-07,459.9,ASK
40,1712173740.5722826,42579670.45757613,436.3,-0.0,459.9,ASK
41,1712173745.7821894,42579683.04626919,436.9,5.895686834312158e-10,459.9,BID
42,1712173764.2220936,42581885.05757613,436.9,1.0312721908017804e-07,459.9,BID
43,1712173770.6022627,42581885.05757613,436.9,0.0,459.9,BID
44,1712173786.8022,42583252.05757613,436.9,-6.401807302725659e-08,459.9,ASK
45,1712173790.0919528,42583252.25907494,436.9,-9.436405109652805e-12,459.9,ASK
46,1712173790.8618414,42585489.38857613,436.5,-1.0476716882105001e-07,459.9,ASK
47,1712173791.3419256,42586635.58857613,436.5,-5.367777271692192e-08,459.9,ASK
48,1712173792.102388,42587145.42171642,436.4,2.387603160708288e-08,459.9,BID
49,1712173792.104351,42588923.87957613,436.4,8.328708495889112e-08,459.9,BID
50,1712173793.6219685,42591212.16057613,436.4,-1.071626482550203e-07,459.9,ASK
51,1712173796.602011,42593501.22757613,436.1,-1.0719945747651057e-07,459.9,ASK
52,1712173798.9022198,42593799.93357613,436.1,-1.3988721669125794e-08,459.9,ASK
53,1712173798.9037974,42595790.86657613,436.1,-9.323752317942076e-08,459.9,ASK
54,1712173799.4218664,42595803.44087882,437.4,5.888680528453643e-10,459.9,BID
55,1712173800.604335,42595803.44087882,437.4,0.0,459.9,BID
56,1712173801.292129,42596853.62664676,436.1,-4.9178265007890006e-08,459.9,ASK
