,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712173460.310997,7710343.68531165,1537.0,0.0,1584.0,ASK
1,1712173470.9421194,7710343.68531165,1537.0,-0.0,1584.0,ASK
2,1712173500.6922014,7710343.68531165,1537.0,-0.0,1584.0,ASK
3,1712173530.652387,7710343.68531165,1537.0,-0.0,1584.0,ASK
4,1712173560.9619384,7710343.68531165,1537.0,-0.0,1584.0,ASK
5,1712173590.9520392,7710343.68531165,1537.0,-0.0,1584.0,ASK
6,1712173606.76236,7710350.16619304,1543.0,5.03609072868214e-10,1584.0,BID
7,1712173620.6635191,7710350.16619304,1543.0,0.0,1584.0,BID
8,1712173650.6620395,7710350.16619304,1543.0,0.0,1584.0,BID
9,1712173680.9420257,7710350.16619304,1543.0,0.0,1584.0,BID
10,1712173693.5222871,7710356.19341274,1543.0,4.683560743544683e-10,1584.0,BID
11,1712173710.9518728,7710356.19341274,1543.0,0.0,1584.0,BID
12,1712173740.6412132,7710356.19341274,1543.0,0.0,1584.0,BID
13,1712173770.6723506,7710356.19341274,1543.0,0.0,1584.0,BID
14,1712173800.6719007,7710356.19341274,1543.0,0.0,1584.0,BID
15,1712173830.603244,7710356.19341274,1543.0,0.0,1584.0,BID
16,1712173860.9728549,7710356.19341274,1543.0,0.0,1584.0,BID
17,1712173879.7221632,7710431.66894277,1542.0,5.872072457307874e-09,1584.0,BID
18,1712173880.2656157,7710629.79801004,1542.0,1.5414641519485244e-08,1584.0,BID
19,1712173890.951957,7710629.79801004,1542.0,0.0,1584.0,BID
20,1712173920.6318238,7710629.79801004,1542.0,0.0,1584.0,BID
21,1712173950.642688,7710629.79801004,1542.0,0.0,1584.0,BID
22,1712173980.9417098,7710629.79801004,1542.0,0.0,1584.0,BID
23,1712174010.9614277,7710629.79801004,1542.0,0.0,1584.0,BID
24,1712174040.6334825,7710629.79801004,1542.0,0.0,1584.0,BID
25,1712174067.6818964,7710634.79801004,1542.0,-3.889922810555155e-10,1584.0,ASK
26,1712174067.6832216,7710733.78353673,1542.0,-7.700921163745137e-09,1584.0,ASK
27,1712174070.6615355,7710733.78353673,1542.0,-0.0,1584.0,ASK
28,1712174100.953338,7710733.78353673,1542.0,-0.0,1584.0,ASK
29,1712174130.9417436,7710733.78353673,1542.0,-0.0,1584.0,ASK
30,1712174160.6974316,7710733.78353673,1542.0,-0.0,1584.0,ASK
31,1712174190.7021875,7710733.78353673,1542.0,-0.0,1584.0,ASK
32,1712174205.932278,7710737.18636605,1545.0,2.653214221146178e-10,1584.0,BID
33,1712174220.6938877,7710737.18636605,1545.0,0.0,1584.0,BID
34,1712174250.6841931,7710737.18636605,1545.0,0.0,1584.0,BID
35,1712174260.4825125,7710753.89621061,1544.0,1.3028798945705419e-09,1584.0,BID
36,1712174280.9421563,7710753.89621061,1544.0,0.0,1584.0,BID
37,1712174308.8826685,7711077.52080608,1545.0,2.523321680857242e-08,1584.0,BID
38,1712174308.8840168,7711532.31291704,1545.0,3.546043193046823e-08,1584.0,BID
39,1712174310.962384,7711532.31291704,1545.0,0.0,1584.0,BID
40,1712174340.608079,7711532.31291704,1545.0,0.0,1584.0,BID
41,1712174370.644541,7711532.31291704,1545.0,0.0,1584.0,BID
42,1712174400.722535,7711532.31291704,1545.0,0.0,1584.0,BID
43,1712174430.6328592,7711532.31291704,1545.0,0.0,1584.0,BID
44,1712174460.9351742,7711532.31291704,1545.0,0.0,1584.0,BID
