,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712173460.271327,736148850.3274279,14.74,0.0,15.5,ASK
1,1712173470.502487,736148850.3274279,14.74,-0.0,15.5,ASK
2,1712173500.3830264,736148850.3274279,14.74,-0.0,15.5,ASK
3,1712173530.3522425,736148850.3274279,14.74,-0.0,15.5,ASK
4,1712173560.522201,736148850.3274279,14.74,-0.0,15.5,ASK
5,1712173590.5222466,736148850.3274279,14.74,-0.0,15.5,ASK
6,1712173620.352996,736148850.3274279,14.74,-0.0,15.5,ASK
7,1712173650.3622108,736148850.3274279,14.74,-0.0,15.5,ASK
8,1712173670.462062,736149358.1134807,14.77,-4.426999584865876e-08,15.5,ASK
9,1712173680.5122209,736149358.1134807,14.77,-0.0,15.5,ASK
10,1712173710.5120437,736149358.1134807,14.77,-0.0,15.5,ASK
11,1712173740.3439517,736149358.1134807,14.77,-0.0,15.5,ASK
12,1712173770.352621,736149358.1134807,14.77,-0.0,15.5,ASK
13,1712173800.3742516,736149358.1134807,14.77,-0.0,15.5,ASK
14,1712173805.371837,736179458.1134807,14.8,-2.624258816677789e-06,15.5,ASK
15,1712173805.6118672,736203538.1134807,14.8,-2.099407053342231e-06,15.5,ASK
16,1712173830.3239756,736203538.1134807,14.8,-0.0,15.5,ASK
17,1712173860.5220444,736203538.1134807,14.8,-0.0,15.5,ASK
18,1712173890.5119455,736203538.1134807,14.8,-0.0,15.5,ASK
19,1712173920.3319175,736203538.1134807,14.8,-0.0,15.5,ASK
20,1712173950.3433173,736203538.1134807,14.8,-0.0,15.5,ASK
21,1712173961.5871031,736272495.1134807,14.8,-6.011573590542473e-06,15.5,ASK
22,1712173980.511696,736272495.1134807,14.8,-0.0,15.5,ASK
23,1712174010.5120437,736272495.1134807,14.8,-0.0,15.5,ASK
24,1712174040.3415575,736272495.1134807,14.8,-0.0,15.5,ASK
25,1712174070.367892,736272495.1134807,14.8,-0.0,15.5,ASK
