,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712173460.227707,57172534.94469443,64.91,0.0,66.8,ASK
1,1712173470.1439662,57172534.94469443,64.91,-0.0,66.8,ASK
2,1712173500.1145108,57172534.94469443,64.91,-0.0,66.8,ASK
3,1712173517.8331687,57172557.62007834,64.91,-5.3905749716143025e-09,66.8,ASK
4,1712173517.8343773,57176079.09247097,64.96,-8.371527916711539e-07,66.8,ASK
5,1712173517.835551,57178779.09247097,64.93,-6.418657554280889e-07,66.8,ASK
6,1712173517.8366876,57180237.91804215,64.91,-3.468037693657981e-07,66.8,ASK
7,1712173530.0997117,57180237.91804215,64.91,-0.0,66.8,ASK
8,1712173560.1567974,57180237.91804215,64.91,-0.0,66.8,ASK
9,1712173590.1536665,57180237.91804215,64.91,-0.0,66.8,ASK
10,1712173620.092383,57180237.91804215,64.91,-0.0,66.8,ASK
11,1712173650.102977,57180237.91804215,64.91,-0.0,66.8,ASK
12,1712173680.1519983,57180237.91804215,64.91,-0.0,66.8,ASK
13,1712173710.1484735,57180237.91804215,64.91,-0.0,66.8,ASK
14,1712173740.095215,57180237.91804215,64.91,-0.0,66.8,ASK
15,1712173770.0870814,57180237.91804215,64.91,-0.0,66.8,ASK
16,1712173800.116985,57180237.91804215,64.91,-0.0,66.8,ASK
17,1712173830.0859962,57180237.91804215,64.91,-0.0,66.8,ASK
18,1712173847.0120635,57180385.31555481,65.13,3.5121701153105774e-08,66.8,BID
19,1712173860.1493015,57180385.31555481,65.13,0.0,66.8,BID
20,1712173890.1447914,57180385.31555481,65.13,0.0,66.8,BID
21,1712173920.0929716,57180385.31555481,65.13,0.0,66.8,BID
22,1712173950.0917704,57180385.31555481,65.13,0.0,66.8,BID
23,1712173980.1519425,57180385.31555481,65.13,0.0,66.8,BID
24,1712174010.141538,57180385.31555481,65.13,0.0,66.8,BID
25,1712174040.094695,57180385.31555481,65.13,0.0,66.8,BID
26,1712174070.095971,57180385.31555481,65.13,0.0,66.8,BID
27,1712174100.1414497,57180385.31555481,65.13,0.0,66.8,BID
28,1712174130.1438265,57180385.31555481,65.13,0.0,66.8,BID
29,1712174160.1191535,57180385.31555481,65.13,0.0,66.8,BID
30,1712174190.102484,57180385.31555481,65.13,0.0,66.8,BID
31,1712174220.1322813,57180385.31555481,65.13,0.0,66.8,BID
32,1712174250.104004,57180385.31555481,65.13,0.0,66.8,BID
