,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712173460.2437706,47329057.1082706,944.8,0.0,979.5,BID
1,1712173470.2531283,47329057.1082706,944.8,0.0,979.5,BID
2,1712173500.2046375,47329057.1082706,944.8,0.0,979.5,BID
3,1712173501.082305,47329092.90678111,944.8,7.39553787627222e-10,979.5,BID
4,1712173528.3923783,47329347.59081975,943.8,-5.261463193942684e-09,979.5,ASK
5,1712173530.173573,47329347.59081975,943.8,-0.0,979.5,ASK
6,1712173560.272406,47329347.59081975,943.8,-0.0,979.5,ASK
7,1712173575.8621747,47329352.99450697,943.6,-1.11632988479669e-10,979.5,ASK
8,1712173576.0021908,47329373.7502195,943.6,4.2878540617785006e-10,979.5,BID
9,1712173590.2641592,47329373.7502195,943.6,0.0,979.5,BID
10,1712173620.1750004,47329373.7502195,943.6,0.0,979.5,BID
11,1712173630.272749,47329521.37719007,943.8,-3.049775244379007e-09,979.5,ASK
12,1712173630.2743275,47331134.02902133,943.7,-3.3315224270344206e-08,979.5,ASK
13,1712173630.275929,47331247.43385737,943.8,-2.342791836805599e-09,979.5,ASK
14,1712173630.277447,47332860.08568863,943.6,-3.3315224270344206e-08,979.5,ASK
15,1712173630.5520484,47333646.17696323,943.6,1.62395915861816e-08,979.5,BID
16,1712173630.6321814,47334656.86574485,943.6,2.0879474896211373e-08,979.5,BID
17,1712173640.5022726,47334662.16092047,945.2,1.0939122747525587e-10,979.5,BID
18,1712173650.1844535,47334662.16092047,945.2,0.0,979.5,BID
19,1712173655.062847,47334767.95863524,943.5,-2.18541360894647e-09,979.5,ASK
20,1712173680.2642217,47334767.95863524,943.5,-0.0,979.5,ASK
21,1712173693.8527193,47334857.503352,943.4,-1.8496792632905383e-09,979.5,ASK
22,1712173693.9921002,47340625.12872618,943.4,1.191388776355482e-07,979.5,BID
23,1712173710.262041,47340625.12872618,943.4,0.0,979.5,BID
24,1712173735.8522513,47341250.52622458,943.4,1.2917040836300628e-08,979.5,BID
25,1712173736.0321186,47347017.34936258,943.4,1.1910871111421829e-07,979.5,BID
26,1712173736.042187,47348244.03088758,943.4,2.5336038906338824e-08,979.5,BID
27,1712173736.043812,47372425.00152668,943.4,4.994368957383694e-07,979.5,BID
28,1712173740.1748085,47372425.00152668,943.4,0.0,979.5,BID
29,1712173770.1721146,47372425.00152668,943.4,0.0,979.5,BID
30,1712173788.1819365,47372445.68404994,943.8,-4.2691498423557536e-10,979.5,ASK
31,1712173800.194863,47372445.68404994,943.8,-0.0,979.5,ASK
32,1712173817.6425622,47372472.54813432,943.8,-5.547344148210779e-10,979.5,ASK
33,1712173817.6438437,47372608.69288274,943.8,-2.811343810684288e-09,979.5,ASK
34,1712173823.102249,47372613.98668898,944.5,1.0931533959591546e-10,979.5,BID
35,1712173826.9923625,47372872.86498713,943.3,-5.345750825273382e-09,979.5,ASK
36,1712173826.994115,47372896.89951398,943.8,-4.963049922985283e-10,979.5,ASK
37,1712173830.1653037,47372896.89951398,943.8,-0.0,979.5,ASK
38,1712173860.261577,47372896.89951398,943.8,-0.0,979.5,ASK
39,1712173875.1220362,47372896.89951546,943.3,-3.04624308354833e-17,979.5,ASK
40,1712173890.2655008,47372896.89951546,943.3,-0.0,979.5,ASK
41,1712173890.5922325,47373159.67480861,943.1,-5.4261747743142945e-09,979.5,ASK
42,1712173898.8919425,47373371.74139751,943.1,-4.379066088670208e-09,979.5,ASK
43,1712173898.8933969,47373739.13257661,943.1,-7.586439061473994e-09,979.5,ASK
44,1712173901.462025,47374039.13257661,943.0,-6.194845842569079e-09,979.5,ASK
45,1712173901.463496,47376032.57518919,943.0,-4.116356560315724e-08,979.5,ASK
46,1712173901.464912,47376032.57518921,943.1,-4.615519823557942e-19,979.5,ASK
47,1712173902.8117604,47378326.01780181,943.0,-4.7358411446034026e-08,979.5,ASK
48,1712173903.9116895,47380624.04729961,943.0,-4.7453128268538094e-08,979.5,ASK
49,1712173912.703657,47380775.11553749,943.6,3.119481484550442e-09,979.5,BID
50,1712173914.2118914,47389269.05500289,943.0,-1.753954852809622e-07,979.5,ASK
51,1712173918.7318013,47390902.46254668,943.0,-3.3729026439476234e-08,979.5,ASK
52,1712173920.1672025,47390902.46254668,943.0,-0.0,979.5,ASK
53,1712173950.177551,47390902.46254668,943.0,-0.0,979.5,ASK
54,1712173980.2662632,47390902.46254668,943.0,-0.0,979.5,ASK
55,1712173998.442223,47390919.62387342,943.1,-3.542483735106609e-10,979.5,ASK
56,1712174000.0919237,47390925.34796342,943.1,-1.181580890274125e-10,979.5,ASK
57,1712174000.1717598,47390928.20453679,943.1,5.896609765101957e-11,979.5,BID
58,1712174010.2527435,47390928.20453679,943.1,0.0,979.5,BID
59,1712174021.872442,47391912.7872994,943.4,-2.0323992000289002e-08,979.5,ASK
60,1712174021.8734558,47393495.15019916,943.3,-3.2663512035143904e-08,979.5,ASK
61,1712174040.172125,47393495.15019916,943.3,-0.0,979.5,ASK
62,1712174070.1817358,47393495.15019916,943.3,-0.0,979.5,ASK
63,1712174070.203457,47394120.81489561,943.0,-1.2914474220692531e-08,979.5,ASK
64,1712174070.206293,47394173.82030216,943.3,-1.094095544063376e-09,979.5,ASK
65,1712174070.2118783,47399542.81710916,943.0,-1.1082257197616117e-07,979.5,ASK
66,1712174070.2147126,47406841.83470016,943.0,-1.5066052959446086e-07,979.5,ASK
67,1712174094.8916717,47407160.20464603,942.3,-6.5715398070429646e-09,979.5,ASK
68,1712174094.893513,47407518.76030716,942.3,-7.401021455574538e-09,979.5,ASK
69,1712174094.9115646,47407518.7603077,942.3,-1.1072806048996273e-17,979.5,ASK
70,1712174094.9919105,47407537.6559617,942.1,-3.90029096824704e-10,979.5,ASK
71,1712174094.9939315,47407837.6559617,942.0,-6.1923619603372345e-09,979.5,ASK
72,1712174100.256207,47407837.6559617,942.0,-0.0,979.5,ASK
73,1712174123.151752,47407951.0607977,942.0,2.3405721567404e-09,979.5,BID
74,1712174123.2116067,47407951.06079774,942.0,9.226390396717533e-19,979.5,BID
75,1712174124.311802,47407999.7407977,942.9,1.004710702864436e-09,979.5,BID
76,1712174130.2570355,47407999.7407977,942.9,0.0,979.5,BID
77,1712174136.6718247,47408316.13519832,942.0,6.530070642998753e-09,979.5,BID
78,1712174160.2115357,47408316.13519832,942.0,0.0,979.5,BID
79,1712174186.2221384,47409160.15670656,942.9,1.7419670383796138e-08,979.5,BID
80,1712174186.231794,47409274.85408928,942.9,2.3672271162085766e-09,979.5,BID
81,1712174190.192685,47409274.85408928,942.9,0.0,979.5,BID
82,1712174204.3922627,47409419.14500029,942.9,2.9779492475829363e-09,979.5,BID
83,1712174220.0419202,47409432.3680356,942.9,2.7290373168824645e-10,979.5,BID
84,1712174220.210108,47409432.3680356,942.9,0.0,979.5,BID
85,1712174236.0625348,47409737.8540886,942.9,6.304757290970264e-09,979.5,BID
86,1712174236.0824776,47409737.85408928,942.9,1.4146693025475068e-17,979.5,BID
87,1712174236.5023942,47409785.75678496,942.9,9.886371795725179e-10,979.5,BID
88,1712174237.0622869,47410224.31922596,942.9,9.051247087397049e-09,979.5,BID
89,1712174237.0820062,47410224.31922675,942.9,1.6299450659786496e-17,979.5,BID
90,1712174237.602377,47410245.53038382,943.1,-4.3776531159466466e-10,979.5,ASK
91,1712174250.197885,47410245.53038382,943.1,-0.0,979.5,ASK
92,1712174254.104254,47410716.19964882,943.1,9.71372831629671e-09,979.5,BID
93,1712174254.1077998,47410716.19964937,943.1,1.137868172260866e-17,979.5,BID
94,1712174280.2638674,47410716.19964937,943.1,0.0,979.5,BID
95,1712174310.266323,47410716.19964937,943.1,0.0,979.5,BID
96,1712174324.753018,47411549.00410452,943.1,-1.7187360022837993e-08,979.5,ASK
97,1712174324.7558875,47411655.03739897,943.1,-2.1883077052851514e-09,979.5,ASK
98,1712174340.166574,47411655.03739897,943.1,-0.0,979.5,ASK
99,1712174370.1806016,47411655.03739897,943.1,-0.0,979.5,ASK
100,1712174388.3327243,47411960.52345197,943.2,-6.304484565083532e-09,979.5,ASK
101,1712174388.3726702,47412399.08589297,943.2,-9.050855556165309e-09,979.5,ASK
102,1712174400.2127602,47412399.08589297,943.2,-0.0,979.5,ASK
103,1712174408.943122,47412580.34607377,943.3,-3.7421873800885375e-09,979.5,ASK
104,1712174408.9532442,47413434.92595926,943.2,-1.764313622895124e-08,979.5,ASK
105,1712174409.5825555,47413443.18861936,943.2,-1.705858518923892e-10,979.5,ASK
106,1712174422.8130035,47413905.92061881,943.2,-9.553283247590044e-09,979.5,ASK
107,1712174430.1833143,47413905.92061881,943.2,-0.0,979.5,ASK
108,1712174439.9335291,47414133.36321781,943.2,-4.695503702014733e-09,979.5,ASK
109,1712174439.9357924,47414353.33104776,943.2,-4.541188697292782e-09,979.5,ASK
110,1712174440.0942116,47414482.24866876,943.1,-2.6614766509585083e-09,979.5,ASK
111,1712174440.11971,47414482.24866932,943.1,-1.1536172949478518e-17,979.5,ASK
112,1712174448.1030817,47415691.66899532,943.2,-2.4968223380485884e-08,979.5,ASK
113,1712174449.9727578,47415814.74347576,943.2,-2.540846266525279e-09,979.5,ASK
114,1712174450.032823,47417409.99610016,943.2,-3.2933648474385384e-08,979.5,ASK
115,1712174450.213127,47418272.71100377,943.2,-1.7810564254655532e-08,979.5,ASK
116,1712174450.2528095,47420850.45295186,943.2,-5.3216929956797273e-08,979.5,ASK
117,1712174450.3127103,47422072.67949292,943.2,-2.5232604945178084e-08,979.5,ASK
118,1712174460.2627888,47422072.67949292,943.2,-0.0,979.5,ASK
119,1712174473.073336,47422104.22667907,943.8,6.51181342093499e-10,979.5,BID
120,1712174490.2648735,47422104.22667907,943.8,0.0,979.5,BID
121,1712174516.6833923,47422481.5500789,943.8,7.788517356769984e-09,979.5,BID
122,1712174516.6857994,47423132.88860264,943.8,1.3444597922086184e-08,979.5,BID
123,1712174516.743111,47423163.77319316,943.8,-6.375039805202818e-10,979.5,ASK
124,1712174520.17867,47423163.77319316,943.8,-0.0,979.5,ASK
125,1712174538.722986,47423610.10070662,942.1,-9.212674946565448e-09,979.5,ASK
126,1712174539.0031407,47423726.60383662,942.1,-2.4047486084475514e-09,979.5,ASK
127,1712174539.1265488,47423726.60383746,942.1,-1.73780342683899e-17,979.5,ASK
128,1712174539.3035092,47425533.35168737,942.0,-3.72931987151413e-08,979.5,ASK
129,1712174539.3059464,47425891.66775445,942.0,-7.39602501422296e-09,979.5,ASK
130,1712174539.3083384,47425902.2834657,942.0,-2.191195794954188e-10,979.5,ASK
131,1712174540.6729584,47426964.08002547,941.8,-2.191661116443169e-08,979.5,ASK
132,1712174540.8230302,47427109.60430563,941.9,3.0037760377993942e-09,979.5,BID
133,1712174550.1699932,47427109.60430563,941.9,0.0,979.5,BID
134,1712174554.3158865,47427119.60430563,941.2,-2.06394809594868e-10,979.5,ASK
135,1712174554.323192,47429076.98521144,941.2,-4.0399325935866975e-08,979.5,ASK
136,1712174555.143783,47430692.67116037,941.2,-3.3346919379465153e-08,979.5,ASK
137,1712174555.724178,47431095.50449027,941.1,-8.3142708423404e-09,979.5,ASK
138,1712174555.7266216,47431549.32544446,941.1,-9.366628942993896e-09,979.5,ASK
139,1712174555.731267,47431649.32544446,940.9,-2.0639480959486798e-09,979.5,ASK
140,1712174555.7337887,47431861.84271148,941.1,-4.386246086191671e-09,979.5,ASK
141,1712174555.736299,47431968.11263709,941.0,-2.193356106177801e-09,979.5,ASK
142,1712174555.923503,47431978.85671442,940.6,-2.2175217952762755e-10,979.5,ASK
143,1712174555.9260485,47433042.23400068,940.4,-2.1947555252572016e-08,979.5,ASK
144,1712174555.9286742,47433721.79530609,940.3,-1.4025792623683856e-08,979.5,ASK
145,1712174555.9430144,47433729.86002428,940.3,-1.6645159761500332e-10,979.5,ASK
146,1712174555.9452405,47433877.44271866,940.3,-3.0460302106362222e-09,979.5,ASK
147,1712174580.2718,47433877.44271866,940.3,-0.0,979.5,ASK
148,1712174610.2565384,47433877.44271866,940.3,-0.0,979.5,ASK
149,1712174632.0035498,47434858.10365476,940.4,-2.023767278491544e-08,979.5,ASK
150,1712174632.0834055,47435954.08989007,940.4,-2.261761429527727e-08,979.5,ASK
151,1712174632.0862331,47436539.57508458,940.4,-1.2082522460948638e-08,979.5,ASK
152,1712174632.183283,47436730.27453275,940.4,-3.935420378486849e-09,979.5,ASK
153,1712174632.186308,47437417.31007117,940.3,-1.4178193406502138e-08,979.5,ASK
154,1712174638.2032282,47437469.59994921,940.5,1.079094111734363e-09,979.5,BID
155,1712174640.1737509,47437469.59994921,940.5,0.0,979.5,BID
156,1712174644.543174,47437667.21954321,940.5,4.077945548721061e-09,979.5,BID
157,1712174655.7307274,47437667.21954375,940.5,1.1069653662991737e-17,979.5,BID
158,1712174655.7329884,47438639.35731275,940.5,2.0060383728075205e-08,979.5,BID
159,1712174657.7344277,47441319.88663315,940.4,-5.531360726478382e-08,979.5,ASK
160,1712174658.204126,47444208.22424823,940.4,-5.9601800014846366e-08,979.5,ASK
161,1712174658.296083,47444400.78008923,940.4,-3.9734533341898455e-09,979.5,ASK
162,1712174658.297859,47444925.56468835,940.3,-1.082910341374002e-08,979.5,ASK
163,1712174661.483482,47445075.89608491,940.0,-3.102137986649981e-09,979.5,ASK
164,1712174661.493647,47445188.09223338,940.3,-2.3152045552548582e-09,979.5,ASK
165,1712174661.4955564,47445817.34276482,940.0,-1.2984792407235375e-08,979.5,ASK
166,1712174661.4973614,47445897.70245735,940.3,-1.658248779088732e-09,979.5,ASK
167,1712174661.625653,47445960.13701823,940.0,-1.2883577709751511e-09,979.5,ASK
168,1712174661.633463,47446809.88197238,940.0,-1.7534767596500417e-08,979.5,ASK
169,1712174661.6358843,47446820.52027025,940.0,-2.1952478785050758e-10,979.5,ASK
