,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.5156562,1569288.33344225,782.6,0.0,801.9,BID
1,1712300398.7852707,1569480.00223856,782.6,5.0017550744779534e-08,801.9,BID
2,1712300400.7321515,1569480.00223856,782.6,0.0,801.9,BID
3,1712300430.6036344,1569480.00223856,782.6,0.0,801.9,BID
4,1712300451.822565,1570179.39576456,781.0,-1.8283972857994938e-07,801.9,ASK
5,1712300451.8425386,1570610.33724581,781.0,-1.126593549074601e-07,801.9,ASK
6,1712300451.8441284,1575483.60729515,781.0,-1.2740000300176264e-06,801.9,ASK
7,1712300451.845695,1576560.00912793,781.0,-2.813995435074734e-07,801.9,ASK
8,1712300460.8433456,1576560.00912793,781.0,-0.0,801.9,ASK
9,1712300490.8339329,1576560.00912793,781.0,-0.0,801.9,ASK
10,1712300491.832599,1576944.13204726,781.0,1.0027480797341917e-07,801.9,BID
11,1712300520.573279,1576944.13204726,781.0,0.0,801.9,BID
12,1712300534.3929102,1576969.74024188,781.0,6.684463706468971e-09,801.9,BID
13,1712300540.6527295,1577560.00912788,781.0,1.540768884357416e-07,801.9,BID
14,1712300550.573912,1577560.00912788,781.0,0.0,801.9,BID
15,1712300564.952814,1577585.62388197,780.8,-6.6853365389528935e-09,801.9,ASK
16,1712300564.9538214,1577611.23863606,780.8,-6.6853365388921255e-09,801.9,ASK
17,1712300564.9548066,1577764.98623288,780.5,-4.01274368351469e-08,801.9,ASK
18,1712300580.7830267,1577764.98623288,780.5,-0.0,801.9,ASK
19,1712300591.012952,1577764.98623374,780.5,-2.2446672904333583e-16,801.9,ASK
20,1712300605.0830772,1577790.62397249,780.1,-6.6910560188851106e-09,801.9,ASK
21,1712300610.8237722,1577790.62397249,780.1,-0.0,801.9,ASK
22,1712300640.604462,1577790.62397249,780.1,-0.0,801.9,ASK
23,1712300651.2630548,1577918.81266624,780.1,-3.345510546922883e-08,801.9,ASK
24,1712300651.32323,1577944.45369124,780.0,-6.691878750149877e-09,801.9,ASK
25,1712300653.7731783,1577944.45369188,780.0,-1.6704272260373982e-16,801.9,ASK
26,1712300661.095859,1577970.10458324,779.7,-6.694453705150962e-09,801.9,ASK
27,1712300663.223279,1577995.75876487,779.6,-6.695312410536844e-09,801.9,ASK
28,1712300663.2246375,1578021.41952805,779.4,-6.6970300850890595e-09,801.9,ASK
29,1712300663.225994,1578109.33553924,779.4,-2.294460876968008e-08,801.9,ASK
30,1712300663.5343645,1578109.33554075,779.4,-3.9412117090136654e-16,801.9,ASK
31,1712300663.5404902,1578160.67683124,779.1,-1.3399218277548204e-08,801.9,ASK
32,1712300670.5942273,1578160.67683124,779.1,-0.0,801.9,ASK
33,1712300680.3031476,1578481.31297324,779.7,-8.367437068828783e-08,801.9,ASK
34,1712300680.323208,1578481.31297334,779.7,-2.6126941614145708e-17,801.9,ASK
35,1712300698.773255,1578481.31297408,779.1,-1.9309632662733736e-16,801.9,ASK
36,1712300698.7746606,1579010.37172174,779.0,-1.3806508989125502e-07,801.9,ASK
37,1712300700.5235128,1588221.27206474,779.0,-2.4037099650275807e-06,801.9,ASK
38,1712300700.6034334,1588234.10903521,779.0,-3.349982378513952e-09,801.9,ASK
39,1712300700.604982,1591878.53822474,779.0,-9.510634610619862e-07,801.9,ASK
40,1712300700.7631342,1591878.53822531,779.0,-1.487412862126249e-16,801.9,ASK
41,1712300700.8277056,1591878.53822531,779.0,-0.0,801.9,ASK
42,1712300704.296126,1592199.17436741,779.5,8.348627395535702e-08,801.9,BID
43,1712300709.8331888,1593483.86090389,778.4,-3.345028150254612e-07,801.9,ASK
44,1712300709.8344824,1593509.55463441,778.4,-6.690056245894507e-09,801.9,ASK
45,1712300709.8968644,1593509.55463461,778.4,-5.207579477113672e-17,801.9,ASK
46,1712300711.7745976,1593870.57720756,778.0,-9.40019713060709e-08,801.9,ASK
47,1712300711.77629,1593934.24714261,778.0,-1.657818611927696e-08,801.9,ASK
48,1712300711.8237262,1593934.2471432,778.0,-1.536205633877304e-16,801.9,ASK
