,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.474472,8139180.25149575,834.0,0.0,849.5,ASK
1,1712300396.9653234,8140096.42280304,834.0,-4.1473281798478574e-08,849.5,ASK
2,1712300400.186386,8140096.42280304,834.0,-0.0,849.5,ASK
3,1712300405.076232,8140129.52348434,834.0,-1.501464577859944e-09,849.5,ASK
4,1712300405.0791037,8140506.28538894,833.4,-1.70901211643448e-08,849.5,ASK
5,1712300405.087154,8140638.20886804,833.4,-5.984119452389868e-09,849.5,ASK
6,1712300406.007728,8140653.79639802,834.0,-7.070586828668264e-10,849.5,ASK
7,1712300413.0852275,8140665.78680569,834.0,-5.438912941749815e-10,849.5,ASK
8,1712300413.5351746,8140831.30836069,834.0,-7.508146114887033e-09,849.5,ASK
9,1712300421.9253483,8140831.30836145,834.0,-3.447215603895246e-17,849.5,ASK
10,1712300430.14678,8140831.30836145,834.0,-0.0,849.5,ASK
11,1712300438.6855338,8141746.32802149,833.4,-4.1504627048509296e-08,849.5,ASK
12,1712300438.686736,8142518.60774845,833.5,-3.503004737974183e-08,849.5,ASK
13,1712300447.7054508,8244518.60774845,833.4,-4.6266459004430405e-06,849.5,ASK
14,1712300447.7476287,8251557.64015343,833.4,-3.192853962704834e-07,849.5,ASK
15,1712300460.2163565,8251557.64015343,833.4,-0.0,849.5,ASK
16,1712300471.295869,8251677.48430809,833.7,5.413384843459134e-09,849.5,BID
17,1712300481.7174044,8251918.15823209,833.4,-1.0871290102528556e-08,849.5,ASK
18,1712300490.1968586,8251918.15823209,833.4,-0.0,849.5,ASK
19,1712300506.735597,8251935.5097974,833.7,7.83763096293312e-10,849.5,BID
20,1712300514.906204,8251947.50451972,833.7,5.417966930746745e-10,849.5,BID
21,1712300518.339773,8251956.94436618,833.7,4.263939972262223e-10,849.5,BID
22,1712300520.1465223,8251956.94436618,833.7,0.0,849.5,BID
23,1712300529.5281637,8252680.90362631,833.7,3.2700895418638456e-08,849.5,BID
24,1712300529.529838,8255940.28260999,833.7,1.472245983233733e-07,849.5,BID
25,1712300534.485772,8256717.28260999,833.7,-3.5096720409020845e-08,849.5,ASK
26,1712300540.385788,8256752.43554945,833.7,-1.5878415544289443e-09,849.5,ASK
27,1712300540.387488,8256802.43554945,833.7,-2.258476216796708e-09,849.5,ASK
28,1712300540.3890865,8256917.28260999,833.4,-5.187587095961179e-09,849.5,ASK
29,1712300550.1364405,8256917.28260999,833.4,-0.0,849.5,ASK
30,1712300575.8458142,8257523.16143422,833.5,2.7362147209946084e-08,849.5,BID
31,1712300580.2058165,8257523.16143422,833.5,0.0,849.5,BID
32,1712300586.666049,8257547.15375667,833.6,1.083494687247743e-09,849.5,BID
33,1712300590.946,8257647.15375667,833.4,-4.516005857811627e-09,849.5,ASK
34,1712300590.947479,8258588.34015707,833.4,-4.250403297501184e-08,849.5,ASK
35,1712300590.9489172,8264538.19843864,833.2,-2.6869594852717137e-07,849.5,ASK
36,1712300590.9500177,8264588.19843864,833.4,-2.2580029289058124e-09,849.5,ASK
37,1712300604.035887,8266094.78777279,833.2,-6.803766258337219e-08,849.5,ASK
38,1712300604.3160446,8266612.69445484,833.2,-2.3388696099411378e-08,849.5,ASK
39,1712300606.165853,8266712.69445484,833.4,4.516005857811627e-09,849.5,BID
40,1712300610.2072484,8266712.69445484,833.4,0.0,849.5,BID
41,1712300615.261328,8269155.79873484,833.2,-1.1029259442392596e-07,849.5,ASK
42,1712300616.2361298,8270569.92813484,833.2,-6.384009133542647e-08,849.5,ASK
43,1712300625.2959511,8272525.12484795,833.2,-8.826627658239599e-08,849.5,ASK
44,1712300632.5360217,8272585.13444948,833.7,2.709100343050552e-09,849.5,BID
45,1712300640.1473403,8272585.13444948,833.7,0.0,849.5,BID
46,1712300643.7461329,8275858.38083304,833.2,-1.4773626817708866e-07,849.5,ASK
47,1712300644.4659898,8275936.5876549,833.2,-3.529824111496772e-09,849.5,ASK
48,1712300644.467193,8276195.13444947,833.2,-1.1669374713365153e-08,849.5,ASK
49,1712300647.657325,8278056.32158881,833.2,-8.4003710727758e-08,849.5,ASK
50,1712300647.6589334,8278442.95144957,833.2,-1.7450337096984332e-08,849.5,ASK
51,1712300648.3459857,8278778.44808727,833.1,-1.5142465745542743e-08,849.5,ASK
52,1712300649.2060952,8279355.44808727,833.0,-2.6042594033349666e-08,849.5,ASK
53,1712300649.208016,8279555.44808727,833.0,-9.026895678804041e-09,849.5,ASK
54,1712300649.4060192,8279755.44808727,833.0,-9.026895678804041e-09,849.5,ASK
55,1712300652.4198878,8279955.44808727,833.0,-9.026895678804041e-09,849.5,ASK
56,1712300655.0264142,8280155.44808727,833.0,-9.026895678804041e-09,849.5,ASK
57,1712300657.0160463,8280178.92827934,833.0,-1.059766221666146e-09,849.5,ASK
58,1712300657.0173037,8283550.48338727,833.0,-1.521733811731035e-07,849.5,ASK
59,1712300657.0602624,8283792.41566425,833.0,-1.0919487128170832e-08,849.5,ASK
60,1712300657.1159108,8286190.93308126,833.0,-1.0825583253571538e-07,849.5,ASK
61,1712300657.5361674,8286290.93308126,832.7,-4.5134478394020215e-09,849.5,ASK
62,1712300657.5378366,8286343.37669853,832.5,-2.3670153105918886e-09,849.5,ASK
63,1712300657.5394533,8286390.93308126,832.7,-2.1464325288101316e-09,849.5,ASK
64,1712300657.9360647,8286416.93308126,832.9,1.173496438244525e-09,849.5,BID
65,1712300668.9364874,8286669.61042495,832.5,-1.1404460109427346e-08,849.5,ASK
66,1712300668.9461267,8286815.64641693,832.5,-6.591258324759917e-09,849.5,ASK
67,1712300669.2359629,8286865.64641693,832.7,2.2567239197010103e-09,849.5,BID
68,1712300670.1559887,8286865.64641693,832.7,0.0,849.5,BID
69,1712300700.208772,8286865.64641693,832.7,0.0,849.5,BID
70,1712300703.3963065,8286886.34090474,832.7,9.343939543027443e-10,849.5,BID
71,1712300708.6762345,8287371.77779794,832.5,-2.1918363110195745e-08,849.5,ASK
72,1712300710.3360937,8287479.88590603,832.5,-4.881278702686889e-09,849.5,ASK
73,1712300710.7878249,8288560.37088058,832.2,-4.878587173533442e-08,849.5,ASK
74,1712300710.7901309,8288617.19538829,832.2,-2.565730398746077e-09,849.5,ASK
75,1712300710.791676,8288629.21317461,832.1,-5.426250209628323e-10,849.5,ASK
76,1712300710.7932303,8288641.23240537,832.0,-5.42690240042356e-10,849.5,ASK
77,1712300710.7947774,8289102.8526133,832.5,-2.084299623315689e-08,849.5,ASK
78,1712300710.7965803,8290228.1231113,832.0,-5.080801998740866e-08,849.5,ASK
79,1712300711.7736063,8291167.93198579,831.9,-4.24340886607116e-08,849.5,ASK
80,1712300728.1692758,8291377.73888579,831.9,-9.473165063557532e-09,849.5,ASK
81,1712300729.4762728,8291430.19066749,831.9,-2.3682938259702182e-09,849.5,ASK
82,1712300730.1961288,8291430.19066749,831.9,-0.0,849.5,ASK
83,1712300752.906437,8291443.92188569,831.9,6.19883290967195e-10,849.5,BID
84,1712300752.9084828,8291490.29404529,831.9,2.093428746321536e-09,849.5,BID
85,1712300757.1165729,8292106.88769761,831.8,-2.7835556672221364e-08,849.5,ASK
86,1712300757.126397,8292154.95214819,831.8,-2.169825675298625e-09,849.5,ASK
87,1712300758.2807405,8292339.67809816,831.6,-8.339284113409207e-09,849.5,ASK
88,1712300758.2815723,8292399.74306327,831.6,-2.7115779315126957e-09,849.5,ASK
89,1712300758.4488945,8292426.55785582,831.5,-1.210529292469269e-09,849.5,ASK
90,1712300758.4497397,8292510.74306327,831.5,-3.800464218395777e-09,849.5,ASK
91,1712300760.1362667,8293151.16459062,831.5,-2.8911244304240922e-08,849.5,ASK
92,1712300760.137346,8293213.25839698,831.5,-2.8031681147248147e-09,849.5,ASK
93,1712300760.1475148,8293213.25839698,831.5,-0.0,849.5,ASK
94,1712300777.9062548,8293223.25839698,831.1,-4.5141169025914915e-10,849.5,ASK
95,1712300777.9073377,8293266.74175763,831.1,-1.9628897329172736e-09,849.5,ASK
96,1712300778.9124146,8293387.06422183,831.1,-5.431496694054911e-09,849.5,ASK
97,1712300778.918643,8294496.99948834,831.1,-5.010377547333613e-08,849.5,ASK
98,1712300778.9237213,8294659.53345412,831.1,-7.336973221745296e-09,849.5,ASK
99,1712300779.1336377,8294859.53345412,831.0,-9.028233805182985e-09,849.5,ASK
100,1712300779.1399896,8294869.53345412,831.0,-4.5141169025914915e-10,849.5,ASK
101,1712300779.1414895,8295869.53345412,831.0,-4.514116902591493e-08,849.5,ASK
102,1712300779.1436012,8296469.41347811,830.9,-2.7079285558194648e-08,849.5,ASK
103,1712300779.1444235,8296949.41347811,831.0,-2.166776113243916e-08,849.5,ASK
104,1712300779.145253,8296985.51890595,830.9,-1.6298412208690815e-09,849.5,ASK
