,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.4814231,103305902.39873974,10.25,0.0,10.67,BID
1,1712300400.4158602,103305902.39873974,10.25,0.0,10.67,BID
2,1712300406.5022612,103315639.49708442,10.27,3.977161275109112e-06,10.67,BID
3,1712300430.3442934,103315639.49708442,10.27,0.0,10.67,BID
4,1712300460.473259,103315639.49708442,10.27,0.0,10.67,BID
5,1712300490.4625132,103315639.49708442,10.27,0.0,10.67,BID
6,1712300520.324595,103315639.49708442,10.27,0.0,10.67,BID
7,1712300550.3241503,103315639.49708442,10.27,0.0,10.67,BID
8,1712300572.292995,103346059.45308442,10.27,-1.242465930031356e-05,10.67,ASK
9,1712300576.5928657,103364324.98880789,10.27,-7.460334863789041e-06,10.67,ASK
10,1712300580.435507,103364324.98880789,10.27,-0.0,10.67,ASK
11,1712300610.464317,103364324.98880789,10.27,-0.0,10.67,ASK
12,1712300640.3438263,103364324.98880789,10.27,-0.0,10.67,ASK
13,1712300670.3475072,103364324.98880789,10.27,-0.0,10.67,ASK
14,1712300700.4639106,103364324.98880789,10.27,-0.0,10.67,ASK
15,1712300730.4546185,103364324.98880789,10.27,-0.0,10.67,ASK
16,1712300760.3147466,103364324.98880789,10.27,-0.0,10.67,ASK
17,1712300790.3235855,103364324.98880789,10.27,-0.0,10.67,ASK
18,1712300804.043661,103411191.7957218,10.24,-1.914481990367568e-05,10.67,ASK
19,1712300804.0449734,103413503.47361287,10.24,-9.443070653656976e-07,10.67,ASK
20,1712300804.0734978,103444678.8496479,10.24,-1.2734961029362816e-05,10.67,ASK
21,1712300817.8835025,103464123.95754787,10.24,-7.943214254741409e-06,10.67,ASK
22,1712300820.4347448,103464123.95754787,10.24,-0.0,10.67,ASK
23,1712300850.4634986,103464123.95754787,10.24,-0.0,10.67,ASK
24,1712300880.2836154,103464123.95754787,10.24,-0.0,10.67,ASK
25,1712300910.3248916,103464123.95754787,10.24,-0.0,10.67,ASK
26,1712300939.2974138,103549739.6862689,10.25,-3.4958936774235094e-05,10.67,ASK
27,1712300940.435365,103549739.6862689,10.25,-0.0,10.67,ASK
28,1712300970.4651823,103549739.6862689,10.25,-0.0,10.67,ASK
29,1712301000.3566809,103549739.6862689,10.25,-0.0,10.67,ASK
30,1712301030.315182,103549739.6862689,10.25,-0.0,10.67,ASK
31,1712301041.0242035,103552666.51553716,10.25,-1.1959003423196531e-06,10.67,ASK
32,1712301041.0256426,103565829.79085456,10.24,-5.37850486488347e-06,10.67,ASK
33,1712301046.004095,103567062.5392306,10.24,-5.037001033443394e-07,10.67,ASK
34,1712301060.4754755,103567062.5392306,10.24,-0.0,10.67,ASK
