,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.4506383,19560998.64892247,53.57,0.0,54.4,ASK
1,1712300400.565303,19560998.64892247,53.57,-0.0,54.4,ASK
2,1712300430.4552014,19560998.64892247,53.57,-0.0,54.4,ASK
3,1712300459.6455402,19561465.92403925,53.41,-2.2061657914566614e-07,54.4,ASK
4,1712300460.616013,19561465.92403925,53.41,-0.0,54.4,ASK
5,1712300472.2556758,19563206.2651461,53.41,-8.216649329178301e-07,54.4,ASK
6,1712300474.295461,19567765.00398552,53.41,-2.1523113072134936e-06,54.4,ASK
7,1712300490.597204,19567765.00398552,53.41,-0.0,54.4,ASK
8,1712300513.9157689,19568694.30677598,53.41,-4.386808108197148e-07,54.4,ASK
9,1712300520.42553,19568694.30677598,53.41,-0.0,54.4,ASK
10,1712300526.2857068,19573707.4522762,53.41,-2.3664183839062696e-06,54.4,ASK
11,1712300550.4157102,19573707.4522762,53.41,-0.0,54.4,ASK
12,1712300580.565775,19573707.4522762,53.41,-0.0,54.4,ASK
13,1712300601.9559453,19593918.15051655,53.42,-9.539105489653657e-06,54.4,ASK
14,1712300601.9960084,19596861.71996993,53.42,1.3893146687939685e-06,54.4,BID
15,1712300602.0958889,19602058.09583065,53.42,-2.452600939849841e-06,54.4,ASK
16,1712300602.107123,19615784.33033169,53.4,-6.47854900033798e-06,54.4,ASK
17,1712300602.1083882,19644728.05395866,53.41,-1.3660944795555244e-05,54.4,ASK
18,1712300602.1096454,19660444.16517378,53.41,-7.417736932454413e-06,54.4,ASK
19,1712300610.606105,19660444.16517378,53.41,-0.0,54.4,ASK
20,1712300640.4458294,19660444.16517378,53.41,-0.0,54.4,ASK
21,1712300670.4460485,19660444.16517378,53.41,-0.0,54.4,ASK
22,1712300700.6094933,19660444.16517378,53.41,-0.0,54.4,ASK
23,1712300711.5190346,19660631.7120605,53.32,-8.832580607992288e-08,54.4,ASK
24,1712300711.6160858,19663122.73021118,53.31,1.1731529643958834e-06,54.4,BID
25,1712300711.6967936,19663873.05847978,53.31,3.533694976636212e-07,54.4,BID
26,1712300711.938338,19668343.28446078,53.31,2.105267221637669e-06,54.4,BID
27,1712300712.0560937,19670223.28446078,53.31,8.853920122831703e-07,54.4,BID
28,1712300712.0995605,19672653.70190918,53.3,-1.144612869855473e-06,54.4,ASK
29,1712300712.1008716,19680291.04586078,53.3,-3.5968315584063216e-06,54.4,ASK
30,1712300712.1163566,19684896.04586078,53.31,2.1687394768957443e-06,54.4,BID
31,1712300713.206062,19703596.61486078,53.31,8.807092775400022e-06,54.4,BID
32,1712300715.716172,19706846.25521678,53.3,-1.5304285180829212e-06,54.4,ASK
33,1712300716.0962448,19725544.24921678,53.31,8.80588007091371e-06,54.4,BID
34,1712300717.0007184,19730974.74921678,53.31,2.5575113418637e-06,54.4,BID
35,1712300717.597186,19730974.74921768,53.3,-4.245738458691426e-16,54.4,ASK
36,1712300717.6061256,19733262.50664679,53.29,-1.0774266775392156e-06,54.4,ASK
37,1712300730.596195,19733262.50664679,53.29,-0.0,54.4,ASK
38,1712300737.8662577,19738107.88764679,53.31,2.2777835898928025e-06,54.4,BID
39,1712300748.0063455,19756822.47617513,53.31,8.79761212615429e-06,54.4,BID
40,1712300748.0078297,19756822.47664679,53.31,2.2172397607203242e-13,54.4,BID
41,1712300751.7863097,19769851.74564679,53.31,6.124978637695535e-06,54.4,BID
