,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.4721794,16989770.2901269,63.79,0.0,65.93,ASK
1,1712300400.6381106,16989770.2901269,63.79,-0.0,65.93,ASK
2,1712300405.4753797,16992219.60915588,63.85,-9.68457131068441e-07,65.93,ASK
3,1712300405.4769104,17022075.16474955,63.84,-1.1804842641824324e-05,65.93,ASK
4,1712300430.5152483,17022075.16474955,63.84,-0.0,65.93,ASK
5,1712300444.635362,17028269.76589569,63.84,-2.44734045427809e-06,65.93,ASK
6,1712300460.706833,17028269.76589569,63.84,-0.0,65.93,ASK
7,1712300490.7009544,17028269.76589569,63.84,-0.0,65.93,ASK
8,1712300520.485509,17028269.76589569,63.84,-0.0,65.93,ASK
9,1712300550.476761,17028269.76589569,63.84,-0.0,65.93,ASK
10,1712300580.655696,17028269.76589569,63.84,-0.0,65.93,ASK
11,1712300610.695964,17028269.76589569,63.84,-0.0,65.93,ASK
12,1712300640.5159311,17028269.76589569,63.84,-0.0,65.93,ASK
13,1712300670.4976914,17028269.76589569,63.84,-0.0,65.93,ASK
14,1712300695.616235,17028642.37145864,63.81,-1.4718465256363688e-07,65.93,ASK
15,1712300700.696136,17028642.37145864,63.81,-0.0,65.93,ASK
16,1712300730.6963418,17028642.37145864,63.81,-0.0,65.93,ASK
17,1712300741.9965186,17031090.64036677,63.81,-9.671161960013151e-07,65.93,ASK
18,1712300741.997854,17031788.76070844,63.81,-2.757717859113698e-07,65.93,ASK
19,1712300742.0961864,17038612.97228976,63.81,-2.6957028794152484e-06,65.93,ASK
20,1712300760.4585166,17038612.97228976,63.81,-0.0,65.93,ASK
21,1712300768.8964305,17042344.69947548,63.8,-1.473738033260878e-06,65.93,ASK
22,1712300768.897792,17042423.22612124,63.8,-3.1011834124759695e-08,65.93,ASK
23,1712300768.962195,17049718.32269379,63.8,-2.8809880090980352e-06,65.93,ASK
24,1712300790.4663966,17049718.32269379,63.8,-0.0,65.93,ASK
25,1712300811.0172448,17054524.68703487,63.8,-1.8976040177405208e-06,65.93,ASK
26,1712300820.6988068,17054524.68703487,63.8,-0.0,65.93,ASK
27,1712300850.689047,17054524.68703487,63.8,-0.0,65.93,ASK
28,1712300880.426551,17054524.68703487,63.8,-0.0,65.93,ASK
29,1712300910.4792097,17054524.68703487,63.8,-0.0,65.93,ASK
30,1712300927.527001,17056729.06763487,63.95,8.70207670252543e-07,65.93,BID
31,1712300927.5281243,17082180.93682763,64.01,1.0047453599358138e-05,65.93,BID
32,1712300927.5328758,17090380.75332991,63.95,3.2369833117541382e-06,65.93,BID
33,1712300927.5339763,17093593.34632991,63.96,1.2682125173851198e-06,65.93,BID
34,1712300940.6591198,17093593.34632991,63.96,0.0,65.93,BID
35,1712300970.7005827,17093593.34632991,63.96,0.0,65.93,BID
