,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.5065577,11707568.42614589,159.2,0.0,167.6,ASK
1,1712300400.3838372,11707568.42614589,159.2,-0.0,167.6,ASK
2,1712300430.3226666,11707568.42614589,159.2,-0.0,167.6,ASK
3,1712300460.4372203,11707568.42614589,159.2,-0.0,167.6,ASK
4,1712300490.422562,11707568.42614589,159.2,-0.0,167.6,ASK
5,1712300499.443799,11719348.5258171,159.2,-3.2630631462060133e-06,167.6,ASK
6,1712300520.2925284,11719348.5258171,159.2,-0.0,167.6,ASK
7,1712300550.292703,11719348.5258171,159.2,-0.0,167.6,ASK
8,1712300580.402845,11719348.5258171,159.2,-0.0,167.6,ASK
9,1712300610.4229944,11719348.5258171,159.2,-0.0,167.6,ASK
10,1712300612.963114,11720206.98001359,159.1,-2.376665668042693e-07,167.6,ASK
11,1712300612.9731424,11728733.29039178,159.1,-2.3605440143187007e-06,167.6,ASK
12,1712300640.3129685,11728733.29039178,159.1,-0.0,167.6,ASK
13,1712300657.0730388,11736900.168612,159.1,-2.2600994772147024e-06,167.6,ASK
14,1712300657.074013,11740002.10949236,159.1,-8.584302071134099e-07,167.6,ASK
15,1712300657.1932008,11742311.70719236,159.0,-6.39157388366906e-07,167.6,ASK
16,1712300657.1944735,11745700.79079236,159.0,-9.378939989134004e-07,167.6,ASK
17,1712300670.3231435,11745700.79079236,159.0,-0.0,167.6,ASK
18,1712300681.7132702,11747279.50224252,159.0,-4.365660672702853e-07,167.6,ASK
19,1712300681.7145762,11782730.25592176,159.0,-9.803308966910542e-06,167.6,ASK
20,1712300681.813202,11784852.37992176,158.9,-5.868376572844807e-07,167.6,ASK
21,1712300681.8144062,11786298.56812176,158.9,-3.999189940266581e-07,167.6,ASK
22,1712300681.8931258,11788357.82044117,158.9,-5.694515527276215e-07,167.6,ASK
23,1712300700.427143,11788357.82044117,158.9,-0.0,167.6,ASK
24,1712300706.9232745,11789357.82044117,158.9,-2.766570443406122e-07,167.6,ASK
25,1712300711.603775,11789693.06164117,159.0,9.274683953321322e-08,167.6,BID
26,1712300711.6054304,11789856.63011453,159.0,4.525237038696477e-08,167.6,BID
27,1712300711.743141,11793455.68921453,158.9,-9.957050530132356e-07,167.6,ASK
28,1712300711.7831197,11798736.91731453,158.9,-1.461088956634573e-06,167.6,ASK
29,1712300718.9132588,11798801.80954117,159.0,1.7952891622940895e-08,167.6,BID
30,1712300718.914353,11798986.51216377,159.0,5.1099281650447823e-08,167.6,BID
31,1712300730.4182482,11798986.51216377,159.0,0.0,167.6,BID
32,1712300735.8043356,11817745.64471119,158.9,-5.187422256101767e-06,167.6,ASK
33,1712300735.8057346,11824035.76585577,158.9,-1.7393935639872864e-06,167.6,ASK
34,1712300735.903364,11826630.14415577,158.8,-7.1741780704126e-07,167.6,ASK
35,1712300735.9047484,11833831.52127792,158.8,-1.9913812039860105e-06,167.6,ASK
36,1712300735.9836452,11851614.03903992,158.7,-4.91736108665656e-06,167.6,ASK
37,1712300741.6834974,11851739.24369986,158.8,3.4622573186796366e-08,167.6,BID
38,1712300750.4932945,11853772.54469986,158.8,5.622643176114538e-07,167.6,BID
39,1712300750.503346,11855480.62733992,158.8,4.723323895657746e-07,167.6,BID
40,1712300750.5045886,11858567.79323992,158.8,8.536872937729133e-07,167.6,BID
41,1712300750.9633963,11859458.17304842,158.7,-2.4621479822282855e-07,167.6,ASK
42,1712300750.965154,11889623.38925143,158.8,-8.341521842550434e-06,167.6,ASK
43,1712300751.0433598,11891482.77449864,158.7,-5.141717715177882e-07,167.6,ASK
44,1712300755.1732512,11891607.77807614,158.9,3.456696829555665e-08,167.6,BID
45,1712300760.2834053,11891607.77807614,158.9,0.0,167.6,BID
46,1712300765.478989,11896607.77807614,158.8,-1.377038235581886e-06,167.6,ASK
47,1712300770.113588,11918685.95821014,158.8,-6.080499643316552e-06,167.6,ASK
48,1712300770.1334677,11919348.47864289,158.8,-1.824631935501363e-07,167.6,ASK
49,1712300770.2161076,11920210.97259078,158.7,-2.3753742884040535e-07,167.6,ASK
50,1712300773.2434444,11925686.43873633,158.7,-1.5079852480115337e-06,167.6,ASK
51,1712300773.2452643,11965099.86532738,158.7,-1.0854759082235104e-05,167.6,ASK
52,1712300773.330125,11965936.74889691,158.6,-2.304841347944141e-07,167.6,ASK
53,1712300780.215349,11966936.74889691,158.6,-2.754076471163772e-07,167.6,ASK
54,1712300780.2169783,12009049.63518791,158.6,-1.159821092668412e-05,167.6,ASK
55,1712300786.9214182,12009049.63518865,158.6,-2.036557270310852e-16,167.6,ASK
56,1712300786.9250293,12019223.5192512,158.6,-2.8019654717014566e-06,167.6,ASK
57,1712300789.3035548,12050664.57803248,158.6,-8.659108021800341e-06,167.6,ASK
58,1712300789.3911972,12054646.18363248,158.5,-1.0965646300412338e-06,167.6,ASK
59,1712300789.3942394,12064470.36273248,158.5,-2.7056540507807142e-06,167.6,ASK
60,1712300789.403344,12070312.93623248,158.5,-1.6090894207394804e-06,167.6,ASK
61,1712300790.2935045,12071480.92527348,158.5,-3.216731136396904e-07,167.6,ASK
62,1712300790.295397,12071480.92527348,158.5,-0.0,167.6,ASK
63,1712300791.013537,12109513.90977632,158.5,-1.0393422658675532e-05,167.6,ASK
64,1712300799.2234726,12118181.37022917,158.5,-2.3685908703032943e-06,167.6,ASK
65,1712300804.2235348,12119927.60320182,158.5,-4.771999248155174e-07,167.6,ASK
66,1712300820.402236,12119927.60320182,158.5,-0.0,167.6,ASK
67,1712300827.7737374,12119988.25927176,158.5,-1.6540176904360085e-08,167.6,ASK
68,1712300827.7754595,12130016.53292673,158.5,-2.734588977867409e-06,167.6,ASK
69,1712300827.915189,12130048.72989642,158.4,-8.779724353734144e-09,167.6,ASK
70,1712300827.9159298,12133268.4268661,158.4,-8.779724355638846e-07,167.6,ASK
71,1712300828.6935818,12133519.55758214,158.3,-6.848030994332684e-08,167.6,ASK
72,1712300850.4240909,12133519.55758214,158.3,-0.0,167.6,ASK
73,1712300855.6241393,12145127.16277699,158.3,-3.1633955545375155e-06,167.6,ASK
74,1712300855.6258206,12147718.73578804,158.3,-7.062757911556444e-07,167.6,ASK
75,1712300865.1239128,12175119.51323052,158.3,-7.467474651090803e-06,167.6,ASK
76,1712300865.125612,12175446.96103979,158.3,-8.92386436999206e-08,167.6,ASK
77,1712300875.5636332,12190810.23115613,158.3,-4.18691879792288e-06,167.6,ASK
78,1712300880.2536,12190810.23115613,158.3,-0.0,167.6,ASK
79,1712300880.3581376,12207898.48259228,158.3,-4.645542371374307e-06,167.6,ASK
80,1712300888.00386,12210379.44122436,158.3,6.744632995381229e-07,167.6,BID
81,1712300888.1039906,12214896.03212436,158.3,-1.2278619891862649e-06,167.6,ASK
82,1712300888.1236908,12221523.63842436,158.3,-1.801754029806988e-06,167.6,ASK
83,1712300898.0636275,12221555.19047483,158.5,8.577611812178388e-09,167.6,BID
84,1712300910.2937326,12221555.19047483,158.5,0.0,167.6,BID
85,1712300935.2938635,12221870.64788807,158.5,8.56456481743277e-08,167.6,BID
86,1712300940.4006033,12221870.64788807,158.5,0.0,167.6,BID
87,1712300970.423979,12221870.64788807,158.5,0.0,167.6,BID
88,1712301000.3238256,12221870.64788807,158.5,0.0,167.6,BID
89,1712301010.3041997,12222059.92233601,158.5,5.1593287284379414e-08,167.6,BID
90,1712301024.694027,12222097.77722559,158.5,1.0318657454438789e-08,167.6,BID
91,1712301030.2839477,12222097.77722559,158.5,0.0,167.6,BID
92,1712301032.6841552,12223097.77722559,158.5,2.725818596415317e-07,167.6,BID
93,1712301032.694017,12227891.52260618,158.5,1.3066880304891527e-06,167.6,BID
94,1712301032.6957316,12232384.62600618,158.5,1.2247384803340437e-06,167.6,BID
95,1712301032.7741191,12234481.43328827,158.6,5.715516282620487e-07,167.6,BID
96,1712301032.8346565,12235039.54348334,158.6,1.5213071485670857e-07,167.6,BID
97,1712301032.846005,12239534.66192281,158.6,1.22528774354004e-06,167.6,BID
98,1712301032.856801,12240256.55172774,158.6,1.967740654839442e-07,167.6,BID
99,1712301032.9140234,12241536.55172774,158.7,3.4890478034116045e-07,167.6,BID
100,1712301060.4426732,12241536.55172774,158.7,0.0,167.6,BID
101,1712301087.5443172,12247816.52572774,158.9,1.7103700726844994e-06,167.6,BID
102,1712301087.546224,12250936.92932371,158.9,8.498514365260512e-07,167.6,BID
103,1712301087.6242614,12252096.21172774,158.9,3.1573409852371684e-07,167.6,BID
104,1712301090.41423,12252096.21172774,158.9,0.0,167.6,BID
105,1712301120.26411,12252096.21172774,158.9,0.0,167.6,BID
106,1712301150.3245535,12252096.21172774,158.9,0.0,167.6,BID
107,1712301180.393695,12252096.21172774,158.9,0.0,167.6,BID
108,1712301203.063104,12254096.21172774,159.0,-5.444572887763099e-07,167.6,ASK
109,1712301206.273134,12265760.27027597,159.0,-3.1752908466489085e-06,167.6,ASK
110,1712301210.42298,12265760.27027597,159.0,-0.0,167.6,ASK
111,1712301227.5925694,12287972.31141374,159.0,-6.043179670125722e-06,167.6,ASK
112,1712301240.2822711,12287972.31141374,159.0,-0.0,167.6,ASK
113,1712301253.1391883,12292972.31141374,159.0,1.3590328154674082e-06,167.6,BID
114,1712301253.3318152,12293286.66021794,158.9,-8.544206808216635e-08,167.6,ASK
115,1712301254.941854,12293726.89293177,158.9,1.196581409073741e-07,167.6,BID
116,1712301270.2712777,12293726.89293177,158.9,0.0,167.6,BID
117,1712301294.5809162,12299005.70681374,158.9,1.4344595418878378e-06,167.6,BID
118,1712301294.5830212,12303117.35401374,158.9,1.1172948489549151e-06,167.6,BID
119,1712301300.3407328,12303117.35401374,158.9,0.0,167.6,BID
120,1712301303.650709,12303612.85288231,158.9,-1.3507437161597544e-07,167.6,ASK
121,1712301330.2799685,12303612.85288231,158.9,-0.0,167.6,ASK
122,1712301351.0096262,12309906.11908748,158.9,-1.7155250744194071e-06,167.6,ASK
123,1712301352.9495523,12310401.4032264,158.9,-1.350129378892633e-07,167.6,ASK
124,1712301352.950936,12332226.80419466,158.9,-5.94953739435887e-06,167.6,ASK
125,1712301360.3091974,12332226.80419466,158.9,-0.0,167.6,ASK
126,1712301390.281473,12332226.80419466,158.9,-0.0,167.6,ASK
127,1712301399.6716335,12332261.80419466,158.9,9.529082052314338e-09,167.6,BID
128,1712301410.6283398,12332307.81643083,158.9,1.2527267824603766e-08,167.6,BID
129,1712301420.418717,12332307.81643083,158.9,0.0,167.6,BID
130,1712301450.4074366,12332307.81643083,158.9,0.0,167.6,BID
131,1712301452.7774856,12347492.82015383,159.0,4.134246837372629e-06,167.6,BID
132,1712301452.7973356,12347492.82015404,159.0,5.679755601491325e-17,167.6,BID
133,1712301480.3072016,12347492.82015404,159.0,0.0,167.6,BID
134,1712301510.29647,12347492.82015404,159.0,0.0,167.6,BID
135,1712301540.4259746,12347492.82015404,159.0,0.0,167.6,BID
136,1712301564.4955857,12347524.23347062,159.2,8.546925208760168e-09,167.6,BID
137,1712301570.4154806,12347524.23347062,159.2,0.0,167.6,BID
138,1712301600.30494,12347524.23347062,159.2,0.0,167.6,BID
139,1712301630.294584,12347524.23347062,159.2,0.0,167.6,BID
140,1712301647.614732,12347575.18912486,159.0,-1.3944917871132805e-08,167.6,ASK
141,1712301660.4047108,12347575.18912486,159.0,-0.0,167.6,ASK
142,1712301665.8642366,12347625.18912486,159.0,1.3683355812154789e-08,167.6,BID
143,1712301690.43378,12347625.18912486,159.0,0.0,167.6,BID
144,1712301720.3035188,12347625.18912486,159.0,0.0,167.6,BID
145,1712301731.113412,12374558.39740306,158.8,-7.370717404541909e-06,167.6,ASK
146,1712301744.5337815,12384675.43259018,158.8,-2.7686938208703474e-06,167.6,ASK
147,1712301750.27321,12384675.43259018,158.8,-0.0,167.6,ASK
148,1712301758.4117153,12390440.54256656,158.8,-1.57518132938658e-06,167.6,ASK
149,1712301765.4133942,12391248.6677231,158.8,-2.208012793520287e-07,167.6,ASK
150,1712301780.432766,12391248.6677231,158.8,-0.0,167.6,ASK
151,1712301789.8730085,12391861.78850789,158.9,1.6747313649646245e-07,167.6,BID
