,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.482952,5875842.63168072,869.9,0.0,885.3,ASK
1,1712300400.672218,5875842.63168072,869.9,-0.0,885.3,ASK
2,1712300422.1524389,5875995.778139,869.9,-1.0282976531499876e-08,885.3,ASK
3,1712300422.1539226,5876406.50062873,869.9,-2.7577847834575106e-08,885.3,ASK
4,1712300422.232291,5876406.50062874,869.9,-6.25333963682046e-19,885.3,ASK
5,1712300430.5423748,5876406.50062874,869.9,-0.0,885.3,ASK
6,1712300449.2924316,5876414.34266739,869.2,-5.265341720482348e-10,885.3,ASK
7,1712300460.762415,5876414.34266739,869.2,-0.0,885.3,ASK
8,1712300463.652624,5876421.47127839,869.2,4.786326286496972e-10,885.3,BID
9,1712300477.7828531,5876426.4367681,869.2,3.333952984986337e-10,885.3,BID
10,1712300477.784418,5877595.6392862,869.8,7.850315785810316e-08,885.3,BID
11,1712300477.785951,5878095.6392862,869.7,3.3571240500610336e-08,885.3,BID
12,1712300490.7424438,5878095.6392862,869.7,0.0,885.3,BID
13,1712300500.472639,5879050.43665376,870.1,6.410117035283899e-08,885.3,BID
14,1712300500.592575,5879244.93247088,870.1,-1.3057649643491945e-08,885.3,ASK
15,1712300520.514293,5879244.93247088,870.1,-0.0,885.3,ASK
16,1712300529.125574,5879244.93247089,870.1,-6.252097185176889e-19,885.3,ASK
17,1712300529.1272717,5879256.42540273,870.1,-7.715364017244345e-10,885.3,ASK
18,1712300550.5127888,5879256.42540273,870.1,-0.0,885.3,ASK
19,1712300555.4929433,5879267.9196556,870.0,-7.71624566282115e-10,885.3,ASK
20,1712300555.494246,5879283.9196556,869.1,-1.07410139661082e-09,885.3,ASK
21,1712300555.495777,5879398.88399882,869.4,-7.717710100815177e-09,885.3,ASK
22,1712300557.692899,5880367.62924577,869.0,-6.50331639193541e-08,885.3,ASK
23,1712300557.697694,5881518.37723196,869.0,-7.72512511946119e-08,885.3,ASK
24,1712300558.5428138,5881711.15069351,869.1,1.2941140267491636e-08,885.3,BID
25,1712300561.4128983,5881893.15343275,869.0,-1.2218087275320316e-08,885.3,ASK
26,1712300561.41425,5881978.16830774,869.0,-5.7071622474724205e-09,885.3,ASK
27,1712300561.4328485,5882271.72640223,869.0,-1.970694745484143e-08,885.3,ASK
28,1712300561.5327291,5882393.15343274,869.0,-8.151558941086545e-09,885.3,ASK
29,1712300561.5337944,5882393.15343275,869.0,-6.877302286866482e-19,885.3,ASK
30,1712300564.722793,5882843.99424184,868.7,-3.0265546418299295e-08,885.3,ASK
31,1712300564.782591,5883544.29882241,868.7,-4.7012383002712806e-08,885.3,ASK
32,1712300572.5527954,5883679.2988224,869.1,9.062730533216064e-09,885.3,BID
33,1712300580.7027795,5883679.2988224,869.1,0.0,885.3,BID
34,1712300610.7481716,5883679.2988224,869.1,0.0,885.3,BID
35,1712300631.0730016,5883794.34714269,869.1,7.721355478424485e-09,885.3,BID
36,1712300640.5535405,5883794.34714269,869.1,0.0,885.3,BID
37,1712300647.5732722,5883851.91766658,868.5,-3.8637634683109305e-09,885.3,ASK
38,1712300647.575121,5884136.38512892,868.5,-1.9091627358107213e-08,885.3,ASK
39,1712300648.2744477,5884982.10259309,868.5,-5.6759119455517663e-08,885.3,ASK
40,1712300648.473424,5885833.25924687,868.5,-5.712416289596408e-08,885.3,ASK
41,1712300650.4630814,5886384.84809255,868.5,-3.701909740390559e-08,885.3,ASK
42,1712300650.9429996,5886689.83053714,868.3,-2.046846108504741e-08,885.3,ASK
43,1712300650.953278,5886778.63652972,868.3,-5.960087327934615e-09,885.3,ASK
44,1712300651.4930885,5887740.13640961,868.2,-6.452969088515755e-08,885.3,ASK
45,1712300660.1631615,5887978.13370868,868.2,-1.59728487353423e-08,885.3,ASK
46,1712300660.2031298,5888384.44561897,868.2,-2.7269043421004625e-08,885.3,ASK
47,1712300660.7633526,5888714.03874334,868.2,-2.2120171700828887e-08,885.3,ASK
48,1712300660.8681068,5889617.00811585,868.2,-6.06014994963378e-08,885.3,ASK
49,1712300660.869619,5890768.81645494,868.2,-7.730197125862952e-08,885.3,ASK
50,1712300660.8707783,5891782.00811585,868.2,-6.799891092397344e-08,885.3,ASK
51,1712300660.9031749,5892535.05571703,868.2,-5.0539713984680644e-08,885.3,ASK
52,1712300661.268415,5892720.07217831,868.1,-1.2417115492985111e-08,885.3,ASK
53,1712300661.269605,5892748.64296508,868.1,-1.9174875392124636e-09,885.3,ASK
54,1712300661.2739918,5892774.3553254,868.1,-1.725648331384144e-09,885.3,ASK
55,1712300661.32471,5893736.87158489,868.1,-6.45979037501481e-08,885.3,ASK
56,1712300661.327329,5894551.85512361,868.1,-5.4696455953944663e-08,885.3,ASK
57,1712300661.4231942,5895703.35310733,868.0,-7.72811422013981e-08,885.3,ASK
58,1712300661.4244273,5895933.74131145,868.1,-1.5462175197681634e-08,885.3,ASK
59,1712300661.433264,5896159.15461826,868.0,-1.5128292071741575e-08,885.3,ASK
60,1712300661.4345124,5896348.57937938,868.1,-1.2712972239197653e-08,885.3,ASK
61,1712300661.503121,5896378.57937938,868.0,-2.013407143407893e-09,885.3,ASK
62,1712300661.5133705,5897530.65311209,868.0,-7.731978277239342e-08,885.3,ASK
63,1712300661.5148842,5898499.73383224,868.0,-6.503846814962328e-08,885.3,ASK
64,1712300661.532866,5899542.10622226,868.0,-6.995733387189458e-08,885.3,ASK
65,1712300663.5933063,5899657.36671096,867.6,-7.735543043383655e-09,885.3,ASK
66,1712300663.5952544,5899887.88768835,867.6,-1.547108608607976e-08,885.3,ASK
67,1712300665.7832365,5899910.94244339,867.5,-1.547286949598331e-09,885.3,ASK
68,1712300665.785221,5900083.62041683,867.5,-1.1589035507770909e-08,885.3,ASK
69,1712300665.7871785,5900083.62041684,867.6,-6.250438415159449e-19,885.3,ASK
70,1712300668.7531316,5900256.30528207,868.2,1.1589498040463648e-08,885.3,BID
71,1712300670.5340788,5900256.30528207,868.2,0.0,885.3,BID
72,1712300671.7930992,5900313.89569902,868.2,3.8613948693879075e-09,885.3,BID
73,1712300700.7432578,5900313.89569902,868.2,0.0,885.3,BID
74,1712300701.1032848,5900313.89569904,867.5,-1.3764086908340481e-18,885.3,ASK
75,1712300701.46338,5900393.89569903,867.3,-5.3742093748230785e-09,885.3,ASK
76,1712300701.471881,5900411.42573477,867.3,-1.1776260303211327e-09,885.3,ASK
77,1712300707.5734112,5900440.13552376,867.3,-1.928655214501514e-09,885.3,ASK
78,1712300707.5753222,5900446.01584199,867.3,-3.9502576703440924e-10,885.3,ASK
79,1712300709.7851973,5900561.35609573,867.0,-7.748283412828864e-09,885.3,ASK
80,1712300709.7865324,5900568.35609573,867.2,-4.702433203572372e-10,885.3,ASK
81,1712300709.7878647,5901733.29265858,867.0,-7.825766247425134e-08,885.3,ASK
82,1712300709.7892158,5901810.66381044,867.3,-5.197609621555458e-09,885.3,ASK
83,1712300711.0082288,5901840.66381044,867.0,2.015328515816731e-09,885.3,BID
84,1712300719.723448,5901946.69985562,866.8,-7.123248851836178e-09,885.3,ASK
85,1712300719.7252984,5901958.23654228,866.8,-7.750071201172807e-10,885.3,ASK
86,1712300721.1833928,5902604.97639356,866.6,-4.3446442153329626e-08,885.3,ASK
87,1712300721.185178,5902604.97639357,866.8,-6.882043454170248e-19,885.3,ASK
88,1712300721.363464,5902765.62170576,866.6,-1.0791769286296689e-08,885.3,ASK
89,1712300721.365213,5903173.80577129,866.6,-2.7420832898825618e-08,885.3,ASK
90,1712300730.737255,5903173.80577129,866.6,-0.0,885.3,ASK
91,1712300732.2232535,5903183.80577129,866.4,-6.71664313099746e-10,885.3,ASK
92,1712300732.2243707,5903195.35178214,866.1,-7.75504344660572e-10,885.3,ASK
93,1712300732.2353635,5903751.14573954,866.1,-3.7330696662215163e-08,885.3,ASK
94,1712300742.2301028,5903769.00146905,866.0,-1.199305629565475e-09,885.3,ASK
95,1712300742.2339764,5903769.15382269,866.1,-1.0233050339256814e-11,885.3,ASK
96,1712300743.6532636,5903890.42913587,867.0,8.145629992296097e-09,885.3,BID
97,1712300757.22721,5904160.396566,866.9,1.8132748851733322e-08,885.3,BID
98,1712300760.4934175,5904160.396566,866.9,0.0,885.3,BID
99,1712300761.8151658,5905315.13097702,866.0,-7.75549367045673e-08,885.3,ASK
100,1712300761.8234072,5905345.13097702,866.1,-2.0148772556991552e-09,885.3,ASK
101,1712300761.825088,5905557.955755,866.0,-1.4293860153393313e-08,885.3,ASK
102,1712300761.9536045,5905557.95575506,866.0,-4.003201436398734e-18,885.3,ASK
103,1712300768.3633916,5906893.349955,866.0,8.968851336174778e-08,885.3,BID
104,1712300769.563337,5907505.33465016,866.0,-4.110246810378409e-08,885.3,ASK
105,1712300769.7933755,5907877.35033027,866.0,-2.498553108724189e-08,885.3,ASK
106,1712300770.5135715,5907877.35033028,866.0,-6.880502468810332e-19,885.3,ASK
107,1712300770.5158143,5908238.16128341,865.9,-2.4232992768959985e-08,885.3,ASK
108,1712300773.9633148,5909018.135775,865.9,-5.2385095437653456e-08,885.3,ASK
109,1712300774.363384,5909635.3133302,865.9,-4.1451233956663684e-08,885.3,ASK
110,1712300778.1646264,5910378.94628134,865.9,-4.9944303994708014e-08,885.3,ASK
111,1712300778.2233512,5910378.94628135,865.9,-6.880502468810332e-19,885.3,ASK
112,1712300778.3182435,5910436.6963391,865.8,-3.878642595822665e-09,885.3,ASK
113,1712300778.3191626,5910448.24768483,865.7,-7.758181261499451e-10,885.3,ASK
114,1712300778.3201935,5910454.13819072,865.8,-3.9562154476840735e-10,885.3,ASK
115,1712300790.4934444,5910454.13819072,865.8,-0.0,885.3,ASK
116,1712300792.073446,5910587.34601506,865.8,-8.943306875334384e-09,885.3,ASK
117,1712300801.7633567,5910593.34601506,865.9,4.0282799841403056e-10,885.3,BID
118,1712300804.2736113,5910593.34601508,865.8,-1.3130698301355421e-18,885.3,ASK
119,1712300804.2756724,5910663.28562319,865.8,-4.695605390809883e-09,885.3,ASK
120,1712300809.5936103,5910695.88788883,865.8,-2.1888509019314926e-09,885.3,ASK
121,1712300816.487728,5911077.79441766,865.8,-2.5640440431612803e-08,885.3,ASK
122,1712300816.489808,5911162.26922268,865.8,-5.671469437089981e-09,885.3,ASK
123,1712300820.74357,5911162.26922268,865.8,-0.0,885.3,ASK
124,1712300821.425446,5911220.25505799,865.7,-3.892892755154161e-09,885.3,ASK
125,1712300821.4915187,5911320.20927119,865.7,-6.7104497216126524e-09,885.3,ASK
126,1712300821.4942262,5911331.76195141,865.6,-7.755919164108384e-10,885.3,ASK
127,1712300821.4954116,5912487.29696412,865.4,-7.757711612242722e-08,885.3,ASK
128,1712300821.4965756,5912602.83711432,865.5,-7.756815284938123e-09,885.3,ASK
129,1712300821.4977496,5912614.39112934,865.5,-7.756815284875599e-10,885.3,ASK
130,1712300821.4989283,5912683.20626509,865.5,-4.6199203990694065e-09,885.3,ASK
131,1712300821.563562,5912694.76295063,865.3,-7.758608144777931e-10,885.3,ASK
132,1712300821.568737,5912925.89666147,865.3,-1.551721629236948e-08,885.3,ASK
133,1712300821.5839086,5913015.89666147,865.1,-6.042171266316474e-09,885.3,ASK
134,1712300821.586421,5913045.89666147,865.1,-2.014057088772158e-09,885.3,ASK
135,1712300821.5889869,5913790.17234649,865.0,-4.996712398055799e-08,885.3,ASK
136,1712300821.5915568,5913801.73036776,865.2,-7.75950489016551e-10,885.3,ASK
137,1712300821.594133,5913813.28972506,865.1,-7.760401836882186e-10,885.3,ASK
138,1712300821.59538,5913928.89666147,865.0,-7.761298992931083e-09,885.3,ASK
139,1712300846.3038807,5913934.89666147,865.0,-4.028114177544315e-10,885.3,ASK
140,1712300846.305613,5915475.77856607,865.0,-1.0344747076402509e-07,885.3,ASK
141,1712300846.5835316,5915590.73394647,865.0,-7.717556626217959e-09,885.3,ASK
142,1712300848.0337043,5916345.53484899,865.0,-5.067373694442152e-08,885.3,ASK
143,1712300848.03596,5916586.81093248,865.0,-1.619812687679919e-08,885.3,ASK
144,1712300850.7335775,5916586.81093248,865.0,-0.0,885.3,ASK
145,1712300851.993925,5917398.37435544,865.0,-5.44673413976969e-08,885.3,ASK
146,1712300854.4637403,5917501.60421315,865.0,-6.928178061336971e-09,885.3,ASK
147,1712300854.4657922,5917576.70129185,865.0,-5.0400721715402925e-09,885.3,ASK
148,1712300860.28452,5917606.70129185,865.0,-2.013422729145078e-09,885.3,ASK
149,1712300860.2884583,5919287.97339785,865.0,-1.128370490699487e-07,885.3,ASK
150,1712300877.873665,5919487.97339785,865.0,-1.3422818194300524e-08,885.3,ASK
151,1712300880.4538758,5919487.97339785,865.0,-0.0,885.3,ASK
152,1712300882.3736904,5919758.94729357,865.0,-1.8183104231984e-08,885.3,ASK
153,1712300887.2537096,5920001.72186004,865.0,-1.6290850582713022e-08,885.3,ASK
154,1712300887.2555437,5922771.74902512,865.0,-1.858765492307478e-07,885.3,ASK
155,1712300895.7038198,5923324.62070142,865.0,3.7099231608087e-08,885.3,BID
156,1712300910.5048313,5923324.62070142,865.0,0.0,885.3,BID
157,1712300914.276412,5923334.62070142,864.8,-6.708784924323497e-10,885.3,ASK
158,1712300915.084966,5923461.83240142,864.7,-8.534359351566837e-09,885.3,ASK
159,1712300919.5360365,5923461.83245115,864.7,-3.3362674396867096e-15,885.3,ASK
160,1712300929.8218458,5925781.22697664,864.7,1.556031902616422e-07,885.3,BID
161,1712300940.7037914,5925781.22697664,864.7,0.0,885.3,BID
162,1712300946.025377,5926781.22697664,864.9,6.707828992165503e-08,885.3,BID
163,1712300960.1939435,5927726.10735781,864.9,-6.338096014944946e-08,885.3,ASK
164,1712300960.1962726,5928043.88272587,864.9,-2.131582826868833e-08,885.3,ASK
165,1712300964.0839388,5928361.44212587,864.7,-2.130134150052523e-08,885.3,ASK
166,1712300970.754016,5928361.44212587,864.7,-0.0,885.3,ASK
167,1712300973.5672083,5928396.15229587,864.3,-2.327950376670585e-09,885.3,ASK
168,1712300973.5715208,5928419.29240925,864.3,-1.5519669209034987e-09,885.3,ASK
169,1712300973.5728211,5928648.60000041,864.0,-1.5379258966990476e-08,885.3,ASK
170,1712300973.5741315,5928752.25449165,864.7,-6.9519253845466285e-09,885.3,ASK
171,1712300973.575426,5929506.73569465,864.5,-5.060173432518312e-08,885.3,ASK
172,1712300973.576708,5929853.83739544,864.3,-2.327950381979869e-08,885.3,ASK
173,1712300973.5780263,5933323.24875197,864.7,-2.326873499695362e-07,885.3,ASK
174,1712300973.5793316,5935155.24875197,864.1,-1.228690349277369e-07,885.3,ASK
175,1712300982.33874,5935201.20052187,864.0,-3.081904814837578e-09,885.3,ASK
176,1712300982.3412576,5936358.60792927,864.0,-7.762528993748709e-08,885.3,ASK
177,1712300982.3501067,5937895.8571687,864.0,-1.0310061708086297e-07,885.3,ASK
178,1712300983.220785,5937910.32308699,864.1,9.70203831707689e-10,885.3,BID
179,1712300986.7541947,5938127.31186145,864.1,1.4553057482548636e-08,885.3,BID
180,1712301000.5940428,5938127.31186145,864.1,0.0,885.3,BID
181,1712301014.7041354,5938488.95981884,864.1,-2.433114303546925e-08,885.3,ASK
182,1712301018.0941148,5939646.36722624,864.0,-7.786866925224609e-08,885.3,ASK
183,1712301018.0966418,5942677.44244513,864.0,-2.039262857566999e-07,885.3,ASK
184,1712301018.098943,5942726.74717863,864.0,-3.3171500034690316e-09,885.3,ASK
185,1712301021.2640655,5942741.79173365,864.1,1.01217554974779e-09,885.3,BID
186,1712301022.5738797,5943237.08574165,864.1,3.3322652892175894e-08,885.3,BID
187,1712301025.1244037,5943775.07009006,864.1,3.6194796250101634e-08,885.3,BID
188,1712301025.2040207,5943793.20881616,864.1,1.220346832353523e-09,885.3,BID
189,1712301030.4940782,5943793.20881616,864.1,0.0,885.3,BID
190,1712301033.094359,5944063.17624628,864.2,-1.8157031699636888e-08,885.3,ASK
