,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.494393,17439403.14150958,63.91,0.0,65.88,BID
1,1712300397.1839314,17441411.19604613,63.91,6.535553127574942e-07,65.88,BID
2,1712300400.142235,17441411.19604613,63.91,0.0,65.88,BID
3,1712300430.1024806,17441411.19604613,63.91,0.0,65.88,BID
4,1712300442.802377,17443574.21765139,63.91,-7.049214598011116e-07,65.88,ASK
5,1712300442.8824444,17451084.782888,63.91,-2.447667927886539e-06,65.88,ASK
6,1712300443.002319,17453118.89335587,63.91,-6.629097540774183e-07,65.88,ASK
7,1712300460.1623626,17453118.89335587,63.91,-0.0,65.88,ASK
8,1712300475.1726043,17456871.70937592,63.92,-1.222731946463909e-06,65.88,ASK
9,1712300480.8126843,17457871.70937592,63.93,-3.258171836643033e-07,65.88,ASK
10,1712300480.8139143,17466628.28008939,63.92,-2.8530412084194287e-06,65.88,ASK
11,1712300480.8153288,17493399.12658392,63.91,-8.722401809156955e-06,65.88,ASK
12,1712300480.85252,17493399.12658451,63.91,-1.929884113469132e-16,65.88,ASK
13,1712300490.1524537,17493399.12658451,63.91,-0.0,65.88,ASK
14,1712300511.1327448,17494179.12658451,63.91,-2.5392441105277656e-07,65.88,ASK
15,1712300520.1027632,17494179.12658451,63.91,-0.0,65.88,ASK
16,1712300550.102691,17494179.12658451,63.91,-0.0,65.88,ASK
17,1712300556.9028184,17494259.12658451,63.9,2.604310670316054e-08,65.88,BID
18,1712300557.0227582,17495179.12658451,63.9,-2.994957270863463e-07,65.88,ASK
19,1712300580.1461363,17495179.12658451,63.9,-0.0,65.88,ASK
20,1712300608.7299683,17496179.12658451,63.76,-3.255320620938568e-07,65.88,ASK
21,1712300608.730578,17498179.12658451,63.75,-6.510641241877136e-07,65.88,ASK
22,1712300610.15284,17498179.12658451,63.75,-0.0,65.88,ASK
23,1712300640.1074803,17498179.12658451,63.75,-0.0,65.88,ASK
24,1712300662.32334,17513612.52168988,63.72,-5.023752148610401e-06,65.88,ASK
25,1712300662.3247106,17518612.52168929,63.72,-1.6275589764002952e-06,65.88,ASK
26,1712300662.3260574,17524604.47235551,63.72,-1.9504506188227625e-06,65.88,ASK
27,1712300662.3862672,17524604.4723561,63.72,-1.9159489743538963e-16,65.88,ASK
28,1712300662.5432286,17527356.83969777,63.71,-8.959280347637116e-07,65.88,ASK
29,1712300662.544603,17527574.82833333,63.71,-7.095787211974779e-08,65.88,ASK
30,1712300662.7481675,17528593.19411041,63.7,-3.314900723880327e-07,65.88,ASK
31,1712300662.749527,17528907.16585295,63.7,-1.0220150559370574e-07,65.88,ASK
32,1712300670.1134171,17528907.16585295,63.7,-0.0,65.88,ASK
33,1712300700.1532109,17528907.16585295,63.7,-0.0,65.88,ASK
34,1712300700.6444628,17560194.50491497,63.7,-1.0184166560549642e-05,65.88,ASK
35,1712300728.3731835,17560975.88765301,63.65,-2.5434352010536814e-07,65.88,ASK
36,1712300728.4342992,17561132.99684389,63.65,-5.1139733069604473e-08,65.88,ASK
37,1712300728.435742,17561137.16006028,63.65,-1.3551452572054208e-09,65.88,ASK
38,1712300728.4371653,17561395.84323638,63.6,-8.42025122876294e-08,65.88,ASK
39,1712300728.4382603,17563638.58301501,63.6,-7.300216682622485e-07,65.88,ASK
40,1712300728.4531558,17563638.58301624,63.6,-4.001574677712599e-16,65.88,ASK
41,1712300730.1559672,17563638.58301624,63.6,-0.0,65.88,ASK
42,1712300752.2331812,17567733.54121624,63.66,1.3319678374925706e-06,65.88,BID
43,1712300760.1220365,17567733.54121624,63.66,0.0,65.88,BID
44,1712300768.7619357,17569306.36285826,63.56,-5.115486207595733e-07,65.88,ASK
45,1712300778.9537246,17570879.43191599,63.53,-5.116290908929007e-07,65.88,ASK
46,1712300778.9549606,17571879.43191599,63.51,-3.2524261308037175e-07,65.88,ASK
47,1712300778.9637024,17572194.39254591,63.5,-1.0243861829186656e-07,65.88,ASK
48,1712300778.9648418,17580067.1684867,63.51,-2.560562219179073e-06,65.88,ASK
49,1712300778.9659903,17586567.1684867,63.5,-2.1140769850224164e-06,65.88,ASK
50,1712300778.9671545,17586724.59921717,63.52,-5.1203182157059976e-08,65.88,ASK
51,1712300778.9683037,17631352.37613976,63.5,-1.4514854782271418e-05,65.88,ASK
52,1712300778.9767723,17667637.96362467,63.5,-1.1801619290748915e-05,65.88,ASK
53,1712300778.9774728,17668967.31268823,63.48,-4.323609631283189e-07,65.88,ASK
54,1712300779.3333242,17672637.96362423,63.48,-1.1938521021305684e-06,65.88,ASK
55,1712300779.3548822,17672637.96362467,63.48,-1.4297153183625591e-16,65.88,ASK
56,1712300782.9335752,17673637.96362467,63.46,-3.2524261308037175e-07,65.88,ASK
57,1712300782.9391098,17676789.5551784,63.46,-1.025031872296858e-06,65.88,ASK
58,1712300790.115243,17676789.5551784,63.46,-0.0,65.88,ASK
59,1712300820.1474326,17676789.5551784,63.46,-0.0,65.88,ASK
60,1712300827.843758,17677734.43706816,63.5,3.0662523887062146e-07,65.88,BID
61,1712300850.1567912,17677734.43706816,63.5,0.0,65.88,BID
62,1712300864.693684,17677734.43706845,63.42,-9.429238974195891e-17,65.88,ASK
63,1712300864.7037084,17679818.87434507,63.4,-6.764111371982976e-07,65.88,ASK
64,1712300864.704972,17679976.57817727,63.41,-5.11757440120659e-08,65.88,ASK
65,1712300871.6436958,17680606.51518514,63.46,2.044179561727289e-07,65.88,BID
66,1712300876.1436615,17680706.51518514,63.46,3.2450539279118544e-08,65.88,BID
67,1712300880.0936482,17680706.51518514,63.46,0.0,65.88,BID
68,1712300910.1074896,17680706.51518514,63.46,0.0,65.88,BID
69,1712300917.5038283,17680732.83623777,63.4,8.540801156610674e-09,65.88,BID
70,1712300940.1464243,17680732.83623777,63.4,0.0,65.88,BID
71,1712300942.4044828,17681732.83623777,63.38,-3.244853711629157e-07,65.88,ASK
72,1712300942.4065883,17706849.78326575,63.35,-8.150081878853798e-06,65.88,ASK
73,1712300942.408594,17706949.78326575,63.38,-3.2448537116291565e-08,65.88,ASK
74,1712300942.4105854,17708528.06609403,63.36,-5.121296893341156e-07,65.88,ASK
75,1712300942.423937,17710059.45851748,63.35,-4.969144389195574e-07,65.88,ASK
76,1712300970.153926,17710059.45851748,63.35,-0.0,65.88,ASK
77,1712300994.9139297,17717245.45851748,63.36,-2.330347008315752e-06,65.88,ASK
78,1712301000.1173878,17717245.45851748,63.36,-0.0,65.88,ASK
79,1712301008.2440088,17721811.8989342,63.37,-1.4845802832716245e-06,65.88,ASK
80,1712301009.2843676,17722600.8989342,63.38,-2.565091705155155e-07,65.88,ASK
81,1712301010.3739014,17730115.41505117,63.37,-2.4430193865516657e-06,65.88,ASK
82,1712301014.2041707,17736898.41505117,63.38,2.205198610401447e-06,65.88,BID
83,1712301023.0641928,17740650.75165117,63.39,1.2199096942477787e-06,65.88,BID
84,1712301023.066285,17742473.75165117,63.39,5.926694776296384e-07,65.88,BID
85,1712301023.144057,17744034.49183973,63.4,-5.074070610356821e-07,65.88,ASK
86,1712301023.1641438,17747699.79353973,63.45,1.191614066864432e-06,65.88,BID
