,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.5311544,10915404.64135733,95.34,0.0,98.76,BID
1,1712300400.4433253,10915404.64135733,95.34,0.0,98.76,BID
2,1712300430.3824885,10915404.64135733,95.34,0.0,98.76,BID
3,1712300446.4453793,10916442.84733739,95.25,-3.581933716158037e-07,98.76,ASK
4,1712300457.242448,10917490.40652448,95.46,3.614203389289373e-07,98.76,BID
5,1712300460.522462,10917490.40652448,95.46,0.0,98.76,BID
6,1712300490.5041122,10917490.40652448,95.46,0.0,98.76,BID
7,1712300507.9426508,10920363.84995616,95.39,9.91304027767441e-07,98.76,BID
8,1712300520.0427706,10920863.84995616,95.39,1.724940913814177e-07,98.76,BID
9,1712300520.3625908,10920863.84995616,95.39,0.0,98.76,BID
10,1712300550.3540232,10920863.84995616,95.39,0.0,98.76,BID
11,1712300580.4827435,10920863.84995616,95.39,0.0,98.76,BID
12,1712300588.583013,10949188.64701716,95.25,-9.770635580997397e-06,98.76,ASK
13,1712300588.5842545,10972355.84482516,95.25,-7.991522295018042e-06,98.76,ASK
14,1712300588.6028557,10976948.7359734,95.25,-1.5843172883460465e-06,98.76,ASK
15,1712300610.5130284,10976948.7359734,95.25,-0.0,98.76,ASK
16,1712300640.3829694,10976948.7359734,95.25,-0.0,98.76,ASK
17,1712300660.7932012,10991571.0797554,95.06,-5.034698154723778e-06,98.76,ASK
18,1712300660.7943256,10991571.07975627,95.06,-2.995045706763366e-16,98.76,ASK
19,1712300660.8730774,11001571.07975627,95.01,-3.44315400443626e-06,98.76,ASK
20,1712300660.8740757,11001632.09165627,95.02,-2.1007336780420865e-08,98.76,ASK
21,1712300660.8833258,11003935.349551,95.0,-7.930471643489701e-07,98.76,ASK
22,1712300660.8843634,11003998.341651,95.05,-2.1689150136416275e-08,98.76,ASK
23,1712300660.885423,11005050.97322842,95.0,-3.62437263098669e-07,98.76,ASK
24,1712300660.8864443,11015576.18110127,95.01,-3.6239911634930335e-06,98.76,ASK
25,1712300660.8874922,11016576.18110127,95.0,-3.44315400443626e-07,98.76,ASK
26,1712300660.9131784,11016576.18110279,95.0,-5.233313269205368e-16,98.76,ASK
27,1712300660.9145117,11016629.99077715,94.89,-1.8527499574955643e-08,98.76,ASK
28,1712300660.923313,11017129.99077715,94.91,-1.7215770022181296e-07,98.76,ASK
29,1712300660.924638,11017183.7032574,94.95,-1.8494034146355962e-08,98.76,ASK
30,1712300660.925941,11029158.81390016,94.9,-4.123215016318336e-06,98.76,ASK
31,1712300662.446432,11037884.54030216,94.88,3.0044019802660094e-06,98.76,BID
32,1712300665.9351149,11039183.54030215,94.88,4.472657051730634e-07,98.76,BID
33,1712300666.013134,11040237.83655939,94.85,-3.630104379980469e-07,98.76,ASK
34,1712300666.0145254,11040313.49008526,94.87,-2.6048674054360946e-08,98.76,ASK
35,1712300666.015946,11040734.99783315,94.85,-1.4513160900498353e-07,98.76,ASK
36,1712300667.9653857,11053430.2855021,94.88,4.37118305748184e-06,98.76,BID
37,1712300667.9671595,11060146.52773006,94.88,2.312505632196568e-06,98.76,BID
38,1712300670.3740408,11060146.52773006,94.88,0.0,98.76,BID
39,1712300670.6930585,11061405.84539874,94.88,4.3242624881426083e-07,98.76,BID
40,1712300672.8131802,11061521.78131779,94.88,3.98102367843535e-08,98.76,BID
41,1712300673.2432594,11064344.25329233,94.88,9.691843437828948e-07,98.76,BID
42,1712300673.2448103,11064447.62379151,94.88,3.549550547129848e-08,98.76,BID
43,1712300700.513215,11064447.62379151,94.88,0.0,98.76,BID
44,1712300715.927207,11064658.15010729,95.0,7.247851000218457e-08,98.76,BID
45,1712300730.5046103,11064658.15010729,95.0,0.0,98.76,BID
46,1712300733.8448377,11064658.15010842,94.85,-3.88599847538789e-16,98.76,ASK
47,1712300733.913567,11064763.62421452,94.81,-3.631162873603233e-08,98.76,ASK
48,1712300733.9153345,11075580.20959271,94.8,-3.723831819604008e-06,98.76,ASK
49,1712300733.9168427,11076733.4796349,94.8,-3.970369141045488e-07,98.76,ASK
50,1712300733.9182837,11081809.4796349,94.8,1.7475173222804375e-06,98.76,BID
51,1712300738.0433986,11083721.30872505,94.68,-6.581864563193264e-07,98.76,ASK
52,1712300738.0448549,11083870.89588585,94.71,-5.149845443028797e-08,98.76,ASK
53,1712300738.0465422,11086645.21814115,94.7,-9.55117454437649e-07,98.76,ASK
54,1712300760.3462398,11086645.21814115,94.7,-0.0,98.76,ASK
55,1712300768.0434468,11087697.29599491,94.9,3.619397643808609e-07,98.76,BID
56,1712300778.743299,11098285.46690391,94.68,-3.642582219873508e-06,98.76,ASK
57,1712300778.7633429,11098285.46690476,94.68,-2.9220213777624194e-16,98.76,ASK
58,1712300790.3440225,11098285.46690476,94.68,-0.0,98.76,ASK
59,1712300804.5135477,11098340.38448676,94.64,-1.8885790267138092e-08,98.76,ASK
60,1712300804.5151758,11098777.76089576,94.64,-1.5041083069258417e-07,98.76,ASK
61,1712300810.0943143,11103467.14069153,94.6,-1.612646443654011e-06,98.76,ASK
62,1712300810.0950549,11110338.44271393,94.6,-2.362994948648063e-06,98.76,ASK
63,1712300815.4366305,11112338.44271393,94.5,-6.877866642872239e-07,98.76,ASK
64,1712300815.4382446,11116543.14405454,94.5,-1.4459687546911407e-06,98.76,ASK
65,1712300817.983486,11116669.94033518,94.64,4.3604395453087454e-08,98.76,BID
66,1712300820.4832735,11116669.94033518,94.64,0.0,98.76,BID
67,1712300850.5050378,11116669.94033518,94.64,0.0,98.76,BID
68,1712300880.313913,11116669.94033518,94.64,0.0,98.76,BID
69,1712300910.3550632,11116669.94033518,94.64,0.0,98.76,BID
70,1712300940.483833,11116669.94033518,94.64,0.0,98.76,BID
71,1712300951.5480924,11117667.77454282,94.67,3.429434899897059e-07,98.76,BID
72,1712300951.9239876,11123886.95984459,94.67,2.137458403363273e-06,98.76,BID
73,1712300952.1238706,11124803.87256627,94.67,3.1513175874482986e-07,98.76,BID
74,1712300970.515148,11124803.87256627,94.67,0.0,98.76,BID
75,1712301000.394018,11124803.87256627,94.67,0.0,98.76,BID
76,1712301030.3453176,11124803.87256627,94.67,0.0,98.76,BID
77,1712301046.08418,11127232.94867996,94.67,8.361125215575061e-07,98.76,BID
78,1712301051.744104,11137804.89074496,94.67,-3.638969189936496e-06,98.76,ASK
79,1712301060.519544,11137804.89074496,94.67,-0.0,98.76,ASK
80,1712301077.8441298,11138322.13837905,94.68,1.779664610747905e-07,98.76,BID
81,1712301090.5065155,11138322.13837905,94.68,0.0,98.76,BID
82,1712301092.605017,11138375.02553201,94.7,1.819627628519066e-08,98.76,BID
83,1712301120.3242772,11138375.02553201,94.7,0.0,98.76,BID
84,1712301127.6943133,11140345.53813151,94.6,-6.779705068549319e-07,98.76,ASK
85,1712301127.774281,11150002.93250851,94.6,-3.3227032206377826e-06,98.76,ASK
86,1712301127.794713,11150002.93250875,94.6,-8.267066317374671e-17,98.76,ASK
87,1712301150.3845344,11150002.93250875,94.6,-0.0,98.76,ASK
88,1712301180.4750855,11150002.93250875,94.6,-0.0,98.76,ASK
89,1712301186.803682,11154953.52627292,94.66,-1.702646705076441e-06,98.76,ASK
90,1712301186.8050883,11191750.57165781,94.66,-1.265552599661178e-05,98.76,ASK
91,1712301192.8135908,11209872.01803746,94.69,-6.232468758158713e-06,98.76,ASK
92,1712301192.913802,11219920.82497689,94.69,-3.456063825958575e-06,98.76,ASK
93,1712301192.9162445,11232445.29913642,94.69,-4.307514548027533e-06,98.76,ASK
94,1712301199.693249,11233655.11625722,94.6,4.160897121842058e-07,98.76,BID
95,1712301210.5045407,11233655.11625722,94.6,0.0,98.76,BID
96,1712301228.4224627,11243457.73382209,94.65,-3.362234433142644e-06,98.76,ASK
97,1712301228.502278,11243655.11625722,94.65,6.770089881602744e-08,98.76,BID
98,1712301228.5825467,11253250.29457488,94.69,-3.2910841128181005e-06,98.76,ASK
99,1712301228.5844266,11283084.1153776,94.69,-1.0232807605857384e-05,98.76,ASK
100,1712301240.3438623,11283084.1153776,94.69,-0.0,98.76,ASK
101,1712301250.2747304,11300584.370689,94.54,-5.992854546999622e-06,98.76,ASK
102,1712301252.9117134,11301037.61246814,94.7,1.5520985315264298e-07,98.76,BID
103,1712301253.01802,11301745.93351897,94.7,-2.42560177247135e-07,98.76,ASK
104,1712301253.140344,11301745.93351898,94.7,-3.1892567432271164e-18,98.76,ASK
105,1712301270.3323996,11301745.93351898,94.7,-0.0,98.76,ASK
106,1712301270.4712734,11304604.71531143,94.82,9.78381030810425e-07,98.76,BID
107,1712301300.4019313,11304604.71531143,94.82,0.0,98.76,BID
108,1712301330.359411,11304604.71531143,94.82,0.0,98.76,BID
109,1712301360.3715997,11304604.71531143,94.82,0.0,98.76,BID
110,1712301390.3390856,11304604.71531143,94.82,0.0,98.76,BID
111,1712301411.168335,11306713.9749613,94.92,7.22915407501816e-07,98.76,BID
112,1712301411.1699612,11306713.97496311,94.94,6.205172040390475e-16,98.76,BID
113,1712301411.178289,11318351.38094124,94.94,3.988536966260331e-06,98.76,BID
114,1712301411.179889,11320266.75756324,94.94,6.56465064080212e-07,98.76,BID
115,1712301420.4896326,11320266.75756324,94.94,0.0,98.76,BID
116,1712301450.489046,11320266.75756324,94.94,0.0,98.76,BID
117,1712301452.2876396,11321947.44466083,95.0,-5.757355580554676e-07,98.76,ASK
118,1712301452.367697,11323506.62871356,94.94,5.341135194038593e-07,98.76,BID
119,1712301452.3875663,11340866.62871356,95.2,-5.946835256951391e-06,98.76,ASK
120,1712301452.407636,11351763.56135886,95.2,-3.732849265420336e-06,98.76,ASK
121,1712301452.4096248,11358226.62871356,95.18,2.213985991531056e-06,98.76,BID
122,1712301480.3585925,11358226.62871356,95.18,0.0,98.76,BID
123,1712301503.2965286,11360218.3653931,94.93,-6.814452075520991e-07,98.76,ASK
124,1712301503.396718,11363493.6675843,94.93,-1.120599426824013e-06,98.76,ASK
125,1712301510.356639,11363493.6675843,94.93,-0.0,98.76,ASK
126,1712301540.506107,11363493.6675843,94.93,-0.0,98.76,ASK
127,1712301570.5057282,11363493.6675843,94.93,-0.0,98.76,ASK
128,1712301600.3652542,11363493.6675843,94.93,-0.0,98.76,ASK
129,1712301630.3592904,11363493.6675843,94.93,-0.0,98.76,ASK
130,1712301660.484295,11363493.6675843,94.93,-0.0,98.76,ASK
131,1712301690.5385869,11363493.6675843,94.93,-0.0,98.76,ASK
132,1712301720.3634994,11363493.6675843,94.93,-0.0,98.76,ASK
133,1712301750.339896,11363493.6675843,94.93,-0.0,98.76,ASK
134,1712301753.3433282,11367526.70541262,94.91,-1.3846672630341113e-06,98.76,ASK
135,1712301753.3473785,11367632.05728788,94.92,-3.617057388985455e-08,98.76,ASK
136,1712301780.5228608,11367632.05728788,94.92,-0.0,98.76,ASK
137,1712301810.5040786,11367632.05728788,94.92,-0.0,98.76,ASK
138,1712301817.0458136,11388313.4082119,94.91,-7.099593306260686e-06,98.76,ASK
139,1712301823.8135655,11393752.89785967,94.91,-1.8672940870574724e-06,98.76,ASK
140,1712301840.3648028,11393752.89785967,94.91,-0.0,98.76,ASK
141,1712301868.9318838,11404289.19540471,95.04,3.6138751611086216e-06,98.76,BID
142,1712301870.4119492,11404289.19540471,95.04,0.0,98.76,BID
143,1712301880.7019422,11423152.85068142,95.04,6.467878193512387e-06,98.76,BID
144,1712301880.703662,11432503.17272859,95.04,3.205992856849839e-06,98.76,BID
145,1712301894.6116834,11434986.07879373,95.14,8.513267317329208e-07,98.76,BID
146,1712301894.7317166,11440239.69836012,95.14,1.8013354745948189e-06,98.76,BID
147,1712301894.8516471,11441312.13276204,95.14,3.6771108146273066e-07,98.76,BID
148,1712301895.39192,11443324.33939604,95.15,6.899356046317136e-07,98.76,BID
149,1712301895.431945,11443324.33939656,95.15,1.7818465895294627e-16,98.76,BID
150,1712301895.4515584,11449172.38199056,95.17,2.0051483455147872e-06,98.76,BID
151,1712301895.5116034,11449172.38199137,95.17,2.778147908406152e-16,98.76,BID
152,1712301900.5138433,11449172.38199137,95.17,0.0,98.76,BID
153,1712301902.5617473,11449277.42400817,95.2,3.5993284230636915e-08,98.76,BID
154,1712301917.4716058,11464055.81803843,95.2,5.063906358669577e-06,98.76,BID
155,1712301917.4817538,11471033.79365102,95.3,2.391045671328247e-06,98.76,BID
156,1712301917.4830365,11472710.2077018,95.2,5.744334434531082e-07,98.76,BID
157,1712301917.4840074,11496255.9453178,95.3,8.068089820117272e-06,98.76,BID
158,1712301917.484991,11501037.9453178,95.2,1.638581307114601e-06,98.76,BID
159,1712301930.503389,11501037.9453178,95.2,0.0,98.76,BID
160,1712301960.3611984,11501037.9453178,95.2,0.0,98.76,BID
161,1712301990.3421495,11501037.9453178,95.2,0.0,98.76,BID
162,1712302020.5222805,11501037.9453178,95.2,0.0,98.76,BID
