,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.5334315,35454363.18307384,172.9,0.0,173.9,ASK
1,1712300400.262187,35454363.18307384,172.9,-0.0,173.9,ASK
2,1712300406.00255,35457012.81989963,173.0,1.547286188112725e-07,173.9,BID
3,1712300406.0041811,35458168.8892638,173.0,6.751001277852516e-08,173.9,BID
4,1712300406.0060024,35466175.91502312,173.0,4.675795657976048e-07,173.9,BID
5,1712300409.4922369,35471946.70601699,173.0,-3.369920402819223e-07,173.9,ASK
6,1712300411.0624228,35494031.00397712,173.0,-1.2896382204251164e-06,173.9,ASK
7,1712300411.0640378,35509447.37608275,173.0,-9.002569483351902e-07,173.9,ASK
8,1712300411.0675745,35523061.81999199,173.0,-7.950312591728931e-07,173.9,ASK
9,1712300416.9024868,35526526.2913958,173.1,2.0231183006068733e-07,173.9,BID
10,1712300420.8423152,35526749.55540504,173.1,1.3037761041222502e-08,173.9,BID
11,1712300422.0055966,35526779.55540504,173.0,-1.751884831593787e-09,173.9,ASK
12,1712300429.312424,35527005.45540504,173.0,-1.31916927818142e-08,173.9,ASK
13,1712300430.182336,35527005.45540504,173.0,-0.0,173.9,ASK
14,1712300431.2825935,35528737.69110694,173.1,1.0108173188514913e-07,173.9,BID
15,1712300432.60433,35529315.10300757,173.1,3.369391062838304e-08,173.9,BID
16,1712300435.132517,35530324.48486776,173.1,5.8900798805659683e-08,173.9,BID
17,1712300448.2025368,35549906.97421376,173.0,-1.1427035798587132e-06,173.9,ASK
18,1712300449.6523514,35550121.80036509,173.1,1.253582258307311e-08,173.9,BID
19,1712300454.2927382,35551717.19204619,173.1,9.309642676453061e-08,173.9,BID
20,1712300456.2826009,35560393.25887105,173.0,-5.062774422950611e-07,173.9,ASK
21,1712300456.2842934,35560393.25887107,173.0,-1.3042986981434277e-18,173.9,ASK
22,1712300460.2636998,35560393.25887107,173.0,-0.0,173.9,ASK
23,1712300464.5326228,35560451.02894617,173.1,3.369940647713433e-09,173.9,BID
24,1712300473.167856,35562183.26508113,173.1,1.01047695589344e-07,173.9,BID
25,1712300486.9825573,35566855.78150922,173.1,2.7256504360617884e-07,173.9,BID
26,1712300490.2524035,35566855.78150922,173.1,0.0,173.9,BID
