,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712300395.517843,16417403.45304809,185.7,0.0,188.3,ASK
1,1712300400.174528,16417403.45304809,185.7,-0.0,188.3,ASK
2,1712300416.3621285,16417903.45304809,185.7,-4.7200462325702135e-08,188.3,ASK
3,1712300430.1322956,16417903.45304809,185.7,-0.0,188.3,ASK
4,1712300460.192305,16417903.45304809,185.7,-0.0,188.3,ASK
5,1712300470.3424094,16418003.45304809,185.7,-9.440009722267148e-09,188.3,ASK
6,1712300488.9125152,16418647.07615918,185.9,6.075808426162519e-08,188.3,BID
7,1712300488.913725,16419077.51526388,185.9,4.06334933321632e-08,188.3,BID
8,1712300490.1736765,16419077.51526388,185.9,0.0,188.3,BID
9,1712300520.13264,16419077.51526388,185.9,0.0,188.3,BID
10,1712300550.1226935,16419077.51526388,185.9,0.0,188.3,BID
11,1712300570.7456446,16425911.95432388,185.7,-6.451584203636288e-07,188.3,ASK
12,1712300570.8028386,16428458.11857766,185.7,-2.403532014160751e-07,188.3,ASK
13,1712300570.8128543,16428558.11857766,185.7,-9.43981524598688e-09,188.3,ASK
14,1712300570.882926,16430960.31843489,185.6,-2.267632283619887e-07,188.3,ASK
15,1712300580.1737626,16430960.31843489,185.6,-0.0,188.3,ASK
16,1712300582.2145672,16440352.04260689,185.6,-8.863767959235033e-07,188.3,ASK
17,1712300608.7162127,16445739.97364095,185.6,-5.085048239454582e-07,188.3,ASK
18,1712300608.7245157,16445739.97364189,185.6,-8.859999784671922e-17,188.3,ASK
19,1712300608.7327754,16445739.97364231,185.6,-3.972936411380663e-17,188.3,ASK
20,1712300610.1860285,16445739.97364231,185.6,-0.0,188.3,ASK
21,1712300640.13308,16445739.97364231,185.6,-0.0,188.3,ASK
22,1712300657.0502863,16447020.59161469,185.5,-1.2083151525343913e-07,188.3,ASK
23,1712300657.0628738,16450090.51472308,185.5,-2.896597337369891e-07,188.3,ASK
24,1712300663.4331155,16450629.5982805,185.5,-5.0864726636937546e-08,188.3,ASK
25,1712300663.4464262,16457973.05904108,185.5,-6.928853959905925e-07,188.3,ASK
26,1712300663.453407,16457973.05904161,185.5,-5.008822191735317e-17,188.3,ASK
27,1712300670.1342351,16457973.05904161,185.5,-0.0,188.3,ASK
28,1712300689.252226,16460131.7206714,185.3,-2.0363490558456402e-07,188.3,ASK
29,1712300700.1841924,16460131.7206714,185.3,-0.0,188.3,ASK
30,1712300730.1816566,16460131.7206714,185.3,-0.0,188.3,ASK
31,1712300760.1335442,16460131.7206714,185.3,-0.0,188.3,ASK
32,1712300761.7334805,16460671.67747445,185.2,-5.103234796917103e-08,188.3,ASK
33,1712300761.7352648,16460703.10007445,185.3,-2.9698098962720476e-09,188.3,ASK
34,1712300761.736983,16460772.9256684,185.2,-6.5993501470760555e-09,188.3,ASK
35,1712300761.7944682,16460772.9256688,185.2,-3.7849061805078886e-17,188.3,ASK
36,1712300761.7961984,16461852.8392754,185.2,-1.0206469598552136e-07,188.3,ASK
37,1712300761.813413,16461852.83927571,185.2,-2.9399038704410115e-17,188.3,ASK
38,1712300763.003525,16462068.83068573,185.1,-2.0413760382636933e-08,188.3,ASK
