,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.1387486,958783.2467717,334.5,0.0,337.0,BID
1,1712365229.5652816,958842.94826344,335.0,7.75236674694224e-09,337.0,BID
2,1712365229.5753574,959055.81048983,335.0,2.7640616631994892e-08,337.0,BID
3,1712365230.8354237,959055.81048983,335.0,0.0,337.0,BID
4,1712365260.5756466,959055.81048983,335.0,0.0,337.0,BID
5,1712365274.8253276,959309.44188308,335.0,3.2934189899120616e-08,337.0,BID
6,1712365290.5254903,959309.44188308,335.0,0.0,337.0,BID
7,1712365320.8254526,959309.44188308,335.0,0.0,337.0,BID
8,1712365350.8054843,959309.44188308,335.0,0.0,337.0,BID
9,1712365368.08595,960476.15272368,335.0,1.514964372363827e-07,337.0,BID
10,1712365368.087257,963257.02035435,335.0,3.61093360764385e-07,337.0,BID
11,1712365368.1255572,976303.95394635,335.0,-1.694133531005227e-06,337.0,ASK
12,1712365368.145649,978768.63607024,335.0,-3.2003693434230094e-07,337.0,ASK
13,1712365368.1469636,984477.49964524,335.0,-7.412912113136004e-07,337.0,ASK
14,1712365380.5754352,984477.49964524,335.0,-0.0,337.0,ASK
15,1712365410.546384,984477.49964524,335.0,-0.0,337.0,ASK
16,1712365440.809526,984477.49964524,335.0,-0.0,337.0,ASK
17,1712365458.3362775,985008.06826983,334.5,-6.881855451079533e-08,337.0,ASK
18,1712365458.337798,985263.67365099,334.5,-3.315385049428821e-08,337.0,ASK
19,1712365463.015739,986049.84765674,334.5,-1.0197240500508354e-07,337.0,ASK
20,1712365470.7856047,986049.84765674,334.5,-0.0,337.0,ASK
21,1712365491.6756942,986109.56697593,334.9,7.745495461318171e-09,337.0,BID
22,1712365500.5167322,986109.56697593,334.9,0.0,337.0,BID
23,1712365526.9994824,986408.16357192,334.9,3.876533387655405e-08,337.0,BID
24,1712365530.8257172,986408.16357192,334.9,0.0,337.0,BID
25,1712365538.9458294,987900.90779401,334.9,1.9379315669730632e-07,337.0,BID
26,1712365552.5457697,988608.15735936,334.5,-9.181755575652305e-08,337.0,ASK
27,1712365552.5496323,988673.76832833,334.5,-8.517840231772668e-09,337.0,ASK
28,1712365557.0858383,990954.5613635,334.5,-2.9610034694354097e-07,337.0,ASK
29,1712365557.0868876,997769.19522242,334.4,-8.846990580927848e-07,337.0,ASK
30,1712365560.5270207,997769.19522242,334.4,-0.0,337.0,ASK
31,1712365568.9633822,998170.25814783,334.4,5.2041684805867294e-08,337.0,BID
32,1712365590.5758617,998170.25814783,334.4,0.0,337.0,BID
33,1712365612.8618195,998370.25814783,334.1,-2.5951428494942645e-08,337.0,ASK
34,1712365612.8629177,1000165.23016197,334.1,-2.3291043937688545e-07,337.0,ASK
35,1712365612.8656497,1006780.36150927,334.0,-8.583605407205502e-07,337.0,ASK
36,1712365619.4658291,1007008.78366495,334.0,2.963940619895328e-08,337.0,BID
37,1712365620.7956574,1007008.78366495,334.0,0.0,337.0,BID
38,1712365631.7972178,1010161.27910495,334.0,4.089021586472816e-07,337.0,BID
39,1712365631.7985663,1010161.27910592,334.0,1.2581265885042523e-16,337.0,BID
40,1712365650.8278728,1010161.27910592,334.0,0.0,337.0,BID
41,1712365677.4959412,1010760.08150112,334.0,-7.765852830917461e-08,337.0,ASK
42,1712365680.5157166,1010760.08150112,334.0,-0.0,337.0,ASK
43,1712365690.7357924,1010775.08150112,334.0,1.9452956771969195e-09,337.0,BID
44,1712365710.5857563,1010775.08150112,334.0,0.0,337.0,BID
45,1712365716.395912,1010834.97967422,333.9,-7.767972099815567e-09,337.0,ASK
46,1712365716.3972769,1016394.00877541,333.9,-7.209298835882477e-07,337.0,ASK
47,1712365727.0387628,1017292.48137199,333.9,1.1651958150768097e-07,337.0,BID
48,1712365729.1917822,1017393.00929855,333.8,-1.3037094261062352e-08,337.0,ASK
49,1712365729.1929474,1017725.87520099,333.8,-4.316814535927209e-08,337.0,ASK
50,1712365729.5659213,1020738.83091054,333.8,-3.9073906061714884e-07,337.0,ASK
51,1712365735.816148,1020768.7979468,333.7,-3.88631388128987e-09,337.0,ASK
52,1712365735.8174171,1026220.28772804,333.7,-7.069835077011086e-07,337.0,ASK
53,1712365735.9403875,1027617.91781604,333.7,1.812534668015241e-07,337.0,BID
54,1712365735.960967,1027617.917817,333.7,1.24493751457064e-16,337.0,BID
55,1712365737.925732,1027677.8159901,333.9,7.767972099830664e-09,337.0,BID
56,1712365738.45263,1028892.24411537,333.7,-1.5749468316144078e-07,337.0,ASK
57,1712365740.795979,1028892.24411537,333.7,-0.0,337.0,ASK
58,1712365740.9577472,1029019.72754346,333.9,1.6519897479206437e-08,337.0,BID
59,1712365747.106089,1029894.84744753,333.6,-1.1340212068226146e-07,337.0,ASK
60,1712365747.1079843,1041025.12622452,333.6,-1.4423134603900047e-06,337.0,ASK
61,1712365761.4259117,1044237.07141769,333.9,4.1621884581374873e-07,337.0,BID
62,1712365770.7963223,1044237.07141769,333.9,0.0,337.0,BID
63,1712365800.65775,1044237.07141769,333.9,0.0,337.0,BID
64,1712365830.556101,1044237.07141769,333.9,0.0,337.0,BID
65,1712365853.1060164,1044253.72808935,333.9,2.160081746999344e-09,337.0,BID
66,1712365859.2841537,1044270.36846637,333.9,2.1579686144836423e-09,337.0,BID
67,1712365860.8163269,1044270.36846637,333.9,0.0,337.0,BID
68,1712365890.805853,1044270.36846637,333.9,0.0,337.0,BID
69,1712365909.7578938,1045908.57954041,333.9,2.124472889276561e-07,337.0,BID
70,1712365912.111385,1046351.30685098,333.9,5.7413979404312335e-08,337.0,BID
71,1712365912.8461115,1048090.70621872,333.9,2.255696386714928e-07,337.0,BID
72,1712365912.8476768,1048572.32690798,333.9,6.24577695427534e-08,337.0,BID
73,1712365912.885939,1050793.34696498,333.9,2.880274082142462e-07,337.0,BID
74,1712365912.932366,1064489.66241082,333.9,1.7761722716176424e-06,337.0,BID
75,1712365912.939316,1066718.84067898,333.9,2.890853853399981e-07,337.0,BID
76,1712365913.014657,1068462.56640658,333.9,2.261306917846883e-07,337.0,BID
77,1712365913.0160122,1068702.159099,333.9,3.1070976602549645e-08,337.0,BID
78,1712365913.0355177,1077177.90799527,334.0,1.0991562095863762e-06,337.0,BID
79,1712365920.5360844,1077177.90799527,334.0,0.0,337.0,BID
80,1712365922.3159797,1077627.14429357,333.9,-5.8175179248182993e-08,337.0,ASK
81,1712365945.1762176,1084063.61429357,334.2,8.335096638286653e-07,337.0,BID
82,1712365945.2560294,1098167.85509278,334.2,1.8264702557625768e-06,337.0,BID
83,1712365945.2573617,1098516.16800513,334.2,4.51058077610987e-08,337.0,BID
84,1712365945.3559282,1100189.89099213,334.2,2.167436940180878e-07,337.0,BID
85,1712365950.5562522,1100189.89099213,334.2,0.0,337.0,BID
86,1712365957.773133,1100189.8909924,334.2,3.494046813434788e-17,337.0,BID
87,1712365962.606312,1100786.54970361,335.2,7.718920661988757e-08,337.0,BID
88,1712365968.6361651,1110569.8909924,335.2,1.2656621582579105e-06,337.0,BID
89,1712365968.638035,1117839.30716184,335.2,9.404379022155216e-07,337.0,BID
90,1712365970.8858988,1118137.63651744,335.2,3.859460330931125e-08,337.0,BID
91,1712365980.8329031,1118137.63651744,335.2,0.0,337.0,BID
92,1712365983.906113,1118147.06985163,335.2,1.219432972118997e-09,337.0,BID
93,1712365983.9080036,1128247.06985163,335.2,1.3056118621924508e-06,337.0,BID
94,1712365984.0459847,1133362.85509276,335.2,-6.613098906186584e-07,337.0,ASK
95,1712365984.0470023,1134390.08226176,334.3,-1.3278811653592784e-07,337.0,ASK
96,1712365984.047814,1134511.49286305,334.3,-1.569456645941262e-08,337.0,ASK
97,1712366010.8496838,1134511.49286305,334.3,-0.0,337.0,ASK
98,1712366013.6660824,1134883.49286305,334.3,-4.8053794393835634e-08,337.0,ASK
99,1712366014.851931,1136411.49286305,334.3,-1.9738225224134642e-07,337.0,ASK
100,1712366016.086224,1137549.86598878,334.3,-1.4705147346048756e-07,337.0,ASK
101,1712366016.0880644,1137699.97068516,334.3,-1.939005434782908e-08,337.0,ASK
102,1712366016.0898638,1141854.48510305,334.3,-5.36667154955676e-07,337.0,ASK
103,1712366040.4960494,1141854.48510305,334.3,-0.0,337.0,ASK
104,1712366046.6260524,1143346.94861734,334.3,1.927306457663172e-07,337.0,BID
105,1712366058.4759514,1143425.49932862,334.3,1.0143718198426612e-08,337.0,BID
106,1712366070.5773125,1143425.49932862,334.3,0.0,337.0,BID
107,1712366070.806019,1143753.3997983,334.3,4.2340856518549536e-08,337.0,BID
108,1712366070.816148,1155150.22255556,334.3,1.4716393593569322e-06,337.0,BID
109,1712366070.9277368,1155623.22255556,334.3,-6.10771468330854e-08,337.0,ASK
110,1712366084.466293,1156968.25463756,334.3,-1.7368017329287008e-07,337.0,ASK
111,1712366088.1462147,1157441.2546369,334.3,-6.10771467478518e-08,337.0,ASK
112,1712366088.1481972,1157441.25463756,334.3,-8.523359417858102e-17,337.0,ASK
113,1712366089.2704334,1158196.75218487,334.3,-9.755525291560113e-08,337.0,ASK
114,1712366098.3895788,1159047.02178052,334.8,1.097928983958239e-07,337.0,BID
115,1712366098.3913136,1159690.18109765,334.8,8.304933625669208e-08,337.0,BID
116,1712366100.5963287,1159690.18109765,334.8,0.0,337.0,BID
117,1712366118.6760807,1161453.00870765,334.3,-2.2887981932306538e-07,337.0,ASK
118,1712366121.0867312,1161512.78157077,334.6,7.76071468006134e-09,337.0,BID
119,1712366127.5460892,1162342.62367303,334.6,-1.077440070455365e-07,337.0,ASK
120,1712366128.6166692,1162342.62367342,334.3,-5.06352091443128e-17,337.0,ASK
121,1712366129.6162603,1163172.24467303,334.1,-1.0771529979460985e-07,337.0,ASK
122,1712366130.5306642,1163172.24467303,334.1,-0.0,337.0,ASK
123,1712366146.196085,1163188.86148427,334.1,-2.157146823481629e-09,337.0,ASK
124,1712366146.19842,1169310.52056562,334.1,-7.946962417139575e-07,337.0,ASK
125,1712366146.316197,1170393.04186883,334.1,1.405298138632587e-07,337.0,BID
126,1712366160.799665,1170393.04186883,334.1,0.0,337.0,BID
127,1712366165.9636452,1170452.77902534,334.8,7.752478575697474e-09,337.0,BID
128,1712366175.596068,1172689.76797396,334.7,2.903085769637793e-07,337.0,BID
129,1712366190.8160625,1172689.76797396,334.7,0.0,337.0,BID
130,1712366202.2261,1173541.46527396,334.9,1.1051926169345553e-07,337.0,BID
131,1712366202.2461886,1173541.46527437,334.9,5.320496958556569e-17,337.0,BID
132,1712366208.176044,1176156.74940437,335.3,3.393685422816023e-07,337.0,BID
133,1712366208.204985,1176156.7494052,335.3,1.0767888222768661e-16,337.0,BID
134,1712366208.246176,1177630.1749952,335.4,1.911969291989474e-07,337.0,BID
135,1712366208.257151,1177630.17499612,335.4,1.1937128610594551e-16,337.0,BID
136,1712366220.5286877,1177630.17499612,335.4,0.0,337.0,BID
137,1712366230.7362125,1180830.17499612,334.8,-4.151541175918449e-07,337.0,ASK
138,1712366230.8362792,1181906.19984153,334.8,1.395987953759835e-07,337.0,BID
139,1712366230.8560104,1184510.88045305,334.8,3.379199627762833e-07,337.0,BID
140,1712366245.3161085,1188274.92534736,335.9,4.883308552104473e-07,337.0,BID
141,1712366246.3363883,1188857.52561992,334.8,-7.558403189482064e-08,337.0,ASK
142,1712366246.41581,1191486.87054053,334.8,3.411198032376185e-07,337.0,BID
143,1712366250.5478013,1191486.87054053,334.8,0.0,337.0,BID
144,1712366250.8960788,1210144.20203693,336.0,2.419063980624041e-06,337.0,BID
145,1712366250.8979049,1216199.19203693,335.9,7.85075197643616e-07,337.0,BID
146,1712366250.8999448,1247799.19203693,336.0,4.097178731185073e-06,337.0,BID
147,1712366251.036062,1252319.877981,336.0,-5.861410854560556e-07,337.0,ASK
148,1712366251.06188,1255306.73580656,334.8,-3.872686821505472e-07,337.0,ASK
149,1712366251.067771,1256175.85859259,334.7,-1.1268833524402345e-07,337.0,ASK
150,1712366251.0689096,1256613.877981,334.8,-5.6792522849375567e-08,337.0,ASK
151,1712366279.1563025,1258158.28871032,335.0,-2.002445187462995e-07,337.0,ASK
152,1712366279.1590362,1259650.38062318,335.1,-1.9346098893491934e-07,337.0,ASK
153,1712366280.8427863,1259650.38062318,335.1,-0.0,337.0,ASK
154,1712366283.0767536,1259670.16078358,335.0,-2.557056845575933e-09,337.0,ASK
155,1712366285.6261578,1263435.16078358,335.5,4.867159228674377e-07,337.0,BID
156,1712366290.006182,1264011.30847311,335.6,7.448081126626845e-08,337.0,BID
157,1712366290.0084908,1264462.66475958,335.6,5.8348550202205714e-08,337.0,BID
158,1712366290.0259907,1264462.66476029,335.6,9.177156480524061e-17,337.0,BID
159,1712366302.056208,1265606.0277684,335.7,1.4780690084058168e-07,337.0,BID
160,1712366302.0585196,1265717.48268942,335.7,1.4408203118817589e-08,337.0,BID
161,1712366302.1360166,1266962.23355142,335.7,1.609136957605286e-07,337.0,BID
162,1712366303.5160203,1267060.56489826,335.6,1.271166858538636e-08,337.0,BID
163,1712366310.815944,1267060.56489826,335.6,0.0,337.0,BID
164,1712366324.1333706,1267076.30199248,335.6,2.033740464195823e-09,337.0,BID
165,1712366330.3063667,1267076.30199268,335.7,2.584665150588671e-17,337.0,BID
166,1712366330.308697,1267161.50895371,335.9,1.1011489291196355e-08,337.0,BID
167,1712366340.5360358,1267161.50895371,335.9,0.0,337.0,BID
168,1712366344.27612,1267576.46095371,335.9,-5.3624955403591335e-08,337.0,ASK
169,1712366348.646181,1267873.90295253,336.2,3.843893732741985e-08,337.0,BID
170,1712366348.6473832,1268433.62903831,336.2,7.233435768038279e-08,337.0,BID
171,1712366349.026222,1268582.37803831,335.9,-1.9223087227766217e-08,337.0,ASK
172,1712366352.646069,1270405.42467721,336.2,2.355954296152814e-07,337.0,BID
173,1712366358.1145828,1270997.07195253,336.2,7.645958750338973e-08,337.0,BID
174,1712366358.1156857,1271725.26594243,336.2,9.41057525534638e-08,337.0,BID
175,1712366358.2265396,1272152.26594243,336.2,-5.5181939013051336e-08,337.0,ASK
176,1712366358.2461538,1272173.75254752,336.2,-2.776750659669361e-09,337.0,ASK
177,1712366368.556011,1273889.00406447,336.2,2.216648819681108e-07,337.0,BID
178,1712366370.5660725,1273889.00406447,336.2,0.0,337.0,BID
179,1712366380.7662234,1276992.333183,335.9,-4.009313391334121e-07,337.0,ASK
