,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363616.5249157,66385.54837299,19280.0,0.0,19300.0,BID
1,1712363617.7278378,66385.54837299,19280.0,0.0,19300.0,BID
2,1712363618.921833,66385.54837299,19280.0,0.0,19300.0,BID
3,1712363620.137411,66385.54837299,19280.0,0.0,19300.0,BID
4,1712363621.3493469,66385.54837299,19280.0,0.0,19300.0,BID
5,1712363622.5561142,66385.54837299,19280.0,0.0,19300.0,BID
6,1712363623.7591782,66653.68910822,19290.0,5.579337972169245e-09,19300.0,BID
7,1712363624.957658,66653.68910822,19290.0,0.0,19300.0,BID
8,1712363626.1721067,66653.68910822,19290.0,0.0,19300.0,BID
9,1712363627.3830805,66653.68910822,19290.0,0.0,19300.0,BID
10,1712363628.596246,66653.68910822,19290.0,0.0,19300.0,BID
11,1712363629.8183532,66653.68910822,19290.0,0.0,19300.0,BID
12,1712363631.0181434,66653.68910822,19290.0,0.0,19300.0,BID
13,1712363632.2294967,66891.68665972,19290.0,4.952133718989924e-09,19300.0,BID
14,1712363633.4309344,66891.68665972,19290.0,0.0,19300.0,BID
15,1712363634.6597254,66891.68665972,19290.0,0.0,19300.0,BID
16,1712363635.8728807,66891.68665972,19290.0,0.0,19300.0,BID
17,1712363637.0942118,66891.68665972,19290.0,0.0,19300.0,BID
18,1712363638.3091078,66891.68665972,19290.0,0.0,19300.0,BID
19,1712363639.5168524,66891.68665972,19290.0,0.0,19300.0,BID
20,1712363640.7482843,67600.6405409,19300.0,1.475155688818213e-08,19300.0,BID
21,1712363641.992657,67600.6405409,19300.0,0.0,19300.0,BID
22,1712363643.2043464,67648.96202782,19300.0,1.004958994861861e-09,19300.0,BID
23,1712363644.4201827,67648.96202782,19300.0,0.0,19300.0,BID
24,1712363645.642764,67648.96202782,19300.0,0.0,19300.0,BID
25,1712363646.8443506,67648.96202782,19300.0,0.0,19300.0,BID
26,1712363648.0591285,67648.96202782,19300.0,0.0,19300.0,BID
27,1712363649.2645082,67648.96202782,19300.0,0.0,19300.0,BID
28,1712363650.4854958,67700.77549932,19300.0,1.0775830289567329e-09,19300.0,BID
29,1712363651.6947834,67700.77549932,19300.0,0.0,19300.0,BID
30,1712363652.9054332,67700.77549932,19300.0,0.0,19300.0,BID
31,1712363654.1156986,67774.05609517,19300.0,1.5240423803640491e-09,19300.0,BID
32,1712363655.3520722,67774.05609517,19300.0,0.0,19300.0,BID
33,1712363656.6063473,67774.05609517,19300.0,0.0,19300.0,BID
34,1712363657.8224943,67774.05609517,19300.0,0.0,19300.0,BID
35,1712363659.0421505,67774.05609517,19300.0,0.0,19300.0,BID
36,1712363660.2515333,67774.05609517,19300.0,0.0,19300.0,BID
37,1712363661.4821901,67806.33609517,19300.0,6.71338537405637e-10,19300.0,BID
38,1712363662.7280653,67806.97109517,19300.0,1.3206318811929305e-11,19300.0,BID
39,1712363663.9619217,70182.83209609,19350.0,4.941161863187072e-08,19350.0,BID
40,1712363665.1780019,70182.83209609,19350.0,0.0,19350.0,BID
41,1712363666.4160228,70183.85372315,19310.0,-2.1247138049231383e-11,19350.0,ASK
42,1712363667.6468832,70189.98613633,19310.0,-1.2753795833434938e-10,19350.0,ASK
43,1712363668.847219,70189.98613633,19310.0,-0.0,19350.0,ASK
44,1712363670.0833092,70189.98613633,19310.0,-0.0,19350.0,ASK
45,1712363671.3512287,70189.98613633,19310.0,-0.0,19350.0,ASK
46,1712363672.5702815,70189.98613633,19310.0,-0.0,19350.0,ASK
47,1712363673.816,70189.98613633,19310.0,-0.0,19350.0,ASK
48,1712363675.0565736,70189.98613633,19310.0,-0.0,19350.0,ASK
49,1712363676.3080673,70189.98613633,19310.0,-0.0,19350.0,ASK
50,1712363677.5633383,70189.98613633,19310.0,-0.0,19350.0,ASK
51,1712363678.7909808,70189.98613633,19310.0,-0.0,19350.0,ASK
52,1712363680.0224516,70247.76175027,19340.0,-1.2003304760345867e-09,19350.0,ASK
53,1712363681.2408588,70301.42564497,19340.0,-1.1149065129453734e-09,19350.0,ASK
54,1712363682.5323017,70538.84176183,19340.0,-4.932492813746448e-09,19350.0,ASK
55,1712363683.7686582,70838.63611143,19350.0,6.2284460489081335e-09,19350.0,BID
56,1712363685.0237644,70838.63611143,19350.0,0.0,19350.0,BID
57,1712363686.27241,70838.63611143,19350.0,0.0,19350.0,BID
58,1712363687.5298297,70928.01527753,19340.0,1.8569172991186298e-09,19350.0,BID
59,1712363688.7778301,70928.01527753,19340.0,0.0,19350.0,BID
60,1712363690.0069487,70937.53767753,19340.0,-1.9783479820506396e-10,19350.0,ASK
61,1712363691.2361734,70943.52667753,19340.0,-1.244258387013987e-10,19350.0,ASK
62,1712363692.4758012,70943.52716998,19340.0,-1.0231007764598005e-14,19350.0,ASK
63,1712363693.7187114,70943.52716998,19340.0,-0.0,19350.0,ASK
64,1712363694.956532,70943.52716998,19340.0,-0.0,19350.0,ASK
65,1712363696.1888602,70943.52716998,19340.0,-0.0,19350.0,ASK
66,1712363697.5420926,71013.66018239,19320.0,-1.4570644330884523e-09,19350.0,ASK
67,1712363698.8247101,71013.66018239,19320.0,-0.0,19350.0,ASK
68,1712363700.08227,71013.66018239,19320.0,-0.0,19350.0,ASK
69,1712363701.3253734,71013.66018239,19320.0,-0.0,19350.0,ASK
70,1712363702.551074,71013.66018239,19320.0,-0.0,19350.0,ASK
71,1712363703.76405,71013.66018239,19320.0,-0.0,19350.0,ASK
72,1712363704.9800203,71013.66018239,19320.0,-0.0,19350.0,ASK
73,1712363706.200391,71013.66018239,19320.0,-0.0,19350.0,ASK
74,1712363707.4090538,71310.61275402,19310.0,-6.1832395893412105e-09,19350.0,ASK
75,1712363708.623919,71310.61275402,19310.0,-0.0,19350.0,ASK
76,1712363709.8500342,71310.61275402,19310.0,-0.0,19350.0,ASK
77,1712363711.067386,71310.61275402,19310.0,-0.0,19350.0,ASK
78,1712363712.2850785,71310.61275402,19310.0,-0.0,19350.0,ASK
79,1712363713.492791,71310.61275402,19310.0,-0.0,19350.0,ASK
80,1712363714.707706,71368.20838684,19320.0,1.199274332163391e-09,19350.0,BID
81,1712363715.9180605,71368.20838684,19320.0,0.0,19350.0,BID
82,1712363717.1350691,71368.20838684,19320.0,0.0,19350.0,BID
83,1712363718.37442,71368.20838684,19320.0,0.0,19350.0,BID
84,1712363719.5865026,71368.20838684,19320.0,0.0,19350.0,BID
85,1712363720.7923136,71368.20838684,19320.0,0.0,19350.0,BID
86,1712363722.0086713,71471.78166493,19320.0,2.1566352834347345e-09,19350.0,BID
87,1712363723.2201078,71471.78166493,19320.0,0.0,19350.0,BID
88,1712363724.4580903,71535.76266493,19300.0,-1.3322324504351074e-09,19350.0,ASK
89,1712363725.664297,71576.17627961,19300.0,-8.415049610990483e-10,19350.0,ASK
90,1712363726.8839755,71576.17627961,19300.0,-0.0,19350.0,ASK
91,1712363728.0946283,71602.41227961,19290.0,-5.462942212472686e-10,19350.0,ASK
92,1712363729.3262784,71602.41227961,19290.0,-0.0,19350.0,ASK
93,1712363730.543443,71602.41227961,19290.0,-0.0,19350.0,ASK
94,1712363731.8220603,71602.41227961,19290.0,-0.0,19350.0,ASK
95,1712363733.0403395,71604.8245178,19290.0,-5.0216492687555614e-11,19350.0,ASK
96,1712363734.3323236,71604.8245178,19290.0,-0.0,19350.0,ASK
97,1712363735.5649319,71639.0136344,19290.0,-7.117280253868964e-10,19350.0,ASK
98,1712363736.81684,72014.60318331,19290.0,-7.818792486778524e-09,19350.0,ASK
99,1712363738.0596917,72183.49986869,19280.0,-3.5159874350163813e-09,19350.0,ASK
100,1712363739.3091712,72183.49986869,19280.0,-0.0,19350.0,ASK
101,1712363740.5344574,72289.42290509,19290.0,-2.2050406982424454e-09,19350.0,ASK
102,1712363741.7598462,72289.42290509,19290.0,-0.0,19350.0,ASK
103,1712363742.9741,72289.42290509,19290.0,-0.0,19350.0,ASK
104,1712363744.1814036,72289.42290509,19290.0,-0.0,19350.0,ASK
105,1712363745.3874347,72289.42290509,19290.0,-0.0,19350.0,ASK
106,1712363746.6033454,72289.42290509,19290.0,-0.0,19350.0,ASK
107,1712363747.8218725,72294.85936169,19270.0,-1.1317281362631009e-10,19350.0,ASK
108,1712363749.023062,72294.85936169,19270.0,-0.0,19350.0,ASK
109,1712363750.253312,72294.85936169,19270.0,-0.0,19350.0,ASK
