,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.1927483,960106.71289737,205.2,0.0,206.3,BID
1,1712365230.6161368,960106.71289737,205.2,0.0,206.3,BID
2,1712365253.1753907,960179.23198133,205.2,-3.6000744685166444e-08,206.3,ASK
3,1712365260.4257064,960179.23198133,205.2,-0.0,206.3,ASK
4,1712365261.1456027,960300.95346528,205.4,6.042591074631985e-08,206.3,BID
5,1712365280.0655732,964160.95346528,205.4,1.9162107453153727e-06,206.3,BID
6,1712365290.3753965,964160.95346528,205.4,0.0,206.3,BID
7,1712365294.725752,964727.20446528,205.4,2.8098857394405177e-07,206.3,BID
8,1712365320.6054914,964727.20446528,205.4,0.0,206.3,BID
9,1712365333.426362,965011.36446528,205.4,1.409994951678493e-07,206.3,BID
10,1712365339.47558,965498.21938251,205.4,2.415762160383137e-07,206.3,BID
11,1712365350.586625,965498.21938251,205.4,0.0,206.3,BID
12,1712365356.9054828,967608.21838251,205.4,1.046894063513484e-06,206.3,BID
13,1712365357.9456725,968759.33998133,205.4,5.711388338036194e-07,206.3,BID
14,1712365357.9469802,969633.92171975,205.4,4.339312151376792e-07,206.3,BID
15,1712365358.8754413,973493.92071975,205.4,1.915171541914487e-06,206.3,BID
16,1712365358.9555662,974466.21046209,205.4,4.824098775737844e-07,206.3,BID
17,1712365358.9753923,976316.05468359,205.4,9.17816043473526e-07,206.3,BID
18,1712365369.556094,976463.02868359,205.6,7.292240806317069e-08,206.3,BID
19,1712365379.5556247,978532.52768359,205.6,1.0267996418704891e-06,206.3,BID
20,1712365380.4254875,978532.52768359,205.6,0.0,206.3,BID
21,1712365410.4156954,978532.52768359,205.6,0.0,206.3,BID
22,1712365440.5956063,978532.52768359,205.6,0.0,206.3,BID
23,1712365470.5755272,978532.52768359,205.6,0.0,206.3,BID
24,1712365495.8255816,979189.10599098,205.6,3.253347205766323e-07,206.3,BID
25,1712365500.3881822,979189.10599098,205.6,0.0,206.3,BID
26,1712365530.6058085,979189.10599098,205.6,0.0,206.3,BID
27,1712365560.429987,979189.10599098,205.6,0.0,206.3,BID
28,1712365564.4958148,980838.4463373,205.2,-8.205566193133267e-07,206.3,ASK
29,1712365590.4184992,980838.4463373,205.2,-0.0,206.3,ASK
30,1712365620.585698,980838.4463373,205.2,-0.0,206.3,ASK
31,1712365650.6113086,980838.4463373,205.2,-0.0,206.3,ASK
32,1712365680.3782012,980838.4463373,205.2,-0.0,206.3,ASK
33,1712365710.4493086,980838.4463373,205.2,-0.0,206.3,ASK
34,1712365740.5759506,980838.4463373,205.2,-0.0,206.3,ASK
35,1712365770.5761323,980838.4463373,205.2,-0.0,206.3,ASK
36,1712365800.5161464,980838.4463373,205.2,-0.0,206.3,ASK
37,1712365830.4086757,980838.4463373,205.2,-0.0,206.3,ASK
38,1712365860.59877,980838.4463373,205.2,-0.0,206.3,ASK
39,1712365890.5960894,980838.4463373,205.2,-0.0,206.3,ASK
40,1712365920.4001112,980838.4463373,205.2,-0.0,206.3,ASK
41,1712365941.6462774,983353.47493596,205.4,-1.251043181084136e-06,206.3,ASK
42,1712365950.4011614,983353.47493596,205.4,-0.0,206.3,ASK
43,1712365961.048507,986504.50993596,205.7,1.5670072851310477e-06,206.3,BID
44,1712365963.0762084,987816.50993596,205.7,6.524565922282404e-07,206.3,BID
45,1712365964.5076883,988199.67393596,205.7,1.9054716288455402e-07,206.3,BID
