,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.1809633,2857576.73277821,52.36,0.0,52.64,ASK
1,1712365230.5584843,2857576.73277821,52.36,-0.0,52.64,ASK
2,1712365244.7786949,2859005.9710943,52.36,-5.395496940614616e-07,52.64,ASK
3,1712365260.3985934,2859005.9710943,52.36,-0.0,52.64,ASK
4,1712365260.6587589,2882654.79518514,52.36,-8.927381247206596e-06,52.64,ASK
5,1712365290.3487482,2882654.79518514,52.36,-0.0,52.64,ASK
6,1712365301.809431,2884565.01485988,52.35,-7.207669871958884e-07,52.64,ASK
7,1712365301.810891,2886475.23453514,52.35,-7.207669873921497e-07,52.64,ASK
8,1712365303.8187144,2886475.23453566,52.35,-1.962613945336188e-16,52.64,ASK
9,1712365303.8200183,3002177.07398238,52.34,-4.365679368389184e-05,52.64,ASK
10,1712365303.9003177,3035550.11419038,52.34,-1.2592366188230023e-05,52.64,ASK
11,1712365303.9784937,3079298.38122113,52.34,-1.6507162521549742e-05,52.64,ASK
12,1712365303.9986117,3081208.96586002,52.33,-7.209046960229049e-07,52.64,ASK
13,1712365304.0389378,3081591.30193342,52.31,-1.442636275633195e-07,52.64,ASK
14,1712365304.041537,3083311.48541965,52.32,-6.490622440913923e-07,52.64,ASK
15,1712365306.3310635,3085224.26277194,52.28,-7.217320539712692e-07,52.64,ASK
16,1712365306.3344188,3087137.04012465,52.28,-7.217320541299299e-07,52.64,ASK
17,1712365320.5586278,3087137.04012465,52.28,-0.0,52.64,ASK
18,1712365350.5389328,3087137.04012465,52.28,-0.0,52.64,ASK
19,1712365380.388678,3087137.04012465,52.28,-0.0,52.64,ASK
20,1712365410.3786523,3087137.04012465,52.28,-0.0,52.64,ASK
21,1712365418.2089982,3087357.60382601,52.22,-8.28887073546245e-08,52.64,ASK
22,1712365418.2106547,3089272.94571453,52.21,-7.197930226172723e-07,52.64,ASK
23,1712365418.2122622,3089272.94571495,52.28,-1.5784760530717458e-16,52.64,ASK
24,1712365418.2138286,3105757.93758293,52.21,-6.195124847211301e-06,52.64,ASK
25,1712365418.2154078,3106044.20594049,52.22,-1.0758077584104253e-07,52.64,ASK
26,1712365428.7488089,3106331.56226232,52.2,-1.079896370970676e-07,52.64,ASK
27,1712365428.7501647,3106345.44190441,52.2,-5.21602414303374e-09,52.64,ASK
28,1712365428.7515483,3113712.91759694,52.21,-2.7687263718142044e-06,52.64,ASK
29,1712365440.5404632,3113712.91759694,52.21,-0.0,52.64,ASK
30,1712365452.6086297,3115628.25948547,52.21,-7.194178902788575e-07,52.64,ASK
31,1712365470.5348637,3115628.25948547,52.21,-0.0,52.64,ASK
32,1712365500.3492,3115628.25948547,52.21,-0.0,52.64,ASK
33,1712365530.5490172,3115628.25948547,52.21,-0.0,52.64,ASK
34,1712365560.4364817,3115628.25948547,52.21,-0.0,52.64,ASK
35,1712365577.409023,3116128.25948547,52.22,-1.8960086885790464e-07,52.64,ASK
36,1712365577.4104962,3116932.58650906,52.22,-3.050022050371065e-07,52.64,ASK
37,1712365577.4757888,3139326.86851106,52.22,8.491950650056148e-06,52.64,BID
38,1712365577.488842,3139326.86851156,52.22,1.8964645746479704e-16,52.64,BID
39,1712365590.3788912,3139326.86851156,52.22,0.0,52.64,BID
40,1712365620.529009,3139326.86851156,52.22,0.0,52.64,BID
41,1712365650.5564065,3139326.86851156,52.22,0.0,52.64,BID
42,1712365680.3390963,3139326.86851156,52.22,0.0,52.64,BID
43,1712365710.3975046,3139326.86851156,52.22,0.0,52.64,BID
44,1712365722.3521032,3148876.83984731,52.33,3.6196670961125935e-06,52.64,BID
45,1712365734.388913,3149162.83410932,52.27,-1.0839865204608846e-07,52.64,ASK
46,1712365740.528941,3149162.83410932,52.27,-0.0,52.64,ASK
47,1712365741.079147,3149833.41149453,52.27,2.541152622079403e-07,52.64,BID
48,1712365743.6490738,3151748.38659986,52.27,-7.256797078838726e-07,52.64,ASK
49,1712365770.5290911,3151748.38659986,52.27,-0.0,52.64,ASK
50,1712365800.4191043,3151748.38659986,52.27,-0.0,52.64,ASK
51,1712365830.3727598,3151748.38659986,52.27,-0.0,52.64,ASK
52,1712365860.5527172,3151748.38659986,52.27,-0.0,52.64,ASK
53,1712365874.4549344,3154044.15226504,52.27,-8.713693475949277e-07,52.64,ASK
54,1712365874.4564202,3162168.78709703,52.27,-3.083745810983116e-06,52.64,ASK
55,1712365890.53914,3162168.78709703,52.27,-0.0,52.64,ASK
56,1712365920.3902752,3162168.78709703,52.27,-0.0,52.64,ASK
57,1712365921.0091293,3162328.9437949,52.26,6.07757117978875e-08,52.64,BID
58,1712365928.4121037,3162489.15415408,52.26,6.079607500675264e-08,52.64,BID
59,1712365950.359411,3162489.15415408,52.26,0.0,52.64,BID
60,1712365980.5492158,3162489.15415408,52.26,0.0,52.64,BID
61,1712366010.56921,3162489.15415408,52.26,0.0,52.64,BID
62,1712366040.333912,3162489.15415408,52.26,0.0,52.64,BID
63,1712366070.3891368,3162489.15415408,52.26,0.0,52.64,BID
64,1712366094.4095054,3162604.00867169,52.24,-4.358431964071448e-08,52.64,ASK
65,1712366094.4112906,3162700.77715119,52.22,-3.672113582872613e-08,52.64,ASK
66,1712366094.4128835,3216682.95833573,52.21,-2.048484194276857e-05,52.64,ASK
67,1712366094.4144728,3216779.88597738,52.24,-3.678153374910755e-08,52.64,ASK
68,1712366094.4161055,3218312.15948819,52.21,-5.814581773702633e-07,52.64,ASK
69,1712366100.3991964,3218312.15948819,52.21,-0.0,52.64,ASK
70,1712366120.9091604,3221790.23495919,52.21,-1.3252992364263797e-06,52.64,ASK
71,1712366130.3655903,3221790.23495919,52.21,-0.0,52.64,ASK
72,1712366160.529466,3221790.23495919,52.21,-0.0,52.64,ASK
73,1712366190.5409174,3221790.23495919,52.21,-0.0,52.64,ASK
74,1712366203.470119,3223951.09060171,52.21,-8.233237647065429e-07,52.64,ASK
75,1712366203.47219,3223951.09060198,52.21,-1.0290655147344063e-16,52.64,ASK
76,1712366206.6191585,3227785.53014391,52.21,1.4609884793225325e-06,52.64,BID
77,1712366206.7329433,3279811.30876391,52.21,1.982273089989816e-05,52.64,BID
78,1712366206.8292284,3313659.56403291,52.21,1.2896776817685306e-05,52.64,BID
79,1712366207.861473,3319478.71077091,52.21,2.2171966074152035e-06,52.64,BID
80,1712366207.9691205,3325297.85750891,52.21,2.217196607415026e-06,52.64,BID
81,1712366216.75923,3325776.78471197,52.2,-1.824796344951232e-07,52.64,ASK
82,1712366216.7690675,3364871.45424356,52.2,-1.4895752342421223e-05,52.64,ASK
83,1712366220.3626103,3364871.45424356,52.2,-0.0,52.64,ASK
84,1712366250.3826065,3364871.45424356,52.2,-0.0,52.64,ASK
85,1712366280.5599077,3364871.45424356,52.2,-0.0,52.64,ASK
86,1712366310.549167,3364871.45424356,52.2,-0.0,52.64,ASK
87,1712366312.2280655,3366789.21517491,52.17,-7.28626648436306e-07,52.64,ASK
88,1712366312.2294333,3367363.52532443,52.19,-2.182011702120039e-07,52.64,ASK
89,1712366340.360055,3367363.52532443,52.19,-0.0,52.64,ASK
90,1712366348.6988823,3367589.50348116,52.19,8.585302303017176e-08,52.64,BID
91,1712366353.4192731,3376685.67201118,52.17,-3.4557922659177947e-06,52.64,ASK
92,1712366353.429045,3376877.35305392,52.17,-7.28229542843484e-08,52.64,ASK
93,1712366370.451326,3376877.35305392,52.17,-0.0,52.64,ASK
94,1712366389.139238,3381280.15159714,52.17,1.672384207155099e-06,52.64,BID
95,1712366391.1500082,3386385.68682514,52.17,1.939315733064816e-06,52.64,BID
96,1712366394.5691233,3459730.79990014,52.17,2.785982769244057e-05,52.64,BID
97,1712366394.7093203,3477525.62250604,52.19,6.759287303994913e-06,52.64,BID
98,1712366394.7112207,3496569.61412495,52.2,7.233778814091899e-06,52.64,BID
99,1712366394.7130349,3496569.61412514,52.17,7.216681541386968e-17,52.64,BID
100,1712366394.789251,3496569.61412687,52.2,6.57107155055211e-16,52.64,BID
101,1712366394.7911513,3521101.71462814,52.25,9.318413514478255e-06,52.64,BID
