,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363610.3697402,2176091.36273112,52.38,-0.0,52.64,ASK
1,1712363611.6096246,2176091.36273112,52.38,-0.0,52.64,ASK
2,1712363612.8115993,2176091.36273112,52.38,-0.0,52.64,ASK
3,1712363614.046453,2176091.36273112,52.38,-0.0,52.64,ASK
4,1712363615.2601452,2176091.36273112,52.38,-0.0,52.64,ASK
5,1712363616.4711611,2176091.36273112,52.38,-0.0,52.64,ASK
6,1712363617.6724966,2176091.36273112,52.38,-0.0,52.64,ASK
7,1712363618.8668897,2176091.36273112,52.38,-0.0,52.64,ASK
8,1712363620.0828059,2176091.36273112,52.38,-0.0,52.64,ASK
9,1712363621.2941074,2176091.36273112,52.38,-0.0,52.64,ASK
10,1712363622.4993832,2176091.36273112,52.38,-0.0,52.64,ASK
11,1712363623.7027116,2176091.36273112,52.38,-0.0,52.64,ASK
12,1712363624.9021568,2176091.36273112,52.38,-0.0,52.64,ASK
13,1712363626.1164296,2176091.36273112,52.38,-0.0,52.64,ASK
14,1712363627.3274422,2176091.36273112,52.38,-0.0,52.64,ASK
15,1712363628.5393052,2176091.36273112,52.38,-0.0,52.64,ASK
16,1712363629.761022,2176091.36273112,52.38,-0.0,52.64,ASK
17,1712363630.962885,2176091.36273112,52.38,-0.0,52.64,ASK
18,1712363632.1585011,2176629.74607131,52.38,-2.0039058292178911e-07,52.64,ASK
19,1712363633.3738983,2176629.74607131,52.38,-0.0,52.64,ASK
20,1712363634.6030655,2176629.74607131,52.38,-0.0,52.64,ASK
21,1712363635.8158762,2176629.74607131,52.38,-0.0,52.64,ASK
22,1712363637.0377393,2176629.74607131,52.38,-0.0,52.64,ASK
23,1712363638.2525392,2176629.74607131,52.38,-0.0,52.64,ASK
24,1712363639.4613159,2178531.60989786,52.38,-7.078889192706977e-07,52.64,ASK
25,1712363640.6904275,2178531.60989786,52.38,-0.0,52.64,ASK
26,1712363641.934783,2178531.60989786,52.38,-0.0,52.64,ASK
27,1712363643.1474977,2178531.60989786,52.38,-0.0,52.64,ASK
28,1712363644.362321,2178531.60989786,52.38,-0.0,52.64,ASK
29,1712363645.5864606,2178531.60989786,52.38,-0.0,52.64,ASK
30,1712363646.7867289,2178531.60989786,52.38,-0.0,52.64,ASK
31,1712363648.0014834,2178531.60989786,52.38,-0.0,52.64,ASK
32,1712363649.2067683,2178531.60989786,52.38,-0.0,52.64,ASK
33,1712363650.4274871,2178531.60989786,52.38,-0.0,52.64,ASK
34,1712363651.6374578,2178531.60989786,52.38,-0.0,52.64,ASK
35,1712363652.8474083,2178531.60989786,52.38,-0.0,52.64,ASK
36,1712363654.0529256,2178531.60989786,52.38,-0.0,52.64,ASK
37,1712363655.2949321,2178531.60989786,52.38,-0.0,52.64,ASK
38,1712363656.5433462,2178531.60989786,52.38,-0.0,52.64,ASK
39,1712363657.7646792,2178531.60989786,52.38,-0.0,52.64,ASK
40,1712363658.9843183,2178531.60989786,52.38,-0.0,52.64,ASK
41,1712363660.1940596,2178531.60989786,52.38,-0.0,52.64,ASK
42,1712363661.4251752,2178531.60989786,52.38,-0.0,52.64,ASK
43,1712363662.6687434,2178531.60989786,52.38,-0.0,52.64,ASK
44,1712363663.9042463,2178531.60989786,52.38,-0.0,52.64,ASK
45,1712363665.1204383,2178531.60989786,52.38,-0.0,52.64,ASK
46,1712363666.3576045,2178531.60989786,52.38,-0.0,52.64,ASK
47,1712363667.589354,2178531.60989786,52.38,-0.0,52.64,ASK
48,1712363668.790795,2178531.60989786,52.38,-0.0,52.64,ASK
49,1712363670.0155222,2178531.60989786,52.38,-0.0,52.64,ASK
50,1712363671.283291,2178864.60989786,52.38,-1.2393936541996072e-07,52.64,ASK
51,1712363672.5025284,2178864.60989786,52.38,-0.0,52.64,ASK
52,1712363673.7490256,2178864.60989786,52.38,-0.0,52.64,ASK
53,1712363674.9896443,2178864.60989786,52.38,-0.0,52.64,ASK
54,1712363676.2392828,2178864.60989786,52.38,-0.0,52.64,ASK
55,1712363677.4961417,2178864.60989786,52.38,-0.0,52.64,ASK
56,1712363678.7234533,2178864.60989786,52.38,-0.0,52.64,ASK
57,1712363679.9530509,2178864.60989786,52.38,-0.0,52.64,ASK
58,1712363681.1749082,2178864.60989786,52.38,-0.0,52.64,ASK
59,1712363682.4624913,2178864.60989786,52.38,-0.0,52.64,ASK
60,1712363683.6981506,2178864.60989786,52.38,-0.0,52.64,ASK
61,1712363684.9544523,2178864.60989786,52.38,-0.0,52.64,ASK
62,1712363686.2031267,2178864.60989786,52.38,-0.0,52.64,ASK
63,1712363687.4629416,2178864.60989786,52.38,-0.0,52.64,ASK
64,1712363688.7107084,2178864.60989786,52.38,-0.0,52.64,ASK
65,1712363689.937706,2178864.60989786,52.38,-0.0,52.64,ASK
66,1712363691.168258,2178864.60989786,52.38,-0.0,52.64,ASK
67,1712363692.4024036,2178864.60989786,52.38,-0.0,52.64,ASK
68,1712363693.650718,2178864.60989786,52.38,-0.0,52.64,ASK
69,1712363694.8826544,2178864.60989786,52.38,-0.0,52.64,ASK
70,1712363696.1210938,2178864.60989786,52.38,-0.0,52.64,ASK
71,1712363697.3852658,2178864.60989786,52.38,-0.0,52.64,ASK
72,1712363698.7590916,2178864.60989786,52.38,-0.0,52.64,ASK
73,1712363700.0168712,2178864.60989786,52.38,-0.0,52.64,ASK
74,1712363701.268822,2178864.60989786,52.38,-0.0,52.64,ASK
75,1712363702.4950073,2178864.60989786,52.38,-0.0,52.64,ASK
76,1712363703.7072942,2178864.60989786,52.38,-0.0,52.64,ASK
77,1712363704.9228144,2178864.60989786,52.38,-0.0,52.64,ASK
78,1712363706.1441417,2178864.60989786,52.38,-0.0,52.64,ASK
79,1712363707.351279,2179553.93216079,52.41,-2.586866262891366e-07,52.64,ASK
