,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.161744,1152914.1992594,95.27,0.0,95.3,BID
1,1712365230.705806,1152914.1992594,95.27,0.0,95.3,BID
2,1712365257.2364774,1154696.81797418,95.27,1.0769190285365806e-06,95.3,BID
3,1712365260.4853764,1154696.81797418,95.27,0.0,95.3,BID
4,1712365290.4354076,1154696.81797418,95.27,0.0,95.3,BID
5,1712365320.6961243,1154696.81797418,95.27,0.0,95.3,BID
6,1712365349.3854654,1155746.46634197,95.27,6.340505278062971e-07,95.3,BID
7,1712365350.675582,1155746.46634197,95.27,0.0,95.3,BID
8,1712365380.4789715,1155746.46634197,95.27,0.0,95.3,BID
9,1712365410.4756415,1155746.46634197,95.27,0.0,95.3,BID
10,1712365440.6812935,1155746.46634197,95.27,0.0,95.3,BID
11,1712365470.6558454,1155746.46634197,95.27,0.0,95.3,BID
12,1712365499.035501,1156773.00348902,94.95,-6.200525103544768e-07,95.3,ASK
13,1712365500.425846,1156773.00348902,94.95,-0.0,95.3,ASK
14,1712365530.696154,1156773.00348902,94.95,-0.0,95.3,ASK
15,1712365560.4753938,1156773.00348902,94.95,-0.0,95.3,ASK
16,1712365590.4758625,1156773.00348902,94.95,-0.0,95.3,ASK
17,1712365620.6658635,1156773.00348902,94.95,-0.0,95.3,ASK
18,1712365636.3116736,1157045.01408632,94.95,-1.674798943972696e-07,95.3,ASK
19,1712365650.6957283,1157045.01408632,94.95,-0.0,95.3,ASK
20,1712365677.7557216,1157116.94520046,95.23,4.428806799596144e-08,95.3,BID
21,1712365680.4259827,1157116.94520046,95.23,0.0,95.3,BID
22,1712365710.4857273,1157116.94520046,95.23,0.0,95.3,BID
23,1712365740.6758995,1157116.94520046,95.23,0.0,95.3,BID
24,1712365770.6560357,1157116.94520046,95.23,0.0,95.3,BID
25,1712365800.5770123,1157116.94520046,95.23,0.0,95.3,BID
26,1712365830.4660246,1157116.94520046,95.23,0.0,95.3,BID
27,1712365860.6860416,1157116.94520046,95.23,0.0,95.3,BID
28,1712365890.671229,1157116.94520046,95.23,0.0,95.3,BID
29,1712365920.4563627,1157116.94520046,95.23,0.0,95.3,BID
30,1712365920.7266436,1167463.12516933,94.97,-6.523840953768141e-06,95.3,ASK
31,1712365920.73099,1171146.65773178,94.97,-2.322671812954619e-06,95.3,ASK
32,1712365920.7319183,1177656.65773178,94.96,-4.104916475145088e-06,95.3,ASK
33,1712365930.0361488,1181783.03798675,94.91,-2.6019118727095945e-06,95.3,ASK
34,1712365930.0375798,1181883.03798675,94.95,-6.305555261359581e-08,95.3,ASK
35,1712365930.0389738,1181965.10144206,94.94,-5.174556523950126e-08,95.3,ASK
36,1712365930.0461524,1187467.27959208,94.92,-3.4694288382796805e-06,95.3,ASK
37,1712365930.11839,1190068.22272625,94.91,1.6400390664162883e-06,95.3,BID
38,1712365950.4461346,1190068.22272625,94.91,0.0,95.3,BID
39,1712365952.3062365,1195598.22272625,95.18,3.480106582581235e-06,95.3,BID
40,1712365952.308016,1196198.22272625,95.19,3.77588417639917e-07,95.3,BID
41,1712365952.3859649,1202229.3381693,95.19,-3.7954655612414834e-06,95.3,ASK
42,1712365952.387197,1206076.42211694,95.19,-2.4210239005288e-06,95.3,ASK
43,1712365980.6987991,1206076.42211694,95.19,-0.0,95.3,ASK
44,1712365998.8360858,1213955.40100119,95.19,4.953601807585545e-06,95.3,BID
45,1712365998.8375676,1219975.40100119,95.18,3.78484107138244e-06,95.3,BID
46,1712365998.8387065,1226415.40100119,95.21,4.048899750781213e-06,95.3,BID
47,1712365998.9159348,1227594.15815491,95.21,-7.410977555788915e-07,95.3,ASK
48,1712366010.705997,1227594.15815491,95.21,-0.0,95.3,ASK
49,1712366031.9963424,1229022.87138991,95.2,-8.970926257785467e-07,95.3,ASK
50,1712366032.0160427,1229022.8713902,95.2,-1.820127071049608e-16,95.3,ASK
51,1712366040.416075,1229022.8713902,95.2,-0.0,95.3,ASK
52,1712366043.726489,1231342.43372766,95.22,1.4563346372379778e-06,95.3,BID
53,1712366043.7277174,1232506.18182766,95.21,7.306579520107717e-07,95.3,BID
54,1712366043.7288785,1232612.45175327,95.22,6.672145476040768e-08,95.3,BID
55,1712366043.786055,1241489.48029527,95.22,-5.573432510385167e-06,95.3,ASK
56,1712366043.7869804,1241489.48029589,95.22,-3.8928389367827807e-16,95.3,ASK
57,1712366043.9060044,1242786.43175455,95.12,-8.14289532796566e-07,95.3,ASK
58,1712366070.4859416,1242786.43175455,95.12,-0.0,95.3,ASK
59,1712366091.366098,1242870.80474962,94.92,-5.292994319393153e-08,95.3,ASK
60,1712366092.3863244,1246024.71559862,95.12,-1.978551572548796e-06,95.3,ASK
61,1712366092.41502,1246024.71559907,95.12,-2.8233840355342603e-16,95.3,ASK
62,1712366100.4960327,1246024.71559907,95.12,-0.0,95.3,ASK
63,1712366130.4361193,1246024.71559907,95.12,-0.0,95.3,ASK
64,1712366130.9662063,1252324.71559907,94.94,-3.955187748671184e-06,95.3,ASK
65,1712366131.1061106,1285811.82751507,94.93,-2.102346266484827e-05,95.3,ASK
66,1712366131.1077025,1285811.82751556,94.93,-3.075476611359847e-16,95.3,ASK
67,1712366131.1661322,1287101.52723108,94.91,-8.096832562364291e-07,95.3,ASK
68,1712366131.1677325,1287312.27538702,94.9,-1.3230928959195126e-07,95.3,ASK
69,1712366131.2460957,1290087.09501916,94.86,-1.742052795843232e-06,95.3,ASK
70,1712366160.6767185,1290087.09501916,94.86,-0.0,95.3,ASK
71,1712366168.7190268,1290614.18757661,94.86,-3.300460289539365e-07,95.3,ASK
72,1712366190.6759226,1290614.18757661,94.86,-0.0,95.3,ASK
73,1712366205.9884508,1290754.18757661,94.94,8.766012118128757e-08,95.3,BID
74,1712366214.3659246,1291280.83598613,94.94,3.2975759570328094e-07,95.3,BID
75,1712366220.447721,1291280.83598613,94.94,0.0,95.3,BID
76,1712366231.2561226,1291807.48439565,94.94,3.297445280469885e-07,95.3,BID
77,1712366250.4560156,1291807.48439565,94.94,0.0,95.3,BID
78,1712366258.336133,1291879.71130413,94.84,-4.522121750695144e-08,95.3,ASK
79,1712366280.6962335,1291879.71130413,94.84,-0.0,95.3,ASK
80,1712366310.68592,1291879.71130413,94.84,-0.0,95.3,ASK
81,1712366340.4582691,1291879.71130413,94.84,-0.0,95.3,ASK
82,1712366348.466271,1291966.46565174,94.84,-5.4316604159102456e-08,95.3,ASK
83,1712366348.4696202,1292084.69326172,94.84,-7.402190747627517e-08,95.3,ASK
84,1712366370.4799778,1292084.69326172,94.84,-0.0,95.3,ASK
85,1712366385.8961835,1292243.61543003,94.82,-9.949942199379897e-08,95.3,ASK
