,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363654.1250412,1426478.18652852,920.5,-0.0,937.0,ASK
1,1712363655.3612933,1426478.18652852,920.5,-0.0,937.0,ASK
2,1712363656.6157322,1426478.18652852,920.5,-0.0,937.0,ASK
3,1712363657.8318384,1426478.18652852,920.5,-0.0,937.0,ASK
4,1712363659.0515585,1426990.59304968,920.5,-4.8872217010498585e-08,937.0,ASK
5,1712363660.2607462,1426990.59304968,920.5,-0.0,937.0,ASK
6,1712363661.4915688,1426990.59304968,920.5,-0.0,937.0,ASK
7,1712363662.7376773,1426990.59304968,920.5,-0.0,937.0,ASK
8,1712363663.9714282,1426990.59304968,920.5,-0.0,937.0,ASK
9,1712363665.187526,1426990.59304968,920.5,-0.0,937.0,ASK
10,1712363666.4255626,1426990.59304968,920.5,-0.0,937.0,ASK
11,1712363667.6561937,1426990.59304968,920.5,-0.0,937.0,ASK
12,1712363668.8564742,1426990.59304968,920.5,-0.0,937.0,ASK
13,1712363670.0943084,1426990.59304968,920.5,-0.0,937.0,ASK
14,1712363671.362107,1426990.59304968,920.5,-0.0,937.0,ASK
15,1712363672.5812857,1426990.59304968,920.5,-0.0,937.0,ASK
16,1712363673.8268726,1426990.59304968,920.5,-0.0,937.0,ASK
17,1712363675.0674736,1426990.59304968,920.5,-0.0,937.0,ASK
18,1712363676.3201857,1426990.59304968,920.5,-0.0,937.0,ASK
19,1712363677.5743027,1430249.69136582,920.5,-3.108241006451302e-07,937.0,ASK
20,1712363678.8018553,1430249.69136582,920.5,-0.0,937.0,ASK
21,1712363680.0335262,1430249.69136582,920.5,-0.0,937.0,ASK
22,1712363681.25154,1430249.69136582,920.5,-0.0,937.0,ASK
23,1712363682.5453324,1430249.69136582,920.5,-0.0,937.0,ASK
24,1712363683.7800715,1430249.69136582,920.5,-0.0,937.0,ASK
25,1712363685.03501,1430249.69136582,920.5,-0.0,937.0,ASK
26,1712363686.2838578,1430249.69136582,920.5,-0.0,937.0,ASK
27,1712363687.5410137,1430249.69136582,920.5,-0.0,937.0,ASK
28,1712363688.7889159,1430249.69136582,920.5,-0.0,937.0,ASK
29,1712363690.0182412,1430249.69136582,920.5,-0.0,937.0,ASK
30,1712363691.247557,1430249.69136582,920.5,-0.0,937.0,ASK
31,1712363692.4875803,1430249.69136582,920.5,-0.0,937.0,ASK
32,1712363693.7298257,1430249.69136582,920.5,-0.0,937.0,ASK
33,1712363694.9676535,1430249.69136582,920.5,-0.0,937.0,ASK
34,1712363696.199921,1430249.69136582,920.5,-0.0,937.0,ASK
35,1712363697.5533483,1430249.69136582,920.5,-0.0,937.0,ASK
36,1712363698.8359377,1430249.69136582,920.5,-0.0,937.0,ASK
37,1712363700.0934618,1430249.69136582,920.5,-0.0,937.0,ASK
38,1712363701.335032,1430249.69136582,920.5,-0.0,937.0,ASK
39,1712363702.5607271,1430249.69136582,920.5,-0.0,937.0,ASK
40,1712363703.773775,1430249.69136582,920.5,-0.0,937.0,ASK
41,1712363704.9896638,1430249.69136582,920.5,-0.0,937.0,ASK
42,1712363706.2100632,1430249.69136582,920.5,-0.0,937.0,ASK
43,1712363707.418846,1430249.69136582,920.5,-0.0,937.0,ASK
44,1712363708.6336236,1430249.69136582,920.5,-0.0,937.0,ASK
45,1712363709.8596306,1430249.69136582,920.5,-0.0,937.0,ASK
46,1712363711.0770745,1430249.69136582,920.5,-0.0,937.0,ASK
47,1712363712.2947652,1430249.69136582,920.5,-0.0,937.0,ASK
48,1712363713.5024748,1430249.69136582,920.5,-0.0,937.0,ASK
49,1712363714.7175286,1430249.69136582,920.5,-0.0,937.0,ASK
50,1712363715.927757,1430249.69136582,920.5,-0.0,937.0,ASK
51,1712363717.14485,1430249.69136582,920.5,-0.0,937.0,ASK
52,1712363718.3840437,1430249.69136582,920.5,-0.0,937.0,ASK
53,1712363719.5960422,1430249.69136582,920.5,-0.0,937.0,ASK
54,1712363720.801956,1430249.69136582,920.5,-0.0,937.0,ASK
55,1712363722.0189135,1430249.69136582,920.5,-0.0,937.0,ASK
56,1712363723.2298806,1430249.69136582,920.5,-0.0,937.0,ASK
57,1712363724.4679077,1430447.38371625,920.5,-1.98529912086628e-08,937.0,ASK
58,1712363725.6740317,1430447.38371625,920.5,-0.0,937.0,ASK
59,1712363726.893888,1430447.38371625,920.5,-0.0,937.0,ASK
60,1712363728.1046677,1430447.38371625,920.5,-0.0,937.0,ASK
61,1712363729.336225,1430447.38371625,920.5,-0.0,937.0,ASK
62,1712363730.5535817,1430447.38371625,920.5,-0.0,937.0,ASK
63,1712363731.8322537,1430447.38371625,920.5,-0.0,937.0,ASK
64,1712363733.050346,1430447.38371625,920.5,-0.0,937.0,ASK
65,1712363734.342411,1430447.38371625,920.5,-0.0,937.0,ASK
66,1712363735.574935,1430447.38371625,920.5,-0.0,937.0,ASK
67,1712363736.8267558,1430447.38371625,920.5,-0.0,937.0,ASK
68,1712363738.0699544,1430447.38371625,920.5,-0.0,937.0,ASK
69,1712363739.3200786,1430447.38371625,920.5,-0.0,937.0,ASK
70,1712363740.544526,1430447.38371625,920.5,-0.0,937.0,ASK
71,1712363741.769971,1430447.38371625,920.5,-0.0,937.0,ASK
72,1712363742.984434,1430447.38371625,920.5,-0.0,937.0,ASK
73,1712363744.19155,1430447.38371625,920.5,-0.0,937.0,ASK
74,1712363745.3976502,1430447.38371625,920.5,-0.0,937.0,ASK
75,1712363746.6134171,1430447.38371625,920.5,-0.0,937.0,ASK
76,1712363747.83197,1430447.38371625,920.5,-0.0,937.0,ASK
77,1712363749.033126,1430447.38371625,920.5,-0.0,937.0,ASK
78,1712363750.2652633,1430447.38371625,920.5,-0.0,937.0,ASK
79,1712363751.518196,1430447.38371625,920.5,-0.0,937.0,ASK
80,1712363752.767918,1430447.38371625,920.5,-0.0,937.0,ASK
81,1712363754.1064022,1430447.38371625,920.5,-0.0,937.0,ASK
82,1712363755.335375,1430447.38371625,920.5,-0.0,937.0,ASK
83,1712363756.5505354,1431533.74982162,920.5,1.090948767532575e-07,937.0,BID
84,1712363757.7903903,1431533.74982162,920.5,0.0,937.0,BID
85,1712363759.0079267,1431533.74982162,920.5,0.0,937.0,BID
86,1712363760.228074,1431533.74982162,920.5,0.0,937.0,BID
87,1712363761.5134423,1431533.74982162,920.5,0.0,937.0,BID
88,1712363762.7656028,1431533.74982162,920.5,0.0,937.0,BID
89,1712363763.9932358,1431533.74982162,920.5,0.0,937.0,BID
90,1712363765.2945738,1431533.74982162,920.5,0.0,937.0,BID
91,1712363766.5237756,1431533.74982162,920.5,0.0,937.0,BID
92,1712363767.745497,1431533.74982162,920.5,0.0,937.0,BID
93,1712363768.9644957,1431533.74982162,920.5,0.0,937.0,BID
94,1712363770.1718285,1431533.74982162,920.5,0.0,937.0,BID
95,1712363771.3898494,1431533.74982162,920.5,0.0,937.0,BID
96,1712363772.6107943,1431533.74982162,920.5,0.0,937.0,BID
97,1712363773.8139865,1431533.74982162,920.5,0.0,937.0,BID
98,1712363775.0367754,1431533.74982162,920.5,0.0,937.0,BID
99,1712363776.2635422,1431533.74982162,920.5,0.0,937.0,BID
100,1712363777.479932,1431533.74982162,920.5,0.0,937.0,BID
101,1712363778.695154,1431533.74982162,920.5,0.0,937.0,BID
102,1712363779.9003065,1431533.74982162,920.5,0.0,937.0,BID
103,1712363781.146231,1431533.74982162,920.5,0.0,937.0,BID
104,1712363782.4046283,1431533.74982162,920.5,0.0,937.0,BID
105,1712363783.6491961,1431533.74982162,920.5,0.0,937.0,BID
106,1712363784.8908327,1431533.74982162,920.5,0.0,937.0,BID
107,1712363786.1219833,1431533.74982162,920.5,0.0,937.0,BID
108,1712363787.383241,1431533.74982162,920.5,0.0,937.0,BID
109,1712363788.6142256,1431533.74982162,920.5,0.0,937.0,BID
110,1712363789.9328532,1431533.74982162,920.5,0.0,937.0,BID
111,1712363791.1808848,1431533.74982162,920.5,0.0,937.0,BID
112,1712363792.4582472,1431533.74982162,920.5,0.0,937.0,BID
113,1712363793.6757607,1431533.74982162,920.5,0.0,937.0,BID
114,1712363794.8790028,1431533.74982162,920.5,0.0,937.0,BID
115,1712363796.0902252,1431533.74982162,920.5,0.0,937.0,BID
116,1712363797.3000748,1431533.74982162,920.5,0.0,937.0,BID
117,1712363798.5165677,1431533.74982162,920.5,0.0,937.0,BID
118,1712363799.732927,1431533.74982162,920.5,0.0,937.0,BID
119,1712363800.952251,1436980.91174932,919.0,-5.469590645258303e-07,937.0,ASK
120,1712363802.1644418,1436980.91174932,919.0,-0.0,937.0,ASK
121,1712363803.374034,1436980.91174932,919.0,-0.0,937.0,ASK
122,1712363804.5824025,1436980.91174932,919.0,-0.0,937.0,ASK
123,1712363805.8002007,1436980.91174932,919.0,-0.0,937.0,ASK
124,1712363807.050504,1436980.91174932,919.0,-0.0,937.0,ASK
125,1712363808.2591846,1436980.91174932,919.0,-0.0,937.0,ASK
126,1712363809.4718933,1436980.91174932,919.0,-0.0,937.0,ASK
127,1712363810.759634,1436980.91174932,919.0,-0.0,937.0,ASK
128,1712363811.9719837,1436980.91174932,919.0,-0.0,937.0,ASK
129,1712363813.1861858,1436980.91174932,919.0,-0.0,937.0,ASK
130,1712363814.4104865,1436980.91174932,919.0,-0.0,937.0,ASK
131,1712363815.6487217,1436980.91174932,919.0,-0.0,937.0,ASK
132,1712363816.9015448,1436980.91174932,919.0,-0.0,937.0,ASK
133,1712363818.116682,1436980.91174932,919.0,-0.0,937.0,ASK
134,1712363819.3481495,1436980.91174932,919.0,-0.0,937.0,ASK
135,1712363820.5594096,1436980.91174932,919.0,-0.0,937.0,ASK
136,1712363821.8156688,1436980.91174932,919.0,-0.0,937.0,ASK
137,1712363823.0111656,1436980.91174932,919.0,-0.0,937.0,ASK
138,1712363824.225989,1436980.91174932,919.0,-0.0,937.0,ASK
139,1712363825.4478498,1436980.91174932,919.0,-0.0,937.0,ASK
140,1712363826.6604018,1436980.91174932,919.0,-0.0,937.0,ASK
141,1712363827.8918417,1436980.91174932,919.0,-0.0,937.0,ASK
142,1712363829.1024802,1436980.91174932,919.0,-0.0,937.0,ASK
143,1712363830.3311994,1436980.91174932,919.0,-0.0,937.0,ASK
144,1712363831.5423331,1436980.91174932,919.0,-0.0,937.0,ASK
145,1712363832.7513301,1436980.91174932,919.0,-0.0,937.0,ASK
146,1712363833.9702008,1436980.91174932,919.0,-0.0,937.0,ASK
147,1712363835.1846116,1436980.91174932,919.0,-0.0,937.0,ASK
148,1712363836.4036288,1436980.91174932,919.0,-0.0,937.0,ASK
149,1712363837.6205964,1436980.91174932,919.0,-0.0,937.0,ASK
150,1712363838.8298192,1436980.91174932,919.0,-0.0,937.0,ASK
151,1712363840.0438604,1436980.91174932,919.0,-0.0,937.0,ASK
152,1712363841.2719998,1436980.91174932,919.0,-0.0,937.0,ASK
153,1712363842.5137181,1436980.91174932,919.0,-0.0,937.0,ASK
154,1712363843.7649293,1437292.94825015,918.8,-3.1316375557500725e-08,937.0,ASK
155,1712363845.0132828,1437292.94825015,918.8,-0.0,937.0,ASK
156,1712363846.2641647,1437292.94825015,918.8,-0.0,937.0,ASK
157,1712363847.5265365,1437292.94825015,918.8,-0.0,937.0,ASK
158,1712363848.7536,1437292.94825015,918.8,-0.0,937.0,ASK
159,1712363849.997211,1437292.94825015,918.8,-0.0,937.0,ASK
160,1712363851.237977,1438914.78342937,918.8,-1.6274039692716146e-07,937.0,ASK
161,1712363852.4790378,1438914.78342937,918.8,-0.0,937.0,ASK
