,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363509.7673383,1358733.4323454,1362.0,-0.0,1364.0,ASK
1,1712363510.967296,1361019.87865415,1363.0,5.807958915874131e-08,1364.0,BID
2,1712363512.1556106,1361019.87865415,1363.0,0.0,1364.0,BID
3,1712363513.3834705,1363224.14022652,1363.0,-5.599195836425898e-08,1364.0,ASK
4,1712363514.5896952,1363224.14022652,1363.0,-0.0,1364.0,ASK
5,1712363515.7956574,1363260.82401228,1363.0,-9.318299745675482e-10,1364.0,ASK
6,1712363517.0369895,1366274.24545134,1364.0,7.65459825026173e-08,1364.0,BID
7,1712363518.280545,1366274.24545134,1364.0,0.0,1364.0,BID
8,1712363519.5694025,1366274.24545134,1364.0,0.0,1364.0,BID
9,1712363520.774512,1366281.57145867,1365.0,1.8609293132200204e-10,1365.0,BID
10,1712363521.983194,1367384.38781605,1365.0,2.8004785467309466e-08,1365.0,BID
11,1712363523.193494,1370082.65919318,1365.0,6.851957766443207e-08,1365.0,BID
12,1712363524.3963928,1373667.40821061,1365.0,9.103068386270127e-08,1365.0,BID
13,1712363525.612111,1373703.98332964,1365.0,9.28784157961563e-10,1365.0,BID
14,1712363526.8504202,1373703.98332964,1365.0,0.0,1365.0,BID
15,1712363528.0654123,1373703.98332964,1365.0,0.0,1365.0,BID
16,1712363529.2977014,1373709.11153476,1365.0,1.3022502183580786e-10,1365.0,BID
17,1712363530.5620904,1374803.31654811,1365.0,2.7786110036413768e-08,1365.0,BID
18,1712363531.7707536,1374803.31654811,1365.0,0.0,1365.0,BID
19,1712363532.9992666,1377137.46499462,1365.0,-5.927308391459048e-08,1365.0,ASK
20,1712363534.2087395,1377188.61775377,1365.0,-1.2989669916188718e-09,1366.0,ASK
21,1712363535.4252594,1377199.76058921,1365.0,-2.8295981820516396e-10,1366.0,ASK
22,1712363536.6345048,1377199.76058921,1365.0,-0.0,1366.0,ASK
23,1712363537.8564842,1377199.76058921,1365.0,-0.0,1366.0,ASK
24,1712363539.0678985,1378812.12579067,1365.0,4.0944207310376545e-08,1366.0,BID
25,1712363540.2864544,1378812.12579067,1365.0,0.0,1366.0,BID
26,1712363541.4901135,1378812.12579067,1365.0,0.0,1366.0,BID
27,1712363542.709417,1378812.12579067,1365.0,0.0,1366.0,BID
28,1712363543.955106,1379718.83824488,1365.0,2.3024946620319257e-08,1366.0,BID
29,1712363545.1564267,1379718.83824488,1365.0,0.0,1366.0,BID
30,1712363546.3755033,1379718.83824488,1365.0,0.0,1366.0,BID
31,1712363547.6212018,1380084.95619359,1365.0,9.297154998419713e-09,1366.0,BID
32,1712363548.835211,1380084.95619359,1365.0,0.0,1366.0,BID
33,1712363550.0668755,1380524.41168577,1364.0,-1.115947972531441e-08,1366.0,ASK
34,1712363551.2923722,1380524.41168577,1364.0,-0.0,1366.0,ASK
35,1712363552.4916468,1380524.41168577,1364.0,-0.0,1366.0,ASK
36,1712363553.7228782,1380524.41168577,1364.0,-0.0,1366.0,ASK
37,1712363554.9376948,1380524.41168577,1364.0,-0.0,1366.0,ASK
38,1712363556.1426988,1380524.41168577,1364.0,-0.0,1366.0,ASK
39,1712363557.3610444,1380524.41168577,1364.0,-0.0,1366.0,ASK
40,1712363558.5555727,1380524.41168577,1364.0,-0.0,1366.0,ASK
41,1712363559.84441,1380524.41168577,1364.0,-0.0,1366.0,ASK
42,1712363561.09242,1396173.76082215,1363.0,-3.9721676790861757e-07,1366.0,ASK
43,1712363562.3176668,1396173.76082215,1363.0,-0.0,1366.0,ASK
44,1712363563.567977,1396173.76082215,1363.0,-0.0,1366.0,ASK
45,1712363564.8132432,1396173.76082215,1363.0,-0.0,1366.0,ASK
46,1712363566.1145756,1396173.76082215,1363.0,-0.0,1366.0,ASK
47,1712363567.3531191,1396173.76082215,1363.0,-0.0,1366.0,ASK
48,1712363568.5935795,1396173.76082215,1363.0,-0.0,1366.0,ASK
49,1712363569.840161,1396173.76082215,1363.0,-0.0,1366.0,ASK
50,1712363571.0664158,1396173.76082215,1363.0,-0.0,1366.0,ASK
51,1712363572.2731724,1396173.76082215,1363.0,-0.0,1366.0,ASK
52,1712363573.4738734,1396237.7427357,1363.0,1.62400932354952e-09,1366.0,BID
53,1712363574.6976392,1396279.25759687,1363.0,-1.053743438810188e-09,1366.0,ASK
54,1712363575.9207463,1396279.25759687,1363.0,-0.0,1366.0,ASK
55,1712363577.160446,1399668.83573516,1363.0,8.603535271222782e-08,1366.0,BID
56,1712363578.3841217,1399668.83573516,1363.0,0.0,1366.0,BID
57,1712363579.6252053,1399668.83573516,1363.0,0.0,1366.0,BID
58,1712363581.0736957,1401796.13130422,1363.0,5.399569419561527e-08,1366.0,BID
59,1712363582.2823434,1402616.96472242,1363.0,-2.0819334121956525e-08,1366.0,ASK
60,1712363583.501641,1402616.96472242,1363.0,-0.0,1366.0,ASK
61,1712363584.8160386,1402616.96472242,1363.0,-0.0,1366.0,ASK
62,1712363586.0324342,1407342.54840193,1363.0,-1.1985806542906238e-07,1366.0,ASK
63,1712363587.2613852,1407342.54840193,1363.0,-0.0,1366.0,ASK
64,1712363588.4950705,1413611.8392884,1363.0,1.5901211960811264e-07,1366.0,BID
65,1712363589.7212362,1423380.24509273,1362.0,-2.4776245675422456e-07,1366.0,ASK
66,1712363590.9174612,1423460.08509273,1362.0,2.0250340683483827e-09,1366.0,BID
67,1712363592.1256788,1423777.59875085,1362.0,8.053306298349835e-09,1366.0,BID
68,1712363593.3389373,1425258.85802686,1362.0,3.757014651782444e-08,1366.0,BID
69,1712363594.5467467,1426710.22715314,1362.0,3.681202312714409e-08,1366.0,BID
70,1712363595.747494,1426870.22715314,1362.0,4.058184505715756e-09,1366.0,BID
71,1712363596.9453492,1426870.22715314,1362.0,0.0,1366.0,BID
72,1712363598.154696,1426870.22715314,1362.0,0.0,1366.0,BID
73,1712363599.384937,1427859.06715314,1362.0,2.5080594791451927e-08,1366.0,BID
74,1712363600.6092408,1429226.12250358,1362.0,3.467351776007369e-08,1366.0,BID
75,1712363601.8409295,1429996.12250358,1362.0,1.9530012933757075e-08,1366.0,BID
76,1712363603.0589466,1432698.17563874,1362.0,6.853393854204094e-08,1366.0,BID
77,1712363604.275997,1436556.26118707,1362.0,9.785514371224425e-08,1366.0,BID
78,1712363605.50368,1437478.40632472,1362.0,2.3388969435201212e-08,1366.0,BID
79,1712363606.7322955,1437478.40632472,1362.0,0.0,1366.0,BID
80,1712363607.9443488,1437478.40632472,1362.0,0.0,1366.0,BID
81,1712363609.1501658,1438072.76883885,1362.0,1.5075204660130766e-08,1366.0,BID
