,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363652.8787074,12141915.60268285,15.93,-0.0,15.95,ASK
1,1712363654.0893276,12141915.60268285,15.93,-0.0,15.95,ASK
2,1712363655.3262074,12141915.60268285,15.93,-0.0,15.95,ASK
3,1712363656.5759006,12141915.60268285,15.93,-0.0,15.95,ASK
4,1712363657.7962973,12141915.60268285,15.93,-0.0,15.95,ASK
5,1712363659.0157838,12141915.60268285,15.93,-0.0,15.95,ASK
6,1712363660.225371,12141915.60268285,15.93,-0.0,15.95,ASK
7,1712363661.4561923,12141915.60268285,15.93,-0.0,15.95,ASK
8,1712363662.7009091,12141915.60268285,15.93,-0.0,15.95,ASK
9,1712363663.9352863,12141915.60268285,15.93,-0.0,15.95,ASK
10,1712363665.1512804,12141915.60268285,15.93,-0.0,15.95,ASK
11,1712363666.3893273,12141915.60268285,15.93,-0.0,15.95,ASK
12,1712363667.6204705,12141915.60268285,15.93,-0.0,15.95,ASK
13,1712363668.8211246,12141915.60268285,15.93,-0.0,15.95,ASK
14,1712363670.052253,12141915.60268285,15.93,-0.0,15.95,ASK
15,1712363671.3201063,12141915.60268285,15.93,-0.0,15.95,ASK
16,1712363672.5393827,12141915.60268285,15.93,-0.0,15.95,ASK
17,1712363673.785435,12141915.60268285,15.93,-0.0,15.95,ASK
18,1712363675.0259051,12141915.60268285,15.93,-0.0,15.95,ASK
19,1712363676.2765567,12141915.60268285,15.93,-0.0,15.95,ASK
20,1712363677.5326064,12141915.60268285,15.93,-0.0,15.95,ASK
21,1712363678.7601063,12141915.60268285,15.93,-0.0,15.95,ASK
22,1712363679.9909093,12141915.60268285,15.93,-0.0,15.95,ASK
23,1712363681.2108135,12141915.60268285,15.93,-0.0,15.95,ASK
24,1712363682.4988167,12141915.60268285,15.93,-0.0,15.95,ASK
25,1712363683.7365804,12141915.60268285,15.93,-0.0,15.95,ASK
26,1712363684.9921951,12141915.60268285,15.93,-0.0,15.95,ASK
27,1712363686.2407615,12141915.60268285,15.93,-0.0,15.95,ASK
28,1712363687.4989555,12141915.60268285,15.93,-0.0,15.95,ASK
29,1712363688.746882,12141915.60268285,15.93,-0.0,15.95,ASK
30,1712363689.9752138,12141915.60268285,15.93,-0.0,15.95,ASK
31,1712363691.2050185,12141915.60268285,15.93,-0.0,15.95,ASK
32,1712363692.4425707,12141915.60268285,15.93,-0.0,15.95,ASK
33,1712363693.6875138,12141915.60268285,15.93,-0.0,15.95,ASK
34,1712363694.9249654,12141915.60268285,15.93,-0.0,15.95,ASK
35,1712363696.1575837,12141915.60268285,15.93,-0.0,15.95,ASK
36,1712363697.427563,12141915.60268285,15.93,-0.0,15.95,ASK
37,1712363698.796378,12141915.60268285,15.93,-0.0,15.95,ASK
38,1712363700.0540237,12141915.60268285,15.93,-0.0,15.95,ASK
39,1712363701.3009644,12141915.60268285,15.93,-0.0,15.95,ASK
40,1712363702.5267012,12141915.60268285,15.93,-0.0,15.95,ASK
41,1712363703.7393694,12141915.60268285,15.93,-0.0,15.95,ASK
42,1712363704.9553933,12141915.60268285,15.93,-0.0,15.95,ASK
43,1712363706.1758475,12141915.60268285,15.93,-0.0,15.95,ASK
44,1712363707.3841212,12141915.60268285,15.93,-0.0,15.95,ASK
45,1712363708.5993052,12141915.60268285,15.93,-0.0,15.95,ASK
46,1712363709.825692,12141915.60268285,15.93,-0.0,15.95,ASK
47,1712363711.0428436,12141915.60268285,15.93,-0.0,15.95,ASK
48,1712363712.2603722,12141915.60268285,15.93,-0.0,15.95,ASK
49,1712363713.4680526,12141915.60268285,15.93,-0.0,15.95,ASK
50,1712363714.682785,12141915.60268285,15.93,-0.0,15.95,ASK
51,1712363715.8932586,12141915.60268285,15.93,-0.0,15.95,ASK
52,1712363717.1102602,12141915.60268285,15.93,-0.0,15.95,ASK
53,1712363718.349732,12141915.60268285,15.93,-0.0,15.95,ASK
54,1712363719.5623147,12141915.60268285,15.93,-0.0,15.95,ASK
55,1712363720.767523,12141915.60268285,15.93,-0.0,15.95,ASK
56,1712363721.9836721,12141915.60268285,15.93,-0.0,15.95,ASK
57,1712363723.1950514,12141915.60268285,15.93,-0.0,15.95,ASK
58,1712363724.4332101,12141915.60268285,15.93,-0.0,15.95,ASK
59,1712363725.6395423,12141915.60268285,15.93,-0.0,15.95,ASK
60,1712363726.8589563,12141915.60268285,15.93,-0.0,15.95,ASK
61,1712363728.0692072,12141915.60268285,15.93,-0.0,15.95,ASK
62,1712363729.3010163,12141915.60268285,15.93,-0.0,15.95,ASK
63,1712363730.51771,12141915.60268285,15.93,-0.0,15.95,ASK
64,1712363731.7962701,12141915.60268285,15.93,-0.0,15.95,ASK
65,1712363733.015008,12141915.60268285,15.93,-0.0,15.95,ASK
66,1712363734.3064628,12141915.60268285,15.93,-0.0,15.95,ASK
67,1712363735.539473,12141915.60268285,15.93,-0.0,15.95,ASK
68,1712363736.7916057,12141915.60268285,15.93,-0.0,15.95,ASK
69,1712363738.0337539,12141915.60268285,15.93,-0.0,15.95,ASK
70,1712363739.2833915,12141915.60268285,15.93,-0.0,15.95,ASK
71,1712363740.5087671,12141915.60268285,15.93,-0.0,15.95,ASK
