,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363490.206872,14689034.35311988,55.16,2.2734229115033858e-07,55.95,BID
1,1712363491.434126,14689034.35311988,55.16,0.0,55.95,BID
2,1712363492.678835,14689034.35311988,55.16,0.0,55.95,BID
3,1712363493.89835,14689034.35311988,55.16,0.0,55.95,BID
4,1712363495.1686704,14689034.35311988,55.16,0.0,55.95,BID
5,1712363496.4002063,14689034.35311988,55.16,0.0,55.95,BID
6,1712363497.6051214,14689034.35311988,55.16,0.0,55.95,BID
7,1712363498.8164246,14689034.35311988,55.16,0.0,55.95,BID
8,1712363500.0285096,14689034.35311988,55.16,0.0,55.95,BID
9,1712363501.237451,14689034.35311988,55.16,0.0,55.95,BID
10,1712363502.4656675,14689034.35311988,55.16,0.0,55.95,BID
11,1712363503.6613703,14689034.35311988,55.16,0.0,55.95,BID
12,1712363504.862668,14689034.35311988,55.16,0.0,55.95,BID
13,1712363506.0839014,14689034.35311988,55.16,0.0,55.95,BID
14,1712363507.3001094,14689034.35311988,55.16,0.0,55.95,BID
15,1712363508.5126562,14689034.35311988,55.16,0.0,55.95,BID
16,1712363509.758501,14689034.35311988,55.16,0.0,55.95,BID
17,1712363510.958443,14689034.35311988,55.16,0.0,55.95,BID
18,1712363512.1465685,14689034.35311988,55.16,0.0,55.95,BID
19,1712363513.3745718,14689034.35311988,55.16,0.0,55.95,BID
20,1712363514.5810807,14689034.35311988,55.16,0.0,55.95,BID
21,1712363515.786681,14689034.35311988,55.16,0.0,55.95,BID
22,1712363517.0280914,14689034.35311988,55.16,0.0,55.95,BID
23,1712363518.2718525,14689034.35311988,55.16,0.0,55.95,BID
24,1712363519.5603821,14689034.35311988,55.16,0.0,55.95,BID
25,1712363520.7657933,14689034.35311988,55.16,0.0,55.95,BID
26,1712363521.9742107,14689034.35311988,55.16,0.0,55.95,BID
27,1712363523.184696,14689034.35311988,55.16,0.0,55.95,BID
28,1712363524.3875797,14689034.35311988,55.16,0.0,55.95,BID
29,1712363525.6020088,14689034.35311988,55.16,0.0,55.95,BID
30,1712363526.8415425,14694219.5442704,55.12,-1.3015163839446655e-07,55.95,ASK
31,1712363528.056666,14694219.5442704,55.12,-0.0,55.95,ASK
32,1712363529.28881,14694219.5442704,55.12,-0.0,55.95,ASK
33,1712363530.5533748,14694219.5442704,55.12,-0.0,55.95,ASK
34,1712363531.7617793,14694219.5442704,55.12,-0.0,55.95,ASK
35,1712363532.9890711,14694219.5442704,55.12,-0.0,55.95,ASK
36,1712363534.199677,14698213.0662704,55.15,1.0023997499344009e-07,55.95,BID
37,1712363535.4165964,14698213.0662704,55.15,0.0,55.95,BID
38,1712363536.6257637,14698213.0662704,55.15,0.0,55.95,BID
39,1712363537.8478713,14705317.2232704,55.13,-1.7831891749424676e-07,55.95,ASK
40,1712363539.0591025,14705317.2232704,55.13,-0.0,55.95,ASK
41,1712363540.2776966,14705317.2232704,55.13,-0.0,55.95,ASK
42,1712363541.4809015,14705317.2232704,55.13,-0.0,55.95,ASK
43,1712363542.6981955,14705317.2232704,55.13,-0.0,55.95,ASK
44,1712363543.9457633,14705317.2232704,55.13,-0.0,55.95,ASK
45,1712363545.1473296,14705317.2232704,55.13,-0.0,55.95,ASK
46,1712363546.3664525,14726822.38414902,55.16,5.397933925750111e-07,55.95,BID
47,1712363547.6121795,14726822.38414902,55.16,0.0,55.95,BID
48,1712363548.8261833,14726822.38414902,55.16,0.0,55.95,BID
49,1712363550.0578573,14730633.82706598,55.14,-9.566967270618729e-08,55.95,ASK
50,1712363551.2832553,14731825.64965446,55.14,-2.991374340325744e-08,55.95,ASK
51,1712363552.4825099,14731825.64965446,55.14,-0.0,55.95,ASK
52,1712363553.7137291,14731825.64965446,55.14,-0.0,55.95,ASK
53,1712363554.9283342,14731825.64965446,55.14,-0.0,55.95,ASK
54,1712363556.133522,14731825.64965446,55.14,-0.0,55.95,ASK
55,1712363557.3517888,14731825.64965446,55.14,-0.0,55.95,ASK
56,1712363558.5463035,14731825.64965446,55.14,-0.0,55.95,ASK
57,1712363559.834969,14732309.02528897,55.16,1.2132321402443355e-08,55.95,BID
58,1712363561.0812116,14732309.02528897,55.16,0.0,55.95,BID
59,1712363562.3067577,14732309.02528897,55.16,0.0,55.95,BID
60,1712363563.5570667,14732309.02528897,55.16,0.0,55.95,BID
61,1712363564.8026714,14738204.73033183,55.13,-1.4797723213024396e-07,55.95,ASK
62,1712363566.103473,14738204.73033183,55.13,-0.0,55.95,ASK
63,1712363567.3422568,14738204.73033183,55.13,-0.0,55.95,ASK
64,1712363568.5828295,14738204.73033183,55.13,-0.0,55.95,ASK
65,1712363569.8304896,14738204.73033183,55.13,-0.0,55.95,ASK
66,1712363571.057294,14738204.73033183,55.13,-0.0,55.95,ASK
67,1712363572.2638745,14738204.73033183,55.13,-0.0,55.95,ASK
68,1712363573.4645936,14738204.73033183,55.13,-0.0,55.95,ASK
69,1712363574.6884537,14738204.73033183,55.13,-0.0,55.95,ASK
70,1712363575.9086347,14738204.73033183,55.13,-0.0,55.95,ASK
71,1712363577.1494527,14738929.80284814,55.16,1.819870961608649e-08,55.95,BID
72,1712363578.3731706,14738929.80284814,55.16,0.0,55.95,BID
73,1712363579.6143057,14738929.80284814,55.16,0.0,55.95,BID
74,1712363581.0641804,14738929.80284814,55.16,0.0,55.95,BID
75,1712363582.2729974,14738929.80284814,55.16,0.0,55.95,BID
76,1712363583.4922605,14738929.80284814,55.16,0.0,55.95,BID
77,1712363584.8067458,14738929.80284814,55.16,0.0,55.95,BID
78,1712363586.022816,14738929.80284814,55.16,0.0,55.95,BID
79,1712363587.252068,14738929.80284814,55.16,0.0,55.95,BID
80,1712363588.4858117,14738929.80284814,55.16,0.0,55.95,BID
81,1712363589.7112489,14738929.80284814,55.16,0.0,55.95,BID
82,1712363590.908173,14738929.80284814,55.16,0.0,55.95,BID
83,1712363592.1164224,14738929.80284814,55.16,0.0,55.95,BID
84,1712363593.3296494,14738929.80284814,55.16,0.0,55.95,BID
85,1712363594.5373213,14738929.80284814,55.16,0.0,55.95,BID
86,1712363595.73808,14738929.80284814,55.16,0.0,55.95,BID
87,1712363596.9360223,14738929.80284814,55.16,0.0,55.95,BID
88,1712363598.1433632,14880439.55702409,55.11,-3.55174075499507e-06,55.95,ASK
89,1712363599.3740096,14893393.04044901,55.11,-3.2511833030420687e-07,55.95,ASK
90,1712363600.5946314,14893393.04044901,55.11,-0.0,55.95,ASK
91,1712363601.8297403,14893393.04044901,55.11,-0.0,55.95,ASK
92,1712363603.0472531,14893393.04044901,55.11,-0.0,55.95,ASK
93,1712363604.265006,14893393.04044901,55.11,-0.0,55.95,ASK
94,1712363605.4915082,14893393.04044901,55.11,-0.0,55.95,ASK
95,1712363606.72086,14893393.04044901,55.11,-0.0,55.95,ASK
96,1712363607.9349494,14893393.04044901,55.11,-0.0,55.95,ASK
97,1712363609.1406534,14893393.04044901,55.11,-0.0,55.95,ASK
98,1712363610.380884,14895949.71346661,55.11,-6.416970905424268e-08,55.95,ASK
99,1712363611.6212697,14895949.71346661,55.11,-0.0,55.95,ASK
100,1712363612.8230448,14895949.71346661,55.11,-0.0,55.95,ASK
101,1712363614.0572743,14896677.61411925,55.16,1.826554640970566e-08,55.95,BID
102,1712363615.27154,14896677.61411925,55.16,0.0,55.95,BID
103,1712363616.4822667,14896677.61411925,55.16,0.0,55.95,BID
104,1712363617.6839912,14896677.61411925,55.16,0.0,55.95,BID
105,1712363618.8782074,14896677.61411925,55.16,0.0,55.95,BID
106,1712363620.0934489,14896677.61411925,55.16,0.0,55.95,BID
