,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363643.1415193,37613114.06506382,7.85,-0.0,7.875,ASK
1,1712363644.356354,37613114.06506382,7.85,-0.0,7.875,ASK
2,1712363645.580616,37613114.06506382,7.85,-0.0,7.875,ASK
3,1712363646.7807543,37613114.06506382,7.85,-0.0,7.875,ASK
4,1712363647.9954646,37613114.06506382,7.85,-0.0,7.875,ASK
5,1712363649.2007444,37613114.06506382,7.85,-0.0,7.875,ASK
6,1712363650.4215055,37613114.06506382,7.85,-0.0,7.875,ASK
7,1712363651.6315022,37613114.06506382,7.85,-0.0,7.875,ASK
8,1712363652.8412187,37613114.06506382,7.85,-0.0,7.875,ASK
9,1712363654.046862,37613114.06506382,7.85,-0.0,7.875,ASK
10,1712363655.2887945,37613114.06506382,7.85,-0.0,7.875,ASK
11,1712363656.5360458,37613114.06506382,7.85,-0.0,7.875,ASK
12,1712363657.7586315,37613114.06506382,7.85,-0.0,7.875,ASK
13,1712363658.9782577,37613114.06506382,7.85,-0.0,7.875,ASK
14,1712363660.1880689,37613114.06506382,7.85,-0.0,7.875,ASK
15,1712363661.4192014,37613114.06506382,7.85,-0.0,7.875,ASK
16,1712363662.662663,37613114.06506382,7.85,-0.0,7.875,ASK
17,1712363663.8980582,37613114.06506382,7.85,-0.0,7.875,ASK
18,1712363665.114374,37613114.06506382,7.85,-0.0,7.875,ASK
19,1712363666.351537,37613114.06506382,7.85,-0.0,7.875,ASK
20,1712363667.5834002,37613114.06506382,7.85,-0.0,7.875,ASK
21,1712363668.7841415,37613114.06506382,7.85,-0.0,7.875,ASK
22,1712363670.008542,37613114.06506382,7.85,-0.0,7.875,ASK
23,1712363671.2762418,37613114.06506382,7.85,-0.0,7.875,ASK
24,1712363672.4955518,37613114.06506382,7.85,-0.0,7.875,ASK
25,1712363673.742006,37613114.06506382,7.85,-0.0,7.875,ASK
26,1712363674.9827406,37613114.06506382,7.85,-0.0,7.875,ASK
27,1712363676.2321718,37613114.06506382,7.85,-0.0,7.875,ASK
28,1712363677.489205,37613114.06506382,7.85,-0.0,7.875,ASK
29,1712363678.7119493,37613114.06506382,7.85,-0.0,7.875,ASK
30,1712363679.945858,37613114.06506382,7.85,-0.0,7.875,ASK
31,1712363681.168046,37613114.06506382,7.85,-0.0,7.875,ASK
32,1712363682.4555237,37613114.06506382,7.85,-0.0,7.875,ASK
33,1712363683.691064,37613114.06506382,7.85,-0.0,7.875,ASK
34,1712363684.9472625,37613114.06506382,7.85,-0.0,7.875,ASK
35,1712363686.1959043,37613114.06506382,7.85,-0.0,7.875,ASK
36,1712363687.4526346,37613114.06506382,7.85,-0.0,7.875,ASK
37,1712363688.7035074,37613114.06506382,7.85,-0.0,7.875,ASK
38,1712363689.9305546,37613114.06506382,7.85,-0.0,7.875,ASK
39,1712363691.161205,37613114.06506382,7.85,-0.0,7.875,ASK
40,1712363692.3948433,37613114.06506382,7.85,-0.0,7.875,ASK
41,1712363693.6437337,37613114.06506382,7.85,-0.0,7.875,ASK
42,1712363694.87559,37613114.06506382,7.85,-0.0,7.875,ASK
43,1712363696.1140296,37613114.06506382,7.85,-0.0,7.875,ASK
44,1712363697.3780227,37613114.06506382,7.85,-0.0,7.875,ASK
45,1712363698.7519803,37613114.06506382,7.85,-0.0,7.875,ASK
46,1712363700.009804,37613114.06506382,7.85,-0.0,7.875,ASK
47,1712363701.2627664,37613114.06506382,7.85,-0.0,7.875,ASK
48,1712363702.488773,37613114.06506382,7.85,-0.0,7.875,ASK
49,1712363703.7010381,37613114.06506382,7.85,-0.0,7.875,ASK
50,1712363704.916569,37613114.06506382,7.85,-0.0,7.875,ASK
51,1712363706.1379397,37613114.06506382,7.85,-0.0,7.875,ASK
52,1712363707.3450034,37613114.06506382,7.85,-0.0,7.875,ASK
53,1712363708.5605135,37613114.06506382,7.85,-0.0,7.875,ASK
54,1712363709.787235,37645109.95209273,7.85,-7.613464040674403e-06,7.875,ASK
55,1712363711.0032032,37645109.95209273,7.85,-0.0,7.875,ASK
56,1712363712.221698,37645109.95209273,7.85,-0.0,7.875,ASK
57,1712363713.4294517,37645109.95209273,7.85,-0.0,7.875,ASK
58,1712363714.6429605,37645109.95209273,7.85,-0.0,7.875,ASK
59,1712363715.8548436,37645109.95209273,7.85,-0.0,7.875,ASK
60,1712363717.0708444,37645109.95209273,7.85,-0.0,7.875,ASK
61,1712363718.311259,37763439.04017707,7.85,-2.8156564507241346e-05,7.875,ASK
62,1712363719.5242677,37763439.04017707,7.85,-0.0,7.875,ASK
63,1712363720.7294562,37763439.04017707,7.85,-0.0,7.875,ASK
64,1712363721.945227,37763439.04017707,7.85,-0.0,7.875,ASK
65,1712363723.1566014,37763439.04017707,7.85,-0.0,7.875,ASK
66,1712363724.39392,37763439.04017707,7.85,-0.0,7.875,ASK
67,1712363725.5999005,37763439.04017707,7.85,-0.0,7.875,ASK
68,1712363726.8197014,37763439.04017707,7.85,-0.0,7.875,ASK
69,1712363728.029982,37763439.04017707,7.85,-0.0,7.875,ASK
70,1712363729.26142,37763439.04017707,7.85,-0.0,7.875,ASK
71,1712363730.4779358,37763439.04017707,7.85,-0.0,7.875,ASK
72,1712363731.7555184,37763439.04017707,7.85,-0.0,7.875,ASK
73,1712363732.9748793,37763439.04017707,7.85,-0.0,7.875,ASK
74,1712363734.1924365,37763439.04017707,7.85,-0.0,7.875,ASK
75,1712363735.5016224,37763439.04017707,7.85,-0.0,7.875,ASK
76,1712363736.754314,37763439.04017707,7.85,-0.0,7.875,ASK
77,1712363737.9956694,37763439.04017707,7.85,-0.0,7.875,ASK
78,1712363739.2461324,37763439.04017707,7.85,-0.0,7.875,ASK
79,1712363740.470869,37763439.04017707,7.85,-0.0,7.875,ASK
80,1712363741.6964705,37763439.04017707,7.85,-0.0,7.875,ASK
81,1712363742.9099314,37763439.04017707,7.85,-0.0,7.875,ASK
82,1712363744.1163037,37763439.04017707,7.85,-0.0,7.875,ASK
83,1712363745.3240275,37763439.04017707,7.85,-0.0,7.875,ASK
84,1712363746.5401626,37763439.04017707,7.85,-0.0,7.875,ASK
85,1712363747.757427,37763439.04017707,7.85,-0.0,7.875,ASK
86,1712363748.9599276,37763439.04017707,7.85,-0.0,7.875,ASK
87,1712363750.17713,37763439.04017707,7.85,-0.0,7.875,ASK
88,1712363751.4327126,37763439.04017707,7.85,-0.0,7.875,ASK
89,1712363752.6801972,37763439.04017707,7.85,-0.0,7.875,ASK
90,1712363753.9396632,37763439.04017707,7.85,-0.0,7.875,ASK
91,1712363755.2626119,37763439.04017707,7.85,-0.0,7.875,ASK
92,1712363756.4805148,37763439.04017707,7.85,-0.0,7.875,ASK
93,1712363757.7055378,37763439.04017707,7.85,-0.0,7.875,ASK
94,1712363758.9363844,37763439.04017707,7.85,-0.0,7.875,ASK
95,1712363760.1562326,37763439.04017707,7.85,-0.0,7.875,ASK
96,1712363761.4266367,37763439.04017707,7.85,-0.0,7.875,ASK
97,1712363762.681597,37763439.04017707,7.85,-0.0,7.875,ASK
98,1712363763.90984,37763439.04017707,7.85,-0.0,7.875,ASK
99,1712363765.1316373,37763439.04017707,7.85,-0.0,7.875,ASK
100,1712363766.4539163,37763439.04017707,7.85,-0.0,7.875,ASK
101,1712363767.6763763,37763439.04017707,7.85,-0.0,7.875,ASK
102,1712363768.8957176,37763439.04017707,7.85,-0.0,7.875,ASK
103,1712363770.1020677,37763439.04017707,7.85,-0.0,7.875,ASK
104,1712363771.3214402,37763439.04017707,7.85,-0.0,7.875,ASK
105,1712363772.5368545,37763439.04017707,7.85,-0.0,7.875,ASK
106,1712363773.7442663,37763439.04017707,7.85,-0.0,7.875,ASK
107,1712363774.966188,37763439.04017707,7.85,-0.0,7.875,ASK
108,1712363776.193297,37763439.04017707,7.85,-0.0,7.875,ASK
109,1712363777.4102514,37763439.04017707,7.85,-0.0,7.875,ASK
110,1712363778.6265585,37763439.04017707,7.85,-0.0,7.875,ASK
