,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363654.0498786,5157772.36374354,21.59,0.0,21.68,BID
1,1712363655.2917824,5157772.36374354,21.59,0.0,21.68,BID
2,1712363656.5403156,5157772.36374354,21.59,0.0,21.68,BID
3,1712363657.761676,5157772.36374354,21.59,0.0,21.68,BID
4,1712363658.981291,5157772.36374354,21.59,0.0,21.68,BID
5,1712363660.1911044,5157772.36374354,21.59,0.0,21.68,BID
6,1712363661.4222078,5157772.36374354,21.59,0.0,21.68,BID
7,1712363662.6657062,5157772.36374354,21.59,0.0,21.68,BID
8,1712363663.9011605,5157772.36374354,21.59,0.0,21.68,BID
9,1712363665.117353,5157772.36374354,21.59,0.0,21.68,BID
10,1712363666.3545773,5157772.36374354,21.59,0.0,21.68,BID
11,1712363667.586342,5157772.36374354,21.59,0.0,21.68,BID
12,1712363668.7871175,5157772.36374354,21.59,0.0,21.68,BID
13,1712363670.0120282,5157772.36374354,21.59,0.0,21.68,BID
14,1712363671.2797718,5157772.36374354,21.59,0.0,21.68,BID
15,1712363672.4990528,5157772.36374354,21.59,0.0,21.68,BID
16,1712363673.745499,5157772.36374354,21.59,0.0,21.68,BID
17,1712363674.9862244,5157772.36374354,21.59,0.0,21.68,BID
18,1712363676.2357068,5169053.36374354,21.59,-4.9261129481618495e-06,21.68,ASK
19,1712363677.4926844,5169053.36374354,21.59,-0.0,21.68,ASK
20,1712363678.715439,5169053.36374354,21.59,-0.0,21.68,ASK
21,1712363679.9494584,5169053.36374354,21.59,-0.0,21.68,ASK
22,1712363681.1714911,5171831.14152132,21.59,1.2129817461428558e-06,21.68,BID
23,1712363682.4590328,5171831.14152132,21.59,0.0,21.68,BID
24,1712363683.694613,5303671.8121147,21.59,-5.757131765839823e-05,21.68,ASK
25,1712363684.9508684,5303671.8121147,21.59,-0.0,21.68,ASK
26,1712363686.1995125,5303671.8121147,21.59,-0.0,21.68,ASK
27,1712363687.4582968,5303671.8121147,21.59,-0.0,21.68,ASK
28,1712363688.7071042,5303671.8121147,21.59,-0.0,21.68,ASK
29,1712363689.93413,5303671.8121147,21.59,-0.0,21.68,ASK
30,1712363691.1647308,5303671.8121147,21.59,-0.0,21.68,ASK
31,1712363692.3986351,5303671.8121147,21.59,-0.0,21.68,ASK
32,1712363693.647222,5303671.8121147,21.59,-0.0,21.68,ASK
33,1712363694.8791478,5303671.8121147,21.59,-0.0,21.68,ASK
34,1712363696.1175418,5303671.8121147,21.59,-0.0,21.68,ASK
35,1712363697.3816466,5303671.8121147,21.59,-0.0,21.68,ASK
36,1712363698.7555056,5303671.8121147,21.59,-0.0,21.68,ASK
37,1712363700.0133166,5303671.8121147,21.59,-0.0,21.68,ASK
38,1712363701.2658052,5303671.8121147,21.59,-0.0,21.68,ASK
39,1712363702.491909,5303671.8121147,21.59,-0.0,21.68,ASK
40,1712363703.7041583,5303671.8121147,21.59,-0.0,21.68,ASK
41,1712363704.9196863,5303671.8121147,21.59,-0.0,21.68,ASK
42,1712363706.1410387,5303671.8121147,21.59,-0.0,21.68,ASK
43,1712363707.348145,5303671.8121147,21.59,-0.0,21.68,ASK
44,1712363708.563576,5303671.8121147,21.59,-0.0,21.68,ASK
45,1712363709.7903268,5303671.8121147,21.59,-0.0,21.68,ASK
46,1712363711.0062845,5303671.8121147,21.59,-0.0,21.68,ASK
47,1712363712.2247822,5303671.8121147,21.59,-0.0,21.68,ASK
48,1712363713.4325223,5303671.8121147,21.59,-0.0,21.68,ASK
49,1712363714.6461453,5303671.8121147,21.59,-0.0,21.68,ASK
50,1712363715.8579967,5303671.8121147,21.59,-0.0,21.68,ASK
51,1712363717.0739458,5303671.8121147,21.59,-0.0,21.68,ASK
52,1712363718.314401,5303671.8121147,21.59,-0.0,21.68,ASK
53,1712363719.5272863,5303671.8121147,21.59,-0.0,21.68,ASK
54,1712363720.7325094,5303671.8121147,21.59,-0.0,21.68,ASK
55,1712363721.9483674,5303671.8121147,21.59,-0.0,21.68,ASK
56,1712363723.1597135,5303671.8121147,21.59,-0.0,21.68,ASK
57,1712363724.3970897,5303671.8121147,21.59,-0.0,21.68,ASK
58,1712363725.6030347,5303671.8121147,21.59,-0.0,21.68,ASK
59,1712363726.8228624,5303671.8121147,21.59,-0.0,21.68,ASK
60,1712363728.0331817,5303671.8121147,21.59,-0.0,21.68,ASK
61,1712363729.264573,5303671.8121147,21.59,-0.0,21.68,ASK
62,1712363730.481176,5303671.8121147,21.59,-0.0,21.68,ASK
63,1712363731.7587495,5303671.8121147,21.59,-0.0,21.68,ASK
64,1712363732.9780483,5303671.8121147,21.59,-0.0,21.68,ASK
65,1712363734.1956065,5303671.8121147,21.59,-0.0,21.68,ASK
66,1712363735.504824,5329013.89638189,21.65,1.1412010399322229e-05,21.68,BID
67,1712363736.7574754,5329013.89638189,21.65,0.0,21.68,BID
68,1712363737.9989684,5329013.89638189,21.65,0.0,21.68,BID
69,1712363739.2493594,5329013.89638189,21.65,0.0,21.68,BID
70,1712363740.47412,5329013.89638189,21.65,0.0,21.68,BID
71,1712363741.69972,5329013.89638189,21.65,0.0,21.68,BID
72,1712363742.9132109,5329013.89638189,21.65,0.0,21.68,BID
73,1712363744.1197932,5329013.89638189,21.65,0.0,21.68,BID
74,1712363745.3272965,5329013.89638189,21.65,0.0,21.68,BID
75,1712363746.5433712,5329013.89638189,21.65,0.0,21.68,BID
76,1712363747.7606494,5329013.89638189,21.65,0.0,21.68,BID
77,1712363748.963182,5329013.89638189,21.65,0.0,21.68,BID
78,1712363750.1808856,5329013.89638189,21.65,0.0,21.68,BID
79,1712363751.436457,5329013.89638189,21.65,0.0,21.68,BID
80,1712363752.6839728,5329013.89638189,21.65,0.0,21.68,BID
81,1712363753.9434018,5329013.89638189,21.65,0.0,21.68,BID
82,1712363755.2658768,5329013.89638189,21.65,0.0,21.68,BID
83,1712363756.483712,5329013.89638189,21.65,0.0,21.68,BID
84,1712363757.7091405,5329013.89638189,21.65,0.0,21.68,BID
85,1712363758.9395986,5329013.89638189,21.65,0.0,21.68,BID
86,1712363760.1595972,5329013.89638189,21.65,0.0,21.68,BID
87,1712363761.4307122,5329013.89638189,21.65,0.0,21.68,BID
88,1712363762.6853194,5329013.89638189,21.65,0.0,21.68,BID
89,1712363763.9135025,5329013.89638189,21.65,0.0,21.68,BID
90,1712363765.1354232,5329013.89638189,21.65,0.0,21.68,BID
91,1712363766.457211,5329013.89638189,21.65,0.0,21.68,BID
92,1712363767.679609,5329013.89638189,21.65,0.0,21.68,BID
93,1712363768.8989522,5329013.89638189,21.65,0.0,21.68,BID
94,1712363770.1053586,5329013.89638189,21.65,0.0,21.68,BID
95,1712363771.324702,5329013.89638189,21.65,0.0,21.68,BID
96,1712363772.540102,5329013.89638189,21.65,0.0,21.68,BID
97,1712363773.747548,5329013.89638189,21.65,0.0,21.68,BID
98,1712363774.9695523,5329013.89638189,21.65,0.0,21.68,BID
99,1712363776.1965408,5329013.89638189,21.65,0.0,21.68,BID
100,1712363777.4134963,5329013.89638189,21.65,0.0,21.68,BID
101,1712363778.6299007,5329013.89638189,21.65,0.0,21.68,BID
102,1712363779.835364,5329013.89638189,21.65,0.0,21.68,BID
