,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363654.1220856,10944184.7749361,9.586,0.0,9.59,BID
1,1712363655.3583758,10944184.7749361,9.586,0.0,9.59,BID
2,1712363656.6127787,10944184.7749361,9.586,0.0,9.59,BID
3,1712363657.8288863,10944184.7749361,9.586,0.0,9.59,BID
4,1712363659.0486,10944184.7749361,9.586,0.0,9.59,BID
5,1712363660.2578175,10944184.7749361,9.586,0.0,9.59,BID
6,1712363661.4886017,10944184.7749361,9.586,0.0,9.59,BID
7,1712363662.7346303,10999508.62326246,9.56,-1.4332933896574232e-05,9.59,ASK
8,1712363663.968378,11257893.86204266,9.56,6.694072555185348e-05,9.59,BID
9,1712363665.1845083,11257893.86204266,9.56,0.0,9.59,BID
10,1712363666.4224882,11257893.86204266,9.56,0.0,9.59,BID
11,1712363667.6532443,11257893.86204266,9.56,0.0,9.59,BID
12,1712363668.8535557,11257893.86204266,9.56,0.0,9.59,BID
13,1712363670.0908234,11257893.86204266,9.56,0.0,9.59,BID
14,1712363671.3586287,11257893.86204266,9.56,0.0,9.59,BID
15,1712363672.5777981,11257893.86204266,9.56,0.0,9.59,BID
16,1712363673.8234258,11257893.86204266,9.56,0.0,9.59,BID
17,1712363675.0640337,11257893.86204266,9.56,0.0,9.59,BID
18,1712363676.3166292,11257893.86204266,9.56,0.0,9.59,BID
19,1712363677.5708058,11257893.86204266,9.56,0.0,9.59,BID
20,1712363678.7984154,11257893.86204266,9.56,0.0,9.59,BID
21,1712363680.0299957,11257893.86204266,9.56,0.0,9.59,BID
22,1712363681.2481651,11257893.86204266,9.56,0.0,9.59,BID
23,1712363682.5418186,11257893.86204266,9.56,0.0,9.59,BID
24,1712363683.7765067,11310195.11727279,9.56,-1.3539340877065815e-05,9.59,ASK
25,1712363685.031478,11310941.12937024,9.56,-1.931217910802865e-07,9.59,ASK
26,1712363686.2802162,11310941.12937024,9.56,-0.0,9.59,ASK
27,1712363687.5373561,11310941.12937024,9.56,-0.0,9.59,ASK
28,1712363688.785377,11310941.12937024,9.56,-0.0,9.59,ASK
29,1712363690.0147057,11310941.12937024,9.56,-0.0,9.59,ASK
30,1712363691.2439816,11310941.12937024,9.56,-0.0,9.59,ASK
31,1712363692.4838839,11310941.12937024,9.56,-0.0,9.59,ASK
32,1712363693.7263117,11310941.12937024,9.56,-0.0,9.59,ASK
33,1712363694.9641533,11310941.12937024,9.56,-0.0,9.59,ASK
34,1712363696.1964571,11473218.00490408,9.559,-4.2008971384152946e-05,9.59,ASK
35,1712363697.5498202,11473879.1931886,9.559,1.7116326422089795e-07,9.59,BID
36,1712363698.8323472,11474540.45064231,9.559,1.7118117020106064e-07,9.59,BID
37,1712363700.0899513,11474540.45064231,9.559,0.0,9.59,BID
38,1712363701.3319252,11474540.45064231,9.559,0.0,9.59,BID
39,1712363702.5576642,11474540.45064231,9.559,0.0,9.59,BID
40,1712363703.7707074,11474540.45064231,9.559,0.0,9.59,BID
41,1712363704.9866097,11474540.45064231,9.559,0.0,9.59,BID
42,1712363706.2070162,11474540.45064231,9.559,0.0,9.59,BID
43,1712363707.415761,11482109.15029708,9.559,1.9759882830237133e-06,9.59,BID
44,1712363708.6305811,11482109.15029708,9.559,0.0,9.59,BID
45,1712363709.8566177,11482109.15029708,9.559,0.0,9.59,BID
46,1712363711.0739863,11482109.15029708,9.559,0.0,9.59,BID
47,1712363712.2916982,11482109.15029708,9.559,0.0,9.59,BID
48,1712363713.4994226,11482109.15029708,9.559,0.0,9.59,BID
49,1712363714.7143824,11482109.15029708,9.559,0.0,9.59,BID
50,1712363715.9247122,11482109.15029708,9.559,0.0,9.59,BID
51,1712363717.141755,11482109.15029708,9.559,0.0,9.59,BID
52,1712363718.3810182,11482109.15029708,9.559,0.0,9.59,BID
53,1712363719.5930297,11482109.15029708,9.559,0.0,9.59,BID
54,1712363720.7988753,11482109.15029708,9.559,0.0,9.59,BID
55,1712363722.0158465,11487205.29006065,9.559,1.3304679695042416e-06,9.59,BID
56,1712363723.2267847,11487205.29006065,9.559,0.0,9.59,BID
57,1712363724.464822,11487205.29006065,9.559,0.0,9.59,BID
58,1712363725.6709456,11487205.29006065,9.559,0.0,9.59,BID
59,1712363726.890765,11487205.29006065,9.559,0.0,9.59,BID
60,1712363728.1015282,11487205.29006065,9.559,0.0,9.59,BID
61,1712363729.3331087,11487205.29006065,9.559,0.0,9.59,BID
62,1712363730.5503716,11487205.29006065,9.559,0.0,9.59,BID
63,1712363731.8290198,11487205.29006065,9.559,0.0,9.59,BID
64,1712363733.0471582,11487205.29006065,9.559,0.0,9.59,BID
65,1712363734.339236,11487205.29006065,9.559,0.0,9.59,BID
66,1712363735.5717685,11487205.29006065,9.559,0.0,9.59,BID
67,1712363736.8236337,11487205.29006065,9.559,0.0,9.59,BID
68,1712363738.0667477,11487205.29006065,9.559,0.0,9.59,BID
69,1712363739.316914,11487205.29006065,9.559,0.0,9.59,BID
70,1712363740.5413392,11493482.09725806,9.539,-1.6386573709956203e-06,9.59,ASK
71,1712363741.7667837,11493482.09725806,9.539,-0.0,9.59,ASK
72,1712363742.9812148,11493482.09725806,9.539,-0.0,9.59,ASK
73,1712363744.1883752,11493482.09725806,9.539,-0.0,9.59,ASK
74,1712363745.3944125,11493482.09725806,9.539,-0.0,9.59,ASK
75,1712363746.6102293,11493482.09725806,9.539,-0.0,9.59,ASK
