,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712363641.963152,779999.28906168,531.0,0.0,531.3,BID
1,1712363643.1750622,779999.28906168,531.0,0.0,531.3,BID
2,1712363644.3909552,779999.28906168,531.0,0.0,531.3,BID
3,1712363645.6141977,779999.28906168,531.0,0.0,531.3,BID
4,1712363646.815219,779999.28906168,531.0,0.0,531.3,BID
5,1712363648.0298734,779999.28906168,531.0,0.0,531.3,BID
6,1712363649.2349179,779999.28906168,531.0,0.0,531.3,BID
7,1712363650.4565425,779999.28906168,531.0,0.0,531.3,BID
8,1712363651.665437,785930.35144964,531.1,1.0377525193697776e-06,531.3,BID
9,1712363652.8756828,785930.35144964,531.1,0.0,531.3,BID
10,1712363654.0863106,785930.35144964,531.1,0.0,531.3,BID
11,1712363655.3232307,785930.35144964,531.1,0.0,531.3,BID
12,1712363656.5723815,785950.18897089,530.5,-3.470952808899806e-09,531.3,ASK
13,1712363657.7932475,785950.18897089,530.5,-0.0,531.3,ASK
14,1712363659.0127575,785950.18897089,530.5,-0.0,531.3,ASK
15,1712363660.2223432,785950.18897089,530.5,-0.0,531.3,ASK
16,1712363661.4532104,793758.8401843,530.5,-1.3662725055878583e-06,531.3,ASK
17,1712363662.697,793758.8401843,530.5,-0.0,531.3,ASK
18,1712363663.932248,793758.8401843,530.5,-0.0,531.3,ASK
19,1712363665.1482549,793758.8401843,530.5,-0.0,531.3,ASK
20,1712363666.3863134,793758.8401843,530.5,-0.0,531.3,ASK
21,1712363667.617498,793758.8401843,530.5,-0.0,531.3,ASK
22,1712363668.8180957,793758.8401843,530.5,-0.0,531.3,ASK
23,1712363670.048765,793758.8401843,530.5,-0.0,531.3,ASK
24,1712363671.3165462,793758.8401843,530.5,-0.0,531.3,ASK
25,1712363672.5358326,793758.8401843,530.5,-0.0,531.3,ASK
26,1712363673.7819195,793758.8401843,530.5,-0.0,531.3,ASK
27,1712363675.0224018,793758.8401843,530.5,-0.0,531.3,ASK
28,1712363676.2729568,793758.8401843,530.5,-0.0,531.3,ASK
29,1712363677.528977,793758.8401843,530.5,-0.0,531.3,ASK
30,1712363678.7565851,796340.00902836,530.5,-4.510483993939036e-07,531.3,ASK
31,1712363679.9872682,796340.00902836,530.5,-0.0,531.3,ASK
32,1712363681.207367,796340.00902836,530.5,-0.0,531.3,ASK
33,1712363682.4953232,796340.00902836,530.5,-0.0,531.3,ASK
34,1712363683.7328284,796340.00902836,530.5,-0.0,531.3,ASK
35,1712363684.9885557,798234.91275536,530.9,3.3112645654148845e-07,531.3,BID
36,1712363686.2371387,798234.91275552,530.9,2.795140271897836e-17,531.3,BID
37,1712363687.495427,798234.91275552,530.9,0.0,531.3,BID
38,1712363688.7433696,798234.91275552,530.9,0.0,531.3,BID
39,1712363689.9715981,798234.91275552,530.9,0.0,531.3,BID
40,1712363691.20146,798234.91275552,530.9,0.0,531.3,BID
41,1712363692.4380696,798234.91275552,530.9,0.0,531.3,BID
42,1712363693.6839979,803877.08719353,530.9,-9.85946252691732e-07,531.3,ASK
43,1712363694.9213922,803877.08719353,530.9,-0.0,531.3,ASK
44,1712363696.1540427,803877.08719353,530.9,-0.0,531.3,ASK
45,1712363697.4239175,803877.08719353,530.9,-0.0,531.3,ASK
46,1712363698.792738,803877.08719353,530.9,-0.0,531.3,ASK
47,1712363700.050414,803877.08719353,530.9,-0.0,531.3,ASK
48,1712363701.2978876,803877.08719353,530.9,-0.0,531.3,ASK
49,1712363702.523604,803877.08719393,530.9,-6.999864812525379e-17,531.3,ASK
50,1712363703.736212,803877.08719393,530.9,-0.0,531.3,ASK
51,1712363704.9522343,803877.08719393,530.9,-0.0,531.3,ASK
52,1712363706.1727347,803877.08719393,530.9,-0.0,531.3,ASK
53,1712363707.380979,803877.08719393,530.9,-0.0,531.3,ASK
54,1712363708.596183,803877.08719393,530.9,-0.0,531.3,ASK
55,1712363709.822592,803877.08719393,530.9,-0.0,531.3,ASK
56,1712363711.0397277,803877.08719393,530.9,-0.0,531.3,ASK
57,1712363712.2572434,803877.08719393,530.9,-0.0,531.3,ASK
58,1712363713.4649167,803877.08719393,530.9,-0.0,531.3,ASK
59,1712363714.6795034,803877.08719393,530.9,-0.0,531.3,ASK
60,1712363715.8901408,803877.08719393,530.9,-0.0,531.3,ASK
61,1712363717.1071372,803877.08719393,530.9,-0.0,531.3,ASK
62,1712363718.3465886,803877.08719393,530.9,-0.0,531.3,ASK
63,1712363719.5592437,803877.08719393,530.9,-0.0,531.3,ASK
64,1712363720.7644534,803877.08719393,530.9,-0.0,531.3,ASK
65,1712363721.9805028,803877.08719393,530.9,-0.0,531.3,ASK
66,1712363723.1918902,803877.08719393,530.9,-0.0,531.3,ASK
67,1712363724.430056,803877.08719393,530.9,-0.0,531.3,ASK
68,1712363725.636411,803877.08719393,530.9,-0.0,531.3,ASK
69,1712363726.8558013,819526.5642667,530.5,-2.7385847444672357e-06,531.3,ASK
70,1712363728.0659661,819526.5642667,530.5,-0.0,531.3,ASK
71,1712363729.297829,819526.5642667,530.5,-0.0,531.3,ASK
72,1712363730.5144427,819526.5642667,530.5,-0.0,531.3,ASK
73,1712363731.7930038,820173.93932302,530.5,-1.1312323669246126e-07,531.3,ASK
74,1712363733.0117881,820173.93932302,530.5,-0.0,531.3,ASK
75,1712363734.3031595,820173.93932302,530.5,-0.0,531.3,ASK
76,1712363735.5362432,820173.93932302,530.5,-0.0,531.3,ASK
77,1712363736.7883854,820173.93932302,530.5,-0.0,531.3,ASK
78,1712363738.030474,834460.10350634,530.2,-2.4963846174789276e-06,531.3,ASK
79,1712363739.2801025,834460.10350634,530.2,-0.0,531.3,ASK
80,1712363740.5054893,839173.76842545,530.0,-8.236725019410905e-07,531.3,ASK
81,1712363741.7309408,839173.76842545,530.0,-0.0,531.3,ASK
82,1712363742.9449122,839173.76842545,530.0,-0.0,531.3,ASK
83,1712363744.1521835,839173.76842545,530.0,-0.0,531.3,ASK
84,1712363745.3581686,839173.76842545,530.0,-0.0,531.3,ASK
85,1712363746.5745552,839173.76842545,530.0,-0.0,531.3,ASK
86,1712363747.7921193,842078.58172445,530.0,-5.075912010544137e-07,531.3,ASK
87,1712363748.9942484,842078.58172445,530.0,-0.0,531.3,ASK
88,1712363750.2182798,842078.58172445,530.0,-0.0,531.3,ASK
89,1712363751.4728284,842078.58172445,530.0,-0.0,531.3,ASK
90,1712363752.721216,844645.10448943,530.0,-4.4847783272616725e-07,531.3,ASK
91,1712363754.0599754,844645.10448943,530.0,-0.0,531.3,ASK
92,1712363755.295059,844645.10448943,530.0,-0.0,531.3,ASK
93,1712363756.5122232,844645.10448943,530.0,-0.0,531.3,ASK
94,1712363757.7455838,844645.10448943,530.0,-0.0,531.3,ASK
95,1712363758.9682457,844645.10448943,530.0,-0.0,531.3,ASK
96,1712363760.188256,844645.10448943,530.0,-0.0,531.3,ASK
97,1712363761.4658115,844645.10448943,530.0,-0.0,531.3,ASK
98,1712363762.7191632,853023.24481384,530.2,1.4606095073235102e-06,531.3,BID
99,1712363763.9470963,853023.24481384,530.2,0.0,531.3,BID
100,1712363765.1686625,853023.24481384,530.2,0.0,531.3,BID
101,1712363766.4866526,853023.24481384,530.2,0.0,531.3,BID
102,1712363767.7088308,853023.24481384,530.2,0.0,531.3,BID
103,1712363768.9279153,853023.24481384,530.2,0.0,531.3,BID
104,1712363770.1350186,853023.24481384,530.2,0.0,531.3,BID
105,1712363771.3530326,853023.24481384,530.2,0.0,531.3,BID
106,1712363772.573647,853023.24481384,530.2,0.0,531.3,BID
107,1712363773.777286,853023.24481384,530.2,0.0,531.3,BID
108,1712363774.998708,853023.24481384,530.2,0.0,531.3,BID
109,1712363776.2253811,853023.24481384,530.2,0.0,531.3,BID
110,1712363777.4430242,853369.24481384,530.5,6.032017487956319e-08,531.3,BID
111,1712363778.6586711,853369.24481384,530.5,0.0,531.3,BID
112,1712363779.8637521,853369.24481384,530.5,0.0,531.3,BID
113,1712363781.10833,853369.24481384,530.5,0.0,531.3,BID
114,1712363782.360397,853369.24481384,530.5,0.0,531.3,BID
115,1712363783.6034586,853369.24481384,530.5,0.0,531.3,BID
116,1712363784.8458233,853369.24481384,530.5,0.0,531.3,BID
117,1712363786.0787976,853369.24481384,530.5,0.0,531.3,BID
118,1712363787.3382547,853369.24481384,530.5,0.0,531.3,BID
119,1712363788.5704286,853369.24481384,530.5,0.0,531.3,BID
120,1712363789.889065,853369.24481384,530.5,0.0,531.3,BID
121,1712363791.1360326,853369.24481384,530.5,0.0,531.3,BID
122,1712363792.4133205,853369.24481384,530.5,0.0,531.3,BID
123,1712363793.6380193,853369.24481384,530.5,0.0,531.3,BID
124,1712363794.843061,853369.24481384,530.5,0.0,531.3,BID
125,1712363796.0539,853369.24481384,530.5,0.0,531.3,BID
126,1712363797.2634811,853369.24481384,530.5,0.0,531.3,BID
127,1712363798.479485,853369.24481384,530.5,0.0,531.3,BID
