,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.1973257,8073162.01678204,1188.0,0.0,1207.0,BID
1,1712365207.2355807,8073179.21368659,1187.0,-3.0407371845599976e-10,1207.0,ASK
2,1712365210.1055462,8074227.97210372,1187.0,-1.8544027544359252e-08,1207.0,ASK
3,1712365211.2663865,8074986.98536646,1188.0,1.3420786542352552e-08,1207.0,BID
4,1712365211.270959,8075185.67644896,1188.0,3.513233216074465e-09,1207.0,BID
5,1712365211.2727811,8078878.81625338,1188.0,6.530167971932233e-08,1207.0,BID
6,1712365211.2737312,8079397.97636471,1188.0,9.179730286022148e-09,1207.0,BID
7,1712365211.4534922,8081176.15476208,1188.0,3.1441549017416575e-08,1207.0,BID
8,1712365211.455117,8086283.51426604,1188.0,9.030775226539828e-08,1207.0,BID
9,1712365211.455649,8089593.66317208,1188.0,5.8529678033521744e-08,1207.0,BID
10,1712365211.4677413,8093867.5406357,1188.0,7.557021723221207e-08,1207.0,BID
11,1712365211.4682915,8094057.57354208,1188.0,3.360140326579936e-09,1207.0,BID
12,1712365211.4713943,8094560.10972342,1188.0,8.885787838835631e-09,1207.0,BID
13,1712365211.736823,8096466.39972342,1188.0,3.3706803864604115e-08,1207.0,BID
14,1712365211.975571,8105819.18676046,1188.0,1.653749210481703e-07,1207.0,BID
15,1712365212.035667,8106578.20004316,1188.0,1.3420786895268408e-08,1207.0,BID
16,1712365212.295385,8106666.88631241,1188.0,1.568140567865698e-09,1207.0,BID
17,1712365213.1755483,8108488.75418419,1189.0,3.221406135546493e-08,1207.0,BID
18,1712365213.255781,8108497.16461312,1189.0,1.487122517367191e-10,1207.0,BID
19,1712365213.936098,8109334.25231739,1189.0,1.4801289974403172e-08,1207.0,BID
20,1712365213.9455297,8111387.82369377,1189.0,3.631101647996383e-08,1207.0,BID
21,1712365217.275342,8111393.82369377,1190.0,1.0609132041170059e-10,1207.0,BID
22,1712365217.7560177,8111764.90842532,1189.0,-6.561478192459379e-09,1207.0,ASK
23,1712365220.5653813,8112533.53655723,1189.0,-1.3590795569989131e-08,1207.0,ASK
24,1712365221.7667425,8112540.53655723,1190.0,1.2377320714698402e-10,1207.0,BID
25,1712365222.06566,8113003.10863253,1190.0,8.179147042358161e-09,1207.0,BID
26,1712365223.6157963,8113056.96140024,1190.0,9.522185390234303e-10,1207.0,BID
27,1712365223.6174808,8115144.00541103,1190.0,3.6902875810341584e-08,1207.0,BID
28,1712365223.815565,8115194.12641943,1190.0,8.86233993584761e-10,1207.0,BID
29,1712365225.945865,8116201.68309449,1190.0,1.7815503007801226e-08,1207.0,BID
30,1712365225.9472575,8117313.15933994,1190.0,1.965299708100244e-08,1207.0,BID
31,1712365226.6054895,8117323.15933994,1190.0,1.7681886735283432e-10,1207.0,BID
32,1712365227.3263218,8117509.50644225,1190.0,3.294968356486217e-09,1207.0,BID
33,1712365227.3355436,8125321.49523919,1190.0,1.3813070108479748e-07,1207.0,BID
34,1712365227.33632,8126080.50852189,1190.0,1.3420786895284877e-08,1207.0,BID
35,1712365228.2153342,8126164.54213534,1190.0,-1.4858728349776143e-09,1207.0,ASK
36,1712365229.475401,8126291.95997068,1190.0,-2.2529877325351743e-09,1207.0,ASK
37,1712365231.0355778,8126291.95997068,1190.0,-0.0,1207.0,ASK
38,1712365231.7663443,8127401.95997068,1191.0,1.9604103826906688e-08,1207.0,BID
39,1712365231.768054,8129341.76902169,1191.0,3.4259655892225195e-08,1207.0,BID
40,1712365231.7697537,8137296.90902169,1191.0,1.4049855001583054e-07,1207.0,BID
41,1712365231.8454554,8137296.9090217,1191.0,-1.809326026487773e-19,1207.0,ASK
42,1712365231.8471696,8140019.86434042,1191.0,-4.80910799857804e-08,1207.0,ASK
43,1712365234.1756682,8146051.86434042,1191.0,1.0653329214765869e-07,1207.0,BID
44,1712365234.1771617,8147958.86434042,1191.0,3.3680203601721674e-08,1207.0,BID
45,1712365234.295437,8152362.7655159,1191.0,-7.77788611599576e-08,1207.0,ASK
46,1712365235.6457548,8153358.7655159,1192.0,1.7590709379818972e-08,1207.0,BID
47,1712365235.6472218,8156962.9177848,1192.0,6.365421197071096e-08,1207.0,BID
48,1712365235.6486695,8159047.5232182,1193.0,3.6816956175228185e-08,1207.0,BID
49,1712365235.6499708,8160726.7843433,1192.0,2.9658026530597983e-08,1207.0,BID
50,1712365237.955627,8161565.71051779,1192.0,1.481657281784442e-08,1207.0,BID
51,1712365239.595586,8161585.0121086,1192.0,3.408922434737281e-10,1207.0,BID
52,1712365243.5757911,8162129.68409577,1192.0,9.619645214500176e-09,1207.0,BID
53,1712365243.577631,8178079.94946215,1192.0,2.817032957740805e-07,1207.0,BID
54,1712365243.7155428,8179652.93603933,1192.0,-2.7781074033668007e-08,1207.0,ASK
55,1712365243.8154194,8181029.46431292,1192.0,-2.4311354230747024e-08,1207.0,ASK
56,1712365243.9157925,8181936.44508009,1192.0,-1.6018509124871637e-08,1207.0,ASK
57,1712365244.3755486,8182773.93908009,1192.0,-1.4791278676045377e-08,1207.0,ASK
58,1712365244.6356826,8182811.40261739,1193.0,6.616568242815316e-10,1207.0,BID
59,1712365247.347526,8183096.91261739,1192.0,-5.042493408662834e-09,1207.0,ASK
60,1712365248.0155995,8183109.60032782,1193.0,2.2408215548330046e-10,1207.0,BID
61,1712365248.0171723,8197778.09340168,1193.0,2.590654605443393e-07,1207.0,BID
62,1712365251.3861396,8198196.78091803,1193.0,-7.39458877618104e-09,1207.0,ASK
63,1712365251.387755,8198615.89240168,1193.0,-7.402076613089219e-09,1207.0,ASK
64,1712365251.965664,8200292.33833629,1194.0,2.9608306452504923e-08,1207.0,BID
65,1712365251.9672873,8205726.83833629,1194.0,9.59806326552472e-08,1207.0,BID
66,1712365251.9688425,8218491.07984471,1194.0,2.254337980205303e-07,1207.0,BID
67,1712365252.1255329,8219667.15284471,1194.0,-2.0771042522539507e-08,1207.0,ASK
68,1712365252.1873057,8220588.13409471,1194.0,-1.6265776619493652e-08,1207.0,ASK
69,1712365252.2055836,8220715.02636237,1194.0,-2.2410893603825936e-09,1207.0,ASK
70,1712365252.2654755,8222680.15664391,1194.0,-3.4706863128576233e-08,1207.0,ASK
71,1712365252.285522,8223402.97984471,1194.0,-1.2766037006280094e-08,1207.0,ASK
72,1712365252.2953613,8223516.97672759,1194.0,-2.013339394527325e-09,1207.0,ASK
73,1712365254.83565,8223524.92651838,1193.0,-1.4040407571564154e-10,1207.0,ASK
74,1712365255.2957234,8223529.95750443,1193.0,-8.885402962048555e-11,1207.0,ASK
75,1712365255.3055406,8224362.23751838,1193.0,-1.4699192618509696e-08,1207.0,ASK
76,1712365256.9454522,8225199.89951838,1193.0,-1.4794245783644504e-08,1207.0,ASK
77,1712365258.9154472,8225616.61251838,1193.0,-7.359716142369978e-09,1207.0,ASK
78,1712365260.5583394,8225672.04251838,1193.0,-9.789688965041398e-10,1207.0,ASK
79,1712365260.6655855,8229447.24745691,1194.0,6.66752338583719e-08,1207.0,BID
80,1712365260.7056365,8229447.24745691,1194.0,0.0,1207.0,BID
81,1712365260.7455025,8230931.85776126,1194.0,-2.6163387747519048e-08,1207.0,ASK
82,1712365263.855811,8231065.10676126,1193.0,-2.348256134118081e-09,1207.0,ASK
83,1712365264.1756153,8232738.74692862,1194.0,2.9494673801040324e-08,1207.0,BID
84,1712365264.177653,8232852.74380151,1194.0,2.008974596688179e-09,1207.0,BID
85,1712365264.295546,8233714.28789853,1194.0,-1.5183049858862805e-08,1207.0,ASK
86,1712365264.3164732,8235798.67744802,1194.0,-3.673333792739674e-08,1207.0,ASK
87,1712365267.665499,8236636.51544802,1193.0,-1.4765275708624644e-08,1207.0,ASK
88,1712365267.7455544,8236661.98108458,1193.0,-4.4878263447197694e-10,1207.0,ASK
89,1712365267.8254604,8236916.40813783,1194.0,4.483785157723582e-09,1207.0,BID
90,1712365268.2416055,8236966.65437149,1194.0,8.85492772239134e-10,1207.0,BID
91,1712365268.5155149,8237055.34064074,1193.0,-1.562924117840054e-09,1207.0,ASK
92,1712365270.4555771,8239691.83858278,1194.0,4.64631814497244e-08,1207.0,BID
93,1712365270.4573658,8239712.73858278,1194.0,3.6832211274993487e-10,1207.0,BID
94,1712365270.6155066,8239864.39217429,1194.0,-2.6726014943798327e-09,1207.0,ASK
95,1712365270.6356611,8239979.10179734,1194.0,-2.021535440955832e-09,1207.0,ASK
96,1712365270.6777718,8240815.92188102,1194.0,-1.4747336900511956e-08,1207.0,ASK
97,1712365270.7158267,8243330.46940801,1194.0,-4.4314041041907496e-08,1207.0,ASK
98,1712365270.8755436,8243447.92680507,1193.0,-2.0699596480494503e-09,1207.0,ASK
99,1712365271.745703,8244284.88680507,1193.0,-1.4749802655282962e-08,1207.0,ASK
100,1712365273.1656976,8244352.80380507,1193.0,-1.1969058819349579e-09,1207.0,ASK
101,1712365273.6963203,8244474.22500631,1194.0,2.139814037064472e-09,1207.0,BID
102,1712365273.6981816,8244485.72500631,1194.0,2.0266527735586123e-10,1207.0,BID
103,1712365275.0354369,8244585.1127785,1194.0,1.751517427526668e-09,1207.0,BID
104,1712365275.475584,8244655.97793762,1194.0,1.2488614893917623e-09,1207.0,BID
105,1712365275.57553,8244663.97793762,1193.0,-1.4098454076929474e-10,1207.0,ASK
106,1712365275.85552,8244764.07927765,1194.0,1.7640926818207101e-09,1207.0,BID
107,1712365276.505548,8244867.28427765,1193.0,-1.8187886912467835e-09,1207.0,ASK
108,1712365276.5074985,8244979.03888401,1194.0,1.969458982074776e-09,1207.0,BID
109,1712365276.6056418,8245010.03888401,1193.0,-5.46315095481017e-10,1207.0,ASK
110,1712365276.945645,8245123.20973828,1194.0,1.9944176147072542e-09,1207.0,BID
111,1712365277.0856657,8245227.20973828,1193.0,-1.8327990300008319e-09,1207.0,ASK
