,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.2072184,63328565.78557531,13.55,0.0,13.6,ASK
1,1712365230.2933743,63328565.78557531,13.55,-0.0,13.6,ASK
2,1712365257.1555998,63333109.57328053,13.53,-5.11159111405056e-07,13.6,ASK
3,1712365257.1568289,63343563.96352443,13.53,-1.1760797761778297e-06,13.6,ASK
4,1712365260.2594907,63343563.96352443,13.53,-0.0,13.6,ASK
5,1712365273.9673383,63345536.11430048,13.53,-2.218545168275044e-07,13.6,ASK
6,1712365273.968491,63377853.81725167,13.53,-3.635537637526297e-06,13.6,ASK
7,1712365274.0655236,63947054.64180035,13.53,-6.403150075620828e-05,13.6,ASK
8,1712365289.0256083,63958054.64180035,13.54,-1.237430583268679e-06,13.6,ASK
9,1712365290.2224092,63958054.64180035,13.54,-0.0,13.6,ASK
10,1712365301.849117,63958554.64180035,13.56,5.6194286653623177e-08,13.6,BID
11,1712365320.2972636,63958554.64180035,13.56,0.0,13.6,BID
12,1712365341.075697,63973366.5975199,13.54,-1.6646933027226383e-06,13.6,ASK
13,1712365350.288992,63973366.5975199,13.54,-0.0,13.6,ASK
14,1712365353.2857082,64004443.3942199,13.55,3.4925954597561463e-06,13.6,BID
15,1712365353.2907362,64012559.72200124,13.56,9.121612446950477e-07,13.6,BID
16,1712365353.605611,64060657.59628908,13.54,-5.405525510988097e-06,13.6,ASK
17,1712365353.6155026,64068283.73792754,13.54,-8.570712071471083e-07,13.6,ASK
18,1712365365.555607,64134937.52243383,13.54,-7.490949192399593e-06,13.6,ASK
19,1712365368.4273489,64144937.52243383,13.54,1.1238595449434015e-06,13.6,BID
20,1712365373.5758057,64220144.243261,13.54,8.452179104550841e-06,13.6,BID
21,1712365380.2414968,64220144.243261,13.54,0.0,13.6,BID
22,1712365386.8056028,64312937.72628239,13.54,1.0424768865658642e-05,13.6,BID
23,1712365386.8874218,64369773.734633,13.54,6.385170930217247e-06,13.6,BID
24,1712365387.0055635,64452659.58014429,13.54,9.311707606565423e-06,13.6,BID
25,1712365387.105605,64460783.65695371,13.54,9.126893422620736e-07,13.6,BID
26,1712365387.125914,64526204.27073226,13.54,7.349597789467275e-06,13.6,BID
27,1712365387.187886,64579189.94781008,13.54,5.952610234486222e-06,13.6,BID
28,1712365387.188951,64616063.10415226,13.54,4.142469058154828e-06,13.6,BID
29,1712365410.2483656,64616063.10415226,13.54,0.0,13.6,BID
30,1712365423.0185103,64616431.90946199,13.56,4.140803770016764e-08,13.6,BID
31,1712365440.3047185,64616431.90946199,13.56,0.0,13.6,BID
