,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.2168074,31028.81506632,254150.0,0.0,256400.0,BID
1,1712365207.898752,31050.52298165,254300.0,1.2678915504843835e-10,256400.0,BID
2,1712365209.488734,31054.80670774,254300.0,2.501990647898064e-11,256400.0,BID
3,1712365209.4899957,31062.98670774,254300.0,4.777682575825017e-11,256400.0,BID
4,1712365209.491271,31088.9809666,254400.0,1.5182434917713563e-10,256400.0,BID
5,1712365211.445763,31089.45302087,254400.0,2.7571215900122925e-12,256400.0,BID
6,1712365211.4469717,31108.89359763,254400.0,1.1354633844772371e-10,256400.0,BID
7,1712365211.4480996,31113.21919731,254450.0,2.526447704294487e-11,256400.0,BID
8,1712365216.4086037,31114.14574916,254400.0,5.411700035870042e-12,256400.0,BID
9,1712365219.3185823,31117.13148199,254250.0,-1.743873315153118e-11,256400.0,ASK
10,1712365219.7884772,31121.06616624,254250.0,-2.298126208142513e-11,256400.0,ASK
11,1712365219.828488,31121.45917075,254350.0,2.295416625478555e-12,256400.0,BID
12,1712365223.458942,31122.50357213,254350.0,6.100022341560469e-12,256400.0,BID
13,1712365224.7386255,31123.68258568,254400.0,6.886249993258809e-12,256400.0,BID
14,1712365228.4186332,31133.76346497,254400.0,5.88792681330543e-11,256400.0,BID
15,1712365228.419968,31135.11933416,254400.0,7.919208562542498e-12,256400.0,BID
16,1712365230.798471,31135.11933416,254400.0,0.0,256400.0,BID
17,1712365232.9384856,31146.50933416,254400.0,-6.651478896430308e-11,256400.0,ASK
18,1712365233.2985492,31171.50933416,254400.0,-1.4599383003579118e-10,256400.0,ASK
19,1712365233.3786385,31171.90249319,254400.0,-2.295951704102932e-12,256400.0,ASK
20,1712365233.3799484,31195.57899989,254400.0,-1.3826495580005154e-10,256400.0,ASK
21,1712365234.1790185,31197.23657216,254350.0,-9.67981297033651e-12,256400.0,ASK
22,1712365234.2986636,31198.48640408,254350.0,-7.298709956062948e-12,256400.0,ASK
23,1712365234.438624,31200.41988792,254350.0,-1.1291068444572338e-11,256400.0,ASK
24,1712365235.3686712,31202.72471422,254350.0,-1.3459616764158582e-11,256400.0,ASK
25,1712365235.548973,31205.10083522,254350.0,-1.3875960216745678e-11,256400.0,ASK
26,1712365235.90857,31230.10083522,254350.0,-1.4599383003579118e-10,256400.0,ASK
27,1712365236.0088742,31231.49216715,254350.0,-8.12503509247676e-12,256400.0,ASK
28,1712365236.0103333,31232.60930022,254350.0,-6.523781421946511e-12,256400.0,ASK
29,1712365236.24854,31232.60930109,254350.0,-5.080589979491088e-18,256400.0,ASK
30,1712365238.3786602,31252.60930109,254350.0,1.1679506402863298e-10,256400.0,BID
31,1712365238.699287,31252.84591179,254300.0,-1.3817480928061988e-12,256400.0,ASK
32,1712365242.028617,31256.77357249,254350.0,2.293656914697914e-11,256400.0,BID
33,1712365245.148548,31258.73936765,254350.0,1.1479758578959372e-11,256400.0,BID
34,1712365247.459815,31267.7619459,254350.0,5.2689630220616566e-11,256400.0,BID
35,1712365247.4612544,31276.42289035,254350.0,5.057777807930379e-11,256400.0,BID
36,1712365247.5395796,31286.23878884,254250.0,-5.732242463190622e-11,256400.0,ASK
37,1712365247.540995,31286.60833917,254300.0,-2.158082722710501e-12,256400.0,ASK
38,1712365248.3587544,31287.78781626,254350.0,6.887855112330039e-12,256400.0,BID
39,1712365251.2886488,31287.91679208,254350.0,7.531869577525674e-13,256400.0,BID
40,1712365254.1787145,31288.02827401,254350.0,6.510269576303789e-13,256400.0,BID
41,1712365254.1804652,31288.19097384,254350.0,9.501268531033146e-13,256400.0,BID
42,1712365256.9686942,31289.02827401,254350.0,4.889626348328334e-12,256400.0,BID
43,1712365256.9702592,31291.02827401,254350.0,1.1679506402863295e-11,256400.0,BID
44,1712365257.5086455,31293.01998718,254350.0,-1.1631113360832597e-11,256400.0,ASK
45,1712365260.5600069,31293.01998718,254350.0,-0.0,256400.0,ASK
46,1712365261.648715,31295.66445436,254350.0,-1.5439414395279017e-11,256400.0,ASK
47,1712365261.6505103,31296.60468747,254400.0,-5.489441776104063e-12,256400.0,ASK
48,1712365264.1186664,31296.80118972,254450.0,1.1472555569264517e-12,256400.0,BID
49,1712365266.2888336,31297.59452987,254350.0,-4.631824295213424e-12,256400.0,ASK
50,1712365267.0686429,31298.37188887,254450.0,4.538520207646115e-12,256400.0,BID
51,1712365270.3188674,31298.43577375,254350.0,-3.729844497162539e-13,256400.0,ASK
52,1712365271.388744,31300.39197069,254450.0,1.1421028562527496e-11,256400.0,BID
53,1712365271.812354,31300.43127114,254450.0,2.294511113852903e-13,256400.0,BID
54,1712365272.008636,31300.54921884,254350.0,-6.886239432249503e-13,256400.0,ASK
55,1712365272.009876,31304.21851329,254350.0,-2.1422749346373635e-11,256400.0,ASK
56,1712365273.7003348,31304.28048163,254350.0,3.617949535857797e-13,256400.0,BID
57,1712365274.4387164,31307.49288211,254450.0,1.8755226984614088e-11,256400.0,BID
58,1712365274.5386243,31344.18645356,254400.0,-2.1423115383830726e-10,256400.0,ASK
59,1712365276.3887758,31344.30440126,254350.0,-6.88623943246191e-13,256400.0,ASK
60,1712365276.3903637,31362.63723656,254350.0,-1.0703412898355616e-10,256400.0,ASK
61,1712365276.4686852,31362.67329953,254350.0,-2.105494605405734e-13,256400.0,ASK
62,1712365276.9486866,31362.67330029,254300.0,-4.437167257887412e-18,256400.0,ASK
63,1712365276.9499474,31367.27169229,254300.0,-2.6847177449139422e-11,256400.0,ASK
64,1712365278.0988116,31372.87443965,254250.0,-3.2710989532131865e-11,256400.0,ASK
65,1712365278.100463,31373.52347729,254250.0,-3.789330855708686e-12,256400.0,ASK
66,1712365278.1186914,31373.52347768,254250.0,-2.276961539728427e-18,256400.0,ASK
67,1712365279.1586862,31374.46371079,254200.0,-5.489441776125302e-12,256400.0,ASK
68,1712365279.1606262,31374.48976489,254200.0,-1.521138358685812e-13,256400.0,ASK
69,1712365279.3388784,31377.10214546,254350.0,1.5252080450622298e-11,256400.0,BID
70,1712365281.951317,31441.21474329,254250.0,-3.7431395380543576e-10,256400.0,ASK
71,1712365284.178655,31448.29861633,254250.0,4.135836973710267e-11,256400.0,BID
72,1712365286.8486469,31452.18020679,254250.0,2.2662214936101808e-11,256400.0,BID
