,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.169774,4566873.60780367,437.0,0.0,450.0,ASK
1,1712365211.5764894,4566893.60780367,436.3,-3.939864740632697e-09,450.0,ASK
2,1712365211.577782,4567471.55599257,436.2,-1.1385188456798497e-07,450.0,ASK
3,1712365211.5790057,4567556.91967062,436.1,-1.6816067264040622e-08,450.0,ASK
4,1712365211.580186,4567576.91967062,436.1,-3.939864740632697e-09,450.0,ASK
5,1712365211.581387,4567616.95009098,436.2,-7.885722086484075e-09,450.0,ASK
6,1712365211.5825846,4568162.81113202,436.1,-1.0753093344395914e-07,450.0,ASK
7,1712365211.583807,4568202.88105407,436.2,-7.893503652142165e-09,450.0,ASK
8,1712365211.5849924,4568518.34308704,436.0,-6.21438870353487e-08,450.0,ASK
9,1712365211.5861976,4568746.02979013,436.2,-4.485274067086937e-08,450.0,ASK
10,1712365211.587427,4569075.38758829,436.0,-6.488125880097736e-08,450.0,ASK
11,1712365211.588636,4569175.38758829,436.2,-1.9699323703163485e-08,450.0,ASK
12,1712365211.5897784,4569244.19492773,436.0,-1.3554580527839756e-08,450.0,ASK
13,1712365221.9555454,4569345.61369203,437.0,1.9978810675332343e-08,450.0,BID
14,1712365230.1654837,4569345.61369203,437.0,0.0,450.0,BID
15,1712365233.0162597,4570708.72862703,437.0,2.684570059410432e-07,450.0,BID
16,1712365260.145817,4570708.72862703,437.0,0.0,450.0,BID
17,1712365278.718305,4570708.72862801,437.0,1.929332985367944e-16,450.0,BID
18,1712365278.7223887,4573160.66970454,437.0,4.828378960021407e-07,450.0,BID
19,1712365290.09544,4573160.66970454,437.0,0.0,450.0,BID
20,1712365320.1655977,4573160.66970454,437.0,0.0,450.0,BID
21,1712365332.6056106,4573180.66970454,436.7,-3.937582703280853e-09,450.0,ASK
22,1712365332.615972,4578180.66970454,436.1,-9.84395675820213e-07,450.0,ASK
23,1712365332.6172855,4578200.66970454,436.1,-3.937582703280853e-09,450.0,ASK
24,1712365332.6183069,4578268.96913945,436.0,-1.3446733677377645e-08,450.0,ASK
25,1712365332.619324,4578518.2773715,436.1,-4.908358911517369e-08,450.0,ASK
26,1712365332.6203172,4578538.2773715,436.0,-3.937582703280853e-09,450.0,ASK
27,1712365332.6213195,4578558.2773715,436.6,-3.937582703280853e-09,450.0,ASK
28,1712365332.6223173,4612698.6456672,436.0,-6.721526184239373e-06,450.0,ASK
29,1712365332.62333,4612718.6456672,436.3,-3.937582703280853e-09,450.0,ASK
30,1712365332.624331,4612738.6456672,436.1,-3.937582703280853e-09,450.0,ASK
31,1712365332.625342,4612773.04933692,436.0,-6.773364740861115e-09,450.0,ASK
32,1712365332.7691915,4617773.04933692,436.0,9.84395675820213e-07,450.0,BID
33,1712365332.770544,4619761.04933692,436.0,3.913957207061169e-07,450.0,BID
34,1712365332.774016,4624348.04933692,436.0,9.030845929974636e-07,450.0,BID
35,1712365332.7784224,4631427.90411945,436.0,1.3938756866715383e-06,450.0,BID
36,1712365332.782674,4633721.90411945,436.0,4.516407360663138e-07,450.0,BID
37,1712365332.7863977,4636934.60411945,436.0,6.325135975415564e-07,450.0,BID
38,1712365332.787053,4637077.95261945,436.0,2.822232870712437e-08,450.0,BID
39,1712365332.792161,4637097.95261945,435.9,-3.937582703280853e-09,450.0,ASK
40,1712365332.794042,4637349.89593165,435.9,-4.960238141625832e-08,450.0,ASK
41,1712365332.7946742,4637493.24443165,435.9,-2.822232870712437e-08,450.0,ASK
42,1712365332.7953346,4637504.95812745,435.9,-2.306182298665268e-09,450.0,ASK
43,1712365332.7959633,4638769.95812745,436.0,2.49052105982514e-07,450.0,BID
44,1712365332.7967265,4638913.30662745,436.0,2.822232870694101e-08,450.0,BID
45,1712365332.7973764,4639056.65512745,436.0,2.822232870712437e-08,450.0,BID
46,1712365332.805567,4639925.65512745,436.0,1.7108796845755308e-07,450.0,BID
47,1712365332.8281631,4641827.26217838,436.0,3.743867516089736e-07,450.0,BID
48,1712365332.8354282,4642697.26217838,436.9,1.712848475927171e-07,450.0,BID
49,1712365332.8954985,4645537.11239738,436.3,-5.591072551121629e-07,450.0,ASK
50,1712365332.8967264,4648376.96261638,436.3,-5.591072551121629e-07,450.0,ASK
51,1712365333.5955167,4649715.96261638,436.0,-2.636211619846531e-07,450.0,ASK
52,1712365333.5971527,4649945.76998938,436.0,-4.524427685043801e-08,450.0,ASK
53,1712365333.6559298,4650045.76998938,435.8,-1.9687913516404263e-08,450.0,ASK
54,1712365333.6574552,4650065.76998938,435.8,-3.937582703280853e-09,450.0,ASK
55,1712365333.6589692,4650065.76998986,435.9,-9.46127192533072e-17,450.0,ASK
56,1712365333.6604638,4652773.90651361,435.8,-5.331755767019936e-07,450.0,ASK
57,1712365334.995679,4652785.47846594,436.4,2.278275966879797e-09,450.0,BID
58,1712365338.115599,4652973.61824122,436.4,3.704079624706588e-08,450.0,BID
59,1712365340.6459954,4657973.61824122,435.6,-9.84395675820213e-07,450.0,ASK
60,1712365340.7055657,4660269.61824122,435.6,4.5203449433664186e-07,450.0,BID
61,1712365340.7855167,4660343.61824122,435.6,1.4569056002139156e-08,450.0,BID
62,1712365340.825572,4662741.3319154,435.6,4.720597945435989e-07,450.0,BID
63,1712365350.155972,4662741.3319154,435.6,0.0,450.0,BID
64,1712365362.3418255,4662752.88797947,437.0,2.2577871622039633e-09,450.0,BID
65,1712365380.1055846,4662752.88797947,437.0,0.0,450.0,BID
66,1712365410.1157143,4662752.88797947,437.0,0.0,450.0,BID
67,1712365440.1663787,4662752.88797947,437.0,0.0,450.0,BID
68,1712365470.155585,4662752.88797947,437.0,0.0,450.0,BID
69,1712365478.1367218,4662952.54691533,435.7,-3.9008691427702014e-08,450.0,ASK
70,1712365478.215651,4663014.54691533,435.6,-1.211335149164485e-08,450.0,ASK
71,1712365478.2169504,4663076.54691533,435.6,-1.211335149164485e-08,450.0,ASK
72,1712365478.3559484,4669965.18066963,435.7,1.3458780961781355e-06,450.0,BID
73,1712365478.375683,4671372.08066963,435.7,2.748753905419299e-07,450.0,BID
74,1712365478.5957725,4672372.08066963,435.5,-1.953766369620137e-07,450.0,ASK
75,1712365478.5974672,4673356.42500863,435.5,-1.9231788656642845e-07,450.0,ASK
76,1712365478.5991762,4673376.42500946,435.5,-3.907532901365452e-09,450.0,ASK
77,1712365478.975696,4674681.42500946,435.7,2.549665112354279e-07,450.0,BID
78,1712365488.9156964,4675067.82500946,435.7,7.549353252201294e-08,450.0,BID
79,1712365491.7691548,4681668.878396,435.7,1.2896916110689263e-06,450.0,BID
80,1712365491.915947,4681668.87839693,435.7,1.8177671388262112e-16,450.0,BID
81,1712365491.9215994,4682876.15638193,435.7,2.3587391258758653e-07,450.0,BID
82,1712365494.5457711,4682887.71773724,436.8,2.258818719104929e-09,450.0,BID
83,1712365500.1097362,4682887.71773724,436.8,0.0,450.0,BID
84,1712365530.1560757,4682887.71773724,436.8,0.0,450.0,BID
85,1712365546.7756152,4683345.59319512,435.7,-8.952298463300013e-08,450.0,ASK
86,1712365547.8457935,4683357.15455043,436.8,2.2604553617916483e-09,450.0,BID
87,1712365553.2858005,4686416.66196971,436.8,5.981893787206736e-07,450.0,BID
88,1712365553.2872071,4689446.06527744,436.9,5.923034770648128e-07,450.0,BID
89,1712365553.2885685,4691618.29978798,436.8,4.247113780823694e-07,450.0,BID
90,1712365553.4059637,4692187.81418798,436.9,-1.113504294717754e-07,450.0,ASK
91,1712365553.407703,4695091.10675491,436.9,-5.676465322202111e-07,450.0,ASK
92,1712365560.1626368,4695091.10675491,436.9,-0.0,450.0,ASK
93,1712365578.1560678,4696521.05296685,436.9,2.7928942431232205e-07,450.0,BID
94,1712365580.467631,4701601.05296685,437.4,9.92198352399599e-07,450.0,BID
95,1712365580.4701748,4714269.72112475,437.0,2.474376313654606e-06,450.0,BID
96,1712365580.5058663,4715927.25071318,437.4,-3.23739788719295e-07,450.0,ASK
97,1712365580.515985,4724400.06561039,437.4,-1.6548647600785188e-06,450.0,ASK
98,1712365580.5258338,4726701.29676903,436.0,-4.494641267900516e-07,450.0,ASK
99,1712365580.5277145,4727284.44817711,435.7,-1.1389800517647517e-07,450.0,ASK
100,1712365580.5296135,4728756.81081039,437.4,-2.875739722194251e-07,450.0,ASK
101,1712365580.5306482,4734834.41930128,437.4,-1.1870458919666858e-06,450.0,ASK
102,1712365580.9063556,4737893.92672056,436.1,-5.975665788511307e-07,450.0,ASK
103,1712365580.9078405,4743920.20853257,436.1,-1.1770210403488825e-06,450.0,ASK
104,1712365581.02584,4746931.78860128,436.0,5.882056658058644e-07,450.0,BID
105,1712365581.0456643,4747533.78860128,437.4,1.1757941105207849e-07,450.0,BID
106,1712365584.700701,4747646.35051033,436.0,-2.1984988327187964e-08,450.0,ASK
107,1712365588.5558164,4747757.78680028,435.7,-2.176513844216256e-08,450.0,ASK
108,1712365590.11193,4747757.78680028,435.7,-0.0,450.0,ASK
109,1712365601.2858536,4747769.33757795,437.2,2.245942233352339e-09,450.0,BID
110,1712365620.1560023,4747769.33757795,437.2,0.0,450.0,BID
111,1712365650.165777,4747769.33757795,437.2,0.0,450.0,BID
112,1712365661.3972008,4747792.21040503,437.2,4.4474059981465525e-09,450.0,BID
113,1712365671.4958403,4748020.93867584,437.0,4.447405998327639e-08,450.0,BID
114,1712365680.0957522,4748020.93867584,437.0,0.0,450.0,BID
115,1712365684.3359334,4783458.50364621,437.0,6.8903537370758886e-06,450.0,BID
116,1712365687.4666102,4784529.37739279,435.8,-2.0821687178158562e-07,450.0,ASK
117,1712365687.4686418,4784936.37739279,436.0,-7.913562834621168e-08,450.0,ASK
118,1712365710.1158652,4784936.37739279,436.0,-0.0,450.0,ASK
119,1712365727.0059743,4785351.37739279,436.4,-8.043883718446817e-08,450.0,ASK
120,1712365727.0079832,4785374.37739279,436.4,-4.4580560367295594e-09,450.0,ASK
121,1712365727.22586,4788954.98027435,436.4,6.940229691856638e-07,450.0,BID
122,1712365727.309271,4792912.31433335,436.8,-7.670442170035004e-07,450.0,ASK
123,1712365727.3260453,4795223.34280235,436.8,-4.479432355338858e-07,450.0,ASK
124,1712365727.328081,4795835.7142193,436.8,-1.1869504748056945e-07,450.0,ASK
125,1712365727.33013,4797065.62663635,436.7,-2.383921076294024e-07,450.0,ASK
126,1712365740.1563604,4797065.62663635,436.7,-0.0,450.0,ASK
127,1712365770.1573706,4797065.62663635,436.7,-0.0,450.0,ASK
128,1712365800.136706,4797065.62663635,436.7,-0.0,450.0,ASK
129,1712365830.1248872,4797065.62663635,436.7,-0.0,450.0,ASK
130,1712365860.1659305,4797065.62663635,436.7,-0.0,450.0,ASK
131,1712365887.71815,4803533.69757396,436.7,1.2532929429469531e-06,450.0,BID
132,1712365887.7198462,4817083.830718,436.9,2.625556585452689e-06,450.0,BID
133,1712365887.9360385,4818200.73317517,437.0,2.1641784405777259e-07,450.0,BID
134,1712365890.156207,4818200.73317517,437.0,0.0,450.0,BID
135,1712365891.73605,4818200.73317518,437.0,1.9815013812203844e-18,450.0,BID
136,1712365899.00639,4839691.45981197,438.0,4.156738118740875e-06,450.0,BID
137,1712365899.0088892,4839760.26715141,438.0,1.3308721270046836e-08,450.0,BID
138,1712365899.125872,4846492.16715141,438.0,-1.3020846532778415e-06,450.0,ASK
139,1712365913.5273242,4848774.75103636,438.1,-4.4149756330490346e-07,450.0,ASK
140,1712365920.1061778,4848774.75103636,438.1,-0.0,450.0,ASK
141,1712365950.110156,4848774.75103636,438.1,-0.0,450.0,ASK
142,1712365950.686163,4853894.75103636,437.1,-9.877523327196671e-07,450.0,ASK
143,1712365950.6895382,4855572.49604846,437.0,-3.2367120105672215e-07,450.0,ASK
144,1712365950.6912265,4855979.49604846,437.4,-7.851859363611418e-08,450.0,ASK
145,1712365980.166307,4855979.49604846,437.4,-0.0,450.0,ASK
146,1712365992.466421,4857073.88729333,438.6,2.110021808887103e-07,450.0,BID
147,1712366010.1663334,4857073.88729333,438.6,0.0,450.0,BID
148,1712366040.0994155,4857073.88729333,438.6,0.0,450.0,BID
149,1712366066.3560698,4860110.52188553,438.6,5.854188186247783e-07,450.0,BID
150,1712366066.3667357,4866536.80369754,438.7,1.2388933183468077e-06,450.0,BID
151,1712366066.368899,4867732.09283364,438.6,2.304342958378773e-07,450.0,BID
152,1712366066.5160215,4879893.53601564,438.7,-2.3445487048942167e-06,450.0,ASK
153,1712366066.5260174,4884978.49978478,438.7,-9.803067811076989e-07,450.0,ASK
154,1712366066.6060283,4886809.49978478,437.2,-3.529900698804519e-07,450.0,ASK
155,1712366070.105922,4886809.49978478,437.2,-0.0,450.0,ASK
156,1712366090.7000291,4890010.49978478,438.7,6.155583854242002e-07,450.0,BID
157,1712366090.702655,4902701.27688367,438.9,2.440460562565257e-06,450.0,BID
158,1712366090.7052574,4907421.27688367,438.7,9.076649731965716e-07,450.0,BID
159,1712366090.7068648,4912421.27688367,438.9,9.615095055048423e-07,450.0,BID
160,1712366090.7969587,4914674.48276378,438.9,-4.332957743170632e-07,450.0,ASK
161,1712366100.139907,4914674.48276378,438.9,-0.0,450.0,ASK
162,1712366120.456004,4915249.17649933,437.4,-1.1057177207185537e-07,450.0,ASK
163,1712366130.1062124,4915249.17649933,437.4,-0.0,450.0,ASK
164,1712366156.7862236,4916284.32573012,437.4,-1.9915433616864938e-07,450.0,ASK
165,1712366156.7885337,4919237.14496522,437.4,-5.680985283097668e-07,450.0,ASK
166,1712366160.166041,4919237.14496522,437.4,-0.0,450.0,ASK
167,1712366170.5662026,4919287.73869429,438.9,9.730558557008988e-09,450.0,BID
168,1712366184.1373563,4919516.3623797,437.5,-4.397059080878504e-08,450.0,ASK
169,1712366184.1394112,4919854.51036511,437.5,-6.503511074364543e-08,450.0,ASK
170,1712366190.166078,4919854.51036511,437.5,-0.0,450.0,ASK
171,1712366220.1059704,4919854.51036511,437.5,-0.0,450.0,ASK
172,1712366250.0959237,4919854.51036511,437.5,-0.0,450.0,ASK
173,1712366261.112742,4919914.16150147,439.4,1.147194973675764e-08,450.0,BID
174,1712366262.7767816,4920369.3276371,439.4,8.753635468556468e-08,450.0,BID
175,1712366280.1716409,4920369.3276371,439.4,0.0,450.0,BID
176,1712366292.8071945,4920384.34516247,439.4,2.888005361354406e-09,450.0,BID
177,1712366310.1719472,4920384.34516247,439.4,0.0,450.0,BID
178,1712366323.236065,4924900.37140547,439.4,8.684714112168172e-07,450.0,BID
179,1712366323.245969,4924900.37140615,439.4,1.3074408797058495e-16,450.0,BID
180,1712366340.1163604,4924900.37140615,439.4,0.0,450.0,BID
181,1712366370.1187737,4924900.37140615,439.4,0.0,450.0,BID
182,1712366372.45574,4925127.59249215,439.4,4.36799369699834e-08,450.0,BID
183,1712366400.1361816,4925127.59249215,439.4,0.0,450.0,BID
184,1712366430.1065743,4925127.59249215,439.4,0.0,450.0,BID
185,1712366445.4380882,4925127.59249226,439.4,2.144233645602779e-17,450.0,BID
186,1712366445.4457855,4926127.59249226,439.4,1.9511469031455066e-07,450.0,BID
187,1712366460.15568,4926127.59249226,439.4,0.0,450.0,BID
188,1712366472.355591,4926155.51020083,439.9,5.4466880988924165e-09,450.0,BID
189,1712366475.8918314,4926183.40063047,439.9,5.44136603520193e-09,450.0,BID
190,1712366477.3358016,4926264.81113586,438.8,-1.5883023841925072e-08,450.0,ASK
191,1712366477.3382568,4926310.32774942,439.3,-8.880198629310772e-09,450.0,ASK
192,1712366478.4755952,4926344.11770375,438.8,-6.592351290153005e-09,450.0,ASK
193,1712366482.4157574,4926377.53438936,439.9,6.519527322938366e-09,450.0,BID
194,1712366490.1555252,4926377.53438936,439.9,0.0,450.0,BID
195,1712366506.5959046,4926945.84536912,439.9,1.1087394000012484e-07,450.0,BID
196,1712366512.3955815,4926968.53234343,439.9,4.426087684470766e-09,450.0,BID
