,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712365207.1690078,6814507.87051908,47.07,0.0,47.25,ASK
1,1712365230.2943568,6814507.87051908,47.07,-0.0,47.25,ASK
2,1712365260.2634642,6814507.87051908,47.07,-0.0,47.25,ASK
3,1712365278.2856314,6814801.87476987,47.05,-5.9221830187002665e-08,47.25,ASK
4,1712365278.2872548,6814908.35723508,47.05,-2.1448963596894652e-08,47.25,ASK
5,1712365278.7454138,6814908.35723533,47.05,-5.046387839915477e-17,47.25,ASK
6,1712365278.7462778,6823097.93701486,47.03,-1.6496424854505587e-06,47.25,ASK
7,1712365278.8659406,6839918.77824383,47.03,3.388253741869098e-06,47.25,BID
8,1712365290.2234707,6839918.77824383,47.03,0.0,47.25,BID
9,1712365316.7557306,6843174.18120883,47.02,6.555841355924455e-07,47.25,BID
10,1712365316.795513,6843174.1812096,47.02,1.5491870511354454e-16,47.25,BID
11,1712365320.3001802,6843174.1812096,47.02,0.0,47.25,BID
12,1712365321.0554967,6843298.31164438,47.03,2.4997039143003733e-08,47.25,BID
13,1712365350.290091,6843298.31164438,47.03,0.0,47.25,BID
14,1712365380.2420857,6843298.31164438,47.03,0.0,47.25,BID
15,1712365382.7257466,6844235.39628923,47.03,1.887072582255913e-07,47.25,BID
16,1712365382.7270665,6844298.31164438,47.03,1.2669703036780768e-08,47.25,BID
17,1712365388.6484706,6848472.30165075,47.03,8.405454238223945e-07,47.25,BID
18,1712365394.035638,6848897.56212278,47.03,8.563766160229215e-08,47.25,BID
19,1712365409.036087,6850054.50332884,47.01,-2.329813044356572e-07,47.25,ASK
20,1712365409.0370991,6878739.13425841,47.01,-5.776423811529402e-06,47.25,ASK
21,1712365409.0381317,6879239.13425841,47.01,-1.0068848063118608e-07,47.25,ASK
22,1712365409.2358046,6920276.63678374,47.0,-8.264007556347796e-06,47.25,ASK
23,1712365409.2371068,6920976.8069965,47.0,-1.409981498121517e-07,47.25,ASK
24,1712365409.238454,6928414.40686165,47.0,-1.4977612599292767e-06,47.25,ASK
25,1712365410.249683,6928414.40686165,47.0,-0.0,47.25,ASK
26,1712365417.415614,6931545.04276126,47.02,6.299304126897403e-07,47.25,BID
27,1712365440.3061569,6931545.04276126,47.02,0.0,47.25,BID
28,1712365445.405676,6936239.21669279,47.03,9.445094973994472e-07,47.25,BID
29,1712365446.6756282,6936878.05826008,46.96,-1.2854059871663374e-07,47.25,ASK
30,1712365446.6766794,6968804.17356699,46.96,-6.423818026830722e-06,47.25,ASK
31,1712365458.1457987,6969804.17356699,46.93,-2.0120888385817899e-07,47.25,ASK
32,1712365458.14689,6976808.48409554,46.92,-1.4093295036456968e-06,47.25,ASK
33,1712365458.1479895,6979426.65072866,46.91,-5.267983860047626e-07,47.25,ASK
34,1712365467.3056552,6982616.10426895,47.03,6.417463869594103e-07,47.25,BID
35,1712365468.9169476,6983481.17339396,46.93,-1.7405959310337337e-07,47.25,ASK
36,1712365470.285392,6983481.17339396,46.93,-0.0,47.25,ASK
