,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.0562725,371815.36297454,769.8,0.0,772.2,BID
1,1712451690.9243872,371815.36297454,769.8,0.0,772.2,BID
2,1712451719.4043276,373315.36297454,770.0,-4.238856535942257e-07,772.2,ASK
3,1712451720.605458,373315.36297454,770.0,-0.0,772.2,ASK
4,1712451750.7432673,373315.36297454,770.0,-0.0,772.2,ASK
5,1712451776.2667997,373326.92767906,770.0,-3.26700856409589e-09,772.2,ASK
6,1712451780.9350462,373326.92767906,770.0,-0.0,772.2,ASK
7,1712451810.926207,373326.92767906,770.0,-0.0,772.2,ASK
8,1712451823.979598,373339.91469204,770.0,-3.6687989581489595e-09,772.2,ASK
9,1712451823.9801626,373439.91469204,770.1,-2.8249751993041123e-08,772.2,ASK
10,1712451823.9807084,377147.97579296,770.0,-1.0475180647603194e-06,772.2,ASK
11,1712451840.5754952,377147.97579296,770.0,-0.0,772.2,ASK
12,1712451869.784315,377394.44096296,770.9,6.956797652742911e-08,772.2,BID
13,1712451870.585446,377394.44096296,770.9,0.0,772.2,BID
14,1712451876.454312,377394.44096355,770.9,1.6652416935271986e-16,772.2,BID
15,1712451877.3541656,378114.67307542,771.1,2.0328391092058693e-07,772.2,BID
16,1712451878.0144246,378720.47144996,771.3,1.7098524319622386e-07,772.2,BID
17,1712451878.0158415,378995.76190695,771.4,7.770011891129492e-08,772.2,BID
18,1712451878.0172486,379053.26190695,771.3,1.6229247051460575e-08,772.2,BID
19,1712451879.8044727,379094.97264891,771.5,1.1772764103811284e-08,772.2,BID
20,1712451879.805923,379133.98910377,771.5,1.1012307565128208e-08,772.2,BID
21,1712451901.0580924,379133.98910377,771.5,0.0,772.2,BID
22,1712451901.6919732,379205.12814731,771.5,2.013565172606658e-08,772.2,BID
23,1712451901.7923932,379493.00049144,771.5,8.148123694844727e-08,772.2,BID
24,1712451902.2050643,379550.70772566,771.5,1.6333826159402022e-08,772.2,BID
25,1712451930.9146564,379550.70772566,771.5,0.0,772.2,BID
26,1712451949.5059006,379604.74265258,771.5,-1.5293001070856672e-08,772.2,ASK
27,1712451960.5885534,379604.74265258,771.5,-0.0,772.2,ASK
28,1712451990.5859432,379604.74265258,771.5,-0.0,772.2,ASK
29,1712451992.754324,379646.45339454,771.7,1.18048627400797e-08,772.2,BID
30,1712451995.6683393,379688.1641365,771.9,1.18048627400797e-08,772.2,BID
31,1712451995.6694982,379702.29915651,772.0,4.000455595022052e-09,772.2,BID
32,1712452005.0250423,379758.13951554,772.0,1.5803789209466132e-08,772.2,BID
33,1712452005.026543,380048.67971689,772.1,8.222791147428614e-08,772.2,BID
34,1712452010.0743847,380353.34230304,772.1,8.622479108593333e-08,772.2,BID
35,1712452010.084256,380395.053045,772.1,1.1804862740096174e-08,772.2,BID
36,1712452020.93603,380395.053045,772.1,0.0,772.2,BID
37,1712452024.3744,384746.05983164,772.1,-1.2311977023033313e-06,772.2,ASK
38,1712452025.954504,384948.86085945,772.5,5.7386295105569766e-08,772.5,BID
39,1712452025.9564283,384990.57160141,772.3,1.180282453711126e-08,772.5,BID
40,1712452035.2342353,386054.11596541,772.3,-3.009495138631334e-07,772.5,ASK
41,1712452035.2646718,386054.11596544,772.3,-8.48253015267173e-18,772.5,ASK
42,1712452049.8382738,387182.34519753,772.3,3.19253291556771e-07,772.5,BID
43,1712452050.7939298,388816.38204542,772.3,4.623808951019273e-07,772.5,BID
44,1712452050.934213,388816.38204542,772.3,0.0,772.5,BID
45,1712452080.55611,388816.38204542,772.3,0.0,772.5,BID
46,1712452091.2044573,391262.98398716,772.5,6.910395856781744e-07,772.5,BID
47,1712452094.2744353,392076.40769601,772.5,2.297504850113593e-07,772.5,BID
