,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.074691,40363057.94050941,288.6,0.0,294.5,ASK
1,1712451683.3944485,40365152.41486838,288.5,-1.0245889068358905e-07,294.5,ASK
2,1712451683.3956769,40378829.62124788,288.5,-6.690706846297103e-07,294.5,ASK
3,1712451683.6954594,40379002.93147318,288.5,-8.478104949041668e-09,294.5,ASK
4,1712451683.6966586,40382426.24239481,288.5,-1.6746380207211214e-07,294.5,ASK
5,1712451689.2144012,40384426.24239481,288.5,9.783733111352269e-08,294.5,BID
6,1712451690.544906,40384426.24239481,288.5,0.0,294.5,BID
7,1712451690.966233,40384599.61271381,288.4,-8.477809838783654e-09,294.5,ASK
8,1712451690.9697435,40387891.24585981,288.4,-1.6096088438198786e-07,294.5,ASK
9,1712451691.0843225,40389639.34418093,288.4,-8.548202040540752e-08,294.5,ASK
10,1712451691.1442966,40389839.84254766,288.4,-9.804371567390442e-09,294.5,ASK
11,1712451691.1844077,40396968.9947668,288.4,-3.486155945050822e-07,294.5,ASK
12,1712451691.185465,40411352.99927901,288.4,-7.03377923524259e-07,294.5,ASK
13,1712451693.2744918,40411526.42973339,288.3,-8.480750459632392e-09,294.5,ASK
14,1712451693.2756183,40411873.29064215,288.3,-1.6961500919264783e-08,294.5,ASK
15,1712451694.5763023,40420271.5084708,288.3,4.106729118869735e-07,294.5,BID
16,1712451696.7843983,40420444.9991023,288.2,-8.483693121112753e-09,294.5,ASK
17,1712451696.7941554,40420587.72967054,288.2,-6.979525807657556e-09,294.5,ASK
18,1712451697.27451,40429842.30461849,288.2,-4.525487811455623e-07,294.5,ASK
19,1712451697.275601,40431859.18473761,288.2,-9.862545224987622e-08,294.5,ASK
20,1712451698.1144588,40435626.19923328,288.1,-1.84207035780775e-07,294.5,ASK
21,1712451698.1159315,40437018.86322564,288.1,-6.810127918703872e-08,294.5,ASK
22,1712451698.117453,40439087.08467652,288.1,-1.0113604374039136e-07,294.5,ASK
23,1712451698.1944814,40441829.90343999,288.1,-1.3412385715099932e-07,294.5,ASK
24,1712451698.1959584,40453381.33317652,288.1,-5.64864996734662e-07,294.5,ASK
25,1712451700.564459,40454233.38198724,288.1,-4.166519293789612e-08,294.5,ASK
26,1712451700.567081,40459712.35738871,288.1,-2.679219363189521e-07,294.5,ASK
27,1712451701.0861447,40459795.22231772,288.1,-4.052095621036379e-09,294.5,ASK
28,1712451703.9942122,40460141.24307896,288.1,-1.692041769964418e-08,294.5,ASK
29,1712451704.984619,40460181.24307896,288.0,-1.9560002860883403e-09,294.5,ASK
30,1712451704.9859722,40462793.21093323,288.1,-1.277252467550854e-07,294.5,ASK
31,1712451704.98744,40462856.21093323,288.0,-3.0807004505891355e-09,294.5,ASK
32,1712451704.988766,40484420.60566937,288.0,-1.0544990568303409e-06,294.5,ASK
33,1712451705.324305,40484440.60566937,288.1,9.780001430441702e-10,294.5,BID
34,1712451705.8645651,40489366.90226937,288.1,2.4089593897385493e-07,294.5,BID
35,1712451706.6245751,40489540.51338048,288.0,-8.489584575076681e-09,294.5,ASK
36,1712451706.634322,40492999.9857047,288.0,-1.691682213969748e-07,294.5,ASK
37,1712451706.635642,40497013.08980933,288.0,-1.962408194189961e-07,294.5,ASK
38,1712451708.6545136,40497602.56195959,288.0,-2.8825192363679128e-08,294.5,ASK
39,1712451711.0743165,40503040.57304991,288.0,-2.659187812106e-07,294.5,ASK
40,1712451711.0757802,40503077.18609752,288.0,-1.790378289858336e-09,294.5,ASK
41,1712451711.654406,40503111.66885614,288.0,-1.686207143091661e-09,294.5,ASK
42,1712451714.4046245,40508494.34486938,288.1,2.632128955457593e-07,294.5,BID
43,1712451714.40613,40508743.04615603,288.1,1.2161494695642514e-08,294.5,BID
44,1712451714.7440507,40509329.77015514,288.0,-2.8690807752990472e-08,294.5,ASK
45,1712451714.7542765,40510354.74900168,288.0,-5.0121472926792495e-08,294.5,ASK
46,1712451714.7551365,40526813.74431255,287.9,-8.048449884194815e-07,294.5,ASK
47,1712451714.7559888,40534731.52338685,287.9,-3.871794533630629e-07,294.5,ASK
48,1712451714.9942353,40537422.86614145,287.9,-1.3160667994910348e-07,294.5,ASK
49,1712451715.0340931,40537499.70409124,287.9,-3.7573762942949975e-09,294.5,ASK
50,1712451715.035262,40538695.77784914,287.9,-5.8488015315602e-08,294.5,ASK
51,1712451715.05416,40542156.07567648,287.9,-1.6920858850572997e-07,294.5,ASK
52,1712451715.154265,40547034.80455073,287.9,-2.385698768445721e-07,294.5,ASK
53,1712451717.5046082,40554972.48626056,287.8,-3.8815269238281e-07,294.5,ASK
54,1712451718.3842382,40568273.97464523,287.8,-6.504428771450908e-07,294.5,ASK
55,1712451719.634379,40569316.36519422,287.8,-5.0972905300965294e-08,294.5,ASK
56,1712451719.6359336,40577000.81442113,287.8,-3.757696221569675e-07,294.5,ASK
57,1712451719.6374836,40578737.52855798,287.9,-8.49253337131288e-08,294.5,ASK
58,1712451720.3746042,40578737.52855798,287.9,-0.0,294.5,ASK
59,1712451721.454452,40578911.26031614,287.8,-8.472295393187674e-09,294.5,ASK
60,1712451721.464353,40582807.57552139,287.8,-1.900097812454123e-07,294.5,ASK
61,1712451721.6342757,40583500.18852139,287.8,3.3776334225109135e-08,294.5,BID
62,1712451724.7210946,40584195.7539036,287.8,3.3920311666954204e-08,294.5,BID
63,1712451725.2343771,40584543.33819279,287.7,-1.695048046036096e-08,294.5,ASK
64,1712451725.237238,40584868.24758873,287.7,-1.5844704546523378e-08,294.5,ASK
65,1712451725.6543689,40584885.62076454,287.8,8.4722953888276e-10,294.5,BID
66,1712451726.4643476,40585603.46423617,287.7,-3.500673683419616e-08,294.5,ASK
67,1712451726.4657738,40588443.269364,287.7,-1.384874484466538e-07,294.5,ASK
68,1712451726.584213,40589714.09560754,287.7,6.19737890330953e-08,294.5,BID
69,1712451726.9842155,40591710.40328196,287.7,9.735300265324412e-08,294.5,BID
70,1712451733.361682,40592905.99223262,287.6,-5.83047271609809e-08,294.5,ASK
71,1712451735.8303862,40592925.99223262,287.7,9.75330645680682e-10,294.5,BID
72,1712451741.0248415,40594797.18527083,287.6,-9.125159570754113e-08,294.5,ASK
73,1712451741.02696,40595675.19568089,287.6,-4.2817523007690454e-08,294.5,ASK
74,1712451744.424118,40596277.69568089,287.6,-2.9381835701130548e-08,294.5,ASK
75,1712451744.4342444,40599542.80070893,287.6,-1.592278497607092e-07,294.5,ASK
76,1712451744.4359016,40600891.77544294,287.6,-6.578481991672602e-08,294.5,ASK
77,1712451745.764257,40603363.94993958,287.6,-1.2055937740195528e-07,294.5,ASK
78,1712451746.1842716,40603391.26169549,287.6,1.331899626343827e-09,294.5,BID
79,1712451746.595048,40604619.00453519,287.6,5.987276082879364e-08,294.5,BID
80,1712451746.9742951,40604951.24409211,287.6,-1.620217107838013e-08,294.5,ASK
81,1712451747.694312,40614842.4477931,287.5,-4.823597046122613e-07,294.5,ASK
82,1712451747.696242,40615378.77276782,287.6,-2.6154709194570772e-08,294.5,ASK
83,1712451747.914574,40615726.35705701,287.5,-1.695048046036096e-08,294.5,ASK
84,1712451747.9164872,40619531.86218508,287.5,-1.855812886851177e-07,294.5,ASK
85,1712451747.9183948,40622758.85898887,287.5,-1.5736944381251604e-07,294.5,ASK
