,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.1090314,8461622.25801669,783.4,0.0,807.1,BID
1,1712451690.6393635,8461622.25801669,783.4,0.0,807.1,BID
2,1712451697.6300745,8462898.90808691,783.3,1.1222405965250398e-07,807.1,BID
3,1712451697.6313975,8462907.7117019,783.3,7.73882708128584e-10,807.1,BID
4,1712451697.6327271,8463132.20957608,783.4,1.973450940982928e-08,807.1,BID
5,1712451697.633927,8463667.02534032,783.4,4.70130364062243e-08,807.1,BID
6,1712451697.6350064,8464031.27689249,783.4,3.201957127704345e-08,807.1,BID
7,1712451698.7911797,8464038.29667551,783.4,6.17074769948829e-10,807.1,BID
8,1712451720.429525,8464038.29667551,783.4,0.0,807.1,BID
9,1712451724.6295094,8464732.056817,783.3,6.097491439731901e-08,807.1,BID
10,1712451728.099949,8464875.73342821,783.3,-1.2627806853486074e-08,807.1,ASK
11,1712451740.4497664,8465003.47997905,782.8,-1.1227706142435975e-08,807.1,ASK
12,1712451740.4514503,8465763.98640017,782.7,-6.684127719828236e-08,807.1,ASK
13,1712451740.5540977,8466180.97298163,782.5,-3.664915233487484e-08,807.1,ASK
14,1712451740.555704,8466308.76850877,782.5,-1.1232010693157088e-08,807.1,ASK
15,1712451748.4205952,8466308.76850878,782.5,-9.822526986027928e-19,807.1,ASK
16,1712451749.9992592,8467769.81945295,782.5,1.284124741723397e-07,807.1,BID
17,1712451750.3806744,8475069.09872892,782.5,6.415371861208493e-07,807.1,BID
18,1712451750.7522264,8476693.21022892,782.5,1.427439452943267e-07,807.1,BID
19,1712451750.8427489,8476693.21022892,782.5,0.0,807.1,BID
20,1712451770.769818,8476712.58730321,782.6,-1.701579362651456e-09,807.1,ASK
21,1712451770.865775,8476841.4959058,782.5,-1.1319986420622012e-08,807.1,ASK
22,1712451777.9496996,8477250.1849934,782.6,-3.588864380608133e-08,807.1,ASK
23,1712451778.2386422,8479756.21149343,782.5,-2.200643353520565e-07,807.1,ASK
24,1712451778.334891,8479978.47789337,782.5,-1.9518112666794764e-08,807.1,ASK
25,1712451778.4636505,8479991.25749337,782.5,-1.1222284281638381e-09,807.1,ASK
26,1712451778.5428178,8486943.57184625,782.5,-6.105108773615184e-07,807.1,ASK
27,1712451778.6334243,8488669.76535337,782.5,-1.5158404223923758e-07,807.1,ASK
28,1712451778.7124765,8489450.19506416,782.5,-6.853269332608965e-08,807.1,ASK
29,1712451778.7885015,8490369.14623134,782.5,-8.069682336726401e-08,807.1,ASK
30,1712451778.8827102,8490376.17678227,782.3,-6.173811480815177e-10,807.1,ASK
31,1712451778.9703474,8490376.17678228,782.5,-8.178320675322358e-19,807.1,ASK
32,1712451780.6592765,8490376.17678228,782.5,-0.0,807.1,ASK
33,1712451783.7276957,8490383.20913108,782.1,-6.169589480838692e-10,807.1,ASK
34,1712451792.1993372,8490390.24237916,782.0,-6.170378432786323e-10,807.1,ASK
35,1712451792.2885036,8493877.1813388,782.0,-3.059146031599037e-07,807.1,ASK
36,1712451793.009488,8494768.78969373,782.0,-7.822219408756514e-08,807.1,ASK
37,1712451793.7096844,8505414.49254053,781.9,-9.339641443204482e-07,807.1,ASK
38,1712451793.7987669,8505421.52668811,781.9,-6.171167577561022e-10,807.1,ASK
39,1712451793.898384,8505428.56173543,781.8,-6.17195693477232e-10,807.1,ASK
40,1712451795.1993282,8505435.600384,781.4,-6.175116367058064e-10,807.1,ASK
41,1712451795.292858,8505499.34859182,781.2,-5.592729876474202e-09,807.1,ASK
42,1712451795.380348,8505627.34040034,781.3,-1.1228921344626783e-08,807.1,ASK
43,1712451796.299401,8505691.3526907,781.1,-5.615898250477137e-09,807.1,ASK
44,1712451796.393833,8505698.39404263,781.1,-6.17748806645544e-10,807.1,ASK
45,1712451796.5393202,8505711.18013136,782.0,1.121743542238074e-09,807.1,BID
46,1712451798.8705273,8505718.22238487,781.0,-6.17827903655077e-10,807.1,ASK
47,1712451798.9577672,8506521.07535224,781.0,-7.043554525950968e-08,807.1,ASK
48,1712451807.299713,8506521.07535225,781.0,-8.1706384632786315e-19,807.1,ASK
49,1712451807.390183,8510228.38046275,781.0,-3.252476698900632e-07,807.1,ASK
50,1712451807.5133147,8510679.7912066,781.0,3.960296987276989e-08,807.1,BID
51,1712451810.649131,8510679.7912066,781.0,0.0,807.1,BID
52,1712451819.4692905,8510711.90590194,781.2,-2.813554796306869e-09,807.1,ASK
53,1712451822.9994311,8511408.20219089,780.9,-6.100222165155655e-08,807.1,ASK
54,1712451823.519591,8511543.21243679,780.8,-1.1828190206156688e-08,807.1,ASK
55,1712451823.6089156,8511607.24112165,780.9,-5.609525841048405e-09,807.1,ASK
56,1712451823.698857,8511614.28517902,780.8,-6.171268695479659e-10,807.1,ASK
57,1712451823.7903728,8513359.34545904,780.9,-1.5288398873638068e-07,807.1,ASK
58,1712451823.8807173,8513427.94333223,780.8,-6.009830486810931e-09,807.1,ASK
59,1712451824.6098251,8513816.43282627,780.6,3.4035399298734225e-08,807.1,BID
60,1712451827.739707,8514072.58036725,780.6,2.2440977093208162e-08,807.1,BID
61,1712451827.9395573,8514572.08593089,780.6,4.3761469927165246e-08,807.1,BID
62,1712451830.290019,8514700.27462464,780.1,-1.12305569245365e-08,807.1,ASK
63,1712451830.385886,8521466.96320852,780.0,-5.928267081003617e-07,807.1,ASK
64,1712451830.4723952,8521595.16833672,780.0,-1.123199673952009e-08,807.1,ASK
65,1712451834.9097822,8522540.85878447,780.0,-8.28515378050574e-08,807.1,ASK
66,1712451835.0121028,8523878.8640729,780.0,1.1722207409546121e-07,807.1,BID
67,1712451840.4144378,8523878.8640729,780.0,0.0,807.1,BID
68,1712451850.2309928,8524940.15010676,780.6,9.289500417292965e-08,807.1,BID
69,1712451850.3536932,8525734.4109319,780.6,6.952212722284979e-08,807.1,BID
70,1712451854.0530486,8527890.98781966,780.1,-1.887664706744496e-07,807.1,ASK
71,1712451855.909615,8527962.04146196,780.1,6.219368000035193e-09,807.1,BID
72,1712451856.0048172,8529473.02512184,780.1,1.3225730756048778e-07,807.1,BID
73,1712451856.2695873,8530015.20338216,780.6,4.745718887095152e-08,807.1,BID
74,1712451856.366625,8531055.02129004,780.6,9.10158862076466e-08,807.1,BID
75,1712451856.4705095,8531126.07493234,780.1,-6.219368000198232e-09,807.1,ASK
76,1712451856.555282,8532408.63750463,780.1,1.122634725264176e-07,807.1,BID
77,1712451856.6399891,8532664.63750463,780.6,2.2407833806864945e-08,807.1,BID
78,1712451856.769367,8533946.63750463,780.6,1.1221423023594088e-07,807.1,BID
79,1712451870.4228065,8533946.63750463,780.6,0.0,807.1,BID
80,1712451874.9911718,8534126.88913945,779.9,-1.5766691584450473e-08,807.1,ASK
81,1712451875.0898235,8534140.36132562,779.9,-1.1784181848427935e-09,807.1,ASK
82,1712451875.174374,8538379.49507598,779.6,-3.7079893613238084e-07,807.1,ASK
83,1712451875.2504392,8538635.93820971,779.9,-2.2431196269194383e-08,807.1,ASK
84,1712451875.4131324,8538644.00685725,780.8,7.05768229965401e-10,807.1,BID
85,1712451884.0794914,8540025.29738571,780.8,1.2082210390246728e-07,807.1,BID
86,1712451897.4700196,8541258.40250499,780.8,1.07860259499887e-07,807.1,BID
87,1712451897.5569372,8541306.36323249,780.8,4.195146409699368e-09,807.1,BID
88,1712451898.4025702,8543447.66706827,780.8,-1.873008097882461e-07,807.1,ASK
89,1712451900.6498847,8543447.66706827,780.8,-0.0,807.1,ASK
90,1712451900.8696284,8545358.91231607,780.8,1.676604571449678e-07,807.1,BID
91,1712451900.9548793,8548074.66706827,780.8,2.382345665847279e-07,807.1,BID
92,1712451901.0765145,8548075.06872016,780.8,3.5234169830902085e-11,807.1,BID
93,1712451901.1653588,8548364.06872016,781.5,2.5351990892129254e-08,807.1,BID
94,1712451901.2788012,8548617.24698047,781.5,2.2209594980811972e-08,807.1,BID
95,1712451903.1957772,8548724.37947662,781.5,-9.398000230627022e-09,807.1,ASK
96,1712451903.2975388,8548977.55773692,781.5,-2.2209594979994986e-08,807.1,ASK
97,1712451903.8803234,8549227.55773692,782.0,2.1930787968969945e-08,807.1,BID
98,1712451904.099407,8551253.55773692,782.0,1.777271057005324e-07,807.1,BID
99,1712451904.1923018,8551254.37766926,782.0,7.192704916458696e-11,807.1,BID
100,1712451904.5593123,8551263.49411461,783.2,7.99723319964924e-10,807.1,BID
101,1712451921.9491858,8553820.38493537,782.3,-2.242985217995969e-07,807.1,ASK
102,1712451922.055344,8555422.79476274,782.3,1.4056844065379802e-07,807.1,BID
103,1712451922.3704112,8555643.48233332,783.2,1.935940927105125e-08,807.1,BID
104,1712451922.470982,8556372.79476274,783.2,6.397758501103452e-08,807.1,BID
105,1712451930.6495235,8556372.79476274,783.2,0.0,807.1,BID
106,1712451955.5097475,8556684.08849951,783.1,2.7283485274887466e-08,807.1,BID
107,1712451956.9993584,8557216.80159073,782.2,-4.668988824119136e-08,807.1,ASK
108,1712451960.4044,8557216.80159073,782.2,-0.0,807.1,ASK
109,1712451972.339302,8557254.38703787,782.2,-3.2940034297963036e-09,807.1,ASK
110,1712451990.4195292,8557254.38703787,782.2,-0.0,807.1,ASK
111,1712452004.100244,8557473.73015126,782.2,-1.922326754578437e-08,807.1,ASK
112,1712452004.1860678,8557637.92066099,782.2,-1.4389684035251629e-08,807.1,ASK
113,1712452015.2607937,8558473.73015126,782.2,-7.325048505244081e-08,807.1,ASK
114,1712452020.6594243,8558473.73015126,782.2,-0.0,807.1,ASK
115,1712452024.6494732,8558975.73015126,782.2,4.399168767931077e-08,807.1,BID
116,1712452024.9291592,8559085.67752765,782.2,9.635001281408365e-09,807.1,BID
117,1712452028.436223,8559149.60797132,782.0,-5.602406595929948e-09,807.1,ASK
118,1712452028.5300643,8561290.60797132,782.0,-1.8762191896694095e-07,807.1,ASK
119,1712452028.6127627,8562168.14856715,782.1,-7.690137812280293e-08,807.1,ASK
120,1712452028.7005036,8564615.41893785,782.3,-2.144612625791313e-07,807.1,ASK
121,1712452028.776404,8566793.41893785,780.8,-1.908643341943005e-07,807.1,ASK
122,1712452028.857944,8573139.41893785,780.9,-5.561180279141557e-07,807.1,ASK
123,1712452028.942807,8578139.41893785,781.5,-4.381642199134539e-07,807.1,ASK
124,1712452029.031529,8578174.83595542,781.4,-3.1036939750234742e-09,807.1,ASK
125,1712452029.1241088,8578672.97072641,782.1,-4.3652966668469074e-08,807.1,ASK
126,1712452029.202029,8581332.31951038,780.4,-2.330462970811909e-07,807.1,ASK
127,1712452047.9195848,8581512.31951038,783.0,1.577391191688434e-08,807.1,BID
128,1712452048.034835,8581513.01007752,783.0,6.051636239854382e-11,807.1,BID
129,1712452048.1214528,8583671.34224035,783.1,1.891407856881907e-07,807.1,BID
130,1712452048.2102702,8585919.55711985,783.1,1.970174637747654e-07,807.1,BID
131,1712452048.299323,8588479.39329033,783.2,2.2432572374889226e-07,807.1,BID
132,1712452048.3900373,8588752.846248,783.2,2.3963460376199978e-08,807.1,BID
133,1712452048.478436,8591313.5792635,783.2,2.2440431682863765e-07,807.1,BID
134,1712452048.5678377,8591320.08436555,784.0,5.700605930005171e-10,807.1,BID
135,1712452048.6610184,8593012.36328034,783.6,1.4829921411487874e-07,807.1,BID
136,1712452048.7476156,8593140.56840854,784.0,1.1234979997362334e-08,807.1,BID
137,1712452048.858803,8593233.5792635,784.6,-8.150805741524714e-09,807.1,ASK
138,1712452048.9459329,8594113.23880854,784.6,-7.708706766835387e-08,807.1,ASK
139,1712452049.0594068,8594842.23880854,784.6,6.388434326338159e-08,807.1,BID
140,1712452049.1515005,8595226.28680854,784.5,3.365521846573776e-08,807.1,BID
141,1712452049.2387266,8595562.23880854,784.6,2.94404292017996e-08,807.1,BID
142,1712452049.333729,8598122.23880854,784.6,2.243400805956884e-07,807.1,BID
143,1712452049.47304,8599122.23880854,784.6,8.76328439826908e-08,807.1,BID
144,1712452049.561166,8601676.51722488,783.6,-2.238386819474171e-07,807.1,ASK
145,1712452049.6562023,8602830.49683387,783.6,-1.0112651503384929e-07,807.1,ASK
146,1712452050.1142943,8602838.14891906,784.6,6.70573987653517e-10,807.1,BID
147,1712452050.6543622,8602838.14891906,784.6,0.0,807.1,BID
148,1712452053.0395792,8605392.14891906,783.1,-2.231354949605069e-07,807.1,ASK
149,1712452053.1440818,8605400.49157139,783.0,-7.288730840099498e-10,807.1,ASK
150,1712452053.2422838,8605627.68509039,783.1,1.9849231916161432e-08,807.1,BID
151,1712452053.329625,8605979.49157139,783.1,3.073630120135364e-08,807.1,BID
152,1712452057.0312748,8606026.99105034,782.9,-4.149890268644911e-09,807.1,ASK
153,1712452057.900348,8606718.47655295,782.9,6.041306181789093e-08,807.1,BID
154,1712452059.5595968,8606813.47655295,782.9,8.299871582321124e-09,807.1,BID
155,1712452060.1294415,8607564.39880308,782.0,-6.56058762566386e-08,807.1,ASK
156,1712452063.3090842,8609253.97386587,782.0,1.4761322157743686e-07,807.1,BID
157,1712452063.3965852,8609538.36295495,783.7,2.4846241250249952e-08,807.1,BID
158,1712452063.4826872,8610687.98617273,784.2,1.0043921132242084e-07,807.1,BID
159,1712452063.5789232,8610688.35924687,782.9,3.259439427370848e-11,807.1,BID
160,1712452063.6666346,8610943.97386587,783.1,2.2332300129083944e-08,807.1,BID
161,1712452063.774554,8612680.97386587,784.1,1.517565993525452e-07,807.1,BID
162,1712452072.4301562,8613187.8463847,782.8,-4.428396647259639e-08,807.1,ASK
