,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.116113,12657572.41606707,16.02,0.0,16.05,ASK
1,1712451690.2900505,12657572.41606707,16.02,-0.0,16.05,ASK
2,1712451693.1298816,12718538.55647961,16.03,3.327159211414057e-05,16.05,BID
3,1712451693.131205,12724340.31276209,16.03,3.1662438735677506e-06,16.05,BID
4,1712451704.1306584,12732025.31276209,16.02,-4.1940031576047226e-06,16.05,ASK
5,1712451707.2994263,12802206.26473304,16.02,-3.830047289133071e-05,16.05,ASK
6,1712451707.3008924,12860486.10533309,16.02,-3.180557391038464e-05,16.05,ASK
7,1712451707.3192697,12860486.10533343,16.02,-1.860227656003944e-16,16.05,ASK
8,1712451709.9896986,12866724.40851496,16.02,3.404484481643253e-06,16.05,BID
9,1712451714.8697023,12867355.32334145,16.01,-3.4431473968492294e-07,16.05,ASK
10,1712451720.1992576,12867355.32334145,16.01,-0.0,16.05,ASK
11,1712451750.199203,12867355.32334145,16.01,-0.0,16.05,ASK
12,1712451755.763,12876724.46762627,16.01,-5.103743644329997e-06,16.05,ASK
13,1712451755.7691932,12896579.55418845,16.01,-1.0815851348722989e-05,16.05,ASK
14,1712451755.859352,12896579.55418852,16.01,-3.7542291266127697e-17,16.05,ASK
15,1712451759.1194472,12904497.51369206,16.0,-4.313225868207886e-06,16.05,ASK
16,1712451780.2928662,12904497.51369206,16.0,-0.0,16.05,ASK
17,1712451786.949566,12923259.23977085,16.0,-1.0216945518803006e-05,16.05,ASK
18,1712451786.9509444,12939727.61986858,16.0,-8.968073701473753e-06,16.05,ASK
19,1712451796.9237971,12940480.85417351,15.99,-4.101836805439093e-07,16.05,ASK
20,1712451810.2991762,12940480.85417351,15.99,-0.0,16.05,ASK
21,1712451840.2098625,12940480.85417351,15.99,-0.0,16.05,ASK
22,1712451859.2595415,12959230.85417351,15.99,-1.0207359725169542e-05,16.05,ASK
23,1712451859.269432,12977864.73681666,15.99,-1.0144146304812096e-05,16.05,ASK
24,1712451859.4318774,13003018.51335666,15.99,1.3693527764816556e-05,16.05,BID
25,1712451859.4333951,13003018.51335673,15.99,3.8532383199179435e-17,16.05,BID
26,1712451870.2035933,13003018.51335673,15.99,0.0,16.05,BID
27,1712451900.2993946,13003018.51335673,15.99,0.0,16.05,BID
28,1712451930.2994606,13003018.51335673,15.99,0.0,16.05,BID
29,1712451951.579427,13006145.4677032,15.99,-1.7079487375363822e-06,16.05,ASK
30,1712451960.1906471,13006145.4677032,15.99,-0.0,16.05,ASK
31,1712451990.1892805,13006145.4677032,15.99,-0.0,16.05,ASK
32,1712452002.7501302,13012397.9097032,16.01,-3.415003100368433e-06,16.05,ASK
33,1712452002.849654,13012399.37639613,16.01,-8.010887431722276e-10,16.05,ASK
34,1712452005.0396705,13014761.64627344,16.0,-1.290241309702253e-06,16.05,ASK
35,1712452020.309705,13014761.64627344,16.0,-0.0,16.05,ASK
36,1712452024.9211557,13018513.99148916,15.99,-2.0493281357426024e-06,16.05,ASK
37,1712452024.922202,13019139.38235845,15.99,-3.415546892919597e-07,16.05,ASK
38,1712452024.923331,13049139.38235845,15.98,-1.6384378445431498e-05,16.05,ASK
39,1712452024.9241714,13059281.02117407,16.0,-5.538814947066007e-06,16.05,ASK
40,1712452024.925232,13060532.58562963,15.98,-6.835368562922475e-07,16.05,ASK
41,1712452024.9260447,13066778.68181951,15.99,-3.4112801260514445e-06,16.05,ASK
42,1712452024.9268603,13169228.71199092,15.98,-5.5952668869142496e-05,16.05,ASK
43,1712452050.3098066,13169228.71199092,15.98,-0.0,16.05,ASK
44,1712452080.179302,13169228.71199092,15.98,-0.0,16.05,ASK
45,1712452110.201336,13169228.71199092,15.98,-0.0,16.05,ASK
46,1712452140.2973638,13169228.71199092,15.98,-0.0,16.05,ASK
47,1712452169.4592924,13179228.71199092,16.0,-5.454105893221109e-06,16.05,ASK
48,1712452170.3093789,13179228.71199092,16.0,-0.0,16.05,ASK
49,1712452199.8712685,13204411.71199092,16.0,-1.373387637464157e-05,16.05,ASK
50,1712452200.0097003,13234900.08932792,16.0,1.6627232863827723e-05,16.05,BID
51,1712452200.0291154,13241527.27819913,16.0,3.614223590064909e-06,16.05,BID
52,1712452200.2621372,13241527.27819913,16.0,0.0,16.05,BID
53,1712452212.9793546,13248089.10499109,15.98,-3.60607780597042e-06,16.05,ASK
54,1712452230.199232,13248089.10499109,15.98,-0.0,16.05,ASK
55,1712452260.299116,13248089.10499109,15.98,-0.0,16.05,ASK
56,1712452290.29967,13248089.10499109,15.98,-0.0,16.05,ASK
57,1712452320.1892445,13248089.10499109,15.98,-0.0,16.05,ASK
58,1712452349.6927876,13298100.84083527,16.02,2.7482563089434616e-05,16.05,BID
59,1712452349.6992338,13370615.73679509,16.02,3.984855093509969e-05,16.05,BID
60,1712452349.7722378,13370615.73679532,16.02,1.2589849605170091e-16,16.05,BID
61,1712452350.2095375,13370615.73679532,16.02,0.0,16.05,BID
62,1712452359.28924,13417902.88085332,16.03,2.5957340458890778e-05,16.05,BID
63,1712452379.3694854,13417902.88085333,16.03,6.134772812676477e-18,16.05,BID
64,1712452380.3093784,13417902.88085333,16.03,0.0,16.05,BID
65,1712452403.0194662,13418557.49431966,16.04,3.591876307449007e-07,16.05,BID
66,1712452410.2894576,13418557.49431966,16.04,0.0,16.05,BID
67,1712452434.189766,13418869.5342448,16.04,1.7121590287678964e-07,16.05,BID
68,1712452440.2108176,13418869.5342448,16.04,0.0,16.05,BID
69,1712452470.209914,13418869.5342448,16.04,0.0,16.05,BID
70,1712452488.2994373,13419492.9756413,16.04,3.420805475355013e-07,16.05,BID
71,1712452488.999752,13425294.73192378,16.05,3.183407417147492e-06,16.05,BID
72,1712452489.0015004,13429506.39341829,16.04,2.3109268620312708e-06,16.05,BID
73,1712452489.0032887,13490154.60284472,16.05,3.327750259139361e-05,16.05,BID
74,1712452500.2100737,13490154.60284472,16.05,0.0,16.05,BID
75,1712452520.9290657,13491400.70876372,16.05,6.863640010235492e-07,16.05,BID
76,1712452530.2013912,13491400.70876372,16.05,0.0,16.05,BID
77,1712452560.2888684,13491400.70876372,16.05,0.0,16.05,BID
78,1712452567.6385646,13491952.93359362,16.05,3.041660123453566e-07,16.05,BID
79,1712452590.298874,13491952.93359362,16.05,0.0,16.05,BID
80,1712452620.2065203,13491952.93359362,16.05,0.0,16.05,BID
81,1712452650.19181,13491952.93359362,16.05,0.0,16.05,BID
82,1712452680.29849,13491952.93359362,16.05,0.0,16.05,BID
83,1712452710.2984478,13491952.93359362,16.05,0.0,16.05,BID
84,1712452740.1886115,13491952.93359362,16.05,0.0,16.05,BID
85,1712452770.2097418,13491952.93359362,16.05,0.0,16.05,BID
86,1712452800.218589,13491952.93359362,16.05,0.0,16.05,BID
87,1712452810.3149598,13492452.93359362,16.01,-2.757036309677576e-07,16.05,ASK
88,1712452830.2028086,13492452.93359362,16.01,-0.0,16.05,ASK
89,1712452860.3083522,13492452.93359362,16.01,-0.0,16.05,ASK
90,1712452883.65871,13494326.76245059,16.03,-1.0332382786288015e-06,16.05,ASK
91,1712452890.2940202,13494326.76245059,16.03,-0.0,16.05,ASK
92,1712452891.148725,13500565.06563213,16.04,-3.43977352067792e-06,16.05,ASK
93,1712452902.0288532,13562773.85863213,16.05,3.430166067401211e-05,16.05,BID
94,1712452907.28857,13583946.72063213,16.05,1.167462496534307e-05,16.05,BID
95,1712452914.4170396,13584410.72063213,16.05,2.558476026490539e-07,16.05,BID
96,1712452920.201081,13584410.72063213,16.05,0.0,16.05,BID
97,1712452929.1690168,13589096.70263213,16.05,2.581772115383341e-06,16.05,BID
98,1712452929.2487247,13593039.74317182,16.05,2.1724437087473337e-06,16.05,BID
99,1712452929.2505467,13595898.23415007,16.05,1.5749041075537922e-06,16.05,BID
100,1712452950.1986032,13595898.23415007,16.05,0.0,16.05,BID
101,1712452980.2785275,13595898.23415007,16.05,0.0,16.05,BID
102,1712453010.4073317,13595898.23415007,16.05,0.0,16.05,BID
103,1712453040.1919055,13595898.23415007,16.05,0.0,16.05,BID
104,1712453070.2033978,13595898.23415007,16.05,0.0,16.05,BID
105,1712453100.3099236,13595898.23415007,16.05,0.0,16.05,BID
106,1712453130.3010087,13595898.23415007,16.05,0.0,16.05,BID
107,1712453149.1098237,13599198.23415007,16.05,-1.8200140313178789e-06,16.05,ASK
108,1712453149.110751,13632802.08778517,16.03,-1.8533177309767306e-05,16.05,ASK
