,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.067119,159864.18392822,856.5,0.0,856.6,BID
1,1712451690.404505,159864.18392822,856.5,0.0,856.6,BID
2,1712451704.0642183,159887.70645096,855.1,-8.54002732113965e-09,856.6,ASK
3,1712451720.27456,159887.70645096,855.1,-0.0,856.6,ASK
4,1712451750.274236,159887.70645096,855.1,-0.0,856.6,ASK
5,1712451754.544248,160179.70806048,855.1,-1.0601258803600845e-07,856.6,ASK
6,1712451774.430012,160537.37704608,854.9,-1.2985344459571e-07,856.6,ASK
7,1712451779.130239,160764.57178723,854.9,-8.248414293700076e-08,856.6,ASK
8,1712451779.1338253,160890.97364712,854.9,-4.5890802867594566e-08,856.6,ASK
9,1712451780.416503,160890.97364712,854.9,-0.0,856.6,ASK
10,1712451783.6868813,161168.26329098,854.9,-1.0063999779655833e-07,856.6,ASK
11,1712451783.978818,161695.02656235,854.9,-1.911844010184285e-07,856.6,ASK
12,1712451784.0202322,161934.29924073,854.9,-8.684205255462294e-08,856.6,ASK
13,1712451784.0845497,161957.69652663,854.8,-8.491852665834006e-09,856.6,ASK
14,1712451784.0942085,162076.80828708,854.8,-4.32306347340019e-08,856.6,ASK
15,1712451784.0955956,162193.79471665,854.8,-4.245926335459516e-08,856.6,ASK
16,1712451784.5343037,162193.79471666,854.8,-3.6231076701840644e-18,856.6,ASK
17,1712451784.5359416,162880.02470181,854.6,-2.490615344736851e-07,856.6,ASK
18,1712451784.814315,163375.04939704,854.6,-1.7966514559896673e-07,856.6,ASK
19,1712451791.6706195,163380.89871851,854.8,2.122963164639025e-09,856.6,BID
20,1712451796.0870054,163380.89871853,854.6,-7.256778336491113e-18,856.6,ASK
21,1712451810.415449,163380.89871853,854.6,-0.0,856.6,ASK
22,1712451810.9844325,163571.54709203,854.6,-6.91408539561912e-08,856.6,ASK
23,1712451817.9580216,163771.54709203,854.3,-7.253233026526554e-08,856.6,ASK
24,1712451818.014396,163919.67231985,854.0,-5.3719339724293974e-08,856.6,ASK
25,1712451829.055643,164125.65700221,854.0,-7.470274505260476e-08,856.6,ASK
26,1712451829.118549,164302.84580662,854.0,-6.425958440386488e-08,856.6,ASK
27,1712451829.1196303,164509.05342489,854.0,-7.478359535787126e-08,856.6,ASK
28,1712451838.5941951,164736.58753825,854.0,-8.251789728420468e-08,856.6,ASK
29,1712451838.5951178,167724.72010948,853.9,-1.0836810926642582e-06,856.6,ASK
30,1712451840.275504,167724.72010948,853.9,-0.0,856.6,ASK
31,1712451841.3244016,167736.42971135,854.5,4.240918272679225e-09,856.6,BID
32,1712451842.154277,167873.26042285,853.9,-4.955658365722897e-08,856.6,ASK
33,1712451845.8065708,168165.8291765,854.5,1.0596091883764377e-07,856.6,BID
34,1712451868.9844162,168245.24996932,854.5,2.8764179622843962e-08,856.6,BID
35,1712451870.2748065,168245.24996932,854.5,0.0,856.6,BID
36,1712451877.188084,168617.3350196,854.8,1.3473798621643158e-07,856.6,BID
37,1712451877.6941445,170650.19559289,854.8,7.361315368563107e-07,856.6,BID
