,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.1314554,2268108.91163188,2972.0,0.0,3037.0,BID
1,1712451686.5205567,2268204.29110754,2967.0,-1.2786208322668302e-09,3037.0,ASK
2,1712451686.7992766,2268253.9151404,2972.0,6.65240836741095e-10,3037.0,BID
3,1712451690.1297526,2268253.9151404,2972.0,0.0,3037.0,BID
4,1712451694.8096478,2268317.62849631,2972.0,-8.54084487917684e-10,3037.0,ASK
5,1712451695.179266,2268601.97036485,2973.0,3.811633773118144e-09,3037.0,BID
6,1712451695.2495682,2268889.08343385,2973.0,-3.848782017663048e-09,3037.0,ASK
7,1712451695.2599325,2268889.08343483,2973.0,-1.3133673730010759e-17,3037.0,ASK
8,1712451710.7897248,2268977.77186372,2972.0,-1.1888780663141546e-09,3037.0,ASK
9,1712451711.169675,2269007.8755275,2973.0,4.035428976699293e-10,3037.0,BID
10,1712451711.1793368,2270818.19788623,2973.0,2.4267568748143532e-08,3037.0,BID
11,1712451713.4698596,2271036.97344423,2973.0,-2.932710226206776e-09,3037.0,ASK
12,1712451720.0893538,2271036.97344423,2973.0,-0.0,3037.0,ASK
13,1712451723.9304345,2271140.93727658,2972.0,-1.3934919610907151e-09,3037.0,ASK
14,1712451723.9314432,2271412.07819451,2973.0,-3.634270504637437e-09,3037.0,ASK
15,1712451723.9324098,2272045.71587828,2972.0,-8.493040306601904e-09,3037.0,ASK
16,1712451723.933376,2272045.71587866,2973.0,-5.09310325102645e-18,3037.0,ASK
17,1712451728.5694647,2272050.71587866,2974.0,6.701811243354742e-11,3037.0,BID
18,1712451728.570834,2272401.66294818,2974.0,4.703962032664821e-09,3037.0,BID
19,1712451733.7298489,2272460.38176118,2975.0,7.870448023167564e-10,3037.0,BID
20,1712451735.0710242,2272460.38176193,2975.0,1.0055133991916188e-17,3037.0,BID
21,1712451735.072713,2272779.49850532,2975.0,4.2773203575874726e-09,3037.0,BID
22,1712451737.7455964,2272809.49850532,2974.0,-4.021086746012845e-10,3037.0,ASK
23,1712451741.069567,2272829.05476991,2975.0,2.6212478781464916e-10,3037.0,BID
24,1712451746.879316,2273072.98154601,2975.0,3.26950242124384e-09,3037.0,BID
25,1712451746.8897264,2273945.5944199,2974.0,-1.1696173538663812e-08,3037.0,ASK
26,1712451746.9491434,2273971.27634691,2975.0,3.442308543726152e-10,3037.0,BID
27,1712451747.0100932,2274155.67374186,2975.0,2.4715930694429517e-09,3037.0,BID
28,1712451747.2991865,2274202.68553008,2975.0,6.30128261727957e-10,3037.0,BID
29,1712451748.1594963,2274351.73302314,2975.0,1.997776329568293e-09,3037.0,BID
30,1712451748.559487,2275044.23202653,2975.0,9.281995213860104e-09,3037.0,BID
31,1712451748.5609825,2275052.06738792,2975.0,1.0502222611727874e-10,3037.0,BID
32,1712451748.7203991,2275098.98561533,2975.0,-6.288742079484739e-10,3037.0,ASK
33,1712451748.722329,2275125.61505992,2975.0,-3.5693102231918347e-10,3037.0,ASK
34,1712451748.7391536,2275125.61506078,2975.0,-1.152813934392874e-17,3037.0,ASK
35,1712451750.0893106,2275125.61506078,2975.0,-0.0,3037.0,ASK
36,1712451779.0564156,2275247.32499006,2975.0,-1.6310881037490071e-09,3037.0,ASK
37,1712451779.0578198,2275900.32499006,2978.0,8.751139188471067e-09,3037.0,BID
38,1712451779.0591924,2276071.91576005,2978.0,2.299563111237945e-09,3037.0,BID
39,1712451779.0645185,2278020.63726994,2978.0,-2.61156710147264e-08,3037.0,ASK
40,1712451779.0700848,2278320.67716555,2978.0,-4.020966138709071e-09,3037.0,ASK
41,1712451779.077161,2278324.03846555,2975.0,-4.504625444734536e-11,3037.0,ASK
42,1712451779.0779848,2279972.89122394,2975.0,-2.209699845323805e-08,3037.0,ASK
43,1712451779.078786,2279980.45450112,2975.0,-1.0135879222323904e-10,3037.0,ASK
44,1712451779.079594,2280768.20727754,2975.0,-1.0557020202998136e-08,3037.0,ASK
45,1712451779.1592555,2280879.20927454,2974.0,-1.487586410330596e-09,3037.0,ASK
46,1712451779.239581,2280879.20927485,2974.0,-4.1499531118559066e-18,3037.0,ASK
47,1712451780.1291888,2280879.20927485,2974.0,-0.0,3037.0,ASK
48,1712451789.0094776,2280980.04961085,2974.0,-1.351095442797215e-09,3037.0,ASK
49,1712451789.0292947,2280980.04961098,2974.0,-1.740708631156189e-18,3037.0,ASK
50,1712451795.159413,2280982.07461098,2974.0,2.7131685401816613e-11,3037.0,BID
51,1712451797.039556,2281017.06675097,2974.0,4.688373992936767e-10,3037.0,BID
52,1712451797.1192758,2281147.82092397,2974.0,-1.751891894397407e-09,3037.0,ASK
53,1712451797.1393654,2281147.8209241,2974.0,-1.740708631156189e-18,3037.0,ASK
54,1712451801.2820272,2281147.82092452,2974.0,-5.6276673308347055e-18,3037.0,ASK
55,1712451801.2839017,2281517.73047352,2974.0,-4.956182473453104e-09,3037.0,ASK
56,1712451801.4616573,2281754.41408152,2974.0,-3.1711729337511383e-09,3037.0,ASK
57,1712451810.1293502,2281754.41408152,2974.0,-0.0,3037.0,ASK
58,1712451812.8496635,2283171.51447852,2975.0,-1.8986163627219177e-08,3037.0,ASK
59,1712451812.8516238,2283707.55085462,2975.0,-7.181759576330282e-09,3037.0,ASK
60,1712451819.0193677,2283718.55085462,2978.0,1.4737685512016534e-10,3037.0,BID
61,1712451821.039659,2283981.55085462,2978.0,3.523646626963953e-09,3037.0,BID
62,1712451821.0996811,2284082.37628644,2978.0,-1.3508486416150012e-09,3037.0,ASK
63,1712451821.1194742,2287079.89539243,2978.0,-4.0160449000309886e-08,3037.0,ASK
64,1712451821.2597077,2287156.10092799,2975.0,1.0209938339607454e-09,3037.0,BID
65,1712451821.3001974,2287156.1009288,2975.0,-1.0855653742712997e-17,3037.0,ASK
66,1712451821.301979,2287482.7373328,2975.0,-4.376240544476726e-09,3037.0,ASK
67,1712451821.3995476,2287492.82814937,2973.0,-1.3519571015255824e-10,3037.0,ASK
68,1712451821.41358,2287492.8281498,2974.0,-5.76472647026828e-18,3037.0,ASK
69,1712451822.218531,2287501.95762921,2972.0,-1.2231581493456029e-10,3037.0,ASK
70,1712451822.2193468,2287501.95762999,2973.0,-1.045012644772659e-17,3037.0,ASK
71,1712451832.7492983,2287505.33372722,2973.0,-4.523259930661596e-11,3037.0,ASK
72,1712451839.170202,2287761.80214296,2973.0,-3.436137140854942e-09,3037.0,ASK
73,1712451839.171888,2288455.05515462,2973.0,-9.28813169646012e-09,3037.0,ASK
74,1712451840.089248,2288455.05515462,2973.0,-0.0,3037.0,ASK
75,1712451844.969922,2288799.6882233,2973.0,-4.6161246094341394e-09,3037.0,ASK
76,1712451844.9712691,2288855.08517599,2973.0,-7.42004351410496e-10,3037.0,ASK
77,1712451854.290051,2289854.23329441,2973.0,-1.3382906740714812e-08,3037.0,ASK
78,1712451854.292116,2290253.59580123,2973.0,-5.349188059284112e-09,3037.0,ASK
79,1712451854.418726,2291171.29297323,2973.0,1.2291926935233057e-08,3037.0,BID
80,1712451854.4490929,2291171.2929734,2973.0,2.2765834565040896e-18,3037.0,BID
81,1712451870.090947,2291171.2929734,2973.0,0.0,3037.0,BID
82,1712451900.129711,2291171.2929734,2973.0,0.0,3037.0,BID
83,1712451901.4899795,2291383.56897106,2978.0,2.8460900227496e-09,3037.0,BID
84,1712451901.7094574,2291536.61058606,2978.0,2.0519051532824073e-09,3037.0,BID
85,1712451901.7294638,2291536.61058665,2978.0,7.91032799415711e-18,3037.0,BID
86,1712451927.5195382,2291536.61058676,2978.0,1.4734312601587053e-18,3037.0,BID
87,1712451927.521514,2291603.14978576,2978.0,8.92124180229629e-10,3037.0,BID
88,1712451930.1399045,2291603.14978576,2978.0,0.0,3037.0,BID
89,1712451931.2217605,2291735.26711576,2978.0,1.771332300102813e-09,3037.0,BID
90,1712451931.2392297,2291735.26711671,2978.0,1.2736220096125884e-17,3037.0,BID
91,1712451943.0898652,2291784.44971827,2974.0,-6.594042639672821e-10,3037.0,ASK
92,1712451943.8693624,2292140.21542171,2978.0,4.7698457255463585e-09,3037.0,BID
93,1712451943.9292438,2292259.31043171,2978.0,1.5967385807244902e-09,3037.0,BID
94,1712451943.9518766,2292259.31043197,2978.0,3.483730790999139e-18,3037.0,BID
95,1712451960.079481,2292259.31043197,2978.0,0.0,3037.0,BID
96,1712451960.8493416,2292290.95899793,2975.0,-4.2430965442960765e-10,3037.0,ASK
97,1712451975.5393727,2293111.06008099,2975.0,-1.099502604917911e-08,3037.0,ASK
98,1712451983.3895524,2293113.66031455,2975.0,-3.4861112021766636e-11,3037.0,ASK
99,1712451990.090273,2293113.66031455,2975.0,-0.0,3037.0,ASK
100,1712451990.759799,2293117.02165909,2979.0,4.5063727133410135e-11,3037.0,BID
101,1712451990.760758,2293122.33540723,2979.0,7.123854558203832e-11,3037.0,BID
102,1712451991.8593836,2293157.83649108,2979.0,-4.759438184641236e-10,3037.0,ASK
103,1712452002.4395874,2293248.46837208,2979.0,-1.2150525798049967e-09,3037.0,ASK
104,1712452016.719637,2293620.67360323,2978.0,4.989954101535845e-09,3037.0,BID
105,1712452019.4098244,2293620.67360324,2978.0,1.3110024625472757e-19,3037.0,BID
106,1712452019.4108503,2293782.47799711,2979.0,2.169223942244581e-09,3037.0,BID
107,1712452020.139449,2293782.47799711,2979.0,0.0,3037.0,BID
108,1712452027.5994756,2293782.47799712,2979.0,1.3109674516614971e-19,3037.0,BID
109,1712452030.9113114,2293792.54511122,2980.0,1.3496074626813835e-10,3037.0,BID
110,1712452030.91288,2293967.22663922,2980.0,2.34179817019138e-09,3037.0,BID
111,1712452037.070025,2293993.59881733,2979.0,-3.535480777423721e-10,3037.0,ASK
112,1712452037.0724258,2294161.44037489,2979.0,-2.250100837083189e-09,3037.0,ASK
113,1712452037.079249,2294475.40503599,2979.0,-4.209041890610994e-09,3037.0,ASK
114,1712452044.5196111,2294475.405036,2980.0,1.3733944731691874e-19,3037.0,BID
115,1712452044.521906,2294504.38296869,2980.0,3.8848108626936615e-10,3037.0,BID
116,1712452049.8496325,2294594.84790085,2979.0,-1.2127819983326372e-09,3037.0,ASK
117,1712452050.2533984,2294594.84790085,2979.0,-0.0,3037.0,ASK
118,1712452055.8597138,2294609.57540348,2980.0,1.9743197867299086e-10,3037.0,BID
