,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.1238277,229481672.63207707,9.717,0.0,9.973,BID
1,1712451686.2696571,229482463.16358644,9.727,1.9859594093010002e-07,9.973,BID
2,1712451686.2708209,229482463.1635873,9.717,2.1711972945263007e-16,9.973,BID
3,1712451690.609635,229482463.1635873,9.717,0.0,9.973,BID
4,1712451696.8555894,229483213.91384423,9.73,1.8856462933397842e-07,9.973,BID
5,1712451717.6893892,229483927.1834505,9.717,1.7915067985730866e-07,9.973,BID
6,1712451720.4211864,229483927.1834505,9.717,0.0,9.973,BID
7,1712451722.263682,229485101.77437368,9.717,2.950188935207017e-07,9.973,BID
8,1712451723.3497343,229485779.40825176,9.717,1.7019950774955164e-07,9.973,BID
9,1712451725.3993175,229490718.7930412,9.717,1.2406122051147411e-06,9.973,BID
10,1712451726.059191,229491362.56938,9.717,1.616955992110263e-07,9.973,BID
11,1712451731.1396902,229491974.1790007,9.717,1.5361636976605965e-07,9.973,BID
12,1712451733.349348,229492555.23049623,9.717,1.459411663344509e-07,9.973,BID
13,1712451735.3994658,229493107.25023103,9.717,1.386493358285138e-07,9.973,BID
14,1712451737.071027,229493505.1559972,9.717,9.994093819162505e-08,9.973,BID
15,1712451737.0726335,229493631.69261977,9.729,3.1781868613319045e-08,9.973,BID
16,1712451743.6197488,229494627.5323732,9.73,2.501224353100143e-07,9.973,BID
17,1712451750.840807,229494627.5323732,9.73,0.0,9.973,BID
18,1712451780.6296742,229494627.5323732,9.73,0.0,9.973,BID
19,1712451810.6295044,229494627.5323732,9.73,0.0,9.973,BID
20,1712451840.399355,229494627.5323732,9.73,0.0,9.973,BID
21,1712451870.4017365,229494627.5323732,9.73,0.0,9.973,BID
22,1712451900.6296904,229494627.5323732,9.73,0.0,9.973,BID
23,1712451930.6193514,229494627.5323732,9.73,0.0,9.973,BID
24,1712451938.0991774,229499746.8115787,9.729,1.2895539559876411e-06,9.973,BID
25,1712451959.6294072,229523851.831738,9.729,6.072090006791101e-06,9.973,BID
26,1712451960.4026115,229523851.831738,9.729,0.0,9.973,BID
27,1712451961.5000174,229542425.54408503,9.727,-4.678410364735729e-06,9.973,ASK
