,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.066348,2948750.40394579,60.91,0.0,61.26,ASK
1,1712451690.4742398,2948750.40394579,60.91,-0.0,61.26,ASK
2,1712451720.3246686,2948750.40394579,60.91,-0.0,61.26,ASK
3,1712451750.325563,2948750.40394579,60.91,-0.0,61.26,ASK
4,1712451780.4842272,2948750.40394579,60.91,-0.0,61.26,ASK
5,1712451810.4856956,2948750.40394579,60.91,-0.0,61.26,ASK
6,1712451823.976549,2953678.61992482,60.93,-2.0298954892920424e-06,61.26,ASK
7,1712451823.977122,2955410.11508319,60.93,-7.131899711096645e-07,61.26,ASK
8,1712451840.3242826,2955410.11508319,60.93,-0.0,61.26,ASK
9,1712451870.3213174,2955410.11508319,60.93,-0.0,61.26,ASK
10,1712451900.494494,2955410.11508319,60.93,-0.0,61.26,ASK
11,1712451918.314325,2966898.70855111,60.93,-4.771196244122555e-06,61.26,ASK
12,1712451930.474134,2966898.70855111,60.93,-0.0,61.26,ASK
13,1712451960.3046825,2966898.70855111,60.93,-0.0,61.26,ASK
14,1712451964.6043208,2967558.16986854,60.93,-2.7379373663949253e-07,61.26,ASK
15,1712451990.3144178,2967558.16986854,60.93,-0.0,61.26,ASK
16,1712452020.4941504,2967558.16986854,60.93,-0.0,61.26,ASK
17,1712452049.4614954,2973710.52475381,61.07,2.554278906525216e-06,61.26,BID
18,1712452050.497511,2973710.52475381,61.07,0.0,61.26,BID
19,1712452057.1685092,2977558.16986781,61.07,1.5971812607347625e-06,61.26,BID
20,1712452057.1736798,2977558.16986854,61.07,3.030926400760795e-16,61.26,BID
21,1712452080.3044708,2977558.16986854,61.07,0.0,61.26,BID
22,1712452110.3350768,2977558.16986854,61.07,0.0,61.26,BID
23,1712452131.0942528,2979862.50231267,61.08,9.564493436831088e-07,61.26,BID
24,1712452131.0978231,2981589.74527273,61.08,7.169192968397439e-07,61.26,BID
25,1712452132.2642722,3000789.74527273,61.0,-7.96926131274827e-06,61.26,ASK
26,1712452132.3042488,3068105.89135273,61.0,2.794062284784656e-05,61.26,BID
27,1712452132.3245575,3072404.69384089,61.0,1.784285435418856e-06,61.26,BID
28,1712452140.475212,3072404.69384089,61.0,0.0,61.26,BID
29,1712452170.504283,3072404.69384089,61.0,0.0,61.26,BID
30,1712452200.3922176,3072404.69384089,61.0,0.0,61.26,BID
31,1712452230.327047,3072404.69384089,61.0,0.0,61.26,BID
32,1712452260.4850285,3072404.69384089,61.0,0.0,61.26,BID
33,1712452283.8045108,3079131.37141863,61.1,2.7953622649098445e-06,61.26,BID
34,1712452290.4940588,3079131.37141863,61.1,0.0,61.26,BID
35,1712452291.374217,3080858.04899637,61.1,7.17421795112194e-07,61.26,BID
36,1712452291.3753588,3084131.37141863,61.1,1.360041317749872e-06,61.26,BID
37,1712452320.3144414,3084131.37141863,61.1,0.0,61.26,BID
38,1712452350.3344092,3084131.37141863,61.1,0.0,61.26,BID
