,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.1123312,56450899.29928959,127.9,0.0,132.2,BID
1,1712451676.0996475,56452832.24783937,127.7,-1.1303140736267192e-08,132.2,ASK
2,1712451676.100839,56476530.91247274,127.7,-1.3858068888768708e-07,132.2,ASK
3,1712451676.8393295,56476777.17386391,127.9,1.440042034552781e-09,132.2,BID
4,1712451676.849305,56481359.91247274,127.9,2.6798095303207084e-08,132.2,BID
5,1712451680.4794104,56482149.69543586,127.9,4.6183474383081125e-09,132.2,BID
6,1712451680.48017,56487811.91247274,127.9,3.3110470557804244e-08,132.2,BID
7,1712451681.0595603,56512694.65341729,127.9,1.45504712390161e-07,132.2,BID
8,1712451681.060901,56521039.5199786,127.9,4.8797574658005655e-08,132.2,BID
9,1712451682.8296251,56532643.17269769,127.7,-6.785370451469973e-08,132.2,ASK
10,1712451684.3693786,56539021.17269769,127.9,3.7296094417111696e-08,132.2,BID
11,1712451687.9696765,56545395.17269769,127.9,3.7272703953381924e-08,132.2,BID
12,1712451688.8693218,56546953.09599636,127.7,-9.110137102791664e-09,132.2,ASK
13,1712451689.2894275,56547151.35955235,127.8,-1.1593691288654126e-09,132.2,ASK
14,1712451689.8094149,56547596.36273181,127.8,-2.602207682158305e-09,132.2,ASK
15,1712451690.399325,56547596.36273181,127.8,-0.0,132.2,ASK
16,1712451691.199297,56558169.67079827,127.8,-6.181554399260665e-08,132.2,ASK
17,1712451692.3195744,56558270.02302192,127.8,-5.86696921793469e-10,132.2,ASK
18,1712451692.9091554,56561329.73044307,127.8,-1.7888202775085856e-08,132.2,ASK
19,1712451693.64931,56562887.65374175,127.8,-9.108206778922933e-09,132.2,ASK
20,1712451696.1200576,56562953.65374175,127.9,3.8586087512685804e-10,132.2,BID
21,1712451702.723662,56564309.77687436,127.9,7.928406950471132e-09,132.2,BID
22,1712451703.690158,56581791.32015513,127.8,-1.0220369074066954e-07,132.2,ASK
23,1712451703.6923563,56582694.5721113,127.8,-5.280751367707354e-09,132.2,ASK
24,1712451703.6934702,56587286.79411286,127.8,-2.6847860610587368e-08,132.2,ASK
25,1712451704.129841,56588551.78254796,127.9,7.395599160483306e-09,132.2,BID
26,1712451704.7510777,56589498.12901774,127.9,5.532698136415278e-09,132.2,BID
27,1712451705.8297222,56594867.12901774,127.9,3.1389197553880334e-08,132.2,BID
28,1712451710.6095042,56595023.50118349,127.9,9.142106169790071e-10,132.2,BID
29,1712451713.0393162,56596604.53675266,127.8,-9.243329823166238e-09,132.2,ASK
30,1712451713.8394914,56597720.68220446,127.9,6.525406981818761e-09,132.2,BID
31,1712451713.8502843,56650019.55850128,127.9,3.057589420612363e-07,132.2,BID
32,1712451713.8513937,56695505.46519949,127.9,2.659277540077381e-07,132.2,BID
33,1712451716.3596027,56695571.46519949,128.0,3.8586087512685804e-10,132.2,BID
34,1712451718.7993083,56695649.59019949,128.0,4.5674819498917854e-10,132.2,BID
35,1712451720.2698326,56695649.59019949,128.0,0.0,132.2,BID
36,1712451720.5500796,56714476.30835156,127.9,-1.1005590862018737e-07,132.2,ASK
37,1712451720.551178,56715649.59019949,127.9,-6.858688742173583e-09,132.2,ASK
38,1712451720.590847,56726768.4208499,127.9,-6.499768043161366e-08,132.2,ASK
39,1712451721.4995704,56729030.89739407,127.9,-1.322582671018026e-08,132.2,ASK
40,1712451721.5007477,56739874.91034356,127.9,-6.339117038908707e-08,132.2,ASK
41,1712451721.7398744,56739940.91034356,127.9,3.858181712957911e-10,132.2,BID
42,1712451722.3794315,56742832.91034356,127.9,1.6905850778597398e-08,132.2,BID
43,1712451724.1692495,56754586.57727084,127.9,6.870876181674408e-08,132.2,BID
44,1712451725.089375,56760114.97022838,127.9,3.23174918345755e-08,132.2,BID
45,1712451726.5893917,56760193.15631125,127.9,4.5705471990295644e-10,132.2,BID
46,1712451726.6097157,56764265.51525296,127.9,2.3805910299260435e-08,132.2,BID
47,1712451726.6243358,56770770.86858646,127.9,3.8028538284276295e-08,132.2,BID
