,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712451675.0454092,19557103.29414205,7.728,0.0,7.781,BID
1,1712451690.424591,19557103.29414205,7.728,0.0,7.781,BID
2,1712451697.6443107,19557879.79213609,7.727,-6.205430250837043e-07,7.781,ASK
3,1712451698.1045363,19565699.86731641,7.728,6.24945994195105e-06,7.781,BID
4,1712451698.1059024,19570819.75072822,7.727,4.091585509317707e-06,7.781,BID
5,1712451716.4542286,19571596.44975734,7.725,-6.20703683471477e-07,7.781,ASK
6,1712451720.2871225,19571596.44975734,7.725,-0.0,7.781,ASK
7,1712451732.7643404,19572475.74866997,7.724,-7.026341084819697e-07,7.781,ASK
8,1712451737.4576662,19706122.08320279,7.724,-0.0001067947108401,7.781,ASK
9,1712451748.0564468,19924052.41058475,7.724,-0.0001741447408746,7.781,ASK
10,1712451750.2943242,19924052.41058475,7.724,-0.0,7.781,ASK
11,1712451768.4942887,19924829.00908332,7.725,6.192207472399202e-07,7.781,BID
12,1712451780.4347012,19924829.00908332,7.725,0.0,7.781,BID
13,1712451798.7043746,19925605.70811244,7.725,6.192979428688568e-07,7.781,BID
14,1712451810.4369068,19925605.70811244,7.725,0.0,7.781,BID
15,1712451831.4444282,19954657.0996982,7.725,2.316390300467116e-05,7.781,BID
16,1712451840.3002777,19954657.0996982,7.725,0.0,7.781,BID
17,1712451870.297752,19954657.0996982,7.725,0.0,7.781,BID
18,1712451900.4443214,19954657.0996982,7.725,0.0,7.781,BID
19,1712451902.9553611,20053586.08934122,7.725,7.907178213615746e-05,7.781,BID
20,1712451902.956849,20056379.1617902,7.725,2.232441845137561e-06,7.781,BID
21,1712451924.6444216,20056379.16179021,7.725,8.932629675189712e-18,7.781,BID
22,1712451930.4257245,20056379.16179021,7.725,0.0,7.781,BID
23,1712451947.894446,20073087.34949246,7.725,-1.3346107389000255e-05,7.781,ASK
24,1712451947.896102,20073864.04852158,7.725,-6.20408917847083e-07,7.781,ASK
25,1712451960.274505,20073864.04852158,7.725,-0.0,7.781,ASK
26,1712451980.904842,20074640.34558458,7.725,6.20020941876812e-07,7.781,BID
27,1712451989.1943643,20074911.01926334,7.725,2.161844443891832e-07,7.781,BID
28,1712451989.196025,20075287.44858937,7.728,3.006504550898516e-07,7.781,BID
29,1712451989.774306,20076063.84610489,7.728,6.201011723311108e-07,7.781,BID
30,1712451990.284502,20076063.84610489,7.728,0.0,7.781,BID
31,1712452020.4443235,20076063.84610489,7.728,0.0,7.781,BID
32,1712452030.7487895,20132743.10335968,7.728,4.526855901346788e-05,7.781,BID
33,1712452030.750205,20134559.32529289,7.728,1.45057916682651e-06,7.781,BID
