,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.464667,1054779.067314,20090.0,0.0,20390.0,ASK
1,1712601600.5676253,1054779.067314,20090.0,-0.0,20390.0,ASK
2,1712601608.6098013,1054779.36582146,20100.0,1.3027097013802247e-11,20390.0,BID
3,1712601630.5697303,1054779.36582146,20100.0,0.0,20390.0,BID
4,1712601651.1697807,1054779.66432892,20090.0,-1.3027093602727484e-11,20390.0,ASK
5,1712601653.7598205,1054831.40872297,20100.0,2.258164887636497e-09,20390.0,BID
6,1712601659.3396184,1055031.18524088,20090.0,-8.718399865361124e-09,20390.0,ASK
7,1712601660.3404088,1055048.24850061,20110.0,7.446536904838641e-10,20390.0,BID
8,1712601660.3419178,1055060.95155674,20110.0,5.543710743031087e-10,20390.0,BID
9,1712601660.8699412,1055060.95155674,20110.0,0.0,20390.0,BID
10,1712601666.6897397,1055063.09469937,20110.0,9.350529270082715e-11,20390.0,BID
11,1712601669.3201764,1055065.03391853,20130.0,-8.46081136361307e-11,20390.0,ASK
12,1712601675.4496577,1055065.33183312,20140.0,1.2998010747532464e-11,20390.0,BID
13,1712601690.8796816,1055065.33183312,20140.0,0.0,20390.0,BID
14,1712601720.2220745,1055065.62974771,20100.0,-1.2997960766048891e-11,20390.0,ASK
15,1712601720.5489051,1055065.62974771,20100.0,-0.0,20390.0,ASK
16,1712601745.1690538,1055065.9278103,20130.0,1.3004414580677093e-11,20390.0,BID
17,1712601750.5488486,1055065.9278103,20130.0,0.0,20390.0,BID
18,1712601778.6700025,1055071.76209359,20130.0,2.545486128863982e-10,20390.0,BID
19,1712601780.0698082,1055078.49025066,20130.0,2.935481470924768e-10,20390.0,BID
20,1712601780.86881,1055078.49025066,20130.0,0.0,20390.0,BID
21,1712601786.6092167,1055078.78831325,20110.0,-1.300426769786966e-11,20390.0,ASK
22,1712601807.8789928,1055084.25153236,20130.0,2.383565270947429e-10,20390.0,BID
23,1712601810.6108372,1055168.68527848,20130.0,3.683786809538766e-09,20390.0,BID
24,1712601810.8933249,1055168.68527848,20130.0,0.0,20390.0,BID
25,1712601810.9703116,1055168.98304522,20150.0,1.2990330945252239e-11,20390.0,BID
26,1712601826.2090776,1055178.91349976,20120.0,-4.3322464733978494e-10,20390.0,ASK
27,1712601840.5387335,1055178.91349976,20120.0,-0.0,20390.0,ASK
28,1712601856.1686015,1055179.2112665,20120.0,-1.2990214316054462e-11,20390.0,ASK
29,1712601870.5684023,1055179.2112665,20120.0,-0.0,20390.0,ASK
30,1712601879.4089625,1055179.50903324,20150.0,1.2990210920892509e-11,20390.0,BID
31,1712601900.6027951,1055179.50903324,20150.0,0.0,20390.0,BID
32,1712601922.0483444,1055179.80679998,20120.0,-1.2994863954784456e-11,20390.0,ASK
33,1712601922.1487715,1055180.10456694,20120.0,-1.2994873546751624e-11,20390.0,ASK
34,1712601922.1505644,1055240.44695394,20120.0,-2.6334073081526486e-09,20390.0,ASK
35,1712601930.5683148,1055240.44695394,20120.0,-0.0,20390.0,ASK
36,1712601940.8588002,1055332.02035294,20110.0,-3.996148770473178e-09,20390.0,ASK
37,1712601940.8786013,1055365.25153325,20110.0,-1.450167207805577e-09,20390.0,ASK
38,1712601940.978837,1055365.54959584,20130.0,1.3007079188518959e-11,20390.0,BID
39,1712601960.8582978,1055365.54959584,20130.0,0.0,20390.0,BID
40,1712601969.9602995,1055370.52471984,20100.0,-2.1708436505153518e-10,20390.0,ASK
41,1712601982.6092682,1055370.82278206,20080.0,-1.3005635190701331e-11,20390.0,ASK
42,1712601982.6116817,1055370.82278243,20100.0,-1.6153323813648078e-17,20390.0,ASK
43,1712601983.3483758,1055371.4518227,20110.0,2.744751841002265e-11,20390.0,BID
44,1712601990.8783813,1055371.4518227,20110.0,0.0,20390.0,BID
45,1712602005.87851,1055371.75003343,20120.0,1.3012047917226503e-11,20390.0,BID
46,1712602020.6459916,1055371.75003343,20120.0,0.0,20390.0,BID
47,1712602040.6588342,1055570.65515846,20080.0,-8.678971208074499e-09,20390.0,ASK
48,1712602040.6607828,1055646.87835069,20080.0,-3.325901686310413e-09,20390.0,ASK
49,1712602047.1182563,1055648.869391,20090.0,8.68765021568313e-11,20390.0,BID
50,1712602050.5443802,1055648.869391,20090.0,0.0,20390.0,BID
51,1712602052.6182346,1055660.82010117,20090.0,5.213274020212777e-10,20390.0,BID
52,1712602052.8779292,1055661.1183119,20050.0,-1.3008885901401017e-11,20390.0,ASK
53,1712602060.45177,1055710.60951699,20050.0,-2.1589613508307683e-09,20390.0,ASK
54,1712602071.3983178,1055712.58078662,20060.0,-8.599295442044998e-11,20390.0,ASK
55,1712602074.0879772,1055712.87944266,20090.0,1.3028311719269124e-11,20390.0,BID
56,1712602080.8676996,1055712.87944266,20090.0,0.0,20390.0,BID
57,1712602095.9079642,1055717.85951241,20070.0,-2.1723407099924557e-10,20390.0,ASK
58,1712602096.4777904,1055731.54208115,20080.0,5.968430681408961e-10,20390.0,BID
59,1712602102.9314876,1055731.98669162,20050.0,-1.939421479020171e-11,20390.0,ASK
60,1712602102.9335394,1055732.04133227,20050.0,-2.3834627723013334e-12,20390.0,ASK
61,1712602103.4879258,1055736.69953716,20050.0,-2.0319410422413543e-10,20390.0,ASK
62,1712602103.916722,1055739.17723785,20050.0,-1.0807900985036608e-10,20390.0,ASK
63,1712602110.877699,1055739.17723785,20050.0,-0.0,20390.0,ASK
64,1712602122.24781,1055739.47589389,20050.0,-1.3027282161396776e-11,20390.0,ASK
65,1712602140.5475392,1055739.47589389,20050.0,-0.0,20390.0,ASK
66,1712602145.728414,1055739.77469867,20080.0,1.3033766744423596e-11,20390.0,BID
67,1712602166.4081209,1055748.69469867,20080.0,3.8908748166024407e-10,20390.0,BID
68,1712602170.5575504,1055748.69469867,20080.0,0.0,20390.0,BID
69,1712602188.1274755,1055748.99350345,20060.0,-1.303366150288992e-11,20390.0,ASK
70,1712602200.627616,1055748.99350345,20060.0,-0.0,20390.0,ASK
71,1712602205.598313,1055780.30611317,20090.0,1.366155065724531e-09,20390.0,BID
72,1712602205.6003914,1055781.89350345,20090.0,6.925712330667424e-11,20390.0,BID
73,1712602209.6277246,1055782.39200793,20060.0,-2.1749526039676303e-11,20390.0,ASK
74,1712602209.6294546,1055882.19224445,20060.0,-4.354239391142124e-09,20390.0,ASK
75,1712602211.8175874,1055882.49104923,20080.0,1.3036718035100866e-11,20390.0,BID
76,1712602224.2377267,1055907.39144763,20080.0,1.086393172486853e-09,20390.0,BID
77,1712602230.571934,1055907.39144763,20080.0,0.0,20390.0,BID
78,1712602231.087517,1055908.41754324,20080.0,4.4761881221419257e-11,20390.0,BID
79,1712602236.147425,1055922.16420717,20070.0,5.99677585701413e-10,20390.0,BID
80,1712602253.6975749,1055922.16420734,20060.0,-7.41452783384705e-18,20390.0,ASK
81,1712602257.507651,1055922.46301212,20050.0,-1.3034910141022896e-11,20390.0,ASK
82,1712602260.597906,1055922.46301212,20050.0,-0.0,20390.0,ASK
83,1712602277.7471485,1055922.7618169,20080.0,1.3034738138557296e-11,20390.0,BID
84,1712602281.4780087,1056039.72839016,20050.0,-5.102423908329464e-09,20390.0,ASK
85,1712602281.480387,1056044.90991412,20050.0,-2.2603322469521803e-10,20390.0,ASK
86,1712602281.4823296,1056046.66141513,20040.0,-7.640559502411793e-11,20390.0,ASK
87,1712602281.5572102,1056057.72417443,20040.0,4.825899055698981e-10,20390.0,BID
88,1712602281.6800654,1056068.22417443,20080.0,4.58040699528376e-10,20390.0,BID
89,1712602281.7372086,1056079.32417443,20080.0,4.84214453791203e-10,20390.0,BID
90,1712602290.5888937,1056079.32417443,20080.0,0.0,20390.0,BID
91,1712602320.8472493,1056079.32417443,20080.0,0.0,20390.0,BID
92,1712602322.8572965,1056079.62297921,20050.0,-1.3032949756457052e-11,20390.0,ASK
93,1712602350.8969927,1056079.62297921,20050.0,-0.0,20390.0,ASK
94,1712602351.0272417,1056079.92163525,20090.0,1.3026458773474304e-11,20390.0,BID
95,1712602371.6972332,1056179.47365117,20090.0,4.3421530357975364e-09,20390.0,BID
96,1712602380.5373476,1056179.47365117,20090.0,0.0,20390.0,BID
97,1712602386.2572565,1056204.36165515,20090.0,1.085443287487927e-09,20390.0,BID
98,1712602393.137573,1056204.66031119,20060.0,-1.3025319105781112e-11,20390.0,ASK
99,1712602410.536965,1056204.66031119,20060.0,-0.0,20390.0,ASK
100,1712602416.077173,1056204.95896723,20090.0,1.3025031681574236e-11,20390.0,BID
101,1712602440.8467784,1056204.95896723,20090.0,0.0,20390.0,BID
102,1712602463.4467013,1056205.25762327,20060.0,-1.3025028263123251e-11,20390.0,ASK
103,1712602470.8767817,1056205.25762327,20060.0,-0.0,20390.0,ASK
104,1712602485.1570458,1056207.26760643,20060.0,-8.765963895850684e-11,20390.0,ASK
105,1712602485.158777,1056209.16157114,20060.0,-8.259982768638424e-11,20390.0,ASK
106,1712602500.5768278,1056209.16157114,20060.0,-0.0,20390.0,ASK
107,1712602508.487692,1056212.17042014,20060.0,-1.3123143825353488e-10,20390.0,ASK
108,1712602523.9868536,1056212.46922492,20080.0,1.3032419053125124e-11,20390.0,BID
109,1712602530.5709078,1056212.46922492,20080.0,0.0,20390.0,BID
110,1712602545.158176,1056232.37561708,20060.0,-8.682180172184201e-10,20390.0,ASK
111,1712602545.161059,1056431.81831326,20060.0,-8.698700439315565e-09,20390.0,ASK
112,1712602547.497666,1056445.62225495,20070.0,6.02059418278764e-10,20390.0,BID
113,1712602560.8709352,1056445.62225495,20070.0,0.0,20390.0,BID
114,1712602566.351257,1056445.92105973,20050.0,-1.3029723327140794e-11,20390.0,ASK
115,1712602587.3489,1056446.22001339,20070.0,1.3036215412123206e-11,20390.0,BID
116,1712602590.871462,1056446.22001339,20070.0,0.0,20390.0,BID
117,1712602599.819717,1056454.07470166,20070.0,3.4251246403836403e-10,20390.0,BID
118,1712602599.8223543,1056525.82052145,20070.0,3.128556688171405e-09,20390.0,BID
119,1712602617.7694638,1056554.07637858,20090.0,1.2321282419406294e-09,20390.0,BID
120,1712602620.5999093,1056554.07637858,20090.0,0.0,20390.0,BID
121,1712602636.100235,1056554.37533224,20050.0,-1.3034977861595316e-11,20390.0,ASK
122,1712602650.561478,1056554.37533224,20050.0,-0.0,20390.0,ASK
123,1712602658.8705025,1056554.67398828,20090.0,1.302199762220526e-11,20390.0,BID
124,1712602680.8709636,1056554.67398828,20090.0,0.0,20390.0,BID
125,1712602704.041911,1056554.97264432,20050.0,-1.3021994225648066e-11,20390.0,ASK
126,1712602710.8619072,1056554.97264432,20050.0,-0.0,20390.0,ASK
127,1712602716.2322626,1056559.95024512,20090.0,2.1703318617130447e-10,20390.0,BID
128,1712602726.5321364,1056564.92784591,20090.0,2.1703318572462203e-10,20390.0,BID
129,1712602740.55242,1056564.92784591,20090.0,0.0,20390.0,BID
130,1712602770.572684,1056564.92784591,20090.0,0.0,20390.0,BID
131,1712602789.9530823,1056565.22650195,20090.0,1.3021877269830916e-11,20390.0,BID
132,1712602800.6899843,1056565.22650195,20090.0,0.0,20390.0,BID
133,1712602805.6635778,1056565.72426202,20090.0,2.171154471911643e-11,20390.0,BID
134,1712602811.4635324,1056566.07269407,20090.0,1.51980813399421e-11,20390.0,BID
135,1712602830.583895,1056566.07269407,20090.0,0.0,20390.0,BID
136,1712602836.0241723,1056566.37135011,20060.0,-1.3026917088546487e-11,20390.0,ASK
137,1712602854.1341443,1056571.59061342,20090.0,2.2765623751306776e-10,20390.0,BID
138,1712602857.8146088,1056571.88926946,20090.0,1.3026917088546487e-11,20390.0,BID
139,1712602860.87406,1056571.88926946,20090.0,0.0,20390.0,BID
140,1712602887.1247497,1056574.33066206,20060.0,-1.0648924722463864e-10,20390.0,ASK
141,1712602887.2048354,1056580.16834502,20060.0,2.546294536623142e-10,20390.0,BID
142,1712602887.302678,1056594.03647436,20060.0,6.049033874305243e-10,20390.0,BID
143,1712602887.3651736,1056608.53006845,20060.0,6.321850587151258e-10,20390.0,BID
144,1712602887.4675176,1056619.4006411,20060.0,4.741552417161762e-10,20390.0,BID
145,1712602887.4845016,1056649.1929931,20060.0,1.299489945796338e-09,20390.0,BID
146,1712602890.8648963,1056649.1929931,20060.0,0.0,20390.0,BID
147,1712602891.094966,1056654.87615805,20060.0,2.478728841332457e-10,20390.0,BID
148,1712602892.7188735,1056904.25271665,20060.0,1.08766307786761e-08,20390.0,BID
149,1712602892.7906573,1056959.83600523,20060.0,2.424281218502212e-09,20390.0,BID
150,1712602902.3153934,1057024.42827841,20060.0,-2.817210689247941e-09,20390.0,ASK
151,1712602902.3180718,1057324.7285787,20060.0,-1.3097684510987686e-08,20390.0,ASK
152,1712602902.4147968,1057659.59370734,20060.0,1.4605239503341912e-08,20390.0,BID
153,1712602907.0348892,1057659.89236338,20050.0,-1.3025969616943435e-11,20390.0,ASK
154,1712602908.5851347,1057660.37592282,20050.0,-2.109058493423464e-11,20390.0,ASK
155,1712602920.555122,1057660.37592282,20050.0,-0.0,20390.0,ASK
156,1712602928.9667394,1057683.63494872,20050.0,-1.013552449819625e-09,20390.0,ASK
157,1712602928.9696436,1057749.55842521,20050.0,-2.872729983814013e-09,20390.0,ASK
158,1712602928.972432,1057766.80630485,20050.0,-7.516063113949008e-10,20390.0,ASK
159,1712602928.9751484,1058113.38437116,20040.0,-1.5102741175567133e-08,20390.0,ASK
160,1712602930.8457675,1058113.6830272,20090.0,1.3014455642612244e-11,20390.0,BID
161,1712602950.5954263,1058113.6830272,20090.0,0.0,20390.0,BID
162,1712602964.0231314,1058115.17630743,20090.0,6.504652697774533e-11,20390.0,BID
163,1712602979.1162422,1058164.95231539,20070.0,-2.16821757857528e-09,20390.0,ASK
164,1712602979.496246,1058165.25097143,20070.0,-1.3009305127800678e-11,20390.0,ASK
165,1712602980.87608,1058165.25097143,20070.0,-0.0,20390.0,ASK
166,1712603002.2163985,1058165.54962747,20090.0,1.3008718652763172e-11,20390.0,BID
167,1712603010.876215,1058165.54962747,20090.0,0.0,20390.0,BID
168,1712603019.267412,1058170.13678343,20090.0,1.9980511923132288e-10,20390.0,BID
169,1712603019.270398,1058265.20084819,20090.0,4.140754524259128e-09,20390.0,BID
170,1712603040.5651834,1058265.20084819,20090.0,0.0,20390.0,BID
171,1712603046.5168626,1058265.49950423,20060.0,-1.3007580957821324e-11,20390.0,ASK
172,1712603061.4971025,1058267.83763961,20060.0,-1.0183448913221815e-10,20390.0,ASK
173,1712603061.5096505,1058296.30966119,20040.0,-1.2400624005260047e-09,20390.0,ASK
174,1712603068.8071113,1058311.71473967,20050.0,-6.709484448291116e-10,20390.0,ASK
175,1712603070.6809845,1058311.71473967,20050.0,-0.0,20390.0,ASK
176,1712603100.8572147,1058311.71473967,20050.0,-0.0,20390.0,ASK
177,1712603106.1176028,1058312.01339571,20090.0,1.3010834462889696e-11,20390.0,BID
178,1712603124.9779484,1058319.71593495,20050.0,-3.3555813248872504e-10,20390.0,ASK
179,1712603130.8675675,1058319.71593495,20050.0,-0.0,20390.0,ASK
180,1712603134.5982776,1058568.73240802,20050.0,-1.0848230179413825e-08,20390.0,ASK
181,1712603134.6014752,1058947.41042527,20050.0,-1.6496845547472075e-08,20390.0,ASK
182,1712603151.5887015,1058947.70908131,20050.0,-1.3010743536675896e-11,20390.0,ASK
183,1712603160.5685344,1058947.70908131,20050.0,-0.0,20390.0,ASK
