,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.425308,8212268.96234227,2218.0,0.0,2228.0,ASK
1,1712601594.1595092,8212515.48520731,2221.0,1.2236934020448076e-08,2228.0,BID
2,1712601594.16072,8212548.10077851,2221.0,1.618975962929339e-09,2228.0,BID
3,1712601594.6765838,8214000.0917479,2221.0,7.20741164833069e-08,2228.0,BID
4,1712601600.5864108,8214000.0917479,2221.0,0.0,2228.0,BID
5,1712601606.6263688,8214002.79323371,2221.0,1.3408452005861029e-10,2228.0,BID
6,1712601630.5864694,8214002.79323371,2221.0,0.0,2228.0,BID
7,1712601633.2162385,8215308.49323371,2221.0,6.480659828123355e-08,2228.0,BID
8,1712601637.4065142,8215688.03311696,2221.0,1.8837932714656568e-08,2228.0,BID
9,1712601649.83722,8216588.12312596,2222.0,4.4674712131621385e-08,2228.0,BID
10,1712601652.3567724,8216590.82461177,2221.0,-1.3408448008179668e-10,2228.0,ASK
11,1712601660.916276,8216590.82461177,2221.0,-0.0,2228.0,ASK
12,1712601666.165861,8216593.52488179,2222.0,1.3398590459432915e-10,2228.0,BID
13,1712601671.8567088,8216628.02057294,2222.0,1.7116571114551021e-09,2228.0,BID
14,1712601671.8582995,8216766.60131496,2222.0,6.876299754701407e-09,2228.0,BID
15,1712601690.965407,8216766.60131496,2222.0,0.0,2228.0,BID
16,1712601713.9362192,8216783.03216845,2223.0,8.15274060301315e-10,2228.0,BID
17,1712601713.937831,8216790.62209768,2223.0,3.76600791006076e-10,2228.0,BID
18,1712601720.575934,8216790.62209768,2223.0,0.0,2228.0,BID
19,1712601721.2459407,8216793.3223677,2222.0,-1.3398295293769862e-10,2228.0,ASK
20,1712601736.3658342,8216796.02142303,2223.0,1.3392268204071212e-10,2228.0,BID
21,1712601750.5780833,8216796.02142303,2223.0,0.0,2228.0,BID
22,1712601755.6130245,8216799.51984859,2223.0,1.73586013509898e-10,2228.0,BID
23,1712601755.6147203,8216810.71072688,2223.0,5.552726266819435e-10,2228.0,BID
24,1712601755.6164165,8216909.76575901,2223.0,4.914944694505603e-09,2228.0,BID
25,1712601755.6180463,8216930.00564545,2224.0,1.0042692464774688e-09,2228.0,BID
26,1712601755.6193075,8216974.98990097,2223.0,2.232043372737572e-09,2228.0,BID
27,1712601755.6200354,8217268.99400407,2224.0,1.4587990893714533e-08,2228.0,BID
28,1712601755.6207669,8217272.48928497,2225.0,1.7342998074897488e-10,2228.0,BID
29,1712601755.621502,8217277.00599897,2226.0,2.2411177942372367e-10,2228.0,BID
30,1712601755.622245,8217325.9571652,2225.0,2.428874834311203e-09,2228.0,BID
31,1712601755.6230128,8217460.60707544,2228.0,6.6811028951719115e-09,2228.0,BID
32,1712601755.6237698,8217565.1095518,2227.0,5.185237748201143e-09,2228.0,BID
33,1712601755.6245472,8217649.19857618,2228.0,4.172356470472966e-09,2228.0,BID
34,1712601755.625307,8217694.12220601,2226.0,2.229035227596609e-09,2228.0,BID
35,1712601755.6260672,8217739.02566358,2227.0,2.2280343138721662e-09,2228.0,BID
36,1712601755.6268473,8217783.98969236,2224.0,2.231039755827835e-09,2228.0,BID
37,1712601755.6276248,8218097.88163139,2228.0,1.5574791983852384e-08,2228.0,BID
38,1712601755.6283922,8218129.57410295,2224.0,1.5725273274868978e-09,2228.0,BID
39,1712601755.629164,8218146.52206169,2229.0,8.409293106854042e-10,2229.0,BID
40,1712601755.6299386,8219747.9235349,2229.0,7.94588574174804e-08,2229.0,BID
41,1712601755.630745,8220695.16790177,2228.0,4.70006780596838e-08,2229.0,BID
42,1712601755.6315482,8220713.6622838,2225.0,9.17660242782581e-10,2229.0,BID
43,1712601755.632332,8220803.50954346,2226.0,4.458070455239428e-09,2229.0,BID
44,1712601755.633123,8220836.4113501,2225.0,1.6325325075287875e-09,2229.0,BID
45,1712601755.6339138,8220894.85544125,2229.0,2.899897860242081e-09,2229.0,BID
46,1712601755.6347122,8221841.2261193,2227.0,4.695732708460193e-08,2229.0,BID
47,1712601755.6355262,8222360.7068332,2229.0,2.5775762460181865e-08,2229.0,BID
48,1712601755.6363282,8223405.59013662,2228.0,5.184535846465234e-08,2229.0,BID
49,1712601755.6371348,8223450.45330396,2229.0,2.2260351801815987e-09,2229.0,BID
50,1712601755.637947,8223553.64170455,2228.0,5.120035510627645e-09,2229.0,BID
51,1712601755.6389344,8223825.68923818,2229.0,1.3498542712204273e-08,2229.0,BID
52,1712601756.005764,8223830.00741999,2223.0,-2.142609448543124e-10,2229.0,ASK
53,1712601761.956026,8223832.35293194,2224.0,1.1638037225127516e-10,2229.0,BID
54,1712601767.6176584,8223896.98593194,2225.0,-3.206981145832952e-09,2229.0,ASK
55,1712601771.3156462,8224058.39693194,2225.0,-8.008943321910111e-09,2229.0,ASK
56,1712601777.85612,8224058.41405553,2225.0,-8.49643850593086e-13,2229.0,ASK
57,1712601777.8579657,8224146.07473435,2225.0,-4.3495759782806605e-09,2229.0,ASK
58,1712601778.6757631,8224210.68573435,2225.0,-3.2058895427072182e-09,2229.0,ASK
59,1712601779.0982308,8224333.24446655,2225.0,-6.0811589036346765e-09,2229.0,ASK
60,1712601779.1059628,8224336.79876655,2225.0,-1.763584095808337e-10,2229.0,ASK
61,1712601779.1858082,8224623.34947028,2225.0,-1.4218165707661165e-08,2229.0,ASK
62,1712601779.2257612,8224801.27978302,2225.0,-8.828603936456245e-09,2229.0,ASK
63,1712601779.2860234,8225015.0662773,2225.0,-1.060772757548516e-08,2229.0,ASK
64,1712601779.327714,8225227.78543171,2225.0,-1.0554767959813005e-08,2229.0,ASK
65,1712601779.425743,8225342.45472334,2225.0,-5.689698083989765e-09,2229.0,ASK
66,1712601779.4276583,8225476.55318015,2225.0,-6.653740700109578e-09,2229.0,ASK
67,1712601780.9159582,8225476.55318015,2225.0,-0.0,2229.0,ASK
68,1712601780.9678583,8225582.15918015,2225.0,-5.234970795962922e-09,2229.0,ASK
69,1712601781.8158157,8225856.16686451,2225.0,-1.3582772053502686e-08,2229.0,ASK
70,1712601781.817794,8225858.50394316,2225.0,-1.1585078956755223e-10,2229.0,ASK
71,1712601787.6157684,8225861.20299849,2224.0,-1.3379425249147356e-10,2229.0,ASK
72,1712601810.935688,8225861.20299849,2224.0,-0.0,2229.0,ASK
73,1712601824.1158109,8225915.06296258,2228.0,2.669766658009338e-09,2229.0,BID
74,1712601831.8260808,8226217.55586202,2224.0,-1.4994169989950142e-08,2229.0,ASK
75,1712601831.8853226,8226448.56324231,2224.0,-1.1450728051502886e-08,2229.0,ASK
76,1712601839.015489,8226451.25624051,2228.0,1.3348833271119282e-10,2229.0,BID
77,1712601840.5662446,8226451.25624051,2228.0,0.0,2229.0,BID
78,1712601855.6154969,8227172.64879681,2228.0,3.5756141584613896e-08,2229.0,BID
79,1712601870.5952091,8227172.64879681,2228.0,0.0,2229.0,BID
80,1712601885.075367,8227175.34179501,2224.0,-1.3346901583160966e-10,2229.0,ASK
81,1712601900.6253724,8227175.34179501,2224.0,-0.0,2229.0,ASK
82,1712601906.965042,8227275.34179501,2228.0,4.956440652252023e-09,2229.0,BID
83,1712601910.0558631,8227296.17831782,2228.0,1.0327498870785911e-09,2229.0,BID
84,1712601910.0579486,8227578.41968688,2228.0,1.3989125953574433e-08,2229.0,BID
85,1712601910.156067,8227766.19049034,2228.0,-9.306748435747725e-09,2229.0,ASK
86,1712601910.2554302,8227990.30707534,2229.0,1.1108205527399685e-08,2229.0,BID
87,1712601910.485276,8228214.42590134,2229.0,1.1108316601214964e-08,2229.0,BID
88,1712601910.6060612,8228242.35490134,2228.0,-1.3842843097445719e-09,2229.0,ASK
89,1712601922.045197,8228242.35507021,2228.0,-8.369951400796823e-15,2229.0,ASK
90,1712601930.6058004,8228242.35507021,2228.0,-0.0,2229.0,ASK
91,1712601937.4158728,8228244.73825021,2227.0,1.1810698319173128e-10,2229.0,BID
92,1712601937.4178095,8228386.7895512,2228.0,7.039858768210978e-09,2229.0,BID
93,1712601937.4194088,8228700.67797339,2227.0,1.5555860071556297e-08,2229.0,BID
94,1712601960.9097614,8228700.67797339,2227.0,0.0,2229.0,BID
95,1712601966.1956117,8228938.56797339,2227.0,1.1788890844938682e-08,2229.0,BID
96,1712601966.198126,8229489.92562963,2227.0,2.7323112471784363e-08,2229.0,BID
97,1712601975.5685005,8229492.61983708,2227.0,1.3351430302245314e-10,2229.0,BID
98,1712601990.5148587,8229542.39083708,2224.0,-2.4664546060727027e-09,2229.0,ASK
99,1712601990.9246404,8229542.39083708,2224.0,-0.0,2229.0,ASK
100,1712602013.3850722,8229742.20083708,2225.0,9.90087647858998e-09,2229.0,BID
101,1712602013.3869965,8229766.50518108,2226.0,1.2043156390082043e-09,2229.0,BID
102,1712602020.6387696,8229766.50518108,2226.0,0.0,2229.0,BID
103,1712602021.7551432,8229767.34973597,2224.0,-4.184789063001557e-11,2229.0,ASK
104,1712602021.7572672,8229769.19938853,2223.0,-9.165071326169404e-11,2229.0,ASK
105,1712602025.1054342,8230217.22756764,2223.0,-2.2199900162479857e-08,2229.0,ASK
106,1712602025.1074572,8230260.36217059,2223.0,-2.1373295781068155e-09,2229.0,ASK
107,1712602025.109787,8230295.31088853,2223.0,-1.731717077725926e-09,2229.0,ASK
108,1712602026.8448863,8230308.35495327,2224.0,6.4633643252213e-10,2229.0,BID
109,1712602027.3549757,8230373.00695327,2223.0,-3.2035215913217006e-09,2229.0,ASK
110,1712602031.0852923,8230508.01555327,2223.0,-6.6897074354020324e-09,2229.0,ASK
111,1712602033.5151596,8230722.85655327,2223.0,-1.0645421366758213e-08,2229.0,ASK
112,1712602038.1644528,8230817.47217726,2223.0,-4.688226107926432e-09,2229.0,ASK
113,1712602039.0747974,8230944.87607726,2223.0,-6.312892787089392e-09,2229.0,ASK
114,1712602039.89469,8230947.57391898,2224.0,1.3367868278067096e-10,2229.0,BID
