,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.5080416,827865928.0044891,290.2,0.0,295.9,ASK
1,1712601588.6965876,827898585.0849819,290.2,-1.2131045756640705e-07,295.9,ASK
2,1712601590.2067366,827898605.7461389,290.1,-7.674949423368747e-11,295.9,ASK
3,1712601600.4564807,827898605.7461389,290.1,-0.0,295.9,ASK
4,1712601601.3164294,827901787.594139,290.1,-1.1831414257473073e-08,295.9,ASK
5,1712601601.7569766,827904545.263908,290.1,-1.0254145836764245e-08,295.9,ASK
6,1712601601.7585266,827905028.7575309,290.1,-1.797827345390489e-09,295.9,ASK
7,1712601601.7601104,827905373.4662521,290.1,-1.2817682297063478e-09,295.9,ASK
8,1712601601.7616274,827924071.7489827,290.1,-6.952787464561205e-08,295.9,ASK
9,1712601602.3382325,827924092.4101397,290.4,7.682664528402623e-11,295.9,BID
10,1712601614.1063805,827924952.431231,290.4,3.197910711533792e-09,295.9,BID
11,1712601617.826293,827925054.4505148,290.4,3.7934948763507247e-10,295.9,BID
12,1712601619.8463402,827948270.4649498,290.4,8.632665173958787e-08,295.9,BID
13,1712601619.8560896,827953577.8561622,290.4,1.97350546156628e-08,295.9,BID
14,1712601620.1562576,827958933.2441251,290.4,1.991352619547168e-08,295.9,BID
15,1712601622.4662611,827963098.2441251,290.6,1.5487176125826034e-08,295.9,BID
16,1712601623.6464334,827963118.9052821,290.3,-7.682664528402623e-11,295.9,ASK
17,1712601628.486586,827970761.3657088,290.6,2.8417798478457544e-08,295.9,BID
18,1712601630.466199,827970761.3657088,290.6,0.0,295.9,BID
19,1712601634.606449,827977103.7252162,290.6,2.3581653780718977e-08,295.9,BID
20,1712601634.6161008,827978396.1902099,290.6,4.805539952490134e-09,295.9,BID
21,1712601636.6779196,827978416.8371472,290.6,7.676779093592726e-11,295.9,BID
22,1712601638.628386,827978932.9300904,290.5,1.918895497955317e-09,295.9,BID
23,1712601655.9864545,827978953.5770278,290.4,-7.676779093592726e-11,295.9,ASK
24,1712601660.7162375,827978953.5770278,290.4,-0.0,295.9,ASK
25,1712601665.5464609,827982395.382296,290.4,-1.2796931760218831e-08,295.9,ASK
26,1712601665.5479088,828011558.339149,290.4,-1.0843041360473418e-07,295.9,ASK
27,1712601665.8861327,828011579.000306,290.4,7.681998130889272e-11,295.9,BID
28,1712601666.366053,828011599.0347413,290.4,7.448977529443765e-11,295.9,BID
29,1712601666.8866787,828021614.3324022,290.4,3.723774901234284e-08,295.9,BID
30,1712601670.166081,828031089.3324022,290.5,3.522887525028308e-08,295.9,BID
31,1712601671.9360912,828031614.3324022,290.5,1.9519957262689833e-09,295.9,BID
32,1712601672.756352,828035584.3825011,290.5,-1.4760992049750093e-08,295.9,ASK
33,1712601674.7061558,828039411.4012535,290.5,-1.4229189045546874e-08,295.9,ASK
34,1712601687.9261324,828040049.2756081,290.5,-2.371672407766772e-09,295.9,ASK
35,1712601689.6862214,828040069.9367651,290.4,-7.681998130889272e-11,295.9,ASK
36,1712601690.716143,828040069.9367651,290.4,-0.0,295.9,ASK
37,1712601700.9361336,828043727.6690431,290.6,1.3598869716100816e-08,295.9,BID
38,1712601703.4661431,828043748.3159804,290.6,7.676204544132072e-11,295.9,BID
39,1712601715.0466032,828044092.5500597,290.5,1.2798078261823243e-09,295.9,BID
40,1712601715.048481,828047872.511522,290.6,1.4053298478975316e-08,295.9,BID
