,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.5001552,46755044.76115025,155.9,0.0,157.5,BID
1,1712601592.8403735,46755936.20449858,155.9,1.1742231911701293e-07,157.5,BID
2,1712601592.842064,46763317.93704411,155.9,9.723334143641368e-07,157.5,BID
3,1712601592.9430833,46777953.32611011,155.9,-1.9277964533843367e-06,157.5,ASK
4,1712601592.9443448,46777953.32611087,155.9,-1.0010302316761602e-16,157.5,ASK
5,1712601600.3015037,46777953.32611087,155.9,-0.0,157.5,ASK
6,1712601608.8797896,46777991.81231997,155.6,-5.067340875522163e-09,157.5,ASK
7,1712601630.3013709,46777991.81231997,155.6,-0.0,157.5,ASK
8,1712601638.4602685,46778030.29852907,155.9,5.067336880037297e-09,157.5,BID
9,1712601660.471423,46778030.29852907,155.9,0.0,157.5,BID
10,1712601673.760608,46778068.78473817,155.8,-5.067332875874384e-09,157.5,ASK
11,1712601690.4593663,46778068.78473817,155.8,-0.0,157.5,ASK
12,1712601697.1496327,46778134.98874075,156.0,8.7168225146751e-09,157.5,BID
13,1712601697.1508791,46787017.69874767,156.0,1.1695517424994092e-06,157.5,BID
14,1712601705.0995474,46787056.16028613,156.0,5.0640805886730155e-09,157.5,BID
15,1712601720.3006036,46787056.16028613,156.0,0.0,157.5,BID
16,1712601735.6992047,46787809.99245703,156.0,9.92358195502237e-08,157.5,BID
17,1712601744.1398003,46787848.45399549,155.9,-5.063145932477084e-09,157.5,ASK
18,1712601750.2914844,46787848.45399549,155.9,-0.0,157.5,ASK
19,1712601775.7893643,46787886.91553395,156.0,5.063063556743977e-09,157.5,BID
20,1712601780.4594345,46787886.91553395,156.0,0.0,157.5,BID
21,1712601787.169387,46807735.60425439,156.0,2.612872421347875e-06,157.5,BID
22,1712601787.1710763,46841528.07272094,156.0,4.448425291420554e-06,157.5,BID
23,1712601787.1726863,46845973.31914759,156.0,5.851702325468729e-07,157.5,BID
24,1712601802.9596198,46846037.17610799,156.1,8.406101435352702e-09,157.5,BID
25,1712601802.961856,46846101.56760799,156.1,8.476467987303664e-09,157.5,BID
26,1712601810.4897532,46846101.56760799,156.1,0.0,157.5,BID
27,1712601810.6541855,46846165.58809455,156.2,8.417564877338813e-09,157.5,BID
28,1712601814.748807,46846204.04963301,156.1,-5.057013976586994e-09,157.5,ASK
29,1712601840.2904131,46846204.04963301,156.1,-0.0,157.5,ASK
30,1712601843.4029682,46846207.33454645,156.2,4.31907273190366e-10,157.5,BID
31,1712601843.4089627,46846242.43945061,156.3,4.615666052899691e-09,157.5,BID
32,1712601843.8290076,46846304.65538872,156.3,8.180281370156528e-09,157.5,BID
33,1712601843.830682,46846356.13106929,156.3,6.7681298961039345e-09,157.5,BID
34,1712601843.934794,46847955.61923308,156.1,-2.1030404145242443e-07,157.5,ASK
35,1712601844.062575,46849078.33100369,156.1,-1.4761648637998177e-07,157.5,ASK
36,1712601844.0633922,46849235.20976411,156.1,-2.0626746781369933e-08,157.5,ASK
37,1712601844.2490048,46850834.6979279,156.1,-2.1030404145242443e-07,157.5,ASK
38,1712601855.402276,46851029.58224394,156.3,2.562379654137785e-08,157.5,BID
39,1712601855.408704,46851475.06322666,156.1,5.857276920030997e-08,157.5,BID
40,1712601870.310466,46851475.06322666,156.1,0.0,157.5,BID
41,1712601900.3094132,46851475.06322666,156.1,0.0,157.5,BID
42,1712601908.4562557,46851513.45304426,156.1,-5.0471798988352725e-09,157.5,ASK
43,1712601924.748665,46854552.40988226,156.1,-3.995372426048833e-07,157.5,ASK
44,1712601924.750608,46854552.40988324,156.1,-1.2831994029195907e-16,157.5,ASK
45,1712601930.3005006,46854552.40988324,156.1,-0.0,157.5,ASK
46,1712601938.958785,46854590.82217517,156.2,5.0498157165136846e-09,157.5,BID
47,1712601943.908499,46854642.2691205,155.8,-6.7633973412327905e-09,157.5,ASK
48,1712601960.4582183,46854642.2691205,155.8,-0.0,157.5,ASK
49,1712601973.8382378,46854680.68141243,155.9,-5.049806412151845e-09,157.5,ASK
50,1712601990.479671,46854680.68141243,155.9,-0.0,157.5,ASK
51,1712602003.3582602,46854719.06912836,156.3,5.0465715971455035e-09,157.5,BID
52,1712602020.6028726,46854719.06912836,156.3,0.0,157.5,BID
53,1712602044.768202,46854757.45684429,155.8,-5.046567617497713e-09,157.5,ASK
54,1712602050.2791195,46854757.45684429,155.8,-0.0,157.5,ASK
55,1712602071.7198212,46854795.91838275,156.0,5.05626857839504e-09,157.5,BID
56,1712602080.4584596,46854795.91838275,156.0,0.0,157.5,BID
57,1712602088.3182125,46855096.8355802,156.0,3.955944122611671e-08,157.5,BID
58,1712602093.2188404,46910721.5777659,155.8,-7.312588771438771e-06,157.5,ASK
59,1712602093.2207482,46911476.8373542,155.8,-9.928860014299217e-08,157.5,ASK
60,1712602093.3184474,46911476.83735453,155.8,-4.407636501818864e-17,157.5,ASK
61,1712602093.4185977,46911576.8373538,155.7,-1.3146287840100265e-08,157.5,ASK
62,1712602093.420611,46912861.35886953,155.7,-1.6886689705848918e-07,157.5,ASK
63,1712602093.4380262,46912861.35887026,155.7,-9.598852826183302e-17,157.5,ASK
64,1712602101.187783,46912960.33191262,155.8,1.301128112794181e-08,157.5,BID
65,1712602110.4677992,46912960.33191262,155.8,0.0,157.5,BID
66,1712602114.9380493,46912998.79345108,155.6,-5.0502481871497925e-09,157.5,ASK
67,1712602140.2895129,46912998.79345108,155.6,-0.0,157.5,ASK
68,1712602142.2976706,46913037.3043625,155.8,5.0567272021990325e-09,157.5,BID
69,1712602170.2995534,46913037.3043625,155.8,0.0,157.5,BID
70,1712602179.658063,46913075.81527392,155.6,-5.056723218319829e-09,157.5,ASK
71,1712602200.3199186,46913075.81527392,155.6,-0.0,157.5,ASK
72,1712602209.767454,46913114.27681238,156.0,5.050818577698542e-09,157.5,BID
73,1712602230.3077106,46913114.27681238,156.0,0.0,157.5,BID
74,1712602247.637447,46913152.73835084,155.6,-5.050814597043404e-09,157.5,ASK
75,1712602260.3106043,46913152.73835084,155.6,-0.0,157.5,ASK
76,1712602274.8377748,46913191.22455994,155.9,5.054050403310584e-09,157.5,BID
77,1712602290.3210018,46913191.22455994,155.9,0.0,157.5,BID
78,1712602304.937215,46913223.3284727,155.9,-4.215917056796373e-09,157.5,ASK
79,1712602312.1081004,46913261.8146818,155.6,-5.054046420115272e-09,157.5,ASK
80,1712602320.4572709,46913261.8146818,155.6,-0.0,157.5,ASK
81,1712602347.4669812,46913300.3008909,155.9,5.054039124723506e-09,157.5,BID
82,1712602350.4974706,46913300.3008909,155.9,0.0,157.5,BID
83,1712602380.287285,46913300.3008909,155.9,0.0,157.5,BID
84,1712602410.3080244,46913300.3008909,155.9,0.0,157.5,BID
85,1712602417.8071866,46913338.7871,155.6,-5.054035142524385e-09,157.5,ASK
86,1712602440.457193,46913338.7871,155.6,-0.0,157.5,ASK
87,1712602447.6070075,46913377.2733091,155.9,5.0540311670160955e-09,157.5,BID
88,1712602470.4690058,46913377.2733091,155.9,0.0,157.5,BID
89,1712602490.4268425,46913415.7595182,155.6,-5.054027185807927e-09,157.5,ASK
90,1712602500.3173056,46913415.7595182,155.6,-0.0,157.5,ASK
91,1712602520.6573498,46913454.2457273,155.9,5.057196959692235e-09,157.5,BID
92,1712602530.289051,46913454.2457273,155.9,0.0,157.5,BID
93,1712602555.1379871,46913492.7319364,155.6,-5.0571929725152935e-09,157.5,ASK
94,1712602560.4683008,46913492.7319364,155.6,-0.0,157.5,ASK
95,1712602563.8681962,46913749.30666378,155.9,3.3714593291023686e-08,157.5,BID
96,1712602590.4591196,46913749.30666378,155.9,0.0,157.5,BID
