,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.4360344,10288025.61656837,484.0,0.0,485.4,BID
1,1712601600.1565635,10288025.61656837,484.0,0.0,485.4,BID
2,1712601600.4477787,10288038.01326258,483.0,-2.3932014086381628e-09,485.4,ASK
3,1712601630.1464553,10288038.01326258,483.0,-0.0,485.4,ASK
4,1712601641.8262153,10288050.40995679,484.0,2.393198642660476e-09,485.4,BID
5,1712601660.2360263,10288050.40995679,484.0,0.0,485.4,BID
6,1712601665.6860993,10288062.806651,483.0,-2.393195870242625e-09,485.4,ASK
7,1712601690.2264166,10288062.806651,483.0,-0.0,485.4,ASK
8,1712601709.1798568,10288075.20334521,484.0,2.3931931039181567e-09,485.4,BID
9,1712601720.149369,10288075.20334521,484.0,0.0,485.4,BID
10,1712601726.325852,10288281.81491545,484.0,3.988650554739337e-08,485.4,BID
11,1712601734.3584793,10288294.21160966,483.0,-2.393190331872723e-09,485.4,ASK
12,1712601750.138607,10288294.21160966,483.0,-0.0,485.4,ASK
13,1712601779.7559254,10288306.60830387,484.0,2.3931413658560195e-09,485.4,BID
14,1712601780.2261062,10288306.60830387,484.0,0.0,485.4,BID
15,1712601801.5560694,10288319.00499808,483.2,-2.3931385942900192e-09,485.4,ASK
16,1712601810.2458365,10288319.00499808,483.2,-0.0,485.4,ASK
17,1712601811.7456272,10289627.83035825,484.0,2.5266388016521524e-07,485.4,BID
18,1712601811.8055797,10289640.21681572,484.4,2.391159661891599e-09,485.4,BID
19,1712601840.1458025,10289640.21681572,484.4,0.0,485.4,BID
20,1712601866.3752496,10289652.60327319,484.0,-2.390864515774963e-09,485.4,ASK
21,1712601870.145244,10289652.60327319,484.0,-0.0,485.4,ASK
22,1712601879.6653943,10289652.6649485,484.4,1.1904706427146546e-11,485.4,BID
23,1712601879.667074,10289664.98973066,484.4,2.378957042334649e-09,485.4,BID
24,1712601898.635249,10289677.37618813,484.0,-2.390861748761796e-09,485.4,ASK
25,1712601900.1654327,10289677.37618813,484.0,-0.0,485.4,ASK
26,1712601909.775241,10289689.76008905,484.5,2.391413570903776e-09,485.4,BID
27,1712601925.8260288,10290104.46033028,484.0,-8.008137267470887e-08,485.4,ASK
28,1712601925.9449031,10290550.38433564,484.0,-8.611088904115843e-08,485.4,ASK
29,1712601930.145609,10290550.38433564,484.0,-0.0,485.4,ASK
30,1712601935.4448895,10290562.76823656,484.0,-2.391218457772904e-09,485.4,ASK
31,1712601940.4955482,10290569.14623082,484.0,-1.231532591891652e-09,485.4,ASK
32,1712601946.0265498,10291030.42327978,484.0,-8.906839619864007e-08,485.4,ASK
33,1712601946.144903,10291515.8452867,484.0,-9.373056763464997e-08,485.4,ASK
34,1712601946.184937,10292941.77754688,484.0,-2.753345300581993e-07,485.4,ASK
35,1712601946.2280254,10294126.25805988,484.0,-2.2871239715730289e-07,485.4,ASK
36,1712601960.2255175,10294126.25805988,484.0,-0.0,485.4,ASK
37,1712601978.1552064,10294138.64707495,484.3,2.3914067771431955e-09,485.4,BID
