,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.4727411,3859940531.399174,17.62,0.0,18.5,ASK
1,1712601600.2067568,3859940531.399174,17.62,-0.0,18.5,ASK
2,1712601606.6070344,3859947163.937505,17.61,-9.515076495957192e-08,18.5,ASK
3,1712601606.608624,3859951809.829856,17.62,-6.665023089204026e-08,18.5,ASK
4,1712601606.6101518,3859976065.091133,17.61,-3.479673316304287e-07,18.5,ASK
5,1712601608.2370567,3859976405.034476,17.65,4.8768461685050165e-09,18.5,BID
6,1712601627.9462717,3860010094.9211617,17.65,4.833169941508898e-07,18.5,BID
7,1712601630.1962342,3860010094.9211617,17.65,0.0,18.5,BID
8,1712601637.4262073,3860010434.864504,17.61,-4.8767603584403435e-09,18.5,ASK
9,1712601660.316624,3860010434.864504,17.61,-0.0,18.5,ASK
10,1712601673.6689262,3860010774.807847,17.65,4.8767599396254205e-09,18.5,BID
11,1712601690.2959995,3860010774.807847,17.65,0.0,18.5,BID
12,1712601703.0911796,3860011114.75119,17.61,-4.876759526699867e-09,18.5,ASK
13,1712601720.1962633,3860011114.75119,17.61,-0.0,18.5,ASK
14,1712601750.1858404,3860011114.75119,17.61,-0.0,18.5,ASK
15,1712601779.287999,3860011454.887244,17.64,4.87952369951746e-09,18.5,BID
16,1712601780.2957609,3860011454.887244,17.64,0.0,18.5,BID
17,1712601805.575642,3860011795.023298,17.61,-4.879523286354089e-09,18.5,ASK
18,1712601810.3158665,3860011795.023298,17.61,-0.0,18.5,ASK
19,1712601836.7356644,3860013640.6816,17.61,-2.6477439731386805e-08,18.5,ASK
20,1712601836.745326,3860099722.740352,17.61,-1.234915759591817e-06,18.5,ASK
21,1712601840.1960232,3860099722.740352,17.61,-0.0,18.5,ASK
22,1712601843.865519,3860100062.683695,17.65,4.876649936546716e-09,18.5,BID
23,1712601869.935632,3860100402.6270375,17.61,-4.876649936546716e-09,18.5,ASK
24,1712601870.2050996,3860100402.6270375,17.61,-0.0,18.5,ASK
25,1712601879.1455824,3860100742.57038,17.65,4.876649098003603e-09,18.5,BID
26,1712601891.615384,3860117739.7375193,17.65,2.438324549685847e-07,18.5,BID
27,1712601894.0814922,3860151734.071797,17.65,4.87664909930329e-07,18.5,BID
28,1712601900.2055695,3860151734.071797,17.65,0.0,18.5,BID
29,1712601903.2553227,3860152074.01514,17.61,-4.8766930978401415e-09,18.5,ASK
30,1712601930.1954274,3860152074.01514,17.61,-0.0,18.5,ASK
31,1712601939.4950402,3860152413.958482,17.65,4.87669267903677e-09,18.5,BID
32,1712601949.5962732,3860153493.413474,17.65,1.5485434173697157e-08,18.5,BID
33,1712601949.598151,3860209071.182278,17.65,7.972966792134341e-07,18.5,BID
34,1712601960.2956803,3860209071.182278,17.65,0.0,18.5,BID
35,1712601970.1649234,3860209411.125621,17.62,-4.876622301194347e-09,18.5,ASK
36,1712601990.3149874,3860209411.125621,17.62,-0.0,18.5,ASK
37,1712602002.2748427,3860209976.097373,17.64,8.10474352969935e-09,18.5,BID
38,1712602003.7551155,3860210316.040715,17.65,4.876621882165321e-09,18.5,BID
39,1712602011.0247796,3860210881.0124655,17.65,8.104743522858932e-09,18.5,BID
40,1712602012.4048307,3860211445.984218,17.65,8.10474352969935e-09,18.5,BID
41,1712602013.6947513,3860212010.955969,17.65,8.104743522858932e-09,18.5,BID
42,1712602020.1946628,3860212010.955969,17.65,0.0,18.5,BID
43,1712602022.0447776,3860212575.927721,17.65,8.104738195272338e-09,18.5,BID
44,1712602023.8695507,3860213140.899472,17.65,8.104738188431925e-09,18.5,BID
45,1712602031.7150264,3860213705.871224,17.64,8.104738188431925e-09,18.5,BID
