,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.4745438,39440365.47441989,155.6,0.0,156.7,BID
1,1712601600.1896012,39440365.47441989,155.6,0.0,156.7,BID
2,1712601630.176227,39440365.47441989,155.6,0.0,156.7,BID
3,1712601635.366259,39440404.0348312,155.4,-6.0028386692437985e-09,156.7,ASK
4,1712601660.2861516,39440404.0348312,155.4,-0.0,156.7,ASK
5,1712601676.506215,39440442.59524251,155.6,6.0028330683943625e-09,156.7,BID
6,1712601690.2659128,39440442.59524251,155.6,0.0,156.7,BID
7,1712601701.0062263,39440481.15565382,155.4,-6.0028274626683005e-09,156.7,ASK
8,1712601720.1759553,39440481.15565382,155.4,-0.0,156.7,ASK
9,1712601746.2456627,39440519.71606513,155.6,6.002821862999629e-09,156.7,BID
10,1712601750.1669483,39440519.71606513,155.6,0.0,156.7,BID
11,1712601771.0158596,39440558.27647644,155.4,-6.002816256134645e-09,156.7,ASK
12,1712601780.2657564,39440558.27647644,155.4,-0.0,156.7,ASK
13,1712601810.2854407,39440558.27647644,155.4,-0.0,156.7,ASK
14,1712601812.2558212,39440596.83688775,155.6,6.002810655327028e-09,156.7,BID
15,1712601840.1759362,39440596.83688775,155.6,0.0,156.7,BID
16,1712601840.4565432,39440635.39729906,155.4,-6.0028050496428325e-09,156.7,ASK
17,1712601870.185228,39440635.39729906,155.4,-0.0,156.7,ASK
18,1712601879.9654536,39440673.95771037,155.6,6.002799450015977e-09,156.7,BID
19,1712601900.1889334,39440673.95771037,155.6,0.0,156.7,BID
20,1712601930.1685157,39440673.95771037,155.6,0.0,156.7,BID
21,1712601953.6151211,39443855.64845012,155.6,4.956318393394796e-07,156.7,BID
22,1712601956.2448027,39449669.42105012,155.6,-9.056476706666624e-07,156.7,ASK
23,1712601960.2653725,39449669.42105012,155.6,-0.0,156.7,ASK
24,1712601968.6448815,39449707.98146143,155.6,-6.005486687101293e-09,156.7,ASK
25,1712601972.5849414,39450886.98146143,155.6,-1.8362015764978712e-07,156.7,ASK
26,1712601972.654123,39452385.98146143,155.6,-2.3345768983632813e-07,156.7,ASK
27,1712601972.7249465,39453527.42814738,155.6,-1.7777151859531046e-07,156.7,ASK
28,1712601978.485149,39453565.98855869,155.6,6.0054866859409235e-09,156.7,BID
29,1712601981.275005,39456474.01605911,155.6,4.529028567236517e-07,156.7,BID
30,1712601990.284814,39456474.01605911,155.6,0.0,156.7,BID
31,1712602000.6451244,39456506.22326631,155.4,-5.0151971407805134e-09,156.7,ASK
32,1712602000.6467168,39456512.57647042,155.3,-9.892994099234243e-10,156.7,ASK
33,1712602020.1747794,39456512.57647042,155.3,-0.0,156.7,ASK
34,1712602042.0550842,39456551.16167942,155.5,6.0083523564389606e-09,156.7,BID
35,1712602050.1690433,39456551.16167942,155.5,0.0,156.7,BID
36,1712602080.2684853,39456551.16167942,155.5,0.0,156.7,BID
37,1712602090.5268135,39461742.83606686,155.3,-8.084284290911101e-07,156.7,ASK
38,1712602090.6271725,39473551.65872029,155.3,-1.83882640448862e-06,156.7,ASK
39,1712602090.6346374,39480284.53030767,155.3,-1.048417985116024e-06,156.7,ASK
40,1712602097.9346416,39483003.19010148,155.2,-4.233396978168213e-07,156.7,ASK
41,1712602097.9443154,39484815.93333601,155.2,-2.8227370518113254e-07,156.7,ASK
42,1712602099.5644045,39485330.73385081,155.4,8.016284158300897e-08,156.7,BID
43,1712602106.474454,39485369.31905981,155.1,-6.0083467440080364e-09,156.7,ASK
44,1712602110.264552,39485369.31905981,155.1,-0.0,156.7,ASK
45,1712602136.3447158,39485409.88570501,155.3,6.3124899105525205e-09,156.7,BID
46,1712602140.164611,39485409.88570501,155.3,0.0,156.7,BID
47,1712602146.9283466,39485448.5206052,155.3,6.0118892595497114e-09,156.7,BID
48,1712602170.1774514,39485448.5206052,155.3,0.0,156.7,BID
49,1712602171.994372,39485487.15550539,155.1,-6.011883646576173e-09,156.7,ASK
50,1712602200.1887114,39485487.15550539,155.1,-0.0,156.7,ASK
51,1712602213.264439,39485525.79040558,155.3,6.012557872962851e-09,156.7,BID
52,1712602230.1776445,39485525.79040558,155.3,0.0,156.7,BID
53,1712602239.8739796,39485564.42530577,155.1,-6.012552258740751e-09,156.7,ASK
54,1712602248.043954,39485713.16967151,155.3,2.3148326198181008e-08,156.7,BID
55,1712602260.1942034,39485713.16967151,155.3,0.0,156.7,BID
