,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.4433863,460869102.9960141,8.302,0.0,8.325,BID
1,1712601600.2899342,460869102.9960141,8.302,0.0,8.325,BID
2,1712601606.8796625,461072438.0215799,8.302,4.973925210216263e-05,8.325,BID
3,1712601606.979861,461137482.58915406,8.302,1.591102238998897e-05,8.325,BID
4,1712601607.1599174,461138205.30657154,8.302,1.7678913766362808e-07,8.325,BID
5,1712601630.2898805,461138205.30657154,8.302,0.0,8.325,BID
6,1712601640.5297997,461138928.023989,8.289,-1.766925758278361e-07,8.325,ASK
7,1712601660.4496348,461138928.023989,8.289,-0.0,8.325,ASK
8,1712601667.1995416,461139650.7414065,8.302,1.7669231704342734e-07,8.325,BID
9,1712601690.4410248,461139650.7414065,8.302,0.0,8.325,BID
10,1712601692.2694745,461303607.10130537,8.302,4.008452809929276e-05,8.325,BID
11,1712601692.2796073,461331156.7414065,8.302,6.735416201241136e-06,8.325,BID
12,1712601709.479494,461331879.458824,8.289,-1.7669205785391557e-07,8.325,ASK
13,1712601720.289327,461331879.458824,8.289,-0.0,8.325,ASK
14,1712601737.3490405,461332602.1762415,8.302,1.7662314590002e-07,8.325,BID
15,1712601750.2792938,461332602.1762415,8.302,0.0,8.325,BID
16,1712601776.0691268,461333324.8936589,8.289,-1.7662288691340228e-07,8.325,ASK
17,1712601780.4390178,461333324.8936589,8.289,-0.0,8.325,ASK
18,1712601798.2497432,461562205.9714065,8.289,-5.593552410640055e-05,8.325,ASK
19,1712601798.2513683,461992130.37649226,8.289,-0.0001050678682626,8.325,ASK
20,1712601810.469307,461992130.37649226,8.289,-0.0,8.325,ASK
21,1712601825.4987576,461992769.7781088,8.289,-1.560530809936675e-07,8.325,ASK
22,1712601825.5793972,462031732.938291,8.289,9.509392898103985e-06,8.325,BID
23,1712601825.5990434,462270396.3800813,8.289,5.824846926650656e-05,8.325,BID
24,1712601825.600649,462446253.6529794,8.289,4.291992472268292e-05,8.325,BID
25,1712601825.6189573,462534182.2894284,8.289,2.1459962361341457e-05,8.325,BID
26,1712601825.6202269,462828896.94657737,8.289,7.192839221858989e-05,8.325,BID
27,1712601825.6403153,463436066.94657737,8.289,0.0001481865962346,8.325,BID
28,1712601825.7988603,463600607.7017484,8.289,4.01580026198049e-05,8.325,BID
29,1712601825.8005514,463748807.94657737,8.306,3.61699192027749e-05,8.325,BID
30,1712601840.1909325,463749529.2738195,8.318,1.7604794173534592e-07,8.325,BID
31,1712601840.2799792,463749529.2738195,8.318,0.0,8.325,BID
32,1712601870.299158,463749529.2738195,8.318,0.0,8.325,BID
33,1712601875.568903,463750250.6010616,8.289,-1.754241548658629e-07,8.325,ASK
34,1712601900.3011842,463750250.6010616,8.289,-0.0,8.325,ASK
35,1712601930.288633,463750250.6010616,8.289,-0.0,8.325,ASK
36,1712601935.1984134,463750972.1017832,8.316,1.7546608927440026e-07,8.325,BID
37,1712601960.4382586,463750972.1017832,8.316,0.0,8.325,BID
38,1712601973.2083485,463751693.6025046,8.289,-1.7546583322437225e-07,8.325,ASK
39,1712601990.4579017,463751693.6025046,8.289,-0.0,8.325,ASK
40,1712602020.601199,463751693.6025046,8.289,-0.0,8.325,ASK
41,1712602040.5881078,463752415.7110616,8.309,1.756134007598591e-07,8.325,BID
42,1712602050.2703888,463752415.7110616,8.309,0.0,8.325,BID
43,1712602077.0179412,463753137.8196186,8.289,-1.7561314451012026e-07,8.325,ASK
44,1712602077.11826,463771888.4877156,8.289,-4.560067533236052e-06,8.325,ASK
45,1712602077.1201096,463772372.7973032,8.289,-1.1778163928565118e-07,8.325,ASK
46,1712602080.4380884,463772372.7973032,8.289,-0.0,8.325,ASK
47,1712602110.4475155,463772372.7973032,8.289,-0.0,8.325,ASK
48,1712602110.5184865,463773094.9058601,8.309,1.756060798162171e-07,8.325,BID
49,1712602132.5781045,463773649.4710252,8.288,-1.3486201443493033e-07,8.325,ASK
50,1712602132.5796523,463774314.4180552,8.288,-1.617052451545279e-07,8.325,ASK
51,1712602133.947597,463775533.9302504,8.288,-2.965672595894582e-07,8.325,ASK
52,1712602134.0510988,463955311.9225278,8.288,-4.37193385338742e-05,8.325,ASK
53,1712602140.278032,463955311.9225278,8.288,-0.0,8.325,ASK
54,1712602143.7780235,463956034.0310848,8.288,-1.7554135405234373e-07,8.325,ASK
55,1712602170.291352,463956034.0310848,8.288,-0.0,8.325,ASK
56,1712602178.2981126,463956756.22655904,8.308,1.7556222783071141e-07,8.325,BID
57,1712602182.847715,464002165.46611166,8.287,-1.103876657223207e-05,8.325,ASK
58,1712602182.857559,464029530.0733278,8.287,-6.652203700736803e-06,8.325,ASK
59,1712602187.9276798,464030530.0733278,8.286,-2.430951647944052e-07,8.325,ASK
60,1712602188.2473683,464047231.0219278,8.283,4.059919852138476e-06,8.325,BID
61,1712602200.3077354,464047231.0219278,8.283,0.0,8.325,BID
62,1712602209.8697524,464047953.2174021,8.276,-1.755299818769767e-07,8.325,ASK
63,1712602230.2975988,464047953.2174021,8.276,-0.0,8.325,ASK
64,1712602239.7078896,464048676.1960741,8.299,1.757200832443117e-07,8.325,BID
65,1712602260.2976103,464048676.1960741,8.299,0.0,8.325,BID
66,1712602280.0377414,464048954.0005999,8.276,-6.752033648367406e-08,8.325,ASK
67,1712602280.0397744,464049399.1747463,8.273,-1.081994905227302e-07,8.325,ASK
68,1712602290.307701,464049399.1747463,8.273,-0.0,8.325,ASK
69,1712602311.777618,464050002.1747463,8.3,1.4655882076454466e-07,8.325,BID
70,1712602311.779704,464050122.0663125,8.3,2.9139579708739426e-08,8.325,BID
71,1712602320.437132,464050122.0663125,8.3,0.0,8.325,BID
72,1712602344.7572782,464050844.9578788,8.273,-1.7569814426774273e-07,8.325,ASK
73,1712602345.918438,464053254.88678586,8.299,5.857310508890905e-07,8.325,BID
74,1712602350.4768877,464053254.88678586,8.299,0.0,8.325,BID
75,1712602374.3470154,464053977.77835214,8.3,1.7569703482306422e-07,8.325,BID
76,1712602380.2772465,464053977.77835214,8.3,0.0,8.325,BID
77,1712602410.28741,464053977.77835214,8.3,0.0,8.325,BID
78,1712602417.1768422,464054700.6699184,8.273,-1.756967786070191e-07,8.325,ASK
79,1712602440.436763,464054700.6699184,8.273,-0.0,8.325,ASK
80,1712602449.9167786,464055423.56148463,8.3,1.7569652321070474e-07,8.325,BID
81,1712602470.4565778,464055423.56148463,8.3,0.0,8.325,BID
82,1712602489.8771412,464056146.4530509,8.273,-1.7569626701063845e-07,8.325,ASK
83,1712602500.306802,464056146.4530509,8.273,-0.0,8.325,ASK
84,1712602530.277464,464056146.4530509,8.273,-0.0,8.325,ASK
85,1712602548.8080666,464056869.4317231,8.299,1.7571804606258625e-07,8.325,BID
86,1712602560.4478204,464056869.4317231,8.299,0.0,8.325,BID
87,1712602589.8489575,464057592.4103952,8.273,-1.7571778980164685e-07,8.325,ASK
88,1712602590.438758,464057592.4103952,8.273,-0.0,8.325,ASK
89,1712602615.7597067,464058315.3019614,8.3,1.756963635844567e-07,8.325,BID
90,1712602620.3098097,464058315.3019614,8.3,0.0,8.325,BID
91,1712602650.290535,464058315.3019614,8.3,0.0,8.325,BID
92,1712602659.290969,464059038.1935277,8.274,-1.756961073703693e-07,8.325,ASK
93,1712602680.4510014,464059038.1935277,8.274,-0.0,8.325,ASK
94,1712602684.6013627,464059761.0850939,8.3,1.7569585194513729e-07,8.325,BID
95,1712602710.441644,464059761.0850939,8.3,0.0,8.325,BID
96,1712602725.8348942,464060483.9766602,8.273,-1.7569559574702874e-07,8.325,ASK
97,1712602740.2672937,464060483.9766602,8.273,-0.0,8.325,ASK
98,1712602754.1524217,464061206.86822647,8.3,1.7569534036863973e-07,8.325,BID
99,1712602770.3031917,464061206.86822647,8.3,0.0,8.325,BID
100,1712602791.1232686,464061929.7597927,8.282,-1.7569508414304997e-07,8.325,ASK
101,1712602796.243617,464078315.3019614,8.3,3.98242190752254e-06,8.325,BID
102,1712602796.2454364,464078532.7597927,8.3,5.285200955013935e-08,8.325,BID
103,1712602800.375173,464078532.7597927,8.3,0.0,8.325,BID
104,1712602816.834106,464081863.75670713,8.3,8.104488615953045e-07,8.325,BID
105,1712602818.0739467,464082465.75670713,8.31,1.464697287963312e-07,8.325,BID
106,1712602818.0756657,464082585.77836776,8.31,2.920189382319923e-08,8.325,BID
107,1712602830.2966857,464082585.77836776,8.31,0.0,8.325,BID
108,1712602860.4441965,464082585.77836776,8.31,0.0,8.325,BID
109,1712602864.5547154,464083307.8000284,8.3,-1.756701844855984e-07,8.325,ASK
110,1712602888.8847375,464084029.821689,8.31,1.756701844855984e-07,8.325,BID
111,1712602890.454522,464084029.821689,8.31,0.0,8.325,BID
112,1712602920.2854383,464084029.821689,8.31,0.0,8.325,BID
113,1712602932.5859523,464084751.8433497,8.3,-1.7566967191676817e-07,8.325,ASK
114,1712602950.3159144,464084751.8433497,8.3,-0.0,8.325,ASK
115,1712602966.5660117,464085473.8650103,8.31,1.756694157660206e-07,8.325,BID
116,1712602980.4459767,464085473.8650103,8.31,0.0,8.325,BID
117,1712602991.706457,464110592.1575705,8.304,6.111325432841192e-06,8.325,BID
118,1712603005.526802,464111314.1792311,8.3,-1.756691593219253e-07,8.325,ASK
119,1712603010.4561963,464111314.1792311,8.3,-0.0,8.325,ASK
120,1712603036.736616,464112036.2008917,8.31,1.7565998872865057e-07,8.325,BID
121,1712603040.2968752,464112036.2008917,8.31,0.0,8.325,BID
122,1712603070.3398952,464112036.2008917,8.31,0.0,8.325,BID
123,1712603073.8071306,464112758.2225524,8.3,-1.7565973231207797e-07,8.325,ASK
124,1712603100.440276,464112758.2225524,8.3,-0.0,8.325,ASK
125,1712603100.923626,464113480.244213,8.31,1.756617966580431e-07,8.325,BID
126,1712603130.447655,464113480.244213,8.31,0.0,8.325,BID
127,1712603140.7178748,464114202.2658737,8.3,-1.75661540221691e-07,8.325,ASK
128,1712603160.298271,464114202.2658737,8.3,-0.0,8.325,ASK
129,1712603167.3881743,464114924.2875343,8.31,1.756612841091577e-07,8.325,BID
130,1712603190.2885065,464114924.2875343,8.31,0.0,8.325,BID
131,1712603210.3687518,464115646.3091949,8.301,-1.7566102768880321e-07,8.325,ASK
132,1712603220.4484065,464115646.3091949,8.301,-0.0,8.325,ASK
133,1712603237.1690404,464116368.3308556,8.31,1.75660771561409e-07,8.325,BID
134,1712603250.4693031,464116368.3308556,8.31,0.0,8.325,BID
135,1712603278.708995,464117090.3525162,8.306,-1.7566051512804966e-07,8.325,ASK
136,1712603280.2892416,464117090.3525162,8.306,-0.0,8.325,ASK
137,1712603310.289496,464117090.3525162,8.306,-0.0,8.325,ASK
138,1712603311.889331,464117812.37417686,8.31,1.7566025883336634e-07,8.325,BID
139,1712603340.4591787,464117812.37417686,8.31,0.0,8.325,BID
140,1712603370.4596114,464117812.37417686,8.31,0.0,8.325,BID
141,1712603383.5007432,464118534.3958375,8.306,-1.756600024160052e-07,8.325,ASK
142,1712603400.3312666,464118534.3958375,8.306,-0.0,8.325,ASK
