,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.476237,553088053.4804381,20.27,0.0,20.38,ASK
1,1712601600.247989,553088053.4804381,20.27,-0.0,20.38,ASK
2,1712601630.248252,553088053.4804381,20.27,-0.0,20.38,ASK
3,1712601638.9962382,553088348.6107874,20.33,2.503758632472856e-08,20.38,BID
4,1712601660.3862622,553088348.6107874,20.33,0.0,20.38,BID
5,1712601670.046043,553088643.7411366,20.27,-2.5037573570136628e-08,20.38,ASK
6,1712601690.376323,553088643.7411366,20.27,-0.0,20.38,ASK
7,1712601705.605893,553088938.8714858,20.33,2.5037560873396835e-08,20.38,BID
8,1712601720.2463684,553088938.8714858,20.33,0.0,20.38,BID
9,1712601740.3380942,553089234.0018351,20.27,-2.503754812894401e-08,20.38,ASK
10,1712601750.2375362,553089234.0018351,20.27,-0.0,20.38,ASK
11,1712601774.92689,553107225.2609332,20.27,-1.5262977462578277e-06,20.38,ASK
12,1712601774.9285,553278887.1224549,20.27,-1.4563022572854858e-05,20.38,ASK
13,1712601775.0659368,553300228.4271549,20.27,1.8105005929997736e-06,20.38,BID
14,1712601775.0676043,553314772.1310549,20.27,1.2338226226302474e-06,20.38,BID
15,1712601776.2062714,553315068.1350015,20.27,2.5111647506785573e-08,20.38,BID
16,1712601780.375949,553315068.1350015,20.27,0.0,20.38,BID
17,1712601784.9357178,553317826.9923761,20.27,2.3395823130495105e-07,20.38,BID
18,1712601800.825704,553445282.4232855,20.26,-1.0808549749929752e-05,20.38,ASK
19,1712601800.836005,553688061.6264354,20.26,-2.058830350947975e-05,20.38,ASK
20,1712601800.9355862,553710214.9288354,20.26,1.8786572640108e-06,20.38,BID
21,1712601800.9556053,553788837.3716187,20.26,6.667386224514848e-06,20.38,BID
22,1712601809.2954807,553789133.3755654,20.26,-2.5101899235236057e-08,20.38,ASK
23,1712601810.395944,553789133.3755654,20.26,-0.0,20.38,ASK
24,1712601816.3061244,553803934.4369187,20.26,-1.2541467379333429e-06,20.38,ASK
25,1712601816.3080833,553807650.7498506,20.26,-3.148964543430284e-07,20.38,ASK
26,1712601816.4459565,553955238.8248206,20.26,1.2505664179272115e-05,20.38,BID
27,1712601816.447388,553970077.7049853,20.26,1.2573512607502495e-06,20.38,BID
28,1712601816.4656951,553977186.1203853,20.26,6.023213993243339e-07,20.38,BID
29,1712601816.525783,554029822.7146538,20.26,4.460086437179884e-06,20.38,BID
30,1712601816.6052885,554089754.5657289,20.26,5.078239575515e-06,20.38,BID
31,1712601840.2390182,554089754.5657289,20.26,0.0,20.38,BID
32,1712601843.7457168,554090050.7157782,20.26,2.508090664890793e-08,20.38,BID
33,1712601843.8256495,554129306.0489427,20.26,3.324528727247719e-06,20.38,BID
34,1712601870.255518,554129306.0489427,20.26,0.0,20.38,BID
35,1712601872.4362252,554129602.198992,20.25,-2.5079204696552824e-08,20.38,ASK
36,1712601900.2554913,554129602.198992,20.25,-0.0,20.38,ASK
37,1712601902.0455773,554131791.5783613,20.26,1.8549638347651426e-07,20.38,BID
38,1712601907.3651493,554132087.7284107,20.26,2.5091477480028106e-08,20.38,BID
39,1712601930.2396286,554132087.7284107,20.26,0.0,20.38,BID
40,1712601937.2652044,554142687.3100468,20.26,8.980516116823371e-07,20.38,BID
41,1712601940.2752645,554142983.4600961,20.26,-2.5091370417343653e-08,20.38,ASK
42,1712601950.775166,554145048.7319107,20.26,-1.749805553964662e-07,20.38,ASK
43,1712601950.776221,554145473.0428222,20.25,-3.594982434615603e-08,20.38,ASK
