,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.402143,981159175.485723,65.47,0.0,68.7,ASK
1,1712601600.317969,981159175.485723,65.47,-0.0,68.7,ASK
2,1712601608.3764477,981159267.1307513,65.47,1.404986213032348e-09,68.7,BID
3,1712601610.8265543,981189820.1402228,65.46,-4.6840028206006163e-07,68.7,ASK
4,1712601610.9062474,981190929.3880316,65.46,-1.7005591118907142e-08,68.7,ASK
5,1712601611.0461416,981192221.0811876,65.46,-1.9802613527455242e-08,68.7,ASK
6,1712601618.6369193,981196740.5566616,65.48,6.928690899734188e-08,68.7,BID
7,1712601618.638543,981218491.0811876,65.47,3.3345166316293934e-07,68.7,BID
8,1712601618.796111,981220115.0811876,65.48,2.4897123760498543e-08,68.7,BID
9,1712601630.326078,981220115.0811876,65.48,0.0,68.7,BID
10,1712601638.496351,981220206.7262158,65.46,-1.4049002876689827e-09,68.7,ASK
11,1712601653.7567022,981220283.0773607,65.5,1.1704480612070003e-09,68.7,BID
12,1712601660.4974532,981220283.0773607,65.5,0.0,68.7,BID
13,1712601667.1963124,981234018.0773607,65.5,2.1055481752970306e-07,68.7,BID
14,1712601667.3162165,981284018.0773607,65.5,7.664900528929852e-07,68.7,BID
15,1712601671.5062134,981284530.0773607,65.5,7.848858141624171e-09,68.7,BID
16,1712601671.526157,981288958.0773607,65.5,6.788035908420278e-08,68.7,BID
17,1712601671.527801,981288958.1749182,65.5,1.4955340971613701e-12,68.7,BID
18,1712601674.196411,981289049.6662264,65.58,1.402543553417582e-09,68.7,BID
19,1712601690.487119,981289049.6662264,65.58,0.0,68.7,BID
20,1712601704.0780523,981289141.1575348,65.48,-1.402446718010838e-09,68.7,ASK
21,1712601714.6762886,981365500.3511816,65.48,-1.170490426610302e-06,68.7,ASK
22,1712601720.3257616,981365500.3511816,65.48,-0.0,68.7,ASK
23,1712601740.596027,981368796.7583034,65.48,-5.0525899230743444e-08,68.7,ASK
24,1712601740.597656,981368958.7583034,65.5,-2.483065766150482e-09,68.7,ASK
25,1712601740.605731,981369111.3835032,65.52,-2.339372894804158e-09,68.7,ASK
26,1712601742.9256709,981369202.8748116,65.58,1.402339108754568e-09,68.7,BID
27,1712601750.3159928,981369202.8748116,65.58,0.0,68.7,BID
28,1712601757.2274714,981371188.3048208,65.58,3.0431697318180194e-08,68.7,BID
29,1712601763.9858403,981381856.9564664,65.58,1.6352385940465656e-07,68.7,BID
30,1712601772.67566,981381948.4477746,65.5,-1.4023338972361444e-09,68.7,ASK
31,1712601772.975742,981386896.6151056,65.58,7.584308175252e-08,68.7,BID
32,1712601773.99561,981401656.3593566,65.58,2.262301201633125e-07,68.7,BID
33,1712601780.485844,981401656.3593566,65.58,0.0,68.7,BID
34,1712601791.355807,981402405.984544,65.5,-1.1489512373939732e-08,68.7,ASK
35,1712601794.1056066,981403397.2089684,65.58,1.5192506177622297e-08,68.7,BID
36,1712601800.4878986,981411780.298325,65.58,1.284876902641318e-07,68.7,BID
37,1712601809.685627,981411871.7896332,65.58,1.4022881526069531e-09,68.7,BID
38,1712601810.5159345,981411871.7896332,65.58,0.0,68.7,BID
39,1712601813.47586,981412865.2247478,65.5,-1.522623311576136e-08,68.7,ASK
40,1712601813.477724,981465833.4809972,65.5,-8.118366319218993e-07,68.7,ASK
41,1712601833.74564,981465909.7390028,65.58,1.168795175178172e-09,68.7,BID
42,1712601840.3159204,981465909.7390028,65.58,0.0,68.7,BID
43,1712601847.2355566,981466426.7390028,65.58,7.923552712100989e-09,68.7,BID
44,1712601850.9055998,981470232.4452888,65.58,5.8326333389907655e-08,68.7,BID
45,1712601855.3255584,981475758.0242684,65.58,8.4685137931862e-08,68.7,BID
46,1712601855.3275163,981493018.1990064,65.58,2.645297956615264e-07,68.7,BID
47,1712601855.3450832,981495315.4990064,65.61,3.5208467400534504e-08,68.7,BID
48,1712601855.365129,981499303.3084202,65.61,6.111724970026811e-08,68.7,BID
49,1712601855.6451402,981504828.133682,65.61,8.467358643754715e-08,68.7,BID
50,1712601856.405764,981505357.7178918,65.64,8.11641857040665e-09,68.7,BID
51,1712601856.4080472,981505510.133682,65.61,2.335927560449973e-09,68.7,BID
52,1712601870.326754,981505510.133682,65.61,0.0,68.7,BID
53,1712601871.015319,981505601.6249903,65.62,-1.402141869477352e-09,68.7,ASK
54,1712601879.147284,981505802.8887632,65.72,3.0844499683025804e-09,68.7,BID
55,1712601900.3250637,981505802.8887632,65.72,0.0,68.7,BID
56,1712601900.6006248,981513082.6711736,65.72,1.1157107484996016e-07,68.7,BID
57,1712601901.8454933,981522342.229326,65.72,1.4191342508714681e-07,68.7,BID
58,1712601901.848878,981525223.0406532,65.72,4.4151761426906224e-08,68.7,BID
59,1712601901.9250782,981539492.2801204,65.72,-2.1869257828311826e-07,68.7,ASK
60,1712601903.009958,981539644.440802,65.72,2.3320382176085597e-09,68.7,BID
61,1712601906.645183,981553108.148074,65.72,2.063468668601419e-07,68.7,BID
62,1712601907.8051362,981555509.6670448,65.72,-3.680605239961658e-08,68.7,ASK
63,1712601907.9451497,981555600.9634538,65.72,1.399222931295944e-09,68.7,BID
64,1712601928.7151902,981557600.9634538,65.72,-3.0652310347257715e-08,68.7,ASK
65,1712601929.6452196,981559122.5702704,65.72,2.332038218704772e-08,68.7,BID
66,1712601930.3177156,981559122.5702704,65.72,0.0,68.7,BID
67,1712601935.7274082,981565874.1637812,65.7,-1.0347041289040161e-07,68.7,ASK
68,1712601938.6800294,981565965.4601904,65.62,-1.399147789441247e-09,68.7,ASK
69,1712601941.748582,981572713.6779042,65.7,-1.0341867768335077e-07,68.7,ASK
70,1712601954.4352171,981602944.1168468,65.7,-4.632915169251898e-07,68.7,ASK
71,1712601959.8852148,981606157.2605268,65.7,-4.9242494044427014e-08,68.7,ASK
72,1712601960.486927,981606157.2605268,65.7,-0.0,68.7,ASK
73,1712601975.5850294,981607663.0578464,65.61,-2.307575120947629e-08,68.7,ASK
74,1712601990.506297,981607663.0578464,65.61,-0.0,68.7,ASK
75,1712602004.185136,981607754.340366,65.73,1.398866562075819e-09,68.7,BID
76,1712602007.0560324,981607906.756166,65.61,-2.335708604227219e-09,68.7,ASK
77,1712602007.0576484,981608364.0035368,65.61,-7.007125366934484e-09,68.7,ASK
78,1712602010.6649237,981608455.4530108,65.61,-1.401425072290797e-09,68.7,ASK
79,1712602013.7549784,981608531.618104,65.66,1.1671983020287396e-09,68.7,BID
80,1712602020.5819197,981608531.618104,65.66,0.0,68.7,BID
81,1712602025.4948,981608975.1805325,65.66,6.797403391748396e-09,68.7,BID
82,1712602025.6180923,981640327.9800508,65.66,-4.804681643587754e-07,68.7,ASK
83,1712602039.504613,981640419.26257,65.56,-1.398865338316927e-09,68.7,ASK
84,1712602039.7449117,981642474.1794784,65.56,-3.149071757323321e-08,68.7,ASK
85,1712602049.9454894,981649222.3971922,65.6,-1.0341353332120429e-07,68.7,ASK
86,1712602049.947314,981666620.3837898,65.6,-2.666166598339748e-07,68.7,ASK
87,1712602049.948985,981676729.5344384,65.56,-1.549183846422643e-07,68.7,ASK
88,1712602050.048641,981690792.5111194,65.56,2.155090676129449e-07,68.7,BID
89,1712602050.0671349,981705572.1553078,65.56,2.264916888489004e-07,68.7,BID
90,1712602050.0685554,981707898.6078782,65.56,3.5651884780749426e-08,68.7,BID
91,1712602050.06997,981721267.6294452,65.56,2.048745040384649e-07,68.7,BID
92,1712602050.1676514,981731069.8334184,65.6,1.5021455888907517e-07,68.7,BID
93,1712602050.1701474,981741984.6294452,65.56,1.672645534676439e-07,68.7,BID
94,1712602050.2959304,981741984.6294452,65.56,0.0,68.7,BID
95,1712602064.1991978,981751561.3372502,65.56,1.4673924250333488e-07,68.7,BID
96,1712602064.2972,981758177.7419968,65.56,1.0137995649099141e-07,68.7,BID
97,1712602072.8446102,981758269.2612158,65.56,1.4023045445210338e-09,68.7,BID
98,1712602080.495575,981758269.2612158,65.56,0.0,68.7,BID
99,1712602085.3146014,981760166.1074992,65.56,2.90639788983092e-08,68.7,BID
100,1712602110.494649,981760166.1074992,65.56,0.0,68.7,BID
101,1712602114.5546396,981766733.5358092,65.56,1.006276764660194e-07,68.7,BID
102,1712602128.1845148,981784131.5224068,65.5,-2.6657603005021624e-07,68.7,ASK
103,1712602128.185686,981784376.0072824,65.5,-3.7460545927098225e-09,68.7,ASK
104,1712602135.4142992,981790291.7798016,65.5,9.064285364193289e-08,68.7,BID
105,1712602140.3081589,981790291.7798016,65.5,0.0,68.7,BID
106,1712602140.7550104,981790383.2990206,65.46,-1.4022365290358955e-09,68.7,ASK
107,1712602142.2745728,981797131.5167346,65.5,1.0339464741460349e-07,68.7,BID
108,1712602147.914291,981799434.8167346,65.5,3.52906354655317e-08,68.7,BID
109,1712602155.8083656,981803204.0167346,65.5,5.7750819780800884e-08,68.7,BID
110,1712602155.8106525,981803955.4432576,65.5,1.1513185215138826e-08,68.7,BID
111,1712602157.0858843,981804332.3819208,65.5,5.775367931964112e-09,68.7,BID
112,1712602157.4467218,981807041.8819208,65.5,4.151433890324217e-08,68.7,BID
113,1712602158.164495,981824651.7703946,65.5,2.698146809900616e-07,68.7,BID
114,1712602158.2644043,981827823.1320478,65.5,4.859087745194823e-08,68.7,BID
115,1712602158.274336,981831945.2694525,65.5,6.315844592125008e-08,68.7,BID
116,1712602158.3241346,981833471.9870096,65.5,2.3392017006382146e-08,68.7,BID
117,1712602161.0542505,981835579.3878433,65.5,3.2289113272310185e-08,68.7,BID
118,1712602164.0746338,981842073.8123192,65.5,9.950608550629865e-08,68.7,BID
119,1712602170.316041,981842073.8123192,65.5,0.0,68.7,BID
120,1712602179.06442,981842165.3315384,65.56,1.402163662587251e-09,68.7,BID
121,1712602180.1442947,981845498.7315384,65.56,5.107093790592345e-08,68.7,BID
122,1712602181.3249955,981862148.0394652,65.51,-2.550836297206927e-07,68.7,ASK
123,1712602181.3274872,981864053.9796922,65.5,-2.9200862480927083e-08,68.7,ASK
124,1712602181.464327,981867745.9796922,65.5,5.6565039524214927e-08,68.7,BID
125,1712602181.4749868,981873182.4796922,65.5,8.329248032865505e-08,68.7,BID
126,1712602181.554729,981874693.379683,65.5,2.3148460914564112e-08,68.7,BID
127,1712602181.557297,981877062.925244,65.5,3.630374818977446e-08,68.7,BID
128,1712602182.6543891,981877602.0845028,65.46,-8.260445496420499e-09,68.7,ASK
129,1712602183.4758184,981880043.0845028,65.5,3.7398499858778064e-08,68.7,BID
130,1712602185.724278,981882904.2845027,65.5,4.383637353450188e-08,68.7,BID
131,1712602193.7360387,981882980.6356478,65.5,1.1697739805764615e-09,68.7,BID
132,1712602194.5146403,981883054.890797,65.5,1.1376612816724623e-09,68.7,BID
133,1712602200.338248,981883054.890797,65.5,0.0,68.7,BID
134,1712602203.8642871,981885355.690797,65.56,3.5262482573296545e-08,68.7,BID
135,1712602204.3042526,981887656.4907968,65.56,3.5262482573296545e-08,68.7,BID
136,1712602204.4441354,981895481.290797,65.56,1.19924319214087e-07,68.7,BID
137,1712602204.8341498,981900266.090797,65.56,7.333272193086085e-08,68.7,BID
