,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712601588.4137833,6954579.09057813,4582.0,0.0,4620.0,BID
1,1712601589.8664324,6954580.40004997,4574.0,-3.5550190639604797e-11,4620.0,ASK
2,1712601594.826466,6954632.3723102,4582.0,1.410968685217918e-09,4620.0,BID
3,1712601595.2263854,6954663.80704661,4582.0,8.534058073737353e-10,4620.0,BID
4,1712601597.1767786,6954939.89187625,4582.0,7.495287820073425e-09,4620.0,BID
5,1712601597.1785562,6955059.65137403,4583.0,3.2512902147604874e-09,4620.0,BID
6,1712601597.1803017,6955156.50704661,4582.0,2.6294858139901062e-09,4620.0,BID
7,1712601600.1080155,6955156.50704661,4582.0,0.0,4620.0,BID
8,1712601611.5566251,6955157.81623273,4583.0,3.557009469832096e-11,4620.0,BID
9,1712601623.276241,6955159.12541885,4576.0,-3.5570094723624646e-11,4620.0,ASK
10,1712601630.0880053,6955159.12541885,4576.0,-0.0,4620.0,ASK
11,1712601643.6365,6955160.43460497,4583.0,3.5570083110068177e-11,4620.0,BID
12,1712601655.5660417,6955161.74379109,4577.0,-3.557008313537185e-11,4620.0,ASK
13,1712601660.1561422,6955161.74379109,4577.0,-0.0,4620.0,ASK
14,1712601667.5959816,6955598.99783568,4583.0,1.1880020270624566e-08,4620.0,BID
15,1712601673.416321,6955643.56977825,4583.0,1.211002134299337e-09,4620.0,BID
16,1712601674.866339,6955644.87896437,4583.0,3.5570071545861374e-11,4620.0,BID
17,1712601675.2061048,6955703.32928667,4583.0,1.588072248485729e-09,4620.0,BID
18,1712601683.836101,6955825.07062575,4580.0,-3.3076642604902886e-09,4620.0,ASK
19,1712601689.295957,6955826.37981187,4580.0,-3.5570071520557705e-11,4620.0,ASK
20,1712601690.1461885,6955826.37981187,4580.0,-0.0,4620.0,ASK
21,1712601691.3663905,6956108.75544422,4583.0,7.671399973346293e-09,4620.0,BID
22,1712601691.8071542,6956381.23533808,4583.0,7.402558900328988e-09,4620.0,BID
23,1712601699.157117,6956563.84734671,4580.0,-4.961085864523712e-09,4620.0,ASK
24,1712601701.6658392,6956759.06903651,4583.0,5.303657590640689e-09,4620.0,BID
25,1712601701.9060488,6956843.71926878,4583.0,2.2997231884971157e-09,4620.0,BID
26,1712601701.9079952,6956944.01496715,4583.0,2.7247691714654155e-09,4620.0,BID
27,1712601702.1057618,6957112.00690855,4583.0,4.563897260010342e-09,4620.0,BID
