,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.1371346,172806993.3103331,86.46,0.0,89.19,ASK
1,1712689620.2849655,172806993.3103331,86.46,-0.0,89.19,ASK
2,1712689650.304848,172806993.3103331,86.46,-0.0,89.19,ASK
3,1712689653.255195,172806993.3103337,86.38,-3.2651973685174616e-17,89.19,ASK
4,1712689653.2569733,172813760.2694097,86.38,-3.70700254167137e-07,89.19,ASK
5,1712689680.3047094,172813760.2694097,86.38,-0.0,89.19,ASK
6,1712689710.2948067,172813760.2694097,86.38,-0.0,89.19,ASK
7,1712689721.7249174,172820036.8713065,86.46,3.438270262960983e-07,89.19,BID
8,1712689740.426482,172820036.8713065,86.46,0.0,89.19,BID
9,1712689770.444815,172820036.8713065,86.46,0.0,89.19,BID
10,1712689800.29784,172820036.8713065,86.46,0.0,89.19,BID
11,1712689830.305822,172820036.8713065,86.46,0.0,89.19,BID
12,1712689857.99507,172820615.44108152,86.42,-3.171220960298696e-08,89.19,ASK
13,1712689860.4350736,172820615.44108152,86.42,-0.0,89.19,ASK
14,1712689890.4348812,172820615.44108152,86.42,-0.0,89.19,ASK
15,1712689913.4152966,172820615.44108203,86.42,-2.776953457266199e-17,89.19,ASK
16,1712689920.287997,172820615.44108203,86.42,-0.0,89.19,ASK
17,1712689935.3060524,172820733.76202115,86.32,-6.485316552574679e-09,89.19,ASK
18,1712689950.3069775,172820733.76202115,86.32,-0.0,89.19,ASK
19,1712689980.424991,172820733.76202115,86.32,-0.0,89.19,ASK
20,1712689986.4252882,172820962.98510426,86.32,-1.2563992763406865e-08,89.19,ASK
21,1712689986.426834,172822004.37880123,86.32,-5.708004052239373e-08,89.19,ASK
22,1712689986.5651965,172823782.63747996,86.32,9.746849605234545e-08,89.19,BID
23,1712689986.5871289,172825238.20010427,86.32,7.978113735513423e-08,89.19,BID
24,1712689986.5884583,172827343.97977132,86.32,1.1542031517654393e-07,89.19,BID
25,1712689986.6451423,172829023.6443581,86.32,9.206443533996749e-08,89.19,BID
26,1712689998.4751751,172829156.640806,86.42,7.289695200850165e-09,89.19,BID
27,1712689998.4892335,172831028.48692697,86.42,1.0259813627538328e-07,89.19,BID
28,1712689999.8249514,172836881.38692698,86.42,3.208044855157941e-07,89.19,BID
29,1712690010.4448886,172836881.38692698,86.42,0.0,89.19,BID
30,1712690040.28522,172836881.38692698,86.42,0.0,89.19,BID
31,1712690068.2857437,172836947.57962698,86.31,-3.627824146093486e-09,89.19,ASK
32,1712690068.287491,172837007.46504018,86.41,-3.2821405987225517e-09,89.19,ASK
33,1712690068.2891643,172842881.38692698,86.3,-3.219321111489857e-07,89.19,ASK
34,1712690070.2853098,172842881.38692698,86.3,-0.0,89.19,ASK
35,1712690100.3250124,172842881.38692698,86.3,-0.0,89.19,ASK
36,1712690103.2451253,172844461.41326806,86.45,8.669900766277644e-08,89.19,BID
