,time,acc_trade_volume,trade_price,dev,high,ask_bid
0,1712689619.157699,380482817.5661452,187.4,0.0,217.6,BID
1,1712689620.1319969,380482817.5661452,187.4,0.0,217.6,BID
2,1712689628.3637795,380498509.7096241,187.2,-2.07447289501336e-07,217.6,ASK
3,1712689650.1244905,380498509.7096241,187.2,-0.0,217.6,ASK
4,1712689680.1548402,380498509.7096241,187.2,-0.0,217.6,ASK
5,1712689710.1250842,380498509.7096241,187.2,-0.0,217.6,ASK
6,1712689740.1841912,380498509.7096241,187.2,-0.0,217.6,ASK
7,1712689770.1853287,380498509.7096241,187.2,-0.0,217.6,ASK
8,1712689800.1424625,380498509.7096241,187.2,-0.0,217.6,ASK
9,1712689802.262423,380500139.3860045,187.2,-2.1543209859758423e-08,217.6,ASK
10,1712689802.264047,380504804.298413,187.2,-6.166695928527269e-08,217.6,ASK
11,1712689814.572233,380505257.98109,187.2,-5.997375452975226e-09,217.6,ASK
12,1712689825.9024613,380505493.31547177,187.2,3.110959964758242e-09,217.6,BID
13,1712689830.1348865,380505493.31547177,187.2,0.0,217.6,BID
14,1712689860.1925988,380505493.31547177,187.2,0.0,217.6,BID
15,1712689890.1936662,380505493.31547177,187.2,0.0,217.6,BID
16,1712689911.4052355,380506898.9821271,187.2,-1.85816330029272e-08,217.6,ASK
17,1712689920.1248343,380506898.9821271,187.2,-0.0,217.6,ASK
18,1712689950.132663,380506898.9821271,187.2,-0.0,217.6,ASK
19,1712689980.185457,380506898.9821271,187.2,-0.0,217.6,ASK
20,1712690010.1924531,380506898.9821271,187.2,-0.0,217.6,ASK
21,1712690028.973578,380510216.4055556,187.2,-4.385316391197171e-08,217.6,ASK
22,1712690028.9741702,380515291.9821271,187.2,-6.709426641821843e-08,217.6,ASK
23,1712690040.1222515,380515291.9821271,187.2,-0.0,217.6,ASK
24,1712690070.1242073,380515291.9821271,187.2,-0.0,217.6,ASK
25,1712690100.162335,380515291.9821271,187.2,-0.0,217.6,ASK
